,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-08-18,iАРТГЕН ао,ABIO,3001,39532039.8,111.16,107.1,112.98,110.74,109.86,110.74,359870,109.86,109.86,,39532039.8,39532039.8,,0,3,SUR,0.22
1,TQBR,2023-08-21,iАРТГЕН ао,ABIO,5554,90348800.0,110.9,109.44,114.78,113.5,113.6,113.5,795380,113.6,113.6,,90348800.0,90348800.0,,0,3,SUR,2.49
2,TQBR,2023-08-22,iАРТГЕН ао,ABIO,2797,37623074.2,113.5,112.86,114.9,113.66,113.54,113.66,331390,113.54,113.54,,37623074.2,37623074.2,,0,3,SUR,0.14
3,TQBR,2023-08-23,iАРТГЕН ао,ABIO,4407,85126631.6,113.68,111.04,115.66,112.8,113.52,112.8,749930,113.52,113.52,,85126631.6,85126631.6,,0,3,SUR,-0.76
4,TQBR,2023-08-24,iАРТГЕН ао,ABIO,1732,25874068.6,112.8,110.5,112.8,111.54,112.06,111.54,230880,112.06,112.06,,25874068.6,25874068.6,,0,3,SUR,-1.12
5,TQBR,2023-08-25,iАРТГЕН ао,ABIO,3867,46774134.4,111.54,109.34,112.0,111.06,110.64,111.06,422790,110.64,110.64,,46774134.4,46774134.4,,0,3,SUR,-0.43
6,TQBR,2023-08-28,iАРТГЕН ао,ABIO,3300,48516721.0,111.16,109.16,112.0,110.48,110.68,110.48,438320,110.68,110.68,,48516721.0,48516721.0,,0,3,SUR,-0.52
7,TQBR,2023-08-29,iАРТГЕН ао,ABIO,3295,50096882.0,110.58,110.5,112.46,110.96,111.52,110.96,449210,111.52,111.52,,50096882.0,50096882.0,,0,3,SUR,0.43
8,TQBR,2023-08-30,iАРТГЕН ао,ABIO,3161,56320520.4,111.1,111.02,114.38,113.08,112.9,113.08,498830,112.9,112.9,,56320520.4,56320520.4,,0,3,SUR,1.91
9,TQBR,2023-08-31,iАРТГЕН ао,ABIO,2428,42971971.0,113.08,112.12,114.26,112.9,113.26,112.9,379440,113.26,113.26,,42971971.0,42971971.0,,0,3,SUR,-0.16
10,TQBR,2023-09-01,iАРТГЕН ао,ABIO,3689,74235389.0,113.64,113.0,115.5,113.7,114.24,113.7,649770,114.24,114.24,,74235389.0,74235389.0,,0,3,SUR,0.71
11,TQBR,2023-09-04,iАРТГЕН ао,ABIO,10413,197695738.4,114.06,114.06,118.5,118.4,117.2,118.4,1686860,117.2,117.2,,197695738.4,197695738.4,,0,3,SUR,4.13
12,TQBR,2023-09-05,iАРТГЕН ао,ABIO,12092,243840385.4,120.9,117.12,121.18,119.5,119.62,119.5,2038400,119.62,119.62,,243840385.4,243840385.4,,0,3,SUR,0.93
13,TQBR,2023-09-06,iАРТГЕН ао,ABIO,19008,315362427.4,119.5,117.5,124.0,120.26,121.52,120.26,2595260,121.52,121.52,,315362427.4,315362427.4,,0,3,SUR,0.64
14,TQBR,2023-09-07,iАРТГЕН ао,ABIO,10461,164998731.0,120.64,112.2,121.62,114.42,116.7,114.42,1413960,116.7,116.7,,164998731.0,164998731.0,,0,3,SUR,-4.86
15,TQBR,2023-09-08,iАРТГЕН ао,ABIO,3633,47815038.6,115.0,110.1,116.58,111.3,112.46,111.3,425170,112.46,112.46,,47815038.6,47815038.6,,0,3,SUR,-2.73
16,TQBR,2023-09-11,iАРТГЕН ао,ABIO,7534,144447610.2,111.5,109.8,117.84,114.2,115.02,114.2,1255930,115.02,115.02,,144447610.2,144447610.2,,0,3,SUR,2.61
17,TQBR,2023-09-12,iАРТГЕН ао,ABIO,2172,28453941.2,114.4,114.22,117.0,116.0,115.74,116.0,245850,115.74,115.74,,28453941.2,28453941.2,,0,3,SUR,1.58
18,TQBR,2023-09-13,iАРТГЕН ао,ABIO,4461,74603813.0,117.98,112.6,118.2,114.0,116.3,114.0,641470,116.3,116.3,,74603813.0,74603813.0,,0,3,SUR,-1.72
19,TQBR,2023-09-14,iАРТГЕН ао,ABIO,14387,304331188.4,114.2,96.9,119.98,108.0,111.36,108.0,2732750,111.36,111.36,,304331188.4,304331188.4,,0,3,SUR,-5.26
20,TQBR,2023-09-15,iАРТГЕН ао,ABIO,5365,98577517.4,108.0,108.0,117.2,113.5,112.18,113.5,878800,112.18,112.18,,98577517.4,98577517.4,,0,3,SUR,5.09
21,TQBR,2023-09-18,iАРТГЕН ао,ABIO,6373,109828298.0,113.6,113.0,118.7,113.3,116.08,113.3,946120,116.08,116.08,,109828298.0,109828298.0,,0,3,SUR,-0.18
22,TQBR,2023-09-19,iАРТГЕН ао,ABIO,12467,301153884.0,112.62,108.02,119.68,119.22,116.12,119.22,2593470,116.12,116.12,,301153884.0,301153884.0,,0,3,SUR,5.23
23,TQBR,2023-09-20,iАРТГЕН ао,ABIO,12275,256188703.0,120.5,110.8,121.9,115.5,116.02,115.5,2208160,116.02,116.02,,256188703.0,256188703.0,,0,3,SUR,-3.12
24,TQBR,2023-09-21,iАРТГЕН ао,ABIO,7618,127348398.2,115.92,108.6,118.48,112.68,114.24,112.68,1114750,114.24,114.24,,127348398.2,127348398.2,,0,3,SUR,-2.44
25,TQBR,2023-09-22,iАРТГЕН ао,ABIO,3341,59521049.0,114.3,112.08,114.98,112.3,113.32,112.3,525240,113.32,113.32,,59521049.0,59521049.0,,0,3,SUR,-0.34
26,TQBR,2023-09-25,iАРТГЕН ао,ABIO,4144,80578779.4,112.42,112.4,116.9,114.44,114.8,114.44,701880,114.8,114.8,,80578779.4,80578779.4,,0,3,SUR,1.91
27,TQBR,2023-09-26,iАРТГЕН ао,ABIO,4122,73116630.2,114.44,112.8,116.5,114.6,114.44,114.6,638950,114.44,114.44,,73116630.2,73116630.2,,0,3,SUR,0.14
28,TQBR,2023-09-27,iАРТГЕН ао,ABIO,9557,195009958.4,115.68,113.7,118.9,115.7,117.44,115.7,1660630,117.44,117.44,,195009958.4,195009958.4,,0,3,SUR,0.96
29,TQBR,2023-09-28,iАРТГЕН ао,ABIO,2538,39369003.2,115.72,114.6,117.86,115.2,116.0,115.2,339370,116.0,116.0,,39369003.2,39369003.2,,0,3,SUR,-0.43
30,TQBR,2023-09-29,iАРТГЕН ао,ABIO,3697,60266134.0,115.24,114.34,116.8,114.42,115.52,114.42,521690,115.52,115.52,,60266134.0,60266134.0,,0,3,SUR,-0.68
31,TQBR,2023-10-02,iАРТГЕН ао,ABIO,2764,49704101.6,115.22,114.8,117.56,115.98,116.1,115.98,428080,116.1,116.1,,49704101.6,49704101.6,,0,3,SUR,1.36
32,TQBR,2023-10-03,iАРТГЕН ао,ABIO,36246,925386392.0,116.34,115.0,126.72,125.0,121.98,125.0,7586520,121.98,121.98,,925386392.0,925386392.0,,0,3,SUR,7.78
33,TQBR,2023-10-04,iАРТГЕН ао,ABIO,16243,340962727.4,126.0,119.04,127.92,121.3,122.54,121.3,2782250,122.54,122.54,,340962727.4,340962727.4,,0,3,SUR,-2.96
34,TQBR,2023-10-05,iАРТГЕН ао,ABIO,9970,184574695.8,121.62,115.84,122.08,118.5,117.7,118.5,1568230,117.7,117.7,,184574695.8,184574695.8,,0,3,SUR,-2.31
35,TQBR,2023-10-06,iАРТГЕН ао,ABIO,4267,94332072.2,119.68,116.66,120.72,118.1,118.44,118.1,796480,118.44,118.44,,94332072.2,94332072.2,,0,3,SUR,-0.34
36,TQBR,2023-10-09,iАРТГЕН ао,ABIO,3648,73784608.4,119.38,118.1,120.4,119.44,119.1,119.44,619570,119.1,119.1,,73784608.4,73784608.4,,0,3,SUR,1.13
37,TQBR,2023-10-10,iАРТГЕН ао,ABIO,11334,330243238.0,119.64,114.0,123.2,122.96,119.74,122.96,2758050,119.74,119.74,,330243238.0,330243238.0,,0,3,SUR,2.95
38,TQBR,2023-10-11,iАРТГЕН ао,ABIO,8144,178171210.6,123.48,119.52,125.5,119.74,122.06,119.74,1459780,122.06,122.06,,178171210.6,178171210.6,,0,3,SUR,-2.62
39,TQBR,2023-10-12,iАРТГЕН ао,ABIO,4131,86091055.0,118.0,116.0,119.38,118.22,118.0,118.22,729640,118.0,118.0,,86091055.0,86091055.0,,0,3,SUR,-1.27
40,TQBR,2023-10-13,iАРТГЕН ао,ABIO,3318,60534656.0,118.28,117.2,120.5,118.82,119.36,118.82,507170,119.36,119.36,,60534656.0,60534656.0,,0,3,SUR,0.51
41,TQBR,2023-10-16,iАРТГЕН ао,ABIO,2865,54652064.6,117.84,117.02,120.18,119.14,119.0,119.14,459230,119.0,119.0,,54652064.6,54652064.6,,0,3,SUR,0.27
42,TQBR,2023-10-17,iАРТГЕН ао,ABIO,2606,31589624.0,119.0,118.0,119.28,118.2,118.44,118.2,266720,118.44,118.44,,31589624.0,31589624.0,,0,3,SUR,-0.79
43,TQBR,2023-10-18,iАРТГЕН ао,ABIO,2702,49381123.6,118.5,117.34,119.98,118.74,118.6,118.74,416370,118.6,118.6,,49381123.6,49381123.6,,0,3,SUR,0.46
44,TQBR,2023-10-19,iАРТГЕН ао,ABIO,1786,29081163.2,118.5,117.2,118.74,117.48,117.62,117.48,247240,117.62,117.62,,29081163.2,29081163.2,,0,3,SUR,-1.06
45,TQBR,2023-10-20,iАРТГЕН ао,ABIO,4101,52970191.6,118.2,114.84,119.0,116.5,115.94,116.5,456900,115.94,115.94,,52970191.6,52970191.6,,0,3,SUR,-0.83
46,TQBR,2023-10-23,iАРТГЕН ао,ABIO,4999,82168858.8,116.98,112.4,116.98,113.88,114.1,113.88,720100,114.1,114.1,,82168858.8,82168858.8,,0,3,SUR,-2.25
47,TQBR,2023-10-24,iАРТГЕН ао,ABIO,3741,51167455.0,114.94,113.68,116.54,116.4,115.64,116.4,442450,115.64,115.64,,51167455.0,51167455.0,,0,3,SUR,2.21
48,TQBR,2023-10-25,iАРТГЕН ао,ABIO,1684,22549706.8,116.4,115.08,116.46,115.44,115.74,115.44,194820,115.74,115.74,,22549706.8,22549706.8,,0,3,SUR,-0.82
49,TQBR,2023-10-26,iАРТГЕН ао,ABIO,3290,59039286.6,116.0,113.32,116.42,113.5,114.56,113.5,515400,114.56,114.56,,59039286.6,59039286.6,,0,3,SUR,-1.68
50,TQBR,2023-10-27,iАРТГЕН ао,ABIO,2726,36366973.0,113.52,111.9,114.6,113.76,113.28,113.76,321050,113.28,113.28,,36366973.0,36366973.0,,0,3,SUR,0.23
51,TQBR,2023-10-30,iАРТГЕН ао,ABIO,4121,67002110.6,114.88,108.84,114.88,111.06,112.62,111.06,594990,112.62,112.62,,67002110.6,67002110.6,,0,3,SUR,-2.37
52,TQBR,2023-10-31,iАРТГЕН ао,ABIO,5820,77588483.4,111.06,105.8,112.48,107.78,108.46,107.78,715340,108.46,108.46,,77588483.4,77588483.4,,0,3,SUR,-2.95
53,TQBR,2023-11-01,iАРТГЕН ао,ABIO,3732,39939347.6,108.0,106.12,110.6,110.1,108.68,110.1,367500,108.68,108.68,,39939347.6,39939347.6,,0,3,SUR,2.15
54,TQBR,2023-11-02,iАРТГЕН ао,ABIO,12783,252472390.0,110.6,104.04,111.02,107.0,106.4,107.0,2373010,106.4,106.4,,252472390.0,252472390.0,,0,3,SUR,-2.82
55,TQBR,2023-11-03,iАРТГЕН ао,ABIO,3244,45408565.8,107.28,104.2,108.0,107.6,106.06,107.6,428140,106.06,106.06,,45408565.8,45408565.8,,0,3,SUR,0.56
56,TQBR,2023-11-06,iАРТГЕН ао,ABIO,2054,27162127.8,107.6,105.82,108.28,107.7,107.1,107.7,253620,107.1,107.1,,27162127.8,27162127.8,,0,3,SUR,0.09
57,TQBR,2023-11-07,iАРТГЕН ао,ABIO,1548,20800652.0,108.08,106.0,108.3,106.72,107.38,106.72,193710,107.38,107.38,,20800652.0,20800652.0,,0,3,SUR,-0.91
58,TQBR,2023-11-08,iАРТГЕН ао,ABIO,2739,27024838.2,107.36,105.4,107.9,106.8,106.36,106.8,254090,106.36,106.36,,27024838.2,27024838.2,,0,3,SUR,0.07
59,TQBR,2023-11-09,iАРТГЕН ао,ABIO,2348,33756365.2,106.66,105.0,107.38,105.9,106.42,105.9,317200,106.42,106.42,,33756365.2,33756365.2,,0,3,SUR,-0.84
60,TQBR,2023-11-10,iАРТГЕН ао,ABIO,4844,54599610.8,106.14,101.0,106.14,103.98,103.1,103.98,529590,103.1,103.1,,54599610.8,54599610.8,,0,3,SUR,-1.81
