,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-07-30,АПРИ,APRI,2103,6337390.81,9.918,9.3,11.834,9.99,10.097,9.99,627660,10.097,10.097,,6337390.81,6337390.81,,0,3,SUR,
1,TQBR,2024-07-31,АПРИ,APRI,542,1440121.55,10.0,9.9,10.2,10.1,10.018,10.1,143760,10.018,10.018,,1440121.55,1440121.55,,0,3,SUR,1.1
2,TQBR,2024-08-01,АПРИ,APRI,2566,29006680.16,10.1,9.99,12.3,11.591,11.064,11.591,2621670,11.064,11.064,,29006680.16,29006680.16,,0,3,SUR,14.76
3,TQBR,2024-08-02,АПРИ,APRI,3257,25334277.24,11.592,10.28,12.725,10.87,11.74,10.87,2158010,11.74,11.74,,25334277.24,25334277.24,,0,3,SUR,-6.22
4,TQBR,2024-08-05,АПРИ,APRI,1966,10509383.91,10.9,9.6,10.98,10.415,10.13,10.415,1037490,10.13,10.13,,10509383.91,10509383.91,,0,3,SUR,-4.19
5,TQBR,2024-08-06,АПРИ,APRI,1419,9383248.19,10.624,9.42,10.632,9.66,9.888,9.66,948930,9.888,9.888,,9383248.19,9383248.19,,0,3,SUR,-7.25
6,TQBR,2024-08-07,АПРИ,APRI,877,5924101.17,9.669,9.6,10.29,10.061,9.911,10.061,597750,9.911,9.911,,5924101.17,5924101.17,,0,3,SUR,4.15
7,TQBR,2024-08-08,АПРИ,APRI,572,3912327.4,10.075,9.943,10.6,10.274,10.211,10.266,383080,10.213,10.213,,3912327.4,3912327.4,,0,3,SUR,2.04
8,TQBR,2024-08-09,АПРИ,APRI,165,471683.95,10.274,10.13,10.282,10.13,10.21,10.13,46200,,10.214,,0.0,503534.35,,0,3,SUR,-1.32
9,TQBR,2024-08-12,АПРИ,APRI,353,3070812.32,10.148,10.074,10.429,10.076,10.201,10.076,301020,10.201,10.201,,3070812.32,3070812.32,,0,3,SUR,-0.53
10,TQBR,2024-08-13,АПРИ,APRI,485,2196962.3,9.986,9.837,10.067,9.887,9.915,9.895,221580,9.915,9.915,,2196962.3,2196962.3,,0,3,SUR,-1.8
11,TQBR,2024-08-14,АПРИ,APRI,195,768565.96,9.901,9.818,9.901,9.818,9.853,9.818,78000,9.853,9.853,,768565.96,768565.96,,0,3,SUR,-0.78
12,TQBR,2024-08-15,АПРИ,APRI,202,2830846.16,9.831,9.71,9.831,9.715,9.75,9.71,290330,9.75,9.75,,2830846.16,2830846.16,,0,3,SUR,-1.1
13,TQBR,2024-08-16,АПРИ,APRI,142,425784.88,9.707,9.703,9.751,9.711,9.732,9.711,43750,,9.725,,0.0,680721.12,,0,3,SUR,0.01
14,TQBR,2024-08-19,АПРИ,APRI,195,594421.16,9.712,9.7,9.8,9.7,9.741,9.7,61020,9.741,9.741,,594421.16,594421.16,,0,3,SUR,-0.11
15,TQBR,2024-08-20,АПРИ,APRI,163,766095.0,9.7,9.699,9.727,9.711,9.707,9.711,78970,9.701,9.701,,766095.0,766095.0,,0,3,SUR,0.11
16,TQBR,2024-08-21,АПРИ,APRI,212,1051886.35,9.711,9.655,9.999,9.895,9.783,9.895,107520,9.783,9.783,,1051886.35,1051886.35,,0,3,SUR,1.89
17,TQBR,2024-08-22,АПРИ,APRI,204,1473572.0,9.895,9.695,9.895,9.696,9.779,9.704,150690,9.779,9.779,,1473572.0,1473572.0,,0,3,SUR,-1.93
18,TQBR,2024-08-23,АПРИ,APRI,152,3742159.85,9.695,9.65,9.743,9.671,9.669,9.671,387030,9.669,9.669,,3742159.85,3742159.85,,0,3,SUR,-0.34
19,TQBR,2024-08-26,АПРИ,APRI,149,356243.55,9.678,9.67,9.783,9.715,9.725,9.715,36630,,9.721,,0.0,527876.99,,0,3,SUR,0.45
20,TQBR,2024-08-27,АПРИ,APRI,116,102942.1,9.715,9.679,9.727,9.688,9.693,9.688,10620,,9.715,,0.0,504102.89,,0,3,SUR,-0.28
21,TQBR,2024-08-28,АПРИ,APRI,141,1112149.08,9.687,9.68,9.919,9.911,9.769,9.911,113850,9.769,9.769,,1112149.08,1112149.08,,0,3,SUR,2.3
22,TQBR,2024-08-29,АПРИ,APRI,585,4337728.05,9.991,9.91,10.487,10.016,10.221,10.016,424390,10.221,10.221,,4337728.05,4337728.05,,0,3,SUR,1.06
23,TQBR,2024-08-30,АПРИ,APRI,293,2085589.76,10.031,9.69,10.176,9.839,10.04,9.839,207730,10.04,10.04,,2085589.76,2085589.76,,0,3,SUR,-1.77
24,TQBR,2024-09-02,АПРИ,APRI,84,225643.87,9.839,9.727,9.839,9.741,9.777,9.743,23080,,9.807,,0.0,502312.3,,0,3,SUR,-0.98
25,TQBR,2024-09-03,АПРИ,APRI,157,905918.22,9.743,9.727,9.847,9.743,9.797,9.743,92470,9.797,9.797,,905918.22,905918.22,,0,3,SUR,0.0
26,TQBR,2024-09-04,АПРИ,APRI,66,117183.81,9.735,9.735,9.775,9.759,9.757,9.759,12010,,9.771,,0.0,504455.55,,0,3,SUR,0.16
27,TQBR,2024-09-05,АПРИ,APRI,96,229945.37,9.759,9.733,9.766,9.737,9.752,9.737,23580,,9.752,,0.0,509150.87,,0,3,SUR,-0.23
28,TQBR,2024-09-06,АПРИ,APRI,67,253775.77,9.729,9.729,9.775,9.745,9.757,9.751,26010,,9.754,,0.0,508790.27,,0,3,SUR,0.14
29,TQBR,2024-09-09,АПРИ,APRI,73,269467.27,9.751,9.751,9.863,9.855,9.795,9.863,27510,,9.778,,0.0,509815.7,,0,3,SUR,1.15
30,TQBR,2024-09-10,АПРИ,APRI,81,558098.41,9.871,9.855,9.903,9.88,9.892,9.88,56420,9.892,9.892,,558098.41,558098.41,,0,3,SUR,0.17
31,TQBR,2024-09-11,АПРИ,APRI,319,1907416.82,9.894,9.887,10.22,10.217,10.075,10.22,189330,10.075,10.075,,1907416.82,1907416.82,,0,3,SUR,3.44
32,TQBR,2024-09-12,АПРИ,APRI,155,952798.02,10.22,9.995,10.225,10.011,10.106,10.01,94280,10.106,10.106,,952798.02,952798.02,,0,3,SUR,-2.05
33,TQBR,2024-09-13,АПРИ,APRI,66,105911.38,10.011,9.97,10.025,9.986,9.992,9.986,10600,,10.025,,0.0,502431.55,,0,3,SUR,-0.24
34,TQBR,2024-09-16,АПРИ,APRI,123,587954.75,9.985,9.889,9.986,9.906,9.913,9.906,59310,9.913,9.913,,587954.75,587954.75,,0,3,SUR,-0.8
35,TQBR,2024-09-17,АПРИ,APRI,292,711002.71,9.906,9.236,10.0,9.992,9.709,9.992,73230,9.709,9.709,,711002.71,711002.71,,0,3,SUR,0.87
36,TQBR,2024-09-18,АПРИ,APRI,70,184312.87,9.992,9.968,10.015,9.968,9.99,9.968,18450,,9.875,,0.0,549565.96,,0,3,SUR,-0.24
37,TQBR,2024-09-19,АПРИ,APRI,55,101943.17,9.992,9.976,10.008,9.984,9.994,9.984,10200,,9.932,,0.0,562863.03,,0,3,SUR,0.16
38,TQBR,2024-09-20,АПРИ,APRI,85,139633.43,10.001,9.977,10.015,9.993,9.995,9.993,13970,,9.99,,0.0,509380.86,,0,3,SUR,0.09
39,TQBR,2024-09-23,АПРИ,APRI,235,1265652.59,9.986,9.986,10.294,10.183,10.178,10.183,124350,10.178,10.178,,1265652.59,1265652.59,,0,3,SUR,1.9
40,TQBR,2024-09-24,АПРИ,APRI,153,603799.91,10.19,9.94,10.208,10.04,10.073,10.048,59940,10.073,10.073,,603799.91,603799.91,,0,3,SUR,-1.33
41,TQBR,2024-09-25,АПРИ,APRI,210,1641120.19,10.092,10.092,10.26,10.148,10.168,10.148,161400,10.168,10.168,,1641120.19,1641120.19,,0,3,SUR,1.0
42,TQBR,2024-09-26,АПРИ,APRI,61,151073.27,10.162,10.154,10.194,10.187,10.173,10.186,14850,,10.146,,0.0,534371.79,,0,3,SUR,0.37
43,TQBR,2024-09-27,АПРИ,APRI,58,174579.58,10.192,10.176,10.232,10.177,10.209,10.177,17100,,10.173,,0.0,506294.37,,0,3,SUR,-0.09
44,TQBR,2024-09-30,АПРИ,APRI,944,7114431.46,10.212,10.15,11.172,10.166,10.567,10.166,673290,10.567,10.567,,7114431.46,7114431.46,,0,3,SUR,-0.11
45,TQBR,2024-10-01,АПРИ,APRI,75,336735.39,10.212,10.156,10.228,10.166,10.189,10.166,33050,,10.181,,0.0,515160.83,,0,3,SUR,0.0
46,TQBR,2024-10-02,АПРИ,APRI,159,808811.31,10.212,10.212,10.402,10.368,10.278,10.402,78690,10.278,10.278,,808811.31,808811.31,,0,3,SUR,2.32
47,TQBR,2024-10-03,АПРИ,APRI,127,667369.61,10.442,10.298,10.523,10.31,10.398,10.316,64180,10.398,10.398,,667369.61,667369.61,,0,3,SUR,-0.83
48,TQBR,2024-10-04,АПРИ,APRI,46,38104.92,10.328,10.319,10.33,10.33,10.327,10.33,3690,,10.356,,0.0,501024.9,,0,3,SUR,0.14
49,TQBR,2024-10-07,АПРИ,APRI,58,117331.29,10.358,10.33,10.36,10.343,10.347,10.35,11340,,10.335,,0.0,505674.84,,0,3,SUR,0.19
50,TQBR,2024-10-08,АПРИ,APRI,48,172453.02,10.351,10.306,10.369,10.323,10.332,10.323,16690,,10.328,,0.0,504650.25,,0,3,SUR,-0.26
51,TQBR,2024-10-09,АПРИ,APRI,49,89090.44,10.351,10.288,10.351,10.297,10.323,10.297,8630,,10.332,,0.0,500466.33,,0,3,SUR,-0.25
52,TQBR,2024-10-10,АПРИ,APRI,108,553748.13,10.311,10.118,10.315,10.136,10.211,10.134,54230,10.211,10.211,,553748.13,553748.13,,0,3,SUR,-1.58
53,TQBR,2024-10-11,АПРИ,APRI,97,709620.31,10.226,10.193,10.268,10.222,10.227,10.222,69390,10.227,10.227,,709620.31,709620.31,,0,3,SUR,0.87
54,TQBR,2024-10-14,АПРИ,APRI,85,118420.05,10.261,10.261,10.297,10.275,10.28,10.279,11520,,10.23,,0.0,504453.57,,0,3,SUR,0.56
55,TQBR,2024-10-15,АПРИ,APRI,87,115823.59,10.341,10.279,10.359,10.296,10.323,10.296,11220,,10.256,,0.0,503461.05,,0,3,SUR,0.17
56,TQBR,2024-10-16,АПРИ,APRI,107,285954.45,10.296,10.197,10.296,10.218,10.235,10.219,27940,,10.264,,0.0,501297.13,,0,3,SUR,-0.75
57,TQBR,2024-10-17,АПРИ,APRI,77,201367.66,10.242,10.162,10.274,10.17,10.217,10.17,19710,,10.229,,0.0,504188.01,,0,3,SUR,-0.48
58,TQBR,2024-10-18,АПРИ,APRI,42,59545.36,10.182,10.166,10.186,10.186,10.179,10.186,5850,,10.218,,0.0,504883.73,,0,3,SUR,0.16
59,TQBR,2024-10-21,АПРИ,APRI,101,1125624.27,10.182,10.074,10.186,10.078,10.112,10.074,111320,10.112,10.112,,1125624.27,1125624.27,,0,3,SUR,-1.1
60,TQBR,2024-10-22,АПРИ,APRI,45,55770.82,10.092,10.092,10.146,10.123,10.122,10.122,5510,,10.104,,0.0,503782.83,,0,3,SUR,0.48
61,TQBR,2024-10-23,АПРИ,APRI,37,115907.63,10.161,10.104,10.161,10.112,10.123,10.112,11450,,10.105,,0.0,507769.0,,0,3,SUR,-0.1
62,TQBR,2024-10-24,АПРИ,APRI,64,321142.97,10.122,10.09,10.16,10.112,10.121,10.112,31730,,10.121,,0.0,500779.88,,0,3,SUR,0.0
63,TQBR,2024-10-25,АПРИ,APRI,48,144918.31,10.111,10.072,10.12,10.073,10.092,10.075,14360,,10.112,,0.0,518533.99,,0,3,SUR,-0.37
64,TQBR,2024-10-28,АПРИ,APRI,62,169906.29,10.142,10.086,10.157,10.086,10.107,10.086,16810,,10.103,,0.0,514530.35,,0,3,SUR,0.11
65,TQBR,2024-10-29,АПРИ,APRI,73,296998.91,10.093,10.02,10.094,10.026,10.071,10.02,29490,,10.084,,0.0,535038.39,,0,3,SUR,-0.65
66,TQBR,2024-10-30,АПРИ,APRI,59,208486.0,10.085,10.076,10.124,10.084,10.091,10.084,20660,,10.079,,0.0,504980.25,,0,3,SUR,0.64
67,TQBR,2024-10-31,АПРИ,APRI,50,184289.8,10.1,10.068,10.252,10.076,10.081,10.076,18280,,10.077,,0.0,500511.9,,0,3,SUR,-0.08
68,TQBR,2024-11-01,АПРИ,APRI,56,177188.54,10.13,10.128,10.19,10.142,10.16,10.142,17440,,10.112,,0.0,502407.03,,0,3,SUR,0.66
