,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Аптеки36и6,APTK,188,974091.6,14.27,14.15,14.29,14.23,14.21,14.23,68540,14.21,14.21,14.21,974091.6,974091.6,974091.6,,3,SUR,0.42
1,TQBR,2014-06-10,Аптеки36и6,APTK,183,1319109.8,14.35,14.16,14.35,14.27,14.26,14.27,92530,14.26,14.26,14.26,1306481.8,1306481.8,1306481.8,,3,SUR,0.28
2,TQBR,2014-06-11,Аптеки36и6,APTK,131,5270235.0,14.22,14.17,14.25,14.2,14.2,14.2,371250,14.2,14.2,14.2,5266111.2,5266111.2,5266111.2,,3,SUR,-0.49
3,TQBR,2014-06-16,Аптеки36и6,APTK,270,2868754.9,14.18,14.0,14.18,14.08,14.09,14.08,203550,14.09,14.09,14.09,2868754.9,2868754.9,2868754.9,,3,SUR,-0.85
4,TQBR,2014-06-17,Аптеки36и6,APTK,124,1223088.2,14.15,14.08,14.15,14.13,14.1,14.13,86750,14.1,14.1,14.1,1223088.2,1223088.2,1223088.2,,3,SUR,0.36
5,TQBR,2014-06-18,Аптеки36и6,APTK,82,767793.7,14.14,14.08,14.18,14.11,14.14,14.11,54310,14.14,14.14,14.14,767793.7,767793.7,767793.7,,3,SUR,-0.14
6,TQBR,2014-06-19,Аптеки36и6,APTK,103,637822.9,14.16,14.09,14.16,14.11,14.1,14.11,45220,14.1,14.1,14.1,637822.9,637822.9,637822.9,,3,SUR,0.0
7,TQBR,2014-06-20,Аптеки36и6,APTK,88,836140.3,14.14,14.08,14.15,14.09,14.1,14.09,59290,14.1,14.1,14.1,836140.3,836140.3,836140.3,,3,SUR,-0.14
8,TQBR,2014-06-23,Аптеки36и6,APTK,88,710753.8,14.1,14.07,14.14,14.09,14.1,14.08,50400,14.1,14.1,14.1,710471.8,710471.8,710471.8,,3,SUR,-0.07
9,TQBR,2014-06-24,Аптеки36и6,APTK,319,6346056.6,14.14,14.1,14.45,14.26,14.27,14.26,444700,14.27,14.27,14.27,6346056.6,6346056.6,6346056.6,,3,SUR,1.28
10,TQBR,2014-06-25,Аптеки36и6,APTK,171,4456356.1,14.25,14.19,14.35,14.28,14.3,14.29,311560,14.3,14.3,14.3,4456213.6,4456213.6,4456213.6,,3,SUR,0.21
11,TQBR,2014-06-26,Аптеки36и6,APTK,110,1084433.5,14.2,14.19,14.29,14.25,14.25,14.25,76100,14.25,14.25,14.25,1084433.5,1084433.5,1084433.5,,3,SUR,-0.28
