,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,АстрЭнСб,ASSB,2,404.6,0.204,0.2006,0.204,0.2006,0.2023,0.2006,2000,,0.214,,0.0,602029.2,0.0,,3,SUR,-4.61
1,TQBR,2014-06-10,АстрЭнСб,ASSB,0,0.0,,,,0.2006,,,0,,0.214,,0.0,602029.2,0.0,,3,SUR,
2,TQBR,2014-06-11,АстрЭнСб,ASSB,2,398.1,0.2004,0.1977,0.2004,0.1977,0.1991,0.1977,2000,,,,0.0,0.0,0.0,,3,SUR,-1.45
3,TQBR,2014-06-16,АстрЭнСб,ASSB,9,16200.0,0.2,0.2,0.2,0.2,0.2,0.2,81000,,,,0.0,0.0,0.0,,3,SUR,1.16
4,TQBR,2014-06-17,АстрЭнСб,ASSB,2,3000.0,0.2,0.2,0.2,0.2,0.2,0.2,15000,,,,0.0,0.0,0.0,,3,SUR,0.0
5,TQBR,2014-06-18,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
6,TQBR,2014-06-19,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
7,TQBR,2014-06-20,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
8,TQBR,2014-06-23,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
9,TQBR,2014-06-24,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
10,TQBR,2014-06-25,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
11,TQBR,2014-06-26,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
12,TQBR,2014-06-27,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
13,TQBR,2014-06-30,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
14,TQBR,2014-07-01,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
15,TQBR,2014-07-02,АстрЭнСб,ASSB,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
16,TQBR,2014-07-03,АстрЭнСб,ASSB,3,880.7,0.2198,0.2198,0.2209,0.2202,0.2202,0.2209,4000,,,,0.0,0.0,0.0,,3,SUR,10.45
17,TQBR,2014-07-04,АстрЭнСб,ASSB,0,0.0,,,,0.2202,,,0,,,,0.0,0.0,0.0,,3,SUR,
18,TQBR,2014-07-07,АстрЭнСб,ASSB,0,0.0,,,,0.2202,,,0,,,,0.0,0.0,0.0,,3,SUR,
19,TQBR,2014-07-08,АстрЭнСб,ASSB,0,0.0,,,,0.2202,,,0,,,,0.0,0.0,0.0,,3,SUR,
20,TQBR,2014-07-09,АстрЭнСб,ASSB,0,0.0,,,,0.2202,,,0,,,,0.0,0.0,0.0,,3,SUR,
