,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2017-08-01,НоваБев ао,BELU,99,200858,640.0,630.0,842.0,683,728.0,679.0,276,,620,683.0,0,1118435,0.0,,3,SUR,12.79
1,TQBR,2017-08-02,НоваБев ао,BELU,24,47115,670.0,618.0,670.0,652,645.0,652.0,73,,621,652.0,0,1165550,0.0,,3,SUR,-3.98
2,TQBR,2017-08-03,НоваБев ао,BELU,13,33135,680.0,628.0,680.0,650,650.0,650.0,51,,621,650.0,0,1198685,0.0,,3,SUR,-0.31
3,TQBR,2017-08-04,НоваБев ао,BELU,2,1294,648.0,646.0,648.0,646,647.0,646.0,2,,621,646.0,0,1199979,0.0,,3,SUR,-0.62
4,TQBR,2017-08-07,НоваБев ао,BELU,4,3102,620.0,615.0,633.0,633,620.0,633.0,5,,621,633.0,0,1203081,0.0,,3,SUR,-2.01
5,TQBR,2017-08-08,НоваБев ао,BELU,20,70966,614.0,606.0,628.0,621,612.0,628.0,116,,621,621.0,0,1274047,0.0,,3,SUR,-0.79
6,TQBR,2017-08-09,НоваБев ао,BELU,30,3316821,616.0,600.0,621.0,617,601.0,617.0,5523,601.0,601,617.0,3316821,3316821,3316821.0,,3,SUR,-1.75
7,TQBR,2017-08-10,НоваБев ао,BELU,26,105068,617.0,600.0,617.0,600,604.0,600.0,174,,600,600.0,0,2423596,0.0,,3,SUR,-2.76
8,TQBR,2017-08-11,НоваБев ао,BELU,14,679442,651.0,621.0,651.0,625,623.0,625.0,1090,623.0,623,625.0,679442,679442,679442.0,,3,SUR,4.17
9,TQBR,2017-08-14,НоваБев ао,BELU,5,8718,631.0,611.0,631.0,615,623.0,615.0,14,623.0,621,615.0,688160,634127,688160.0,,3,SUR,-1.6
10,TQBR,2017-08-15,НоваБев ао,BELU,1,637,637.0,637.0,637.0,637,637.0,637.0,1,623.0,621,637.0,688797,634764,688797.0,,3,SUR,3.58
11,TQBR,2017-08-16,НоваБев ао,BELU,49,12049803,610.0,600.0,630.0,614,600.0,614.0,20081,600.0,600,614.0,12049803,12049803,12049803.0,,3,SUR,-3.61
12,TQBR,2017-08-17,НоваБев ао,BELU,52,6661608,602.0,600.0,618.0,612,600.0,612.0,11101,600.0,600,612.0,6661608,6661608,6661608.0,,3,SUR,-0.33
13,TQBR,2017-08-18,НоваБев ао,BELU,4,15716,606.0,604.0,606.0,604,604.0,604.0,26,600.0,601,604.0,6677324,650869,6677324.0,,3,SUR,-1.31
