,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Белон ао,BLNG,126,414997.4,3.227,3.13,3.5,3.318,3.333,3.318,124500,,3.331,,0.0,500264.0,0.0,,3,SUR,0.24
1,TQBR,2014-06-10,Белон ао,BLNG,137,509237.8,3.26,3.23,3.57,3.388,3.324,3.388,153200,3.324,3.324,3.324,509237.8,509237.8,509237.8,,3,SUR,2.11
2,TQBR,2014-06-11,Белон ао,BLNG,55,299826.1,3.398,3.344,3.499,3.432,3.396,3.432,88300,,3.359,,0.0,503911.6,0.0,,3,SUR,1.3
3,TQBR,2014-06-16,Белон ао,BLNG,335,2003421.4,3.425,3.4,3.891,3.52,3.558,3.52,563000,3.558,3.558,3.558,2003421.4,2003421.4,2003421.4,,3,SUR,2.56
4,TQBR,2014-06-17,Белон ао,BLNG,80,491585.4,3.598,3.494,3.7,3.594,3.609,3.594,136200,,3.609,,0.0,501593.9,0.0,,3,SUR,2.1
5,TQBR,2014-06-18,Белон ао,BLNG,129,650590.2,3.125,3.125,3.794,3.48,3.536,3.48,184000,3.543,3.543,3.543,641215.2,641215.2,641215.2,,3,SUR,-3.17
6,TQBR,2014-06-19,Белон ао,BLNG,66,324780.3,3.501,3.449,3.553,3.466,3.489,3.465,93100,,3.495,,0.0,503288.8,0.0,,3,SUR,-0.43
7,TQBR,2014-06-20,Белон ао,BLNG,21,115482.3,3.468,3.139,3.476,3.457,3.328,3.457,34700,,3.451,,0.0,501469.0,0.0,,3,SUR,-0.23
8,TQBR,2014-06-23,Белон ао,BLNG,22,1749001.6,3.455,3.367,3.5,3.398,3.4,3.405,514400,3.4,3.4,3.4,1749001.6,1749001.6,1749001.6,,3,SUR,-1.5
9,TQBR,2014-06-24,Белон ао,BLNG,58,199600.6,3.241,3.241,3.432,3.414,3.4,3.414,58700,,3.4,,0.0,1933823.1,0.0,,3,SUR,0.26
10,TQBR,2014-06-25,Белон ао,BLNG,34,241986.1,3.42,3.327,3.45,3.346,3.356,3.36,72100,,3.395,,0.0,2175809.2,0.0,,3,SUR,-1.58
11,TQBR,2014-06-26,Белон ао,BLNG,65,339386.9,3.325,3.207,3.382,3.293,3.298,3.298,102900,,3.315,,0.0,512575.8,0.0,,3,SUR,-1.85
12,TQBR,2014-06-27,Белон ао,BLNG,125,1108190.8,3.297,3.149,3.32,3.149,3.217,3.149,344500,3.217,3.217,3.217,1108190.8,1108190.8,1108190.8,,3,SUR,-4.52
13,TQBR,2014-06-30,Белон ао,BLNG,51,1587343.4,3.16,3.16,3.263,3.179,3.194,3.179,496900,3.194,3.194,3.194,1587343.4,1587343.4,1587343.4,,3,SUR,0.95
14,TQBR,2014-07-01,Белон ао,BLNG,38,280916.2,3.2,3.162,3.22,3.22,3.185,3.22,88200,,3.183,,0.0,508583.4,0.0,,3,SUR,1.29
15,TQBR,2014-07-02,Белон ао,BLNG,63,541862.2,3.172,3.1,3.18,3.125,3.158,3.125,171600,3.158,3.158,3.158,541862.2,541862.2,541862.2,,3,SUR,-2.95
16,TQBR,2014-07-03,Белон ао,BLNG,35,149931.0,3.105,3.1,3.169,3.169,3.117,3.169,48100,,3.148,,0.0,500812.3,0.0,,3,SUR,1.41
17,TQBR,2014-07-04,Белон ао,BLNG,48,212751.7,3.136,3.136,3.216,3.15,3.171,3.15,67100,,3.151,,0.0,626457.2,0.0,,3,SUR,-0.6
18,TQBR,2014-07-07,Белон ао,BLNG,34,451827.1,3.199,3.12,3.199,3.15,3.144,3.15,143700,,3.147,,0.0,508847.1,0.0,,3,SUR,0.0
19,TQBR,2014-07-08,Белон ао,BLNG,44,243804.5,3.163,3.1,3.163,3.13,3.126,3.13,78000,,3.138,,0.0,502097.7,0.0,,3,SUR,-0.63
20,TQBR,2014-07-09,Белон ао,BLNG,38,101069.5,3.158,3.07,3.16,3.139,3.1,3.139,32600,,3.131,,0.0,581754.0,0.0,,3,SUR,0.29
21,TQBR,2014-07-10,Белон ао,BLNG,77,177715.6,3.173,2.972,3.173,3.079,3.048,3.079,58300,,3.094,,0.0,508892.5,0.0,,3,SUR,-1.91
22,TQBR,2014-07-11,Белон ао,BLNG,65,303409.9,3.099,2.984,3.099,2.997,3.01,2.998,100800,,3.027,,0.0,500320.3,0.0,,3,SUR,-2.63
23,TQBR,2014-07-14,Белон ао,BLNG,50,166432.3,3.06,2.953,3.066,2.976,2.993,2.976,55600,,3.006,,0.0,508613.2,0.0,,3,SUR,-0.73
24,TQBR,2014-07-15,Белон ао,BLNG,19,53589.5,2.987,2.954,2.99,2.974,2.961,2.974,18100,,2.999,,0.0,504514.5,0.0,,3,SUR,-0.07
25,TQBR,2014-07-16,Белон ао,BLNG,21,64499.3,2.963,2.95,2.991,2.991,2.959,2.991,21800,,2.99,,0.0,501410.0,0.0,,3,SUR,0.57
26,TQBR,2014-07-17,Белон ао,BLNG,50,120500.6,2.991,2.92,3.005,2.97,2.953,2.97,40800,,2.977,,0.0,516888.6,0.0,,3,SUR,-0.7
27,TQBR,2014-07-18,Белон ао,BLNG,77,322311.0,2.923,2.88,2.962,2.899,2.906,2.899,110900,,2.924,,0.0,506128.2,0.0,,3,SUR,-2.39
28,TQBR,2014-07-21,Белон ао,BLNG,50,204910.0,3.05,2.87,3.147,2.888,2.898,2.888,70700,,2.902,,0.0,501786.8,0.0,,3,SUR,-0.38
29,TQBR,2014-07-22,Белон ао,BLNG,33,400898.1,2.887,2.855,2.888,2.857,2.859,2.865,140200,,2.866,,0.0,502381.3,0.0,,3,SUR,-0.8
30,TQBR,2014-07-23,Белон ао,BLNG,31,59416.2,2.849,2.849,2.902,2.899,2.898,2.899,20500,,2.868,,0.0,532803.1,0.0,,3,SUR,1.19
31,TQBR,2014-07-24,Белон ао,BLNG,16,44167.7,2.883,2.844,2.883,2.862,2.868,2.862,15400,,2.865,,0.0,504193.3,0.0,,3,SUR,-1.28
32,TQBR,2014-07-25,Белон ао,BLNG,20,61453.0,2.893,2.822,2.895,2.859,2.858,2.859,21500,,2.863,,0.0,529595.0,0.0,,3,SUR,-0.1
33,TQBR,2014-07-28,Белон ао,BLNG,10,11433.3,2.867,2.825,2.881,2.85,2.858,2.85,4000,,2.863,,0.0,541028.3,0.0,,3,SUR,-0.31
34,TQBR,2014-07-29,Белон ао,BLNG,63,85200.7,2.779,2.779,2.9,2.865,2.812,2.895,30300,,2.856,,0.0,548545.8,0.0,,3,SUR,1.58
