,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,РН-ЗапСиб,CHGZ,0,0,,,,24.0,,,0,,24.731,,0,618273,0.0,,3,SUR,
1,TQBR,2014-06-10,РН-ЗапСиб,CHGZ,0,0,,,,24.0,,,0,,24.731,,0,618273,0.0,,3,SUR,
2,TQBR,2014-06-11,РН-ЗапСиб,CHGZ,0,0,,,,24.0,,,0,,24.731,,0,618273,0.0,,3,SUR,
3,TQBR,2014-06-16,РН-ЗапСиб,CHGZ,0,0,,,,24.0,,,0,,24.731,,0,618273,0.0,,3,SUR,
4,TQBR,2014-06-17,РН-ЗапСиб,CHGZ,0,0,,,,24.0,,,0,,24.731,,0,618273,0.0,,3,SUR,
5,TQBR,2014-06-18,РН-ЗапСиб,CHGZ,1,102400,25.6,25.6,25.6,25.6,25.6,25.6,4000,,24.882,,0,597173,0.0,,3,SUR,6.67
6,TQBR,2014-06-19,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
7,TQBR,2014-06-20,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
8,TQBR,2014-06-23,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
9,TQBR,2014-06-24,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
10,TQBR,2014-06-25,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
11,TQBR,2014-06-26,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
12,TQBR,2014-06-27,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
13,TQBR,2014-06-30,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
14,TQBR,2014-07-01,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
15,TQBR,2014-07-02,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
16,TQBR,2014-07-03,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
17,TQBR,2014-07-04,РН-ЗапСиб,CHGZ,0,0,,,,25.6,,,0,,24.882,,0,597173,0.0,,3,SUR,
18,TQBR,2014-07-07,РН-ЗапСиб,CHGZ,1,130000,26.0,26.0,26.0,26.0,26.0,26.0,5000,,25.078,,0,702176,0.0,,3,SUR,1.56
19,TQBR,2014-07-08,РН-ЗапСиб,CHGZ,1,130000,26.0,26.0,26.0,26.0,26.0,26.0,5000,,25.224,,0,807177,0.0,,3,SUR,0.0
20,TQBR,2014-07-09,РН-ЗапСиб,CHGZ,0,0,,,,26.0,,,0,,25.224,,0,807177,0.0,,3,SUR,
21,TQBR,2014-07-10,РН-ЗапСиб,CHGZ,0,0,,,,26.0,,,0,,25.224,,0,807177,0.0,,3,SUR,
22,TQBR,2014-07-11,РН-ЗапСиб,CHGZ,1,96000,24.0,24.0,24.0,24.0,24.0,24.0,4000,,25.096,,0,828177,0.0,,3,SUR,-7.69
23,TQBR,2014-07-14,РН-ЗапСиб,CHGZ,1,950300,22.1,22.1,22.1,22.1,22.1,22.1,43000,,23.384,,0,1753777,0.0,,3,SUR,-7.92
24,TQBR,2014-07-15,РН-ЗапСиб,CHGZ,0,0,,,,22.1,,,0,,23.384,,0,1753777,0.0,,3,SUR,
25,TQBR,2014-07-16,РН-ЗапСиб,CHGZ,0,0,,,,22.1,,,0,,23.384,,0,1753777,0.0,,3,SUR,
26,TQBR,2014-07-17,РН-ЗапСиб,CHGZ,0,0,,,,22.1,,,0,,23.384,,0,1753777,0.0,,3,SUR,
27,TQBR,2014-07-18,РН-ЗапСиб,CHGZ,0,0,,,,22.1,,,0,,23.384,,0,1753777,0.0,,3,SUR,
28,TQBR,2014-07-21,РН-ЗапСиб,CHGZ,0,0,,,,22.1,,,0,,23.384,,0,1753777,0.0,,3,SUR,
29,TQBR,2014-07-22,РН-ЗапСиб,CHGZ,0,0,,,,22.1,,,0,,23.384,,0,1753777,0.0,,3,SUR,
30,TQBR,2014-07-23,РН-ЗапСиб,CHGZ,2,100000,22.0,22.0,26.0,26.0,25.0,26.0,4000,,23.318,,0,1702197,0.0,,3,SUR,17.65
31,TQBR,2014-07-24,РН-ЗапСиб,CHGZ,0,0,,,,26.0,,,0,,23.318,,0,1702197,0.0,,3,SUR,
32,TQBR,2014-07-25,РН-ЗапСиб,CHGZ,0,0,,,,26.0,,,0,,23.318,,0,1702197,0.0,,3,SUR,
33,TQBR,2014-07-28,РН-ЗапСиб,CHGZ,0,0,,,,26.0,,,0,,23.318,,0,1702197,0.0,,3,SUR,
34,TQBR,2014-07-29,РН-ЗапСиб,CHGZ,0,0,,,,26.0,,,0,,23.318,,0,1702197,0.0,,3,SUR,
35,TQBR,2014-07-30,РН-ЗапСиб,CHGZ,0,0,,,,26.0,,,0,,23.318,,0,1702197,0.0,,3,SUR,
36,TQBR,2014-07-31,РН-ЗапСиб,CHGZ,2,53900,26.9,26.9,27.0,26.95,26.95,27.0,2000,,23.378,,0,1706600,0.0,,3,SUR,3.85
37,TQBR,2014-08-01,РН-ЗапСиб,CHGZ,0,0,,,,26.95,,,0,,23.378,,0,1706600,0.0,,3,SUR,
38,TQBR,2014-08-04,РН-ЗапСиб,CHGZ,1,112000,28.0,28.0,28.0,28.0,28.0,28.0,4000,,23.586,,0,1674600,0.0,,3,SUR,3.7
