,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-06-06,Элемент,ELMT,4945,68068467.24,0.2236,0.21498,0.2256,0.21706,0.22056,0.21706,310579000,0.21916,0.21916,,68068467.24,68068467.24,,0,3,SUR,
1,TQBR,2024-06-07,Элемент,ELMT,6750,75278078.56,0.2223,0.216,0.2235,0.21724,0.21716,0.21724,346501000,0.21726,0.21726,,75278078.56,75278078.56,,0,3,SUR,0.08
2,TQBR,2024-06-10,Элемент,ELMT,3774,29149849.68,0.21998,0.2076,0.223,0.21204,0.2008,0.21204,135729000,0.21476,0.21476,,29149849.68,29149849.68,,0,3,SUR,-2.39
3,TQBR,2024-06-11,Элемент,ELMT,2661,16288234.34,0.212,0.209,0.215,0.21054,0.21158,0.21054,76984000,0.21158,0.21158,,16288234.34,16288234.34,,0,3,SUR,-0.71
4,TQBR,2024-06-13,Элемент,ELMT,3774,26123080.02,0.2085,0.20212,0.21054,0.207,0.20652,0.207,126489000,0.20652,0.20652,,26123080.02,26123080.02,,0,3,SUR,-1.68
5,TQBR,2024-06-14,Элемент,ELMT,2936,15698812.36,0.20898,0.205,0.21,0.21,0.20744,0.21,75682000,0.20744,0.20744,,15698812.36,15698812.36,,0,3,SUR,1.45
6,TQBR,2024-06-17,Элемент,ELMT,2869,16083221.46,0.21698,0.20688,0.21698,0.20748,0.20848,0.20748,77146000,0.20848,0.20848,,16083221.46,16083221.46,,0,3,SUR,-1.2
7,TQBR,2024-06-18,Элемент,ELMT,2852,16665562.64,0.2084,0.203,0.214,0.20738,0.20714,0.20738,80459000,0.20714,0.20714,,16665562.64,16665562.64,,0,3,SUR,-0.05
8,TQBR,2024-06-19,Элемент,ELMT,2791,9594059.92,0.2074,0.20184,0.2076,0.2028,0.2044,0.2028,46940000,0.20438,0.20438,,9594059.92,9594059.92,,0,3,SUR,-2.21
9,TQBR,2024-06-20,Элемент,ELMT,2565,17318121.7,0.20644,0.2003,0.20644,0.20142,0.20198,0.20142,85738000,0.20198,0.20198,,17318121.7,17318121.7,,0,3,SUR,-0.68
10,TQBR,2024-06-21,Элемент,ELMT,1884,18942088.18,0.20142,0.1995,0.20296,0.20028,0.20068,0.20028,94393000,0.20068,0.20068,,18942088.18,18942088.18,,0,3,SUR,-0.57
11,TQBR,2024-06-24,Элемент,ELMT,2774,19340737.18,0.20028,0.19806,0.2014,0.19996,0.2002,0.19996,96606000,0.2002,0.2002,,19340737.18,19340737.18,,0,3,SUR,-0.16
12,TQBR,2024-06-25,Элемент,ELMT,1863,9373851.18,0.2,0.1973,0.2047,0.20064,0.1992,0.20064,47059000,0.1992,0.1992,,9373851.18,9373851.18,,0,3,SUR,0.34
13,TQBR,2024-06-26,Элемент,ELMT,1646,11166568.22,0.20542,0.1996,0.20542,0.2,0.2003,0.2,55750000,0.2003,0.2003,,11166568.22,11166568.22,,0,3,SUR,-0.32
14,TQBR,2024-06-27,Элемент,ELMT,1429,16263904.34,0.202,0.1994,0.2038,0.2,0.20014,0.2,81261000,0.20014,0.20014,,16263904.34,16263904.34,,0,3,SUR,0.0
15,TQBR,2024-06-28,Элемент,ELMT,2114,50157868.4,0.2027,0.19892,0.205,0.202,0.20228,0.202,249963000,0.20066,0.20066,,50157868.4,50157868.4,,0,3,SUR,1.0
16,TQBR,2024-07-01,Элемент,ELMT,9453,15893248.16,0.21966,0.1995,0.21966,0.1995,0.20092,0.1995,79103000,0.20092,0.20092,,15893248.16,15893248.16,,0,3,SUR,-1.24
17,TQBR,2024-07-02,Элемент,ELMT,3654,26909121.44,0.20076,0.19068,0.2008,0.19828,0.19676,0.19828,136757000,0.19676,0.19676,,26909121.44,26909121.44,,0,3,SUR,-0.61
18,TQBR,2024-07-03,Элемент,ELMT,3890,13407463.96,0.19868,0.1943,0.19868,0.1949,0.19552,0.1949,68571000,0.19552,0.19552,,13407463.96,13407463.96,,0,3,SUR,-1.7
19,TQBR,2024-07-04,Элемент,ELMT,5155,31161944.42,0.1951,0.1868,0.1951,0.18796,0.18966,0.18796,164298000,0.18966,0.18966,,31161944.42,31161944.42,,0,3,SUR,-3.56
