,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-11-21,ЕвроТранс,EUTR,30302,292037623.25,250.0,222.15,254.8,223.0,232.75,223.0,1254804,232.75,232.75,,292037623.25,292037623.25,,0,3,SUR,
1,TQBR,2023-11-22,ЕвроТранс,EUTR,16579,157526999.65,223.0,215.05,224.0,222.5,218.85,222.5,719827,218.85,218.85,,157526999.65,157526999.65,,0,3,SUR,-0.22
2,TQBR,2023-11-23,ЕвроТранс,EUTR,10027,118443952.65,222.3,215.4,250.9,241.25,229.65,241.25,515712,229.65,229.65,,118443952.65,118443952.65,,0,3,SUR,8.43
3,TQBR,2023-11-24,ЕвроТранс,EUTR,25171,304024705.0,239.15,229.45,257.95,248.95,246.6,248.95,1232772,246.6,246.6,,304024705.0,304024705.0,,0,3,SUR,3.19
4,TQBR,2023-11-27,ЕвроТранс,EUTR,15267,146524497.8,249.0,226.5,255.95,234.05,241.2,234.05,607492,241.2,241.2,,146524497.8,146524497.8,,0,3,SUR,-5.99
5,TQBR,2023-11-28,ЕвроТранс,EUTR,5313,48857881.95,239.85,230.1,247.0,245.0,238.25,245.0,205050,238.25,238.25,,48857881.95,48857881.95,,0,3,SUR,4.68
6,TQBR,2023-11-29,ЕвроТранс,EUTR,4050,39326633.55,244.4,235.05,250.0,249.95,244.8,249.95,160654,244.8,244.8,,39326633.55,39326633.55,,0,3,SUR,2.02
7,TQBR,2023-11-30,ЕвроТранс,EUTR,3211,20402781.55,248.5,239.05,248.5,245.5,244.9,245.5,83315,244.9,244.9,,20402781.55,20402781.55,,0,3,SUR,-1.78
8,TQBR,2023-12-01,ЕвроТранс,EUTR,3119,20427457.85,240.8,239.5,245.5,241.9,242.6,241.9,84210,242.6,242.6,,20427457.85,20427457.85,,0,3,SUR,-1.47
9,TQBR,2023-12-04,ЕвроТранс,EUTR,3513,22264390.65,244.5,239.5,246.0,241.95,242.2,241.95,91934,242.2,242.2,,22264390.65,22264390.65,,0,3,SUR,0.02
10,TQBR,2023-12-05,ЕвроТранс,EUTR,2931,20062192.4,241.9,238.4,244.6,241.75,242.05,241.75,82886,242.05,242.05,,20062192.4,20062192.4,,0,3,SUR,-0.08
11,TQBR,2023-12-06,ЕвроТранс,EUTR,5411,34666244.55,241.75,230.3,244.0,233.25,238.75,233.25,145196,238.75,238.75,,34666244.55,34666244.55,,0,3,SUR,-3.52
12,TQBR,2023-12-07,ЕвроТранс,EUTR,5514,41870530.85,228.45,228.45,246.0,240.0,237.95,240.0,175973,237.95,237.95,,41870530.85,41870530.85,,0,3,SUR,2.89
13,TQBR,2023-12-08,ЕвроТранс,EUTR,5470,49774547.65,228.0,228.0,250.0,248.0,237.6,248.0,209469,237.6,237.6,,49774547.65,49774547.65,,0,3,SUR,3.33
14,TQBR,2023-12-11,ЕвроТранс,EUTR,3225,23228597.2,245.0,235.8,245.0,240.0,239.6,240.0,96953,239.6,239.6,,23228597.2,23228597.2,,0,3,SUR,-3.23
