,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ГМКНорНик,GMKN,8870,1496171686.0,6974.0,6971.0,7076.0,7029.0,7030.0,7029.0,212826,7030.0,7030.0,7030.0,1496018258.0,1496018258.0,1496018258.0,,3,SUR,0.77
1,TQBR,2014-06-10,ГМКНорНик,GMKN,11334,1441391215.0,7069.0,6900.0,7069.0,6900.0,6943.0,6900.0,207612,6943.0,6943.0,6943.0,1439567413.0,1439567413.0,1439567413.0,,3,SUR,-1.84
2,TQBR,2014-06-11,ГМКНорНик,GMKN,10938,1434679352.0,6895.0,6861.0,6940.0,6940.0,6907.0,6940.0,207715,6907.0,6907.0,6907.0,1434548347.0,1434548347.0,1434548347.0,,3,SUR,0.58
3,TQBR,2014-06-16,ГМКНорНик,GMKN,21904,3453075583.0,6700.0,6548.0,6700.0,6649.0,6635.0,6649.0,520423,6635.0,6635.0,6635.0,3436895083.0,3436895083.0,3436895083.0,,3,SUR,-4.19
4,TQBR,2014-06-17,ГМКНорНик,GMKN,9859,1448175391.0,6640.0,6550.0,6682.0,6622.0,6605.0,6622.0,219261,6605.0,6605.0,6605.0,1448035951.0,1448035951.0,1448035951.0,,3,SUR,-0.41
5,TQBR,2014-06-18,ГМКНорНик,GMKN,12583,1860722819.0,6614.0,6586.0,6801.0,6780.0,6727.0,6780.0,276596,6727.0,6727.0,6727.0,1860531013.0,1860531013.0,1860531013.0,,3,SUR,2.39
6,TQBR,2014-06-19,ГМКНорНик,GMKN,11281,1286147858.0,6845.0,6797.0,6895.0,6839.0,6838.0,6839.0,188079,6838.0,6838.0,6838.0,1284772013.0,1284772013.0,1284772013.0,,3,SUR,0.87
7,TQBR,2014-06-20,ГМКНорНик,GMKN,12944,1701756230.0,6855.0,6805.0,6924.0,6865.0,6880.0,6865.0,247349,6880.0,6880.0,6880.0,1701619130.0,1701619130.0,1701619130.0,,3,SUR,0.38
8,TQBR,2014-06-23,ГМКНорНик,GMKN,11871,1347070053.0,6887.0,6821.0,6940.0,6899.0,6888.0,6899.0,195573,6888.0,6888.0,6888.0,1346567302.0,1346567302.0,1346567302.0,,3,SUR,0.5
9,TQBR,2014-06-24,ГМКНорНик,GMKN,10707,1318492778.0,6909.0,6848.0,6925.0,6895.0,6883.0,6895.0,191568,6883.0,6883.0,6883.0,1318009148.0,1318009148.0,1318009148.0,,3,SUR,-0.06
10,TQBR,2014-06-25,ГМКНорНик,GMKN,9749,1310537864.0,6863.0,6763.0,6906.0,6766.0,6840.0,6766.0,191597,6840.0,6840.0,6840.0,1310064317.0,1310064317.0,1310064317.0,,3,SUR,-1.87
11,TQBR,2014-06-26,ГМКНорНик,GMKN,11224,1546798963.0,6773.0,6678.0,6819.0,6720.0,6760.0,6720.0,228827,6760.0,6760.0,6760.0,1546738006.0,1546738006.0,1546738006.0,,3,SUR,-0.68
12,TQBR,2014-06-27,ГМКНорНик,GMKN,8396,806243206.0,6805.0,6655.0,6805.0,6715.0,6698.0,6715.0,120365,6698.0,6698.0,6698.0,806236401.0,806236401.0,806236401.0,,3,SUR,-0.07
13,TQBR,2014-06-30,ГМКНорНик,GMKN,8053,1101391860.0,6717.0,6660.0,6758.0,6719.0,6717.0,6719.0,163975,6717.0,6717.0,6717.0,1101364992.0,1101364992.0,1101364992.0,,3,SUR,0.06
14,TQBR,2014-07-01,ГМКНорНик,GMKN,8209,890349424.0,6721.0,6669.0,6799.0,6798.0,6731.0,6798.0,132268,6731.0,6731.0,6731.0,890322540.0,890322540.0,890322540.0,,3,SUR,1.18
15,TQBR,2014-07-02,ГМКНорНик,GMKN,10630,1405499989.0,6791.0,6791.0,6920.0,6920.0,6866.0,6920.0,204711,6866.0,6866.0,6866.0,1405364169.0,1405364169.0,1405364169.0,,3,SUR,1.79
16,TQBR,2014-07-03,ГМКНорНик,GMKN,11613,1618559514.0,6948.0,6908.0,7020.0,7005.0,6988.0,7005.0,231628,6988.0,6988.0,6988.0,1615676094.0,1615676094.0,1615676094.0,,3,SUR,1.23
17,TQBR,2014-07-04,ГМКНорНик,GMKN,9983,1036597865.0,6995.0,6941.0,7032.0,6971.0,6991.0,6971.0,148269,6991.0,6991.0,6991.0,1036513925.0,1036513925.0,1036513925.0,,3,SUR,-0.49
18,TQBR,2014-07-07,ГМКНорНик,GMKN,11433,1307286671.0,6977.0,6948.0,7149.0,7149.0,7074.0,7149.0,184810,7074.0,7074.0,7074.0,1306923867.0,1306923867.0,1306923867.0,,3,SUR,2.55
19,TQBR,2014-07-08,ГМКНорНик,GMKN,20237,2763281445.0,7106.0,7106.0,7319.0,7280.0,7249.0,7280.0,381218,7249.0,7249.0,7249.0,2762265287.0,2762265287.0,2762265287.0,,3,SUR,1.83
20,TQBR,2014-07-09,ГМКНорНик,GMKN,11304,1215212877.0,7254.0,7215.0,7325.0,7316.0,7265.0,7316.0,167278,7265.0,7265.0,7265.0,1214958987.0,1214958987.0,1214958987.0,,3,SUR,0.49
21,TQBR,2014-07-10,ГМКНорНик,GMKN,18347,2314324593.0,7320.0,7184.0,7402.0,7210.0,7288.0,7210.0,317565,7288.0,7288.0,7288.0,2314061073.0,2314061073.0,2314061073.0,,3,SUR,-1.45
22,TQBR,2014-07-11,ГМКНорНик,GMKN,10309,1148790406.0,7218.0,7162.0,7275.0,7260.0,7236.0,7260.0,158768,7236.0,7236.0,7236.0,1148386198.0,1148386198.0,1148386198.0,,3,SUR,0.69
23,TQBR,2014-07-14,ГМКНорНик,GMKN,7756,908573636.0,7265.0,7232.0,7305.0,7263.0,7269.0,7263.0,124991,7269.0,7269.0,7269.0,908551841.0,908551841.0,908551841.0,,3,SUR,0.04
24,TQBR,2014-07-15,ГМКНорНик,GMKN,10475,1490406293.0,7267.0,7220.0,7319.0,7300.0,7280.0,7300.0,204730,7280.0,7280.0,7280.0,1490399026.0,1490399026.0,1490399026.0,,3,SUR,0.51
25,TQBR,2014-07-16,ГМКНорНик,GMKN,14338,1995179623.0,7310.0,7142.0,7390.0,7160.0,7275.0,7160.0,274249,7275.0,7275.0,7275.0,1995033423.0,1995033423.0,1995033423.0,,3,SUR,-1.92
26,TQBR,2014-07-17,ГМКНорНик,GMKN,16782,2412232759.0,7025.0,6977.0,7148.0,7135.0,7041.0,7135.0,342601,7041.0,7041.0,7041.0,2385467509.0,2385467509.0,2385467509.0,,3,SUR,-0.35
27,TQBR,2014-07-18,ГМКНорНик,GMKN,17634,1978222636.0,7060.0,6968.0,7132.0,7010.0,7052.0,7010.0,280507,7052.0,7052.0,7052.0,1976528236.0,1976528236.0,1976528236.0,,3,SUR,-1.75
28,TQBR,2014-07-21,ГМКНорНик,GMKN,16505,1760920065.0,7010.0,6818.0,7010.0,6819.0,6913.0,6819.0,254739,6913.0,6913.0,6913.0,1760191025.0,1760191025.0,1760191025.0,,3,SUR,-2.72
29,TQBR,2014-07-22,ГМКНорНик,GMKN,13976,1533052715.0,6871.0,6850.0,7029.0,7009.0,6950.0,7009.0,220574,6950.0,6950.0,6950.0,1532537390.0,1532537390.0,1532537390.0,,3,SUR,2.79
30,TQBR,2014-07-23,ГМКНорНик,GMKN,15393,1465660684.0,6999.0,6994.0,7193.0,7145.0,7112.0,7145.0,206070,7113.0,7113.0,7113.0,1462462141.0,1462462141.0,1462462141.0,,3,SUR,1.94
31,TQBR,2014-07-24,ГМКНорНик,GMKN,9892,940638215.0,7143.0,7092.0,7220.0,7219.0,7182.0,7219.0,130980,7182.0,7182.0,7182.0,939181043.0,939181043.0,939181043.0,,3,SUR,1.04
32,TQBR,2014-07-25,ГМКНорНик,GMKN,17579,1950073560.0,7186.0,6980.0,7200.0,7039.0,7076.0,7039.0,275582,7076.0,7076.0,7076.0,1949354960.0,1949354960.0,1949354960.0,,3,SUR,-2.49
33,TQBR,2014-07-28,ГМКНорНик,GMKN,11478,1354161128.0,6988.0,6901.0,7038.0,6981.0,6975.0,6981.0,194139,6975.0,6975.0,6975.0,1353532208.0,1353532208.0,1353532208.0,,3,SUR,-0.82
34,TQBR,2014-07-29,ГМКНорНик,GMKN,13374,1314570666.0,7000.0,6990.0,7116.0,7030.0,7063.0,7030.0,186122,7063.0,7063.0,7063.0,1313030666.0,1313030666.0,1313030666.0,,3,SUR,0.7
35,TQBR,2014-07-30,ГМКНорНик,GMKN,14032,1478206628.0,7000.0,6991.0,7200.0,7083.0,7130.0,7083.0,207320,7130.0,7130.0,7130.0,1476925628.0,1476925628.0,1476925628.0,,3,SUR,0.75
36,TQBR,2014-07-31,ГМКНорНик,GMKN,12118,1163009932.0,7091.0,7017.0,7180.0,7060.0,7098.0,7060.0,163860,7098.0,7098.0,7098.0,1163009932.0,1163009932.0,1163009932.0,,3,SUR,-0.32
37,TQBR,2014-08-01,ГМКНорНик,GMKN,12141,1404940173.0,7021.0,6876.0,7072.0,6953.0,6949.0,6953.0,202172,6949.0,6949.0,6949.0,1404673375.0,1404673375.0,1404673375.0,,3,SUR,-1.52
38,TQBR,2014-08-04,ГМКНорНик,GMKN,9115,1243598408.0,6965.0,6910.0,7029.0,7000.0,6968.0,7000.0,178477,6968.0,6968.0,6968.0,1242149688.0,1242149688.0,1242149688.0,,3,SUR,0.68
39,TQBR,2014-08-05,ГМКНорНик,GMKN,11359,1512105983.0,7024.0,6851.0,7067.0,6856.0,6940.0,6856.0,217880,6940.0,6940.0,6940.0,1511263103.0,1511263103.0,1511263103.0,,3,SUR,-2.06
40,TQBR,2014-08-06,ГМКНорНик,GMKN,16436,1858975156.0,6840.0,6709.0,6937.0,6733.0,6800.0,6733.0,273368,6800.0,6800.0,6800.0,1857682396.0,1857682396.0,1857682396.0,,3,SUR,-1.79
41,TQBR,2014-08-07,ГМКНорНик,GMKN,14655,1478878576.0,6664.0,6631.0,6858.0,6800.0,6717.0,6800.0,220177,6717.0,6717.0,6717.0,1476879376.0,1476879376.0,1476879376.0,,3,SUR,1.0
42,TQBR,2014-08-08,ГМКНорНик,GMKN,13886,1301354879.0,6766.0,6750.0,6950.0,6883.0,6882.0,6883.0,189087,6882.0,6882.0,6882.0,1300265553.0,1300265553.0,1300265553.0,,3,SUR,1.22
43,TQBR,2014-08-11,ГМКНорНик,GMKN,9558,1089461571.0,6933.0,6933.0,7028.0,6995.0,6984.0,6995.0,155984,6984.0,6984.0,6984.0,1088955462.0,1088955462.0,1088955462.0,,3,SUR,1.63
44,TQBR,2014-08-12,ГМКНорНик,GMKN,8652,977995049.0,7004.0,6898.0,7010.0,6917.0,6943.0,6917.0,140852,6943.0,6943.0,6943.0,977932013.0,977932013.0,977932013.0,,3,SUR,-1.12
45,TQBR,2014-08-13,ГМКНорНик,GMKN,12245,1644780837.0,6917.0,6889.0,7014.0,6980.0,6949.0,6980.0,236680,6949.0,6949.0,6949.0,1643542694.0,1643542694.0,1643542694.0,,3,SUR,0.91
46,TQBR,2014-08-14,ГМКНорНик,GMKN,9308,1270620260.0,7001.0,6933.0,7044.0,6961.0,6978.0,6961.0,182079,6978.0,6978.0,6978.0,1270375225.0,1270375225.0,1270375225.0,,3,SUR,-0.27
47,TQBR,2014-08-15,ГМКНорНик,GMKN,8064,1049322870.0,6975.0,6932.0,7076.0,7025.0,7000.0,7025.0,149909,7000.0,7000.0,7000.0,1049225220.0,1049225220.0,1049225220.0,,3,SUR,0.92
48,TQBR,2014-08-18,ГМКНорНик,GMKN,6173,649419467.0,7029.0,6996.0,7065.0,7065.0,7032.0,7065.0,92357,7032.0,7032.0,7032.0,647662217.0,647662217.0,647662217.0,,3,SUR,0.57
49,TQBR,2014-08-19,ГМКНорНик,GMKN,12723,1694763034.0,7071.0,7070.0,7313.0,7300.0,7211.0,7300.0,235034,7211.0,7211.0,7211.0,1694678182.0,1694678182.0,1694678182.0,,3,SUR,3.33
50,TQBR,2014-08-20,ГМКНорНик,GMKN,11855,1662799341.0,7310.0,7279.0,7447.0,7447.0,7358.0,7447.0,225976,7358.0,7358.0,7358.0,1662580041.0,1662580041.0,1662580041.0,,3,SUR,2.01
51,TQBR,2014-08-21,ГМКНорНик,GMKN,11171,1863193658.0,7450.0,7382.0,7535.0,7445.0,7460.0,7445.0,249759,7460.0,7460.0,7460.0,1855706408.0,1855706408.0,1855706408.0,,3,SUR,-0.03
