,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Ижсталь2ао,IGST,0,0.0,,,,272.6,,,0,,,,0.0,0.0,0.0,,3,SUR,
1,TQBR,2014-06-10,Ижсталь2ао,IGST,0,0.0,,,,272.6,,,0,,,,0.0,0.0,0.0,,3,SUR,
2,TQBR,2014-06-11,Ижсталь2ао,IGST,13,22699.4,235.6,218.6,285.0,219.6,222.5,218.8,102,,,,0.0,0.0,0.0,,3,SUR,-6.89
3,TQBR,2014-06-16,Ижсталь2ао,IGST,0,0.0,,,,219.6,,,0,,,,0.0,0.0,0.0,,3,SUR,
4,TQBR,2014-06-17,Ижсталь2ао,IGST,4,2419.3,270.0,267.9,270.0,267.9,268.8,267.9,9,,,,0.0,0.0,0.0,,3,SUR,22.44
5,TQBR,2014-06-18,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,SUR,
6,TQBR,2014-06-19,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,SUR,
7,TQBR,2014-06-20,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,SUR,
8,TQBR,2014-06-23,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,SUR,
9,TQBR,2014-06-24,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,SUR,
10,TQBR,2014-06-25,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,SUR,
11,TQBR,2014-06-26,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,SUR,
12,TQBR,2014-06-27,Ижсталь2ао,IGST,4,2063.6,258.0,257.6,258.0,257.6,258.0,257.6,8,,,,0.0,0.0,0.0,,3,SUR,-3.84
13,TQBR,2014-06-30,Ижсталь2ао,IGST,1,248.0,248.0,248.0,248.0,257.6,248.0,248.0,1,,,,0.0,0.0,0.0,,3,SUR,-3.73
14,TQBR,2014-07-01,Ижсталь2ао,IGST,21,34807.5,248.0,248.0,328.0,286.0,283.0,286.0,123,,,,0.0,0.0,0.0,,3,SUR,15.32
15,TQBR,2014-07-02,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,SUR,
