,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Яковлев-3,IRKT,10,18844.3,5.915,5.843,5.915,5.843,5.889,5.843,3200,,5.847,,0.0,518609.6,0.0,,3,SUR,-0.76
1,TQBR,2014-06-10,Яковлев-3,IRKT,34,175824.3,5.86,5.851,5.911,5.862,5.88,5.851,29900,,5.861,,0.0,615372.2,0.0,,3,SUR,0.14
2,TQBR,2014-06-11,Яковлев-3,IRKT,20,204075.5,5.938,5.87,5.943,5.942,5.915,5.943,34500,,5.887,,0.0,641141.5,0.0,,3,SUR,1.57
3,TQBR,2014-06-16,Яковлев-3,IRKT,64,252588.9,5.838,5.73,5.984,5.865,5.847,5.865,43200,,5.877,,0.0,505381.1,0.0,,3,SUR,-1.31
4,TQBR,2014-06-17,Яковлев-3,IRKT,23,201523.4,5.86,5.791,5.884,5.884,5.824,5.884,34600,,5.851,,0.0,529529.3,0.0,,3,SUR,0.32
5,TQBR,2014-06-18,Яковлев-3,IRKT,29,104054.5,5.83,5.83,5.942,5.93,5.912,5.93,17600,,5.856,,0.0,502406.4,0.0,,3,SUR,0.78
6,TQBR,2014-06-19,Яковлев-3,IRKT,24,134753.4,5.93,5.815,5.932,5.815,5.859,5.815,23000,,5.855,,0.0,512339.3,0.0,,3,SUR,-1.94
7,TQBR,2014-06-20,Яковлев-3,IRKT,65,259700.0,5.899,5.792,5.913,5.814,5.836,5.792,44500,,5.858,,0.0,501449.9,0.0,,3,SUR,-0.4
8,TQBR,2014-06-23,Яковлев-3,IRKT,15,43785.4,5.832,5.82,5.851,5.85,5.838,5.85,7500,,5.852,,0.0,500963.2,0.0,,3,SUR,1.0
9,TQBR,2014-06-24,Яковлев-3,IRKT,55,150771.6,5.888,5.84,5.889,5.874,5.867,5.875,25700,,5.845,,0.0,512002.9,0.0,,3,SUR,0.43
10,TQBR,2014-06-25,Яковлев-3,IRKT,11,70978.7,5.89,5.86,5.89,5.871,5.866,5.871,12100,,5.847,,0.0,508127.7,0.0,,3,SUR,-0.07
11,TQBR,2014-06-26,Яковлев-3,IRKT,42,654008.3,5.89,5.81,5.89,5.815,5.824,5.814,112300,5.824,5.824,5.824,654008.3,654008.3,654008.3,,3,SUR,-0.97
12,TQBR,2014-06-27,Яковлев-3,IRKT,12,11726.4,5.86,5.851,5.884,5.86,5.863,5.86,2000,,5.817,,0.0,513024.8,0.0,,3,SUR,0.79
13,TQBR,2014-06-30,Яковлев-3,IRKT,100,630076.0,5.874,5.755,6.33,6.32,5.95,6.32,105900,5.95,5.95,5.95,630076.0,630076.0,630076.0,,3,SUR,7.85
14,TQBR,2014-07-01,Яковлев-3,IRKT,122,709776.3,5.978,5.826,6.06,6.013,5.925,6.06,119800,5.925,5.925,5.925,709776.3,709776.3,709776.3,,3,SUR,-4.11
15,TQBR,2014-07-02,Яковлев-3,IRKT,67,503314.9,5.908,5.851,6.098,5.891,5.942,5.92,84700,5.942,5.942,5.942,503314.9,503314.9,503314.9,,3,SUR,-2.31
16,TQBR,2014-07-03,Яковлев-3,IRKT,27,123366.0,5.928,5.855,5.994,5.964,5.96,5.912,20700,,5.936,,0.0,525933.8,0.0,,3,SUR,-0.14
17,TQBR,2014-07-04,Яковлев-3,IRKT,14,64892.5,5.936,5.936,5.994,5.95,5.953,5.95,10900,,5.927,,0.0,500211.2,0.0,,3,SUR,0.64
18,TQBR,2014-07-07,Яковлев-3,IRKT,68,662442.3,5.957,5.957,6.1,6.1,6.083,6.1,108900,6.083,6.083,6.083,662442.3,662442.3,662442.3,,3,SUR,2.52
19,TQBR,2014-07-08,Яковлев-3,IRKT,26,225774.3,6.1,6.076,6.175,6.076,6.152,6.076,36700,,6.108,,0.0,770204.2,0.0,,3,SUR,-0.39
20,TQBR,2014-07-09,Яковлев-3,IRKT,9,38261.7,6.186,6.15,6.191,6.15,6.171,6.15,6200,,6.111,,0.0,808465.9,0.0,,3,SUR,1.22
21,TQBR,2014-07-10,Яковлев-3,IRKT,86,850365.5,6.17,5.611,6.234,6.197,6.087,6.2,139700,6.087,6.087,6.087,850365.5,850365.5,850365.5,,3,SUR,0.81
22,TQBR,2014-07-11,Яковлев-3,IRKT,56,350800.9,6.054,6.054,6.25,6.136,6.176,6.176,56800,,6.184,,0.0,533719.0,0.0,,3,SUR,-0.39
23,TQBR,2014-07-14,Яковлев-3,IRKT,77,421085.6,6.183,6.0,6.184,6.1,6.076,6.1,69300,,6.089,,0.0,537661.3,0.0,,3,SUR,-1.23
24,TQBR,2014-07-15,Яковлев-3,IRKT,166,876728.1,5.773,5.723,5.83,5.77,5.764,5.77,152100,5.764,5.764,5.764,839780.9,839780.9,839780.9,,3,SUR,-5.41
25,TQBR,2014-07-16,Яковлев-3,IRKT,49,147994.8,5.797,5.733,5.797,5.776,5.759,5.776,25700,,5.763,,0.0,503681.2,0.0,,3,SUR,0.1
26,TQBR,2014-07-17,Яковлев-3,IRKT,132,1776186.8,5.797,5.57,5.797,5.654,5.64,5.699,314900,5.64,5.64,5.64,1776186.8,1776186.8,1776186.8,,3,SUR,-1.33
27,TQBR,2014-07-18,Яковлев-3,IRKT,15,33944.1,5.676,5.653,5.696,5.687,5.657,5.687,6000,,5.645,,0.0,648620.5,0.0,,3,SUR,-0.21
28,TQBR,2014-07-21,Яковлев-3,IRKT,77,424374.8,5.699,5.5,5.797,5.504,5.599,5.614,75800,,5.603,,0.0,502587.6,0.0,,3,SUR,-1.28
29,TQBR,2014-07-22,Яковлев-3,IRKT,75,156760.7,5.574,5.574,5.621,5.618,5.599,5.62,28000,,5.574,,0.0,508920.2,0.0,,3,SUR,0.11
30,TQBR,2014-07-23,Яковлев-3,IRKT,23,90221.6,5.638,5.59,5.65,5.612,5.604,5.612,16100,,5.563,,0.0,502324.7,0.0,,3,SUR,-0.14
31,TQBR,2014-07-24,Яковлев-3,IRKT,10,19543.4,5.591,5.561,5.634,5.595,5.584,5.591,3500,,5.562,,0.0,501667.5,0.0,,3,SUR,-0.37
32,TQBR,2014-07-25,Яковлев-3,IRKT,53,96478.1,5.604,5.546,5.606,5.6,5.577,5.6,17300,,5.566,,0.0,509870.3,0.0,,3,SUR,0.16
33,TQBR,2014-07-28,Яковлев-3,IRKT,71,725705.9,5.554,5.545,5.648,5.58,5.557,5.58,130600,5.557,5.557,5.557,725705.9,725705.9,725705.9,,3,SUR,-0.36
34,TQBR,2014-07-29,Яковлев-3,IRKT,59,328289.6,5.578,5.476,5.578,5.5,5.517,5.5,59500,,5.529,,0.0,507032.2,0.0,,3,SUR,-1.43
35,TQBR,2014-07-30,Яковлев-3,IRKT,55,507061.3,5.534,5.51,5.612,5.607,5.542,5.6,91500,5.542,5.542,5.542,507061.3,507061.3,507061.3,,3,SUR,1.82
36,TQBR,2014-07-31,Яковлев-3,IRKT,21,61949.2,5.67,5.599,5.67,5.63,5.632,5.63,11000,,5.552,,0.0,544678.2,0.0,,3,SUR,0.54
37,TQBR,2014-08-01,Яковлев-3,IRKT,34,223997.4,5.63,5.545,5.63,5.629,5.614,5.629,39900,,5.583,,0.0,630925.6,0.0,,3,SUR,-0.02
38,TQBR,2014-08-04,Яковлев-3,IRKT,24,102174.0,5.64,5.606,5.73,5.665,5.676,5.665,18000,,5.624,,0.0,525325.5,0.0,,3,SUR,0.64
39,TQBR,2014-08-05,Яковлев-3,IRKT,33,358488.3,5.663,5.602,5.681,5.634,5.645,5.634,63500,,5.649,,0.0,501105.7,0.0,,3,SUR,-0.55
40,TQBR,2014-08-06,Яковлев-3,IRKT,22,77315.3,5.619,5.563,5.619,5.613,5.603,5.615,13800,,5.643,,0.0,501072.9,0.0,,3,SUR,-0.34
41,TQBR,2014-08-07,Яковлев-3,IRKT,20,208473.0,5.539,5.51,5.586,5.559,5.515,5.559,37800,,5.583,,0.0,502430.0,0.0,,3,SUR,-1.0
42,TQBR,2014-08-08,Яковлев-3,IRKT,19,49785.8,5.56,5.519,5.56,5.542,5.532,5.542,9000,,5.578,,0.0,552215.8,0.0,,3,SUR,-0.31
43,TQBR,2014-08-11,Яковлев-3,IRKT,34,287597.8,5.586,5.544,5.614,5.579,5.595,5.579,51400,,5.56,,0.0,515974.3,0.0,,3,SUR,0.67
44,TQBR,2014-08-12,Яковлев-3,IRKT,34,203551.5,5.609,5.544,5.64,5.613,5.607,5.617,36300,,5.599,,0.0,501127.8,0.0,,3,SUR,0.68
45,TQBR,2014-08-13,Яковлев-3,IRKT,13,92340.6,5.61,5.599,5.645,5.605,5.631,5.599,16400,,5.605,,0.0,569497.3,0.0,,3,SUR,-0.32
46,TQBR,2014-08-14,Яковлев-3,IRKT,39,342533.0,5.611,5.61,5.699,5.651,5.671,5.651,60400,,5.653,,0.0,544405.1,0.0,,3,SUR,0.93
47,TQBR,2014-08-15,Яковлев-3,IRKT,41,1078895.6,5.652,5.652,5.739,5.728,5.711,5.728,188900,5.711,5.711,5.711,1078895.6,1078895.6,1078895.6,,3,SUR,1.36
48,TQBR,2014-08-18,Яковлев-3,IRKT,12,106154.3,5.7,5.7,5.723,5.712,5.707,5.723,18600,,5.71,,0.0,624649.5,0.0,,3,SUR,-0.09
49,TQBR,2014-08-19,Яковлев-3,IRKT,36,295730.3,5.723,5.69,5.735,5.703,5.72,5.702,51700,,5.719,,0.0,514745.8,0.0,,3,SUR,-0.37
50,TQBR,2014-08-20,Яковлев-3,IRKT,57,1260537.8,5.718,5.68,5.764,5.727,5.727,5.727,220100,5.727,5.727,5.727,1260537.8,1260537.8,1260537.8,,3,SUR,0.44
51,TQBR,2014-08-21,Яковлев-3,IRKT,24,709140.0,5.688,5.687,5.73,5.73,5.71,5.73,124200,5.71,5.71,5.71,709140.0,709140.0,709140.0,,3,SUR,0.05
52,TQBR,2014-08-22,Яковлев-3,IRKT,27,1215175.9,5.73,5.729,5.784,5.748,5.751,5.753,211300,5.751,5.751,5.751,1215175.9,1215175.9,1215175.9,,3,SUR,0.4
53,TQBR,2014-08-25,Яковлев-3,IRKT,59,882895.5,5.808,5.793,5.85,5.815,5.828,5.815,151500,5.828,5.828,5.828,882895.5,882895.5,882895.5,,3,SUR,1.08
54,TQBR,2014-08-26,Яковлев-3,IRKT,20,547781.9,5.84,5.822,5.879,5.868,5.859,5.869,93500,5.859,5.859,5.859,547781.9,547781.9,547781.9,,3,SUR,0.93
55,TQBR,2014-08-27,Яковлев-3,IRKT,116,2912529.8,5.88,5.879,6.2,6.111,6.039,6.111,482300,6.039,6.039,6.039,2912529.8,2912529.8,2912529.8,,3,SUR,4.12
56,TQBR,2014-08-28,Яковлев-3,IRKT,65,1219754.7,6.098,5.726,6.104,6.038,5.878,6.087,207500,5.878,5.878,5.878,1219754.7,1219754.7,1219754.7,,3,SUR,-0.39
57,TQBR,2014-08-29,Яковлев-3,IRKT,37,396059.3,5.853,5.8,5.922,5.92,5.876,5.92,67400,,5.825,,0.0,653519.6,0.0,,3,SUR,-2.74
58,TQBR,2014-09-01,Яковлев-3,IRKT,2,1171.6,5.855,5.855,5.861,5.861,5.858,5.861,200,,5.825,,0.0,654691.2,0.0,,3,SUR,-1.0
59,TQBR,2014-09-02,Яковлев-3,IRKT,0,0.0,,,,5.861,,,0,,5.825,,0.0,654691.2,0.0,,3,SUR,
60,TQBR,2014-09-03,Яковлев-3,IRKT,142,2942219.7,5.899,5.899,6.299,6.16,6.205,6.16,474200,6.205,6.205,6.205,2942219.7,2942219.7,2942219.7,,3,SUR,5.1
61,TQBR,2014-09-04,Яковлев-3,IRKT,91,521540.1,6.2,6.2,6.497,6.387,6.376,6.387,81800,6.376,6.376,6.376,521540.1,521540.1,521540.1,,3,SUR,3.69
62,TQBR,2014-09-05,Яковлев-3,IRKT,69,871695.9,6.159,6.159,6.45,6.259,6.358,6.259,137100,6.358,6.358,6.358,871695.9,871695.9,871695.9,,3,SUR,-2.0
63,TQBR,2014-09-08,Яковлев-3,IRKT,73,2021905.9,6.425,6.272,6.759,6.521,6.52,6.525,310100,6.52,6.52,6.52,2021905.9,2021905.9,2021905.9,,3,SUR,4.25
64,TQBR,2014-09-09,Яковлев-3,IRKT,53,308068.3,6.566,6.514,6.743,6.579,6.611,6.565,46600,,6.661,,0.0,635505.7,0.0,,3,SUR,0.61
65,TQBR,2014-09-10,Яковлев-3,IRKT,46,641738.0,6.535,6.403,6.59,6.53,6.495,6.587,98800,6.495,6.495,6.495,641738.0,641738.0,641738.0,,3,SUR,0.34
66,TQBR,2014-09-11,Яковлев-3,IRKT,83,502995.8,6.713,6.283,6.713,6.292,6.424,6.283,78300,6.424,6.424,6.424,502995.8,502995.8,502995.8,,3,SUR,-4.62
67,TQBR,2014-09-12,Яковлев-3,IRKT,57,977575.0,6.241,6.112,6.385,6.3,6.187,6.3,158000,6.187,6.187,6.187,977575.0,977575.0,977575.0,,3,SUR,0.27
68,TQBR,2014-09-15,Яковлев-3,IRKT,37,380718.8,6.385,6.19,6.4,6.219,6.241,6.219,61000,,6.256,,0.0,518033.7,0.0,,3,SUR,-1.29
69,TQBR,2014-09-16,Яковлев-3,IRKT,44,630212.5,6.186,6.155,6.287,6.169,6.191,6.169,101800,6.191,6.191,6.191,630212.5,630212.5,630212.5,,3,SUR,-0.8
70,TQBR,2014-09-17,Яковлев-3,IRKT,21,330602.7,6.298,6.105,6.298,6.245,6.179,6.245,53500,,6.187,,0.0,561132.4,0.0,,3,SUR,1.23
71,TQBR,2014-09-18,Яковлев-3,IRKT,18,311104.2,6.297,6.263,6.369,6.266,6.323,6.263,49200,,6.282,,0.0,504475.2,0.0,,3,SUR,0.29
72,TQBR,2014-09-19,Яковлев-3,IRKT,40,453823.5,6.219,6.129,6.262,6.225,6.183,6.225,73400,,6.194,,0.0,501673.5,0.0,,3,SUR,-0.61
73,TQBR,2014-09-22,Яковлев-3,IRKT,38,281397.2,6.164,6.164,6.329,6.201,6.295,6.201,44700,,6.23,,0.0,505287.5,0.0,,3,SUR,-0.39
74,TQBR,2014-09-23,Яковлев-3,IRKT,14,20031.6,6.243,6.24,6.298,6.272,6.26,6.272,3200,,6.232,,0.0,525319.1,0.0,,3,SUR,1.14
75,TQBR,2014-09-24,Яковлев-3,IRKT,42,703675.5,6.3,6.13,6.325,6.183,6.205,6.18,113400,6.205,6.205,6.205,700525.5,700525.5,700525.5,,3,SUR,-1.47
76,TQBR,2014-09-25,Яковлев-3,IRKT,15,70561.9,6.177,6.177,6.206,6.2,6.19,6.2,11400,,6.161,,0.0,500242.3,0.0,,3,SUR,0.32
77,TQBR,2014-09-26,Яковлев-3,IRKT,10,160231.6,6.131,6.131,6.21,6.203,6.187,6.21,25900,,6.157,,0.0,525790.5,0.0,,3,SUR,0.16
78,TQBR,2014-09-29,Яковлев-3,IRKT,41,399462.3,6.2,6.168,6.281,6.168,6.184,6.168,64600,,6.188,,0.0,522906.3,0.0,,3,SUR,-0.68
79,TQBR,2014-09-30,Яковлев-3,IRKT,61,814856.7,6.179,6.126,6.499,6.394,6.263,6.394,130100,6.263,6.263,6.263,814856.7,814856.7,814856.7,,3,SUR,3.66
80,TQBR,2014-10-01,Яковлев-3,IRKT,34,247997.0,6.17,6.15,6.27,6.21,6.18,6.21,40100,,6.28,,0.0,653890.2,0.0,,3,SUR,-2.88
81,TQBR,2014-10-02,Яковлев-3,IRKT,20,135650.0,6.19,6.15,6.28,6.21,6.19,6.21,21900,,6.27,,0.0,552051.0,0.0,,3,SUR,0.0
82,TQBR,2014-10-03,Яковлев-3,IRKT,41,357288.0,6.05,6.04,6.26,6.17,6.15,6.18,58100,,6.16,,0.0,500391.0,0.0,,3,SUR,-0.48
83,TQBR,2014-10-06,Яковлев-3,IRKT,23,173817.0,6.26,6.1,6.34,6.12,6.16,6.1,28200,,6.16,,0.0,525057.0,0.0,,3,SUR,-1.29
84,TQBR,2014-10-07,Яковлев-3,IRKT,42,4059250.0,6.21,6.1,6.24,6.19,6.19,6.19,656200,6.19,6.19,6.19,4059250.0,4059250.0,4059250.0,,3,SUR,1.48
85,TQBR,2014-10-08,Яковлев-3,IRKT,80,757157.0,6.12,5.91,6.13,5.97,5.97,5.99,126800,5.97,5.97,5.97,757157.0,757157.0,757157.0,,3,SUR,-3.23
86,TQBR,2014-10-09,Яковлев-3,IRKT,141,913588.0,6.05,5.75,6.05,5.9,5.84,5.9,156500,5.84,5.84,5.84,913588.0,913588.0,913588.0,,3,SUR,-1.5
87,TQBR,2014-10-10,Яковлев-3,IRKT,157,863904.0,5.78,5.6,5.78,5.67,5.69,5.67,151900,5.69,5.69,5.69,863904.0,863904.0,863904.0,,3,SUR,-3.9
88,TQBR,2014-10-13,Яковлев-3,IRKT,85,949828.0,5.68,5.52,5.77,5.68,5.59,5.68,169800,5.59,5.59,5.59,949828.0,949828.0,949828.0,,3,SUR,0.18
89,TQBR,2014-10-14,Яковлев-3,IRKT,119,1280004.0,5.7,5.5,5.78,5.62,5.62,5.62,227900,5.62,5.62,5.62,1280004.0,1280004.0,1280004.0,,3,SUR,-1.06
90,TQBR,2014-10-15,Яковлев-3,IRKT,137,862323.0,5.62,5.4,5.63,5.49,5.49,5.49,157200,5.49,5.49,5.49,862323.0,862323.0,862323.0,,3,SUR,-2.31
91,TQBR,2014-10-16,Яковлев-3,IRKT,74,601898.0,5.47,5.3,5.47,5.31,5.33,5.31,113000,5.33,5.33,5.33,601898.0,601898.0,601898.0,,3,SUR,-3.28
92,TQBR,2014-10-17,Яковлев-3,IRKT,78,578891.0,5.38,5.26,5.43,5.31,5.34,5.31,108500,5.34,5.34,5.34,578891.0,578891.0,578891.0,,3,SUR,0.0
93,TQBR,2014-10-20,Яковлев-3,IRKT,433,4436234.0,5.45,5.07,5.45,5.3,5.21,5.3,852300,5.21,5.21,5.21,4436234.0,4436234.0,4436234.0,,3,SUR,-0.19
94,TQBR,2014-10-21,Яковлев-3,IRKT,115,875555.0,5.34,5.19,5.98,5.54,5.49,5.56,159600,5.49,5.49,5.49,875555.0,875555.0,875555.0,,3,SUR,4.91
95,TQBR,2014-10-22,Яковлев-3,IRKT,173,3018234.0,5.69,5.57,6.0,5.82,5.89,5.82,512000,5.89,5.89,5.89,3018234.0,3018234.0,3018234.0,,3,SUR,4.68
96,TQBR,2014-10-23,Яковлев-3,IRKT,73,359868.0,5.85,5.61,5.91,5.79,5.8,5.79,62000,,5.82,,0.0,502086.0,0.0,,3,SUR,-0.52
97,TQBR,2014-10-24,Яковлев-3,IRKT,32,117459.0,5.85,5.7,5.88,5.83,5.81,5.83,20200,,5.82,,0.0,619545.0,0.0,,3,SUR,0.69
98,TQBR,2014-10-27,Яковлев-3,IRKT,65,646766.0,5.88,5.78,5.9,5.84,5.87,5.84,110200,5.87,5.87,5.87,646766.0,646766.0,646766.0,,3,SUR,0.17
99,TQBR,2014-10-28,Яковлев-3,IRKT,23,140290.0,5.81,5.81,5.91,5.84,5.85,5.87,24000,,5.88,,0.0,519585.0,0.0,,3,SUR,0.51
0,TQBR,2014-10-29,Яковлев-3,IRKT,190,13063837.0,5.82,5.8,6.07,5.93,6.03,5.92,2167400,6.03,6.03,6.03,13063837.0,13063837.0,13063837.0,,3,SUR,0.85
1,TQBR,2014-10-30,Яковлев-3,IRKT,74,3020150.0,5.91,5.82,6.04,6.0,6.03,5.98,501100,6.03,6.03,6.03,3020150.0,3020150.0,3020150.0,,3,SUR,1.01
2,TQBR,2014-10-31,Яковлев-3,IRKT,62,632376.0,5.94,5.71,5.94,5.86,5.86,5.89,108000,5.86,5.86,5.86,632376.0,632376.0,632376.0,,3,SUR,-1.51
3,TQBR,2014-11-03,Яковлев-3,IRKT,60,416156.0,5.89,5.6,5.89,5.83,5.79,5.83,71900,,5.8,,0.0,509379.0,0.0,,3,SUR,-1.02
