,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
1,TQBR,2014-06-10,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
2,TQBR,2014-06-11,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
3,TQBR,2014-06-16,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
4,TQBR,2014-06-17,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
5,TQBR,2014-06-18,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
6,TQBR,2014-06-19,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
7,TQBR,2014-06-20,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
8,TQBR,2014-06-23,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
9,TQBR,2014-06-24,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
10,TQBR,2014-06-25,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
11,TQBR,2014-06-26,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
12,TQBR,2014-06-27,КурганГКап,KGKCP,0,0,,,,51.2,,,0,,51.066,,0,515765,0.0,,3,SUR,
13,TQBR,2014-06-30,КурганГКап,KGKCP,1,5114,51.14,51.14,51.14,51.14,51.14,51.14,100,,51.068,,0,500463,0.0,,3,SUR,-0.12
14,TQBR,2014-07-01,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,51.068,,0,500463,0.0,,3,SUR,
15,TQBR,2014-07-02,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,51.068,,0,500463,0.0,,3,SUR,
16,TQBR,2014-07-03,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,51.068,,0,500463,0.0,,3,SUR,
17,TQBR,2014-07-04,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,51.068,,0,500463,0.0,,3,SUR,
18,TQBR,2014-07-07,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
19,TQBR,2014-07-08,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
20,TQBR,2014-07-09,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
21,TQBR,2014-07-10,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
22,TQBR,2014-07-11,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
23,TQBR,2014-07-14,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
24,TQBR,2014-07-15,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
25,TQBR,2014-07-16,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
26,TQBR,2014-07-17,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
27,TQBR,2014-07-18,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
28,TQBR,2014-07-21,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
29,TQBR,2014-07-22,КурганГКап,KGKCP,0,0,,,,51.14,,,0,,,,0,0,0.0,,3,SUR,
30,TQBR,2014-07-23,КурганГКап,KGKCP,1,15345,51.15,51.15,51.15,51.15,51.15,51.15,300,,,,0,0,0.0,,3,SUR,0.02
31,TQBR,2014-07-24,КурганГКап,KGKCP,0,0,,,,51.15,,,0,,,,0,0,0.0,,3,SUR,
32,TQBR,2014-07-25,КурганГКап,KGKCP,0,0,,,,51.15,,,0,,,,0,0,0.0,,3,SUR,
33,TQBR,2014-07-28,КурганГКап,KGKCP,0,0,,,,51.15,,,0,,,,0,0,0.0,,3,SUR,
34,TQBR,2014-07-29,КурганГКап,KGKCP,0,0,,,,51.15,,,0,,,,0,0,0.0,,3,SUR,
35,TQBR,2014-07-30,КурганГКап,KGKCP,0,0,,,,51.15,,,0,,,,0,0,0.0,,3,SUR,
36,TQBR,2014-07-31,КурганГКап,KGKCP,1,5104,51.04,51.04,51.04,51.04,51.04,51.04,100,,,,0,0,0.0,,3,SUR,-0.22
37,TQBR,2014-08-01,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
38,TQBR,2014-08-04,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
39,TQBR,2014-08-05,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
40,TQBR,2014-08-06,КурганГКап,KGKCP,1,5104,51.04,51.04,51.04,51.04,51.04,51.04,100,,,,0,0,0.0,,3,SUR,0.0
41,TQBR,2014-08-07,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
42,TQBR,2014-08-08,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
43,TQBR,2014-08-11,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
44,TQBR,2014-08-12,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
45,TQBR,2014-08-13,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
46,TQBR,2014-08-14,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
47,TQBR,2014-08-15,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
48,TQBR,2014-08-18,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
49,TQBR,2014-08-19,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
50,TQBR,2014-08-20,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
51,TQBR,2014-08-21,КурганГКап,KGKCP,0,0,,,,51.04,,,0,,,,0,0,0.0,,3,SUR,
