,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,КАМАЗ,KMAZ,54,616220,37.99,37.24,38.0,37.24,37.57,37.24,16400,37.57,37.57,37.57,616220,616220,616220.0,,3,SUR,-0.35
1,TQBR,2014-06-10,КАМАЗ,KMAZ,49,427535,37.29,36.97,37.37,37.06,37.18,37.06,11500,,37.2,,0,502204,0.0,,3,SUR,-0.48
2,TQBR,2014-06-11,КАМАЗ,KMAZ,63,470213,37.39,37.0,37.64,37.15,37.32,37.0,12600,,37.3,,0,503567,0.0,,3,SUR,-0.16
3,TQBR,2014-06-16,КАМАЗ,KMAZ,119,1574286,37.4,36.19,37.4,36.2,36.87,36.2,42700,36.87,36.87,36.87,1574286,1574286,1574286.0,,3,SUR,-2.16
4,TQBR,2014-06-17,КАМАЗ,KMAZ,56,517205,37.0,36.1,37.0,36.4,36.42,36.4,14200,36.42,36.42,36.42,517205,517205,517205.0,,3,SUR,0.55
5,TQBR,2014-06-18,КАМАЗ,KMAZ,50,424037,37.37,36.33,37.37,36.52,36.55,36.52,11600,,36.54,,0,500609,0.0,,3,SUR,0.33
6,TQBR,2014-06-19,КАМАЗ,KMAZ,51,602801,36.64,36.52,37.21,37.05,36.98,37.05,16300,36.98,36.98,36.98,602801,602801,602801.0,,3,SUR,1.45
7,TQBR,2014-06-20,КАМАЗ,KMAZ,34,371073,36.94,36.94,37.2,37.09,37.11,37.09,10000,,37.13,,0,501259,0.0,,3,SUR,0.11
8,TQBR,2014-06-23,КАМАЗ,KMAZ,28,228358,36.93,36.76,36.95,36.91,36.83,36.91,6200,,36.99,,0,506798,0.0,,3,SUR,-0.49
9,TQBR,2014-06-24,КАМАЗ,KMAZ,80,870684,36.63,36.53,37.69,37.53,37.37,37.58,23300,37.37,37.37,37.37,870684,870684,870684.0,,3,SUR,1.82
10,TQBR,2014-06-25,КАМАЗ,KMAZ,50,624084,37.75,37.02,38.57,37.03,37.6,37.03,16600,37.6,37.6,37.6,624084,624084,624084.0,,3,SUR,-1.46
11,TQBR,2014-06-26,КАМАЗ,KMAZ,50,321229,37.08,36.9,37.76,37.64,37.35,37.71,8600,,37.37,,0,534384,0.0,,3,SUR,1.84
12,TQBR,2014-06-27,КАМАЗ,KMAZ,40,277710,37.89,37.21,38.34,37.26,37.53,37.26,7400,,37.41,,0,505095,0.0,,3,SUR,-1.19
13,TQBR,2014-06-30,КАМАЗ,KMAZ,35,161641,38.24,37.34,38.25,37.48,37.59,37.48,4300,,37.57,,0,503390,0.0,,3,SUR,0.59
14,TQBR,2014-07-01,КАМАЗ,KMAZ,46,299973,37.5,37.32,37.59,37.48,37.5,37.48,8000,,37.52,,0,502705,0.0,,3,SUR,0.0
15,TQBR,2014-07-02,КАМАЗ,KMAZ,33,255734,37.78,37.5,37.8,37.63,37.61,37.7,6800,,37.55,,0,503223,0.0,,3,SUR,0.59
16,TQBR,2014-07-03,КАМАЗ,KMAZ,60,465472,37.73,37.07,37.74,37.55,37.54,37.6,12400,,37.54,,0,514335,0.0,,3,SUR,-0.27
17,TQBR,2014-07-04,КАМАЗ,KMAZ,44,621048,37.67,37.1,37.94,37.11,37.41,37.11,16600,37.41,37.41,37.41,621048,621048,621048.0,,3,SUR,-1.3
18,TQBR,2014-07-07,КАМАЗ,KMAZ,113,815206,37.13,35.92,37.13,36.97,36.72,36.92,22200,36.72,36.72,36.72,815206,815206,815206.0,,3,SUR,-0.51
19,TQBR,2014-07-08,КАМАЗ,KMAZ,59,507815,36.77,36.73,37.65,36.85,37.07,36.85,13700,37.07,37.07,37.07,507815,507815,507815.0,,3,SUR,-0.19
20,TQBR,2014-07-09,КАМАЗ,KMAZ,23,157990,37.0,36.52,37.0,36.62,36.74,36.52,4300,,36.94,,0,509839,0.0,,3,SUR,-0.9
21,TQBR,2014-07-10,КАМАЗ,KMAZ,48,10701324,36.52,36.5,36.97,36.74,36.79,36.79,290900,36.79,36.79,36.79,10694020,10694020,10694020.0,,3,SUR,0.74
22,TQBR,2014-07-11,КАМАЗ,KMAZ,87,853502,36.66,36.01,36.97,36.06,36.47,36.06,23400,36.47,36.47,36.47,853502,853502,853502.0,,3,SUR,-1.98
23,TQBR,2014-07-14,КАМАЗ,KMAZ,74,569702,36.08,35.62,36.1,35.7,35.83,35.7,15900,35.83,35.83,35.83,569702,569702,569702.0,,3,SUR,-1.0
24,TQBR,2014-07-15,КАМАЗ,KMAZ,89,587321,35.95,35.31,36.56,35.44,35.81,35.44,16400,35.81,35.81,35.81,587321,587321,587321.0,,3,SUR,-0.73
25,TQBR,2014-07-16,КАМАЗ,KMAZ,82,1008257,35.29,34.7,35.9,35.45,35.25,35.45,28600,35.25,35.25,35.25,1008257,1008257,1008257.0,,3,SUR,0.03
26,TQBR,2014-07-17,КАМАЗ,KMAZ,169,2689559,35.22,33.67,35.23,34.02,34.26,34.02,78500,34.26,34.26,34.26,2689559,2689559,2689559.0,,3,SUR,-4.03
27,TQBR,2014-07-18,КАМАЗ,KMAZ,52,631842,33.7,33.54,33.98,33.87,33.79,33.95,18700,33.79,33.79,33.79,631842,631842,631842.0,,3,SUR,-0.21
28,TQBR,2014-07-21,КАМАЗ,KMAZ,91,4561275,33.92,33.33,33.92,33.45,33.51,33.45,136100,33.51,33.51,33.51,4561275,4561275,4561275.0,,3,SUR,-1.47
29,TQBR,2014-07-22,КАМАЗ,KMAZ,81,1447685,33.5,33.2,33.91,33.68,33.51,33.64,43200,33.51,33.51,33.51,1447685,1447685,1447685.0,,3,SUR,0.57
30,TQBR,2014-07-23,КАМАЗ,KMAZ,41,430749,33.86,33.52,34.14,33.64,33.92,33.64,12700,,33.87,,0,514859,0.0,,3,SUR,0.0
