,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,СаратНПЗ-п,KRKNP,0,0,,,,14200,,,0,,14008,,0,602330,0.0,,3,SUR,
1,TQBR,2014-06-10,СаратНПЗ-п,KRKNP,0,0,,,,14200,,,0,,14008,,0,602330,0.0,,3,SUR,
2,TQBR,2014-06-11,СаратНПЗ-п,KRKNP,5,64512,14112.0,11000.0,14200.0,14200,12902.0,14200.0,5,13984.0,13982,13984.0,545382,531305,545382.0,,3,SUR,0.0
3,TQBR,2014-06-16,СаратНПЗ-п,KRKNP,1,10800,10800.0,10800.0,10800.0,10800,10800.0,10800.0,1,13905.0,13900,13905.0,556182,542105,556182.0,,3,SUR,-23.94
4,TQBR,2014-06-17,СаратНПЗ-п,KRKNP,16,757247,14200.0,12520.0,14200.0,14000,13522.0,14000.0,56,13522.0,13522,13522.0,757247,757247,757247.0,,3,SUR,29.63
5,TQBR,2014-06-18,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,13522.0,13545,13522.0,757247,541797,757247.0,,3,SUR,
6,TQBR,2014-06-19,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,13522.0,13545,13522.0,757247,541797,757247.0,,3,SUR,
7,TQBR,2014-06-20,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,13475.0,13545,13475.0,768047,541797,768047.0,,3,SUR,
8,TQBR,2014-06-23,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,13522.0,13545,13522.0,757247,541797,757247.0,,3,SUR,
9,TQBR,2014-06-24,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,13428.0,13545,13428.0,832559,541797,832559.0,,3,SUR,
10,TQBR,2014-06-25,СаратНПЗ-п,KRKNP,1,252000,14000.0,14000.0,14000.0,14000,14000.0,14000.0,18,13557.0,13707,13557.0,1084559,781272,1084559.0,,3,SUR,0.0
11,TQBR,2014-06-26,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,13557.0,13707,13557.0,1084559,781272,1084559.0,,3,SUR,
12,TQBR,2014-06-27,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,13601.0,13707,13601.0,1020047,781272,1020047.0,,3,SUR,
13,TQBR,2014-06-30,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,13638.0,13707,13638.0,1009247,781272,1009247.0,,3,SUR,
14,TQBR,2014-07-01,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,,13707,,0,781272,0.0,,3,SUR,
15,TQBR,2014-07-02,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,,13707,,0,781272,0.0,,3,SUR,
16,TQBR,2014-07-03,СаратНПЗ-п,KRKNP,0,0,,,,14000,,,0,,13707,,0,781272,0.0,,3,SUR,
17,TQBR,2014-07-04,СаратНПЗ-п,KRKNP,2,1740000,14500.0,14500.0,14500.0,14500,14500.0,14500.0,120,,14370,,0,2370972,0.0,,3,SUR,3.57
18,TQBR,2014-07-07,СаратНПЗ-п,KRKNP,0,0,,,,14500,,,0,,14370,,0,2370972,0.0,,3,SUR,
19,TQBR,2014-07-08,СаратНПЗ-п,KRKNP,1,220000,11000.0,11000.0,11000.0,11000,11000.0,11000.0,20,,14005,,0,2576979,0.0,,3,SUR,-24.14
20,TQBR,2014-07-09,СаратНПЗ-п,KRKNP,9,1123901,11500.0,11500.0,12001.0,11882,11707.0,11800.0,96,11585.0,11585,11585.0,1343901,1343901,1343901.0,,3,SUR,7.27
21,TQBR,2014-07-10,СаратНПЗ-п,KRKNP,0,0,,,,11882,,,0,11585.0,11585,11585.0,1343901,1343901,1343901.0,,3,SUR,
