,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-10-30,Ламбумиз,LMBZ,1607,10202382.75,430.0,401.0,473.4,426.0,425.45,426.0,23981,425.45,425.45,,10202382.75,10202382.75,,0,3,SUR,
1,TQBR,2024-10-31,Ламбумиз,LMBZ,182,2556063.05,428.2,415.15,428.2,424.9,424.55,424.9,6024,424.3,424.3,,2556063.05,2556063.05,,0,3,SUR,-0.26
2,TQBR,2024-11-01,Ламбумиз,LMBZ,101,778365.8,425.95,415.25,428.0,426.5,425.35,427.0,1830,425.35,425.35,,778365.8,778365.8,,0,3,SUR,0.49
3,TQBR,2024-11-02,Ламбумиз,LMBZ,95,605456.55,428.0,420.0,440.0,426.3,427.0,426.3,1418,427.0,427.0,,605456.55,605456.55,,0,3,SUR,-0.16
4,TQBR,2024-11-05,Ламбумиз,LMBZ,105,230087.45,426.25,422.5,450.0,425.2,427.65,425.2,538,,425.65,,0.0,507785.55,,0,3,SUR,-0.26
5,TQBR,2024-11-06,Ламбумиз,LMBZ,135,2339178.85,425.2,422.05,432.95,424.0,429.25,424.0,5450,429.2,429.2,,2339178.85,2339178.85,,0,3,SUR,-0.28
6,TQBR,2024-11-07,Ламбумиз,LMBZ,110,1968860.6,424.0,416.0,435.1,425.55,429.25,425.55,4590,428.95,428.95,,1968860.6,1968860.6,,0,3,SUR,0.37
7,TQBR,2024-11-08,Ламбумиз,LMBZ,99,546530.2,425.55,422.0,430.0,422.3,425.0,422.3,1286,425.0,425.0,,546530.2,546530.2,,0,3,SUR,-0.76
8,TQBR,2024-11-11,Ламбумиз,LMBZ,48,310830.05,422.15,420.0,425.55,424.55,421.75,424.35,737,,422.35,,0.0,500082.0,,0,3,SUR,0.49
9,TQBR,2024-11-12,Ламбумиз,LMBZ,102,142671.5,421.35,421.25,425.8,424.8,424.6,425.0,336,,422.75,,0.0,511928.4,,0,3,SUR,0.15
10,TQBR,2024-11-13,Ламбумиз,LMBZ,71,783137.95,425.05,421.95,428.5,425.0,424.25,425.0,1846,424.25,424.25,,783137.95,783137.95,,0,3,SUR,0.0
11,TQBR,2024-11-14,Ламбумиз,LMBZ,32,297178.6,422.05,422.0,425.95,422.15,422.75,422.15,703,,423.8,,0.0,552182.6,,0,3,SUR,-0.67
12,TQBR,2024-11-15,Ламбумиз,LMBZ,53,886731.9,422.05,421.5,425.5,425.5,424.9,425.5,2087,424.9,424.9,,886731.9,886731.9,,0,3,SUR,0.79
13,TQBR,2024-11-18,Ламбумиз,LMBZ,50,2519382.75,426.0,421.3,430.05,426.9,427.1,426.9,5899,427.1,427.1,,2519382.75,2519382.75,,0,3,SUR,0.33
14,TQBR,2024-11-19,Ламбумиз,LMBZ,55,1917899.25,423.7,422.3,427.95,425.9,427.05,425.9,4491,427.05,427.05,,1917899.25,1917899.25,,0,3,SUR,-0.23
15,TQBR,2024-11-20,Ламбумиз,LMBZ,72,2797001.4,420.55,420.05,427.3,422.05,426.8,422.05,6561,426.3,426.3,,2797001.4,2797001.4,,0,3,SUR,-0.9
16,TQBR,2024-11-21,Ламбумиз,LMBZ,47,200505.0,420.7,420.0,423.9,423.1,420.35,423.7,477,,420.95,,0.0,525344.8,,0,3,SUR,0.39
17,TQBR,2024-11-22,Ламбумиз,LMBZ,133,743448.55,421.25,421.25,430.0,426.7,429.25,426.7,1740,427.25,427.25,,743448.55,743448.55,,0,3,SUR,0.71
18,TQBR,2024-11-25,Ламбумиз,LMBZ,53,2532679.4,426.7,422.15,430.1,428.2,428.6,428.2,5909,428.6,428.6,,2532679.4,2532679.4,,0,3,SUR,0.35
19,TQBR,2024-11-26,Ламбумиз,LMBZ,88,2034817.8,430.0,420.0,438.2,428.5,429.15,428.5,4764,427.1,427.1,,2034817.8,2034817.8,,0,3,SUR,0.07
20,TQBR,2024-11-27,Ламбумиз,LMBZ,72,1313812.45,422.25,420.15,430.0,424.55,429.2,424.55,3067,428.35,428.35,,1313812.45,1313812.45,,0,3,SUR,-0.92
21,TQBR,2024-11-28,Ламбумиз,LMBZ,38,2172709.2,424.6,424.6,431.65,427.75,428.95,427.75,5065,428.95,428.95,,2172709.2,2172709.2,,0,3,SUR,0.75
22,TQBR,2024-11-29,Ламбумиз,LMBZ,71,2331802.85,425.65,425.55,435.0,427.9,428.0,427.9,5448,428.0,428.0,,2331802.85,2331802.85,,0,3,SUR,0.04
23,TQBR,2024-12-02,Ламбумиз,LMBZ,74,2209927.75,425.65,425.65,449.95,429.7,428.35,429.7,5146,429.45,429.45,,2209927.75,2209927.75,,0,3,SUR,0.42
24,TQBR,2024-12-03,Ламбумиз,LMBZ,70,1986355.25,429.7,425.0,439.95,425.95,437.3,425.95,4659,426.35,426.35,,1986355.25,1986355.25,,0,3,SUR,-0.87
25,TQBR,2024-12-04,Ламбумиз,LMBZ,70,2870701.9,425.95,425.95,432.45,426.75,428.25,426.9,6703,428.25,428.25,,2870701.9,2870701.9,,0,3,SUR,0.22
26,TQBR,2024-12-05,Ламбумиз,LMBZ,47,244455.45,425.5,425.5,430.95,429.65,429.25,429.65,570,,427.4,,0.0,655667.55,,0,3,SUR,0.64
27,TQBR,2024-12-06,Ламбумиз,LMBZ,52,68174.85,429.6,419.0,431.9,424.5,426.1,431.85,160,,427.3,,0.0,723842.4,,0,3,SUR,0.51
28,TQBR,2024-12-09,Ламбумиз,LMBZ,59,1884655.9,422.6,422.6,438.0,428.0,428.45,428.0,4399,428.45,428.45,,1884655.9,1884655.9,,0,3,SUR,-0.89
29,TQBR,2024-12-10,Ламбумиз,LMBZ,44,1239405.45,424.55,422.65,430.95,422.85,426.05,422.85,2909,426.05,426.05,,1239405.45,1239405.45,,0,3,SUR,-1.2
30,TQBR,2024-12-11,Ламбумиз,LMBZ,21,449565.0,427.55,423.45,427.55,425.9,424.1,425.9,1060,,424.2,,0.0,500576.2,,0,3,SUR,0.72
31,TQBR,2024-12-12,Ламбумиз,LMBZ,30,50930.95,423.45,423.4,427.55,423.45,424.4,423.45,120,,424.15,,0.0,500068.4,,0,3,SUR,-0.58
32,TQBR,2024-12-13,Ламбумиз,LMBZ,40,78024.8,423.45,417.3,424.75,420.45,421.75,420.45,185,,423.8,,0.0,558154.15,,0,3,SUR,-0.71
33,TQBR,2024-12-16,Ламбумиз,LMBZ,51,1040283.85,423.9,416.05,423.95,417.5,416.6,417.5,2497,416.6,416.6,,1040283.85,1040283.85,,0,3,SUR,-0.7
34,TQBR,2024-12-17,Ламбумиз,LMBZ,50,1375561.1,417.75,417.75,429.5,424.0,428.85,424.5,3250,423.25,423.25,,1375561.1,1375561.1,,0,3,SUR,1.68
35,TQBR,2024-12-18,Ламбумиз,LMBZ,216,483663.5,424.5,415.0,424.8,417.05,421.7,421.8,1147,,422.1,,0.0,627686.5,,0,3,SUR,-0.64
36,TQBR,2024-12-19,Ламбумиз,LMBZ,48,145752.0,421.85,413.15,424.0,424.0,420.05,424.0,347,,421.7,,0.0,500577.45,,0,3,SUR,0.52
37,TQBR,2024-12-20,Ламбумиз,LMBZ,262,4413834.3,413.7,407.1,423.95,410.0,413.45,410.0,10675,413.45,413.45,,4413834.3,4413834.3,,0,3,SUR,-3.3
38,TQBR,2024-12-23,Ламбумиз,LMBZ,100,352198.35,418.4,410.0,420.3,410.05,412.4,410.05,854,,412.9,,0.0,722163.8,,0,3,SUR,0.01
39,TQBR,2024-12-24,Ламбумиз,LMBZ,75,292370.85,409.05,409.0,414.25,412.7,414.35,412.7,709,,412.2,,0.0,571324.15,,0,3,SUR,0.65
40,TQBR,2024-12-25,Ламбумиз,LMBZ,96,195307.65,414.4,405.85,414.5,408.8,412.05,413.85,474,,412.15,,0.0,506952.25,,0,3,SUR,0.28
41,TQBR,2024-12-26,Ламбумиз,LMBZ,115,1234554.2,413.75,407.05,426.95,408.2,414.7,408.2,2977,414.7,414.7,,1234554.2,1234554.2,,0,3,SUR,-1.37
42,TQBR,2024-12-27,Ламбумиз,LMBZ,119,1516235.95,408.2,399.0,412.0,411.75,404.75,412.0,3746,404.75,404.75,,1516235.95,1516235.95,,0,3,SUR,0.93
43,TQBR,2024-12-28,Ламбумиз,LMBZ,127,480398.05,412.0,404.0,412.0,404.9,406.75,404.9,1181,,407.3,,0.0,533958.05,,0,3,SUR,-1.72
44,TQBR,2024-12-30,Ламбумиз,LMBZ,145,628252.25,404.95,404.0,407.95,407.9,404.55,407.9,1553,404.55,404.55,,628252.25,628252.25,,0,3,SUR,0.74
45,TQBR,2025-01-03,Ламбумиз,LMBZ,74,179431.4,412.0,402.0,412.8,408.9,407.8,408.9,440,,405.65,,0.0,539490.5,,0,3,SUR,0.25
46,TQBR,2025-01-06,Ламбумиз,LMBZ,55,215634.8,408.9,406.25,409.95,407.75,409.15,407.75,527,,407.85,,0.0,500862.0,,0,3,SUR,-0.28
47,TQBR,2025-01-08,Ламбумиз,LMBZ,53,100941.2,407.8,407.7,409.95,408.0,408.65,408.0,247,,408.55,,0.0,502125.9,,0,3,SUR,0.06
48,TQBR,2025-01-09,Ламбумиз,LMBZ,355,4711102.0,410.0,407.95,469.0,429.15,430.25,429.9,10950,430.25,430.25,,4711102.0,4711102.0,,0,3,SUR,5.37
49,TQBR,2025-01-10,Ламбумиз,LMBZ,192,3618242.2,429.95,408.0,429.95,426.8,423.15,426.8,8551,423.15,423.15,,3618242.2,3618242.2,,0,3,SUR,-0.72
50,TQBR,2025-01-13,Ламбумиз,LMBZ,120,2053140.85,429.0,419.85,429.0,424.4,423.7,424.4,4846,423.7,423.7,,2053140.85,2053140.85,,0,3,SUR,-0.56
51,TQBR,2025-01-14,Ламбумиз,LMBZ,24,376689.7,424.0,416.35,424.35,422.75,424.2,424.3,888,,423.0,,0.0,546519.35,,0,3,SUR,-0.02
52,TQBR,2025-01-15,Ламбумиз,LMBZ,52,475186.2,424.25,417.95,424.25,421.95,420.5,422.0,1130,,420.7,,0.0,500634.7,,0,3,SUR,-0.54
