,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,РСетиЛЭ-п,LSNGP,63,1148858.9,14.714,14.25,14.725,14.561,14.343,14.7,80100,14.343,14.343,14.343,1148858.9,1148858.9,1148858.9,,3,SUR,1.38
1,TQBR,2014-06-10,РСетиЛЭ-п,LSNGP,28,366539.4,14.554,14.55,14.98,14.613,14.78,14.6,24800,,14.714,,0.0,522345.6,0.0,,3,SUR,-0.68
2,TQBR,2014-06-11,РСетиЛЭ-п,LSNGP,16,274588.7,14.979,14.767,15.0,15.0,14.923,15.0,18400,,14.854,,0.0,527306.0,0.0,,3,SUR,2.74
3,TQBR,2014-06-16,РСетиЛЭ-п,LSNGP,27,275788.7,15.344,14.83,15.344,15.113,14.989,15.26,18400,,14.955,,0.0,529404.7,0.0,,3,SUR,1.73
4,TQBR,2014-06-17,РСетиЛЭ-п,LSNGP,25,957387.2,15.239,14.83,15.24,14.83,14.959,14.83,64000,14.959,14.959,14.959,957387.2,957387.2,957387.2,,3,SUR,-2.82
5,TQBR,2014-06-18,РСетиЛЭ-п,LSNGP,54,1744060.8,14.76,13.4,14.76,14.017,14.343,14.0,121600,14.343,14.343,14.343,1744060.8,1744060.8,1744060.8,,3,SUR,-5.6
6,TQBR,2014-06-19,РСетиЛЭ-п,LSNGP,34,746146.0,14.297,14.297,15.0,14.801,14.863,14.8,50200,14.863,14.863,14.863,746146.0,746146.0,746146.0,,3,SUR,5.71
7,TQBR,2014-06-20,РСетиЛЭ-п,LSNGP,21,1322555.5,14.75,14.65,15.09,15.061,14.81,15.09,89300,14.81,14.81,14.81,1322555.5,1322555.5,1322555.5,,3,SUR,1.96
8,TQBR,2014-06-23,РСетиЛЭ-п,LSNGP,27,1310637.7,14.811,14.811,15.55,15.396,15.347,15.4,85400,15.347,15.347,15.347,1310637.7,1310637.7,1310637.7,,3,SUR,2.05
9,TQBR,2014-06-24,РСетиЛЭ-п,LSNGP,26,1006451.5,15.4,14.902,15.401,15.049,15.366,14.902,65500,15.366,15.366,15.366,1006451.5,1006451.5,1006451.5,,3,SUR,-3.23
10,TQBR,2014-06-25,РСетиЛЭ-п,LSNGP,86,2354511.5,14.994,14.994,16.15,15.504,15.49,15.504,152000,15.49,15.49,15.49,2354511.5,2354511.5,2354511.5,,3,SUR,4.04
11,TQBR,2014-06-26,РСетиЛЭ-п,LSNGP,23,1352566.3,15.649,14.997,15.65,15.002,15.388,15.0,87900,15.388,15.388,15.388,1352566.3,1352566.3,1352566.3,,3,SUR,-3.25
12,TQBR,2014-06-27,РСетиЛЭ-п,LSNGP,43,2115818.1,14.89,14.597,15.38,15.0,14.663,15.0,144300,14.663,14.663,14.663,2115818.1,2115818.1,2115818.1,,3,SUR,0.0
13,TQBR,2014-06-30,РСетиЛЭ-п,LSNGP,3,5979.0,14.93,14.93,15.0,15.0,14.948,15.0,400,14.663,14.653,14.663,2121797.1,589045.1,2121797.1,,3,SUR,0.0
14,TQBR,2014-07-01,РСетиЛЭ-п,LSNGP,11,62173.3,14.998,14.652,14.999,14.672,14.803,14.652,4200,,14.687,,0.0,505218.4,0.0,,3,SUR,-2.32
15,TQBR,2014-07-02,РСетиЛЭ-п,LSNGP,32,273246.6,14.652,14.35,14.652,14.354,14.457,14.351,18900,,14.607,,0.0,632465.0,0.0,,3,SUR,-2.05
16,TQBR,2014-07-03,РСетиЛЭ-п,LSNGP,7,22084.9,14.7,14.699,14.75,14.75,14.723,14.75,1500,,14.613,,0.0,515849.9,0.0,,3,SUR,2.78
17,TQBR,2014-07-04,РСетиЛЭ-п,LSNGP,30,215098.9,14.727,14.578,15.29,14.931,14.937,14.8,14400,,14.668,,0.0,503104.4,0.0,,3,SUR,0.34
18,TQBR,2014-07-07,РСетиЛЭ-п,LSNGP,4,26944.7,14.979,14.79,14.98,14.978,14.969,14.978,1800,,14.691,,0.0,500951.5,0.0,,3,SUR,1.2
19,TQBR,2014-07-08,РСетиЛЭ-п,LSNGP,19,92335.7,14.562,14.557,14.976,14.73,14.656,14.73,6300,,14.714,,0.0,514981.2,0.0,,3,SUR,-1.66
20,TQBR,2014-07-09,РСетиЛЭ-п,LSNGP,32,196478.1,14.976,14.927,15.151,14.927,14.998,14.927,13100,,14.909,,0.0,500943.0,0.0,,3,SUR,1.34
21,TQBR,2014-07-10,РСетиЛЭ-п,LSNGP,19,933841.5,14.714,14.551,14.749,14.584,14.729,14.551,63400,14.729,14.729,14.729,930898.7,930898.7,930898.7,,3,SUR,-2.52
22,TQBR,2014-07-11,РСетиЛЭ-п,LSNGP,11,1049905.2,14.532,14.4,14.615,14.615,14.422,14.615,72800,14.422,14.422,14.422,1049905.2,1049905.2,1049905.2,,3,SUR,0.44
23,TQBR,2014-07-14,РСетиЛЭ-п,LSNGP,13,774769.3,14.552,14.426,14.552,14.433,14.455,14.433,53600,14.455,14.455,14.455,774769.3,774769.3,774769.3,,3,SUR,-1.25
24,TQBR,2014-07-15,РСетиЛЭ-п,LSNGP,16,87857.2,14.428,14.311,14.428,14.314,14.403,14.314,6100,,14.445,,0.0,817572.9,0.0,,3,SUR,-0.82
25,TQBR,2014-07-16,РСетиЛЭ-п,LSNGP,18,908860.5,14.325,14.3,14.648,14.383,14.313,14.383,63500,14.313,14.313,14.313,908860.5,908860.5,908860.5,,3,SUR,0.48
26,TQBR,2014-07-17,РСетиЛЭ-п,LSNGP,20,224077.8,14.272,14.271,14.505,14.504,14.364,14.504,15600,,14.329,,0.0,661984.6,0.0,,3,SUR,0.84
27,TQBR,2014-07-18,РСетиЛЭ-п,LSNGP,14,282903.3,14.272,14.043,14.272,14.145,14.145,14.043,20000,,14.241,,0.0,501272.3,0.0,,3,SUR,-3.18
28,TQBR,2014-07-21,РСетиЛЭ-п,LSNGP,4,889962.0,14.02,14.02,14.2,14.2,14.194,14.2,62700,14.182,14.18,14.182,1172865.3,1135789.0,1172865.3,,3,SUR,1.12
29,TQBR,2014-07-22,РСетиЛЭ-п,LSNGP,5,1006071.2,14.31,14.248,14.31,14.286,14.25,14.286,70600,14.214,14.224,14.214,2178936.5,1898841.8,2178936.5,,3,SUR,0.61
30,TQBR,2014-07-23,РСетиЛЭ-п,LSNGP,29,1421871.2,14.268,14.15,14.825,14.6,14.553,14.6,97700,14.553,14.553,14.553,1421871.2,1421871.2,1421871.2,,3,SUR,2.2
31,TQBR,2014-07-24,РСетиЛЭ-п,LSNGP,52,1870346.1,14.998,14.899,15.999,15.141,15.406,15.141,121400,15.406,15.406,15.406,1870346.1,1870346.1,1870346.1,,3,SUR,3.71
32,TQBR,2014-07-25,РСетиЛЭ-п,LSNGP,42,1945640.6,14.804,14.801,15.55,15.3,15.212,15.3,127900,15.212,15.212,15.212,1945640.6,1945640.6,1945640.6,,3,SUR,1.05
33,TQBR,2014-07-28,РСетиЛЭ-п,LSNGP,25,572855.6,15.487,15.301,15.531,15.48,15.483,15.48,37000,15.483,15.483,15.483,572855.6,572855.6,572855.6,,3,SUR,1.18
34,TQBR,2014-07-29,РСетиЛЭ-п,LSNGP,7,904592.0,15.48,15.48,15.49,15.48,15.49,15.48,58400,15.487,15.489,15.487,1477447.6,918524.0,1477447.6,,3,SUR,0.0
35,TQBR,2014-07-30,РСетиЛЭ-п,LSNGP,26,586012.4,15.491,15.4,15.6,15.5,15.503,15.5,37800,15.503,15.503,15.503,586012.4,586012.4,586012.4,,3,SUR,0.13
