,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-04-26,МТС Банк,MBNK,104954,4554616272.0,2700.0,2600.0,2750.0,2624.0,2576.0,2624.0,1716856,2653.0,2653.0,,4554616272.0,4554616272.0,,0,3,SUR,
1,TQBR,2024-04-27,МТС Банк,MBNK,29386,1131936346.0,2630.0,2599.5,2639.0,2604.0,2610.5,2604.0,433601,2610.5,2610.5,,1131936346.0,1131936346.0,,0,3,SUR,-0.76
2,TQBR,2024-04-29,МТС Банк,MBNK,8873,331155374.0,2609.0,2604.0,2645.0,2620.0,2627.5,2620.0,126043,2627.5,2627.5,,331155374.0,331155374.0,,0,3,SUR,0.61
3,TQBR,2024-04-30,МТС Банк,MBNK,5862,180406175.0,2630.0,2605.0,2631.0,2608.0,2612.0,2608.0,69064,2612.0,2612.0,,180406175.0,180406175.0,,0,3,SUR,-0.46
4,TQBR,2024-05-02,МТС Банк,MBNK,16546,523548040.5,2609.5,2560.0,2614.5,2569.0,2576.5,2569.0,203191,2576.5,2576.5,,523548040.5,523548040.5,,0,3,SUR,-1.5
5,TQBR,2024-05-03,МТС Банк,MBNK,10191,285744826.0,2575.0,2520.0,2583.5,2557.0,2553.0,2557.0,111929,2553.0,2553.0,,285744826.0,285744826.0,,0,3,SUR,-0.47
6,TQBR,2024-05-06,МТС Банк,MBNK,13211,441394982.5,2557.0,2500.5,2559.5,2504.0,2512.5,2504.0,175696,2512.5,2512.5,,441394982.5,441394982.5,,0,3,SUR,-2.07
7,TQBR,2024-05-07,МТС Банк,MBNK,13654,729807608.5,2516.5,2504.5,2598.0,2597.5,2561.5,2597.5,284911,2561.5,2561.5,,729807608.5,729807608.5,,0,3,SUR,3.73
8,TQBR,2024-05-08,МТС Банк,MBNK,12347,449974711.5,2613.5,2595.0,2619.0,2605.0,2604.0,2605.0,172806,2604.0,2604.0,,449974711.5,449974711.5,,0,3,SUR,0.29
9,TQBR,2024-05-10,МТС Банк,MBNK,5801,200318615.5,2614.5,2574.0,2635.0,2599.0,2606.5,2599.0,76860,2606.5,2606.5,,200318615.5,200318615.5,,0,3,SUR,-0.23
10,TQBR,2024-05-13,МТС Банк,MBNK,7780,255683131.5,2602.0,2560.0,2619.0,2570.5,2580.0,2570.5,99094,2580.0,2580.0,,255683131.5,255683131.5,,0,3,SUR,-1.1
11,TQBR,2024-05-14,МТС Банк,MBNK,5004,154589653.0,2574.0,2550.0,2582.0,2563.0,2561.0,2563.0,60361,2561.0,2561.0,,154589653.0,154589653.0,,0,3,SUR,-0.29
12,TQBR,2024-05-15,МТС Банк,MBNK,7110,214585666.0,2563.0,2560.0,2597.5,2565.5,2578.5,2565.5,83224,2578.5,2578.5,,214585666.0,214585666.0,,0,3,SUR,0.1
