,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2020-11-09,MDMG-ао,MDMG,936,37976213.0,490.0,463.5,490.0,466.5,484.55,466.5,80940,469.2,469.2,466.5,37976213.0,37976213.0,37976213.0,0,3,SUR,
1,TQBR,2020-11-10,MDMG-ао,MDMG,516,20560595.0,473.0,450.4,473.0,454.0,458.25,454.0,44870,458.25,458.25,454.0,20560595.0,20560595.0,20560595.0,0,3,SUR,-2.68
2,TQBR,2020-11-11,MDMG-ао,MDMG,611,17283821.5,454.1,452.0,478.45,478.45,465.35,478.45,37140,465.35,465.35,478.45,17283821.5,17283821.5,17283821.5,0,3,SUR,5.39
3,TQBR,2020-11-12,MDMG-ао,MDMG,540,21935634.5,485.0,472.0,487.95,480.45,481.8,480.45,45530,481.8,481.8,480.45,21935634.5,21935634.5,21935634.5,0,3,SUR,0.42
4,TQBR,2020-11-13,MDMG-ао,MDMG,499,9405824.0,488.0,482.2,489.05,486.05,487.1,486.15,19310,487.1,487.1,486.05,9405824.0,9405824.0,9405824.0,0,3,SUR,1.19
5,TQBR,2020-11-16,MDMG-ао,MDMG,1101,13879601.5,490.3,475.0,491.0,475.0,482.75,475.0,28750,482.75,482.75,475.0,13879601.5,13879601.5,13879601.5,0,3,SUR,-2.29
6,TQBR,2020-11-17,MDMG-ао,MDMG,458,6872442.5,475.0,471.0,484.0,472.25,473.3,472.2,14520,473.3,473.3,472.25,6872442.5,6872442.5,6872442.5,0,3,SUR,-0.59
7,TQBR,2020-11-18,MDMG-ао,MDMG,471,8513992.0,474.65,470.0,476.85,471.7,472.45,471.75,18020,472.45,472.45,471.7,8513992.0,8513992.0,8513992.0,0,3,SUR,-0.1
8,TQBR,2020-11-19,MDMG-ао,MDMG,249,3784858.0,474.4,471.0,474.9,471.85,473.1,472.75,8000,473.1,473.1,471.85,3784858.0,3784858.0,3784858.0,0,3,SUR,0.21
9,TQBR,2020-11-20,MDMG-ао,MDMG,198,2136721.0,487.0,469.25,487.0,473.95,471.7,474.0,4530,471.7,471.7,473.95,2136721.0,2136721.0,2136721.0,0,3,SUR,0.26
10,TQBR,2020-11-23,MDMG-ао,MDMG,239,2584959.0,470.0,470.0,479.95,470.5,471.7,470.5,5480,471.7,471.7,470.5,2584959.0,2584959.0,2584959.0,0,3,SUR,-0.74
11,TQBR,2020-11-24,MDMG-ао,MDMG,198,2525888.5,470.55,470.0,472.4,470.05,470.35,471.0,5370,470.35,470.35,470.05,2525888.5,2525888.5,2525888.5,0,3,SUR,0.11
12,TQBR,2020-11-25,MDMG-ао,MDMG,234,4490920.0,470.0,468.9,471.05,469.8,469.75,469.8,9560,469.75,469.75,469.8,4490920.0,4490920.0,4490920.0,0,3,SUR,-0.25
13,TQBR,2020-11-26,MDMG-ао,MDMG,247,5087236.0,470.0,464.5,470.0,464.9,465.0,465.2,10940,465.0,465.0,464.9,5087236.0,5087236.0,5087236.0,0,3,SUR,-0.98
14,TQBR,2020-11-27,MDMG-ао,MDMG,313,3822797.0,465.2,464.8,473.95,470.1,470.8,470.1,8120,470.8,470.8,470.1,3822797.0,3822797.0,3822797.0,0,3,SUR,1.05
15,TQBR,2020-11-30,MDMG-ао,MDMG,294,2953213.0,470.65,466.5,473.9,469.2,471.0,469.2,6270,471.0,471.0,469.2,2953213.0,2953213.0,2953213.0,0,3,SUR,-0.19
16,TQBR,2020-12-01,MDMG-ао,MDMG,168,3278646.0,464.05,464.0,472.35,470.0,470.4,470.0,6970,470.4,470.4,470.0,3278646.0,3278646.0,3278646.0,0,3,SUR,0.17
17,TQBR,2020-12-02,MDMG-ао,MDMG,128,1434211.0,468.1,467.0,470.1,467.2,468.7,467.0,3060,468.7,468.7,467.2,1434211.0,1434211.0,1434211.0,0,3,SUR,-0.64
18,TQBR,2020-12-03,MDMG-ао,MDMG,507,6939638.5,464.75,455.4,468.0,456.05,461.1,455.6,15050,461.1,461.1,456.05,6939638.5,6939638.5,6939638.5,0,3,SUR,-2.44
19,TQBR,2020-12-04,MDMG-ао,MDMG,467,6057851.0,471.8,456.55,472.0,457.95,458.25,458.2,13220,458.25,458.25,457.95,6057851.0,6057851.0,6057851.0,0,3,SUR,0.57
20,TQBR,2020-12-07,MDMG-ао,MDMG,287,5178847.5,469.7,456.4,469.7,457.9,460.35,457.5,11250,460.35,460.35,457.9,5178847.5,5178847.5,5178847.5,0,3,SUR,-0.15
21,TQBR,2020-12-08,MDMG-ао,MDMG,239,2796413.0,465.65,455.0,465.65,455.1,456.2,455.0,6130,456.2,456.2,455.1,2796413.0,2796413.0,2796413.0,0,3,SUR,-0.55
22,TQBR,2020-12-09,MDMG-ао,MDMG,202,2630323.0,462.65,455.5,462.65,456.05,456.65,456.05,5760,456.65,456.65,456.05,2630323.0,2630323.0,2630323.0,0,3,SUR,0.23
23,TQBR,2020-12-10,MDMG-ао,MDMG,262,4168231.5,454.15,452.0,458.75,455.05,455.05,455.05,9160,455.05,455.05,455.05,4168231.5,4168231.5,4168231.5,0,3,SUR,-0.22
24,TQBR,2020-12-11,MDMG-ао,MDMG,320,4507165.0,458.3,449.9,458.3,455.55,453.0,455.6,9950,453.0,453.0,455.55,4507165.0,4507165.0,4507165.0,0,3,SUR,0.12
25,TQBR,2020-12-14,MDMG-ао,MDMG,329,8441106.5,455.7,450.6,461.0,457.95,455.55,457.9,18530,455.55,455.55,457.95,8441106.5,8441106.5,8441106.5,0,3,SUR,0.5
26,TQBR,2020-12-15,MDMG-ао,MDMG,199,2747483.5,462.05,458.8,467.15,466.15,463.3,466.95,5930,463.3,463.3,466.15,2747483.5,2747483.5,2747483.5,0,3,SUR,1.98
27,TQBR,2020-12-16,MDMG-ао,MDMG,230,5053865.5,468.75,455.0,468.75,456.0,462.8,456.0,10920,462.8,462.8,456.0,5053865.5,5053865.5,5053865.5,0,3,SUR,-2.35
28,TQBR,2020-12-17,MDMG-ао,MDMG,615,12120481.0,456.0,447.0,458.25,450.25,449.9,450.25,26940,449.9,449.9,450.25,12120481.0,12120481.0,12120481.0,0,3,SUR,-1.26
29,TQBR,2020-12-18,MDMG-ао,MDMG,159,1631536.0,449.6,449.25,451.7,451.65,450.7,451.65,3620,450.7,450.7,451.65,1631536.0,1631536.0,1631536.0,0,3,SUR,0.31
30,TQBR,2020-12-21,MDMG-ао,MDMG,209,2078500.0,450.0,448.05,451.6,451.2,449.9,451.4,4620,449.9,449.9,451.2,2078500.0,2078500.0,2078500.0,0,3,SUR,-0.06
31,TQBR,2020-12-22,MDMG-ао,MDMG,246,4539879.5,449.25,446.55,452.45,451.5,449.5,451.7,10100,449.5,449.5,451.5,4539879.5,4539879.5,4539879.5,0,3,SUR,0.07
32,TQBR,2020-12-23,MDMG-ао,MDMG,115,1086533.5,455.7,450.7,455.7,451.0,452.7,451.0,2400,452.7,452.7,451.0,1086533.5,1086533.5,1086533.5,0,3,SUR,-0.15
33,TQBR,2020-12-24,MDMG-ао,MDMG,206,3608683.5,451.8,447.0,452.2,450.55,449.4,451.0,8030,449.4,449.4,450.55,3608683.5,3608683.5,3608683.5,0,3,SUR,0.0
34,TQBR,2020-12-25,MDMG-ао,MDMG,128,1222409.0,450.0,447.6,453.9,453.0,451.05,452.05,2710,451.05,451.05,453.0,1222409.0,1222409.0,1222409.0,0,3,SUR,0.23
35,TQBR,2020-12-28,MDMG-ао,MDMG,197,2190061.0,452.95,449.05,452.95,451.6,451.55,451.6,4850,451.55,451.55,451.6,2190061.0,2190061.0,2190061.0,0,3,SUR,-0.1
36,TQBR,2020-12-29,MDMG-ао,MDMG,303,6184370.5,457.8,447.35,461.95,452.4,452.05,451.55,13680,452.05,452.05,452.4,6184370.5,6184370.5,6184370.5,0,3,SUR,-0.01
37,TQBR,2020-12-30,MDMG-ао,MDMG,244,3159239.5,451.6,451.6,460.4,457.45,455.9,457.4,6930,455.9,455.9,457.45,3159239.5,3159239.5,3159239.5,0,3,SUR,1.3
38,TQBR,2021-01-04,MDMG-ао,MDMG,206,6650160.0,453.95,450.4,460.0,460.0,456.75,460.0,14560,456.75,456.75,460.0,6650160.0,6650160.0,6650160.0,0,3,SUR,0.57
39,TQBR,2021-01-05,MDMG-ао,MDMG,340,5238524.0,461.7,452.85,469.0,462.25,465.65,462.25,11250,465.65,465.65,462.25,5238524.0,5238524.0,5238524.0,0,3,SUR,0.49
40,TQBR,2021-01-06,MDMG-ао,MDMG,256,11569240.5,454.2,454.2,468.65,463.1,464.25,461.95,24920,464.25,464.25,463.1,11569240.5,11569240.5,11569240.5,0,3,SUR,-0.06
41,TQBR,2021-01-08,MDMG-ао,MDMG,221,1962078.0,462.8,462.8,468.05,465.5,466.05,465.5,4210,466.05,466.05,465.5,1962078.0,1962078.0,1962078.0,0,3,SUR,0.77
42,TQBR,2021-01-11,MDMG-ао,MDMG,366,5883216.0,465.5,464.9,471.9,471.85,468.8,471.85,12550,468.8,468.8,471.85,5883216.0,5883216.0,5883216.0,0,3,SUR,1.36
43,TQBR,2021-01-12,MDMG-ао,MDMG,277,5201827.5,460.3,455.1,474.9,467.55,470.35,467.25,11060,470.35,470.35,467.55,5201827.5,5201827.5,5201827.5,0,3,SUR,-0.97
44,TQBR,2021-01-13,MDMG-ао,MDMG,184,2096612.0,475.0,464.05,475.0,465.5,466.95,464.05,4490,466.95,466.95,465.5,2096612.0,2096612.0,2096612.0,0,3,SUR,-0.68
45,TQBR,2021-01-14,MDMG-ао,MDMG,184,2970595.5,465.3,462.25,472.65,463.65,467.05,463.7,6360,467.05,467.05,463.65,2970595.5,2970595.5,2970595.5,0,3,SUR,-0.08
46,TQBR,2021-01-15,MDMG-ао,MDMG,189,3037875.5,464.75,460.7,466.85,463.85,463.1,463.55,6560,463.1,463.1,463.85,3037875.5,3037875.5,3037875.5,0,3,SUR,-0.03
47,TQBR,2021-01-18,MDMG-ао,MDMG,264,2699051.0,461.25,461.05,468.1,465.05,465.35,465.05,5800,465.35,465.35,465.05,2699051.0,2699051.0,2699051.0,0,3,SUR,0.32
48,TQBR,2021-01-19,MDMG-ао,MDMG,1054,54068799.5,470.55,459.65,494.0,490.9,481.9,490.9,112200,481.9,481.9,490.9,54068799.5,54068799.5,54068799.5,0,3,SUR,5.56
49,TQBR,2021-01-20,MDMG-ао,MDMG,4402,158112703.0,490.0,481.05,549.0,501.95,505.95,501.95,312510,505.95,505.95,501.95,158112703.0,158112703.0,158112703.0,0,3,SUR,2.25
50,TQBR,2021-01-21,MDMG-ао,MDMG,748,19878797.5,490.0,481.05,510.0,490.0,494.5,490.0,40200,494.5,494.5,490.0,19878797.5,19878797.5,19878797.5,0,3,SUR,-2.38
51,TQBR,2021-01-22,MDMG-ао,MDMG,442,12447045.0,490.15,486.05,502.25,491.2,492.15,491.2,25290,492.15,492.15,491.2,12447045.0,12447045.0,12447045.0,0,3,SUR,0.24
52,TQBR,2021-01-25,MDMG-ао,MDMG,307,7033345.0,499.0,488.3,500.0,499.3,494.25,499.45,14230,494.25,494.25,499.3,7033345.0,7033345.0,7033345.0,0,3,SUR,1.68
53,TQBR,2021-01-26,MDMG-ао,MDMG,322,6921245.0,501.0,488.0,501.0,491.05,491.9,489.5,14070,491.9,491.9,491.05,6921245.0,6921245.0,6921245.0,0,3,SUR,-1.99
54,TQBR,2021-01-27,MDMG-ао,MDMG,309,4496117.5,489.2,471.85,491.15,487.65,487.65,487.65,9220,487.65,487.65,487.65,4496117.5,4496117.5,4496117.5,0,3,SUR,-0.38
55,TQBR,2021-01-28,MDMG-ао,MDMG,219,3494193.5,489.9,483.3,492.95,485.0,488.0,485.0,7160,488.0,488.0,485.0,3494193.5,3494193.5,3494193.5,0,3,SUR,-0.54
56,TQBR,2021-01-29,MDMG-ао,MDMG,346,8722844.5,493.7,471.15,509.95,471.6,480.6,471.95,18150,480.6,480.6,471.6,8722844.5,8722844.5,8722844.5,0,3,SUR,-2.69
57,TQBR,2021-02-01,MDMG-ао,MDMG,1116,41131015.5,478.9,456.25,483.45,464.0,465.3,464.0,88400,465.3,465.3,464.0,41131015.5,41131015.5,41131015.5,0,3,SUR,-1.68
58,TQBR,2021-02-02,MDMG-ао,MDMG,434,15044512.5,464.0,460.25,472.9,471.6,468.25,471.0,32130,468.25,468.25,471.6,15044512.5,15044512.5,15044512.5,0,3,SUR,1.51
59,TQBR,2021-02-03,MDMG-ао,MDMG,237,5798800.5,479.0,467.2,479.0,468.35,469.55,468.35,12350,469.55,469.55,468.35,5798800.5,5798800.5,5798800.5,0,3,SUR,-0.56
60,TQBR,2021-02-04,MDMG-ао,MDMG,176,2911394.0,467.15,465.1,469.05,466.5,467.3,466.5,6230,467.3,467.3,466.5,2911394.0,2911394.0,2911394.0,0,3,SUR,-0.4
61,TQBR,2021-02-05,MDMG-ао,MDMG,261,4397168.0,478.9,457.45,478.9,463.0,463.85,463.0,9480,463.85,463.85,463.0,4397168.0,4397168.0,4397168.0,0,3,SUR,-0.75
62,TQBR,2021-02-08,MDMG-ао,MDMG,976,24399549.5,469.9,463.0,488.75,486.1,477.1,486.1,51140,477.1,477.1,486.1,24399549.5,24399549.5,24399549.5,0,3,SUR,4.99
63,TQBR,2021-02-09,MDMG-ао,MDMG,1486,34265268.0,490.1,483.2,500.0,499.45,493.1,499.95,69490,493.1,493.1,499.45,34265268.0,34265268.0,34265268.0,0,3,SUR,2.85
64,TQBR,2021-02-10,MDMG-ао,MDMG,635,13205612.0,500.0,491.05,500.0,495.4,496.45,498.1,26600,496.45,496.45,495.4,13205612.0,13205612.0,13205612.0,0,3,SUR,-0.37
65,TQBR,2021-02-11,MDMG-ао,MDMG,678,20800116.0,496.95,482.1,498.0,496.6,492.3,497.0,42250,492.3,492.3,496.6,20800116.0,20800116.0,20800116.0,0,3,SUR,-0.22
66,TQBR,2021-02-12,MDMG-ао,MDMG,491,13227584.5,495.0,489.9,499.4,492.9,495.4,492.35,26700,495.4,495.4,492.9,13227584.5,13227584.5,13227584.5,0,3,SUR,-0.94
67,TQBR,2021-02-15,MDMG-ао,MDMG,192,1690556.5,491.15,483.95,498.05,492.2,492.85,492.2,3430,492.85,492.85,492.2,1690556.5,1690556.5,1690556.5,0,3,SUR,-0.03
68,TQBR,2021-02-16,MDMG-ао,MDMG,227,3272250.5,493.65,490.05,499.05,495.1,495.8,495.1,6600,495.8,495.8,495.1,3272250.5,3272250.5,3272250.5,0,3,SUR,0.59
69,TQBR,2021-02-17,MDMG-ао,MDMG,380,13571454.5,495.15,470.05,504.95,502.0,497.3,502.0,27290,497.3,497.3,502.0,13571454.5,13571454.5,13571454.5,0,3,SUR,1.39
70,TQBR,2021-02-18,MDMG-ао,MDMG,632,15411290.5,502.05,493.0,517.0,507.0,505.6,507.0,30480,505.6,505.6,507.0,15411290.5,15411290.5,15411290.5,0,3,SUR,1.0
71,TQBR,2021-02-19,MDMG-ао,MDMG,436,29429526.0,500.15,500.15,514.95,510.0,509.25,510.0,57790,509.25,509.25,510.0,29429526.0,29429526.0,29429526.0,0,3,SUR,0.59
72,TQBR,2021-02-20,MDMG-ао,MDMG,4818,141225749.0,515.0,503.0,559.0,537.05,535.5,537.05,263720,535.5,535.5,537.05,141225749.0,141225749.0,141225749.0,0,3,SUR,5.3
73,TQBR,2021-02-22,MDMG-ао,MDMG,2594,47991653.5,548.5,540.1,570.0,543.95,556.75,543.95,86200,556.75,556.75,543.95,47991653.5,47991653.5,47991653.5,0,3,SUR,1.28
74,TQBR,2021-02-24,MDMG-ао,MDMG,1283,31407250.0,543.3,511.2,554.85,518.5,531.35,518.5,59110,531.35,531.35,518.5,31407250.0,31407250.0,31407250.0,0,3,SUR,-4.68
75,TQBR,2021-02-25,MDMG-ао,MDMG,678,13939743.5,518.5,510.0,543.55,510.0,517.05,510.0,26960,517.05,517.05,510.0,13939743.5,13939743.5,13939743.5,0,3,SUR,-1.64
76,TQBR,2021-02-26,MDMG-ао,MDMG,731,24640778.5,527.95,495.0,527.95,502.0,505.25,502.0,48770,505.25,505.25,502.0,24640778.5,24640778.5,24640778.5,0,3,SUR,-1.57
77,TQBR,2021-03-01,MDMG-ао,MDMG,606,29775085.0,509.95,504.25,522.7,507.0,507.65,507.0,58650,507.65,507.65,507.0,29775085.0,29775085.0,29775085.0,0,3,SUR,1.0
78,TQBR,2021-03-02,MDMG-ао,MDMG,515,23483798.5,510.05,501.5,516.95,512.05,509.4,512.05,46100,509.4,509.4,512.05,23483798.5,23483798.5,23483798.5,0,3,SUR,1.0
79,TQBR,2021-03-03,MDMG-ао,MDMG,303,5286852.5,518.0,508.55,518.1,513.1,514.8,513.1,10270,514.8,514.8,513.1,5286852.5,5286852.5,5286852.5,0,3,SUR,0.21
80,TQBR,2021-03-04,MDMG-ао,MDMG,410,7910781.5,515.0,510.85,523.0,523.0,518.4,523.0,15260,518.4,518.4,523.0,7910781.5,7910781.5,7910781.5,0,3,SUR,1.93
81,TQBR,2021-03-05,MDMG-ао,MDMG,367,16376138.0,522.9,510.85,528.45,527.95,522.55,527.95,31340,522.55,522.55,527.95,16376138.0,16376138.0,16376138.0,0,3,SUR,0.95
82,TQBR,2021-03-09,MDMG-ао,MDMG,251,4009926.5,507.0,507.0,524.95,516.6,514.75,524.95,7790,514.75,514.75,516.6,4009926.5,4009926.5,4009926.5,0,3,SUR,-0.57
83,TQBR,2021-03-10,MDMG-ао,MDMG,209,5569615.5,510.3,510.15,523.0,520.4,518.6,520.4,10740,518.6,518.6,520.4,5569615.5,5569615.5,5569615.5,0,3,SUR,-0.87
84,TQBR,2021-03-11,MDMG-ао,MDMG,232,4941474.0,521.65,513.1,521.65,513.75,517.95,515.4,9540,517.95,517.95,513.75,4941474.0,4941474.0,4941474.0,0,3,SUR,-0.96
85,TQBR,2021-03-12,MDMG-ао,MDMG,231,3892335.0,523.1,511.15,523.1,513.5,516.2,513.5,7540,516.2,516.2,513.5,3892335.0,3892335.0,3892335.0,0,3,SUR,-0.37
86,TQBR,2021-03-15,MDMG-ао,MDMG,434,6947042.5,520.0,507.4,520.0,508.7,511.2,508.7,13590,511.2,511.2,508.7,6947042.5,6947042.5,6947042.5,0,3,SUR,-0.93
87,TQBR,2021-03-16,MDMG-ао,MDMG,257,5495571.5,505.35,503.0,510.65,507.25,507.45,507.25,10830,507.45,507.45,507.25,5495571.5,5495571.5,5495571.5,0,3,SUR,-0.29
88,TQBR,2021-03-17,MDMG-ао,MDMG,223,2427831.5,508.55,508.5,513.0,511.85,511.1,512.0,4750,511.1,511.1,511.85,2427831.5,2427831.5,2427831.5,0,3,SUR,0.94
89,TQBR,2021-03-18,MDMG-ао,MDMG,227,5366062.5,512.05,510.1,517.35,516.0,514.5,516.0,10430,514.5,514.5,516.0,5366062.5,5366062.5,5366062.5,0,3,SUR,0.78
90,TQBR,2021-03-19,MDMG-ао,MDMG,123,1877349.5,515.5,508.0,517.65,510.9,514.35,510.7,3650,514.35,514.35,510.9,1877349.5,1877349.5,1877349.5,0,3,SUR,-1.03
91,TQBR,2021-03-22,MDMG-ао,MDMG,745,11580587.5,539.0,522.0,539.0,529.75,528.3,529.75,21920,528.3,528.3,529.75,11580587.5,11580587.5,11580587.5,0,3,SUR,3.73
92,TQBR,2021-03-23,MDMG-ао,MDMG,613,20820306.5,535.0,529.0,543.8,538.2,533.85,538.5,39000,533.85,533.85,538.2,20820306.5,20820306.5,20820306.5,0,3,SUR,1.65
93,TQBR,2021-03-24,MDMG-ао,MDMG,598,13110500.0,543.7,540.0,556.5,547.0,548.35,547.0,23910,548.35,548.35,547.0,13110500.0,13110500.0,13110500.0,0,3,SUR,1.58
94,TQBR,2021-03-25,MDMG-ао,MDMG,895,18449129.5,554.8,542.8,564.6,562.1,555.7,562.1,33200,555.7,555.7,562.1,18449129.5,18449129.5,18449129.5,0,3,SUR,2.76
95,TQBR,2021-03-26,MDMG-ао,MDMG,2031,38584730.0,577.0,545.0,599.0,563.0,570.1,563.0,67680,570.1,570.1,563.0,38584730.0,38584730.0,38584730.0,0,3,SUR,0.16
96,TQBR,2021-03-29,MDMG-ао,MDMG,657,9617006.0,589.0,547.0,589.0,558.15,556.2,558.4,17290,556.2,556.2,558.15,9617006.0,9617006.0,9617006.0,0,3,SUR,-0.82
97,TQBR,2021-03-30,MDMG-ао,MDMG,409,7048200.5,580.0,554.7,580.0,558.4,561.15,558.4,12560,561.15,561.15,558.4,7048200.5,7048200.5,7048200.5,0,3,SUR,0.0
98,TQBR,2021-03-31,MDMG-ао,MDMG,530,11118411.5,558.4,555.8,567.0,559.8,558.7,558.9,19900,558.7,558.7,559.8,11118411.5,11118411.5,11118411.5,0,3,SUR,0.09
99,TQBR,2021-04-01,MDMG-ао,MDMG,432,7585512.5,560.0,558.05,575.0,569.45,566.5,569.9,13390,566.5,566.5,569.45,7585512.5,7585512.5,7585512.5,0,3,SUR,1.97
0,TQBR,2021-04-02,MDMG-ао,MDMG,465,9450572.5,570.0,561.85,579.95,574.0,572.75,574.65,16500,572.75,572.75,574.0,9450572.5,9450572.5,9450572.5,0,3,SUR,0.83
1,TQBR,2021-04-05,MDMG-ао,MDMG,777,16430773.5,572.4,572.4,597.0,591.75,588.05,592.65,27940,588.05,588.05,591.75,16430773.5,16430773.5,16430773.5,0,3,SUR,3.13
2,TQBR,2021-04-06,MDMG-ао,MDMG,796,17042488.0,590.0,572.2,594.25,577.65,586.65,575.45,29050,586.65,586.65,577.65,17042488.0,17042488.0,17042488.0,0,3,SUR,-2.9
