,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Мегион-ап,MFGSP,5,21051.0,421.04,421.0,421.04,421.02,421.02,421.0,50,426.22,424.89,426.22,1270138.8,798801.3,1270138.8,,3,SUR,-0.94
1,TQBR,2014-06-10,Мегион-ап,MFGSP,5,101230.6,421.03,421.0,422.0,422.0,421.79,422.0,240,,424.54,,0.0,900031.9,0.0,,3,SUR,0.24
2,TQBR,2014-06-11,Мегион-ап,MFGSP,34,1276047.8,420.01,420.0,435.0,435.0,429.65,435.0,2970,429.65,429.65,429.65,1276047.8,1276047.8,1276047.8,,3,SUR,3.08
3,TQBR,2014-06-16,Мегион-ап,MFGSP,24,1024480.1,439.95,434.0,444.56,440.01,439.69,440.0,2330,439.69,439.69,439.69,1006882.1,1006882.1,1006882.1,,3,SUR,1.15
4,TQBR,2014-06-17,Мегион-ап,MFGSP,23,1050798.1,440.02,435.0,444.0,435.05,439.66,435.04,2390,439.66,439.66,439.66,1050798.1,1050798.1,1050798.1,,3,SUR,-1.13
5,TQBR,2014-06-18,Мегион-ап,MFGSP,36,1488594.5,437.09,437.09,450.0,444.12,443.03,444.12,3360,443.03,443.03,443.03,1488594.5,1488594.5,1488594.5,,3,SUR,2.09
6,TQBR,2014-06-19,Мегион-ап,MFGSP,74,2193903.3,451.0,451.0,467.94,460.0,460.9,460.0,4760,460.9,460.9,460.9,2193903.3,2193903.3,2193903.3,,3,SUR,3.58
7,TQBR,2014-06-20,Мегион-ап,MFGSP,84,3661919.4,479.5,465.0,484.78,474.01,477.43,474.01,7670,477.39,477.39,477.39,3589994.4,3589994.4,3589994.4,,3,SUR,3.05
8,TQBR,2014-06-23,Мегион-ап,MFGSP,82,4364245.4,480.0,476.22,496.5,496.3,488.17,496.5,8940,488.17,488.17,488.17,4364245.4,4364245.4,4364245.4,,3,SUR,4.74
9,TQBR,2014-06-24,Мегион-ап,MFGSP,85,5331653.6,496.0,496.0,520.0,507.98,507.29,509.0,10510,507.29,507.29,507.29,5331653.6,5331653.6,5331653.6,,3,SUR,2.52
10,TQBR,2014-06-25,Мегион-ап,MFGSP,70,2063597.0,506.0,495.0,520.0,500.0,512.06,500.0,4030,512.06,512.06,512.06,2063597.0,2063597.0,2063597.0,,3,SUR,-1.77
11,TQBR,2014-06-26,Мегион-ап,MFGSP,26,1753773.7,490.04,490.04,501.15,499.0,499.65,499.0,3510,499.65,499.65,499.65,1753773.7,1753773.7,1753773.7,,3,SUR,-0.2
12,TQBR,2014-06-27,Мегион-ап,MFGSP,31,968359.1,509.93,499.99,511.0,511.0,504.35,511.0,1920,504.35,504.35,504.35,968359.1,968359.1,968359.1,,3,SUR,2.4
13,TQBR,2014-06-30,Мегион-ап,MFGSP,18,515636.2,500.55,500.54,513.0,510.0,510.53,510.0,1010,510.53,510.53,510.53,515636.2,515636.2,515636.2,,3,SUR,-0.2
14,TQBR,2014-07-01,Мегион-ап,MFGSP,23,121117.1,504.79,504.0,504.79,504.65,504.65,504.0,240,,508.91,,0.0,503823.2,0.0,,3,SUR,-1.18
15,TQBR,2014-07-02,Мегион-ап,MFGSP,41,2727525.3,506.17,504.16,520.0,516.07,515.6,516.07,5290,515.6,515.6,515.6,2727525.3,2727525.3,2727525.3,,3,SUR,2.39
16,TQBR,2014-07-03,Мегион-ап,MFGSP,40,783493.0,511.98,511.98,520.0,517.01,518.87,514.02,1510,518.87,518.87,518.87,783493.0,783493.0,783493.0,,3,SUR,-0.4
