,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2013-04-04,МосБиржа,MOEX,97,10148463.2,47.95,47.7,48.65,48.13,48.12,48.13,210880,48.18,48.18,48.18,18915589.9,18915589.9,18915589.9,,3,SUR,-1.21
1,TQBR,2013-04-05,МосБиржа,MOEX,146,16698661.4,48.15,47.47,48.76,48.13,48.29,47.69,345780,48.25,48.25,48.25,22663226.9,22663226.9,22663226.9,,3,SUR,-0.91
2,TQBR,2013-04-08,МосБиржа,MOEX,101,10889442.1,48.07,47.51,48.08,47.52,47.79,47.54,227840,47.79,47.79,47.79,16169507.6,16169507.6,16169507.6,,3,SUR,-0.31
3,TQBR,2013-04-09,МосБиржа,MOEX,170,20233800.0,47.61,47.42,47.8,47.45,47.61,47.48,425000,47.6,47.6,47.6,30226869.9,30226869.9,30226869.9,,3,SUR,-0.13
4,TQBR,2013-04-10,МосБиржа,MOEX,57,6624780.0,47.37,46.96,47.44,46.88,47.29,46.96,140100,47.25,47.25,47.25,26661295.1,26661295.1,26661295.1,,3,SUR,-1.1
5,TQBR,2013-04-11,МосБиржа,MOEX,197,22480934.5,47.0,45.73,47.13,45.86,46.57,45.73,482700,46.62,46.62,46.62,50570770.8,50570770.8,50570770.8,,3,SUR,-2.62
6,TQBR,2013-04-12,МосБиржа,MOEX,306,34171079.0,45.79,45.39,45.88,45.49,45.6,45.63,749350,45.59,45.59,45.59,55558278.6,55558278.6,55558278.6,,3,SUR,-0.22
7,TQBR,2013-04-15,МосБиржа,MOEX,123,14109575.0,45.73,45.53,46.21,45.62,45.88,45.59,307500,45.73,45.73,45.73,77799849.9,77799849.9,77799849.9,,3,SUR,-0.09
8,TQBR,2013-04-16,МосБиржа,MOEX,155,16885817.0,45.39,42.65,45.43,43.46,44.37,43.43,380600,44.59,44.59,44.59,42768297.0,42768297.0,42768297.0,,3,SUR,-4.74
9,TQBR,2013-04-17,МосБиржа,MOEX,116,11059031.7,43.54,43.22,43.76,43.28,43.53,43.43,254050,43.51,43.51,43.51,56047059.9,56047059.9,56047059.9,,3,SUR,0.0
10,TQBR,2013-04-18,МосБиржа,MOEX,82,8639628.0,43.28,42.62,43.54,43.0,43.15,42.63,200200,43.2,43.2,43.2,47033675.2,47033675.2,47033675.2,,3,SUR,-1.84
11,TQBR,2013-04-19,МосБиржа,MOEX,41,4003901.3,43.27,43.03,43.47,43.5,43.23,43.46,92620,43.27,43.27,43.27,61746691.1,61746691.1,61746691.1,,3,SUR,1.95
12,TQBR,2013-04-22,МосБиржа,MOEX,48,4660562.5,43.82,43.53,43.85,43.54,43.66,43.65,106750,43.65,43.65,43.65,25288544.4,25288544.4,25288544.4,,3,SUR,0.44
13,TQBR,2013-04-23,МосБиржа,MOEX,34,3723600.0,43.66,43.66,43.97,44.0,43.81,43.95,85000,43.89,43.89,43.89,40414886.4,40414886.4,40414886.4,,3,SUR,0.69
14,TQBR,2013-04-24,МосБиржа,MOEX,54,4548901.6,44.09,44.09,44.53,44.42,44.33,44.52,102610,44.37,44.37,44.37,24801001.7,24801001.7,24801001.7,,3,SUR,1.3
15,TQBR,2013-04-25,МосБиржа,MOEX,205,22774100.0,44.57,44.13,44.64,44.19,44.44,44.22,512500,44.4,44.4,44.4,47453493.6,47453493.6,47453493.6,,3,SUR,-0.67
16,TQBR,2013-04-26,МосБиржа,MOEX,1078,119244353.7,44.37,44.32,44.92,44.61,44.56,44.68,2676010,44.56,44.56,44.56,155881221.2,155881221.2,155881221.2,,3,SUR,1.04
17,TQBR,2013-04-29,МосБиржа,MOEX,74,5928754.6,44.69,44.44,44.76,44.56,44.65,44.61,132770,44.62,44.62,44.62,14275900.0,14275900.0,14275900.0,,3,SUR,-0.16
18,TQBR,2013-04-30,МосБиржа,MOEX,1467,155913028.1,44.6,44.0,49.04,44.71,44.5,44.91,3503820,44.5,44.5,44.5,170305072.4,170305072.4,170305072.4,,3,SUR,0.67
19,TQBR,2013-05-02,МосБиржа,MOEX,472,52584322.8,44.5,44.29,44.59,44.4,44.54,44.42,1180540,44.53,44.53,44.53,60124702.0,60124702.0,60124702.0,,3,SUR,-1.09
20,TQBR,2013-05-03,МосБиржа,MOEX,415,40368214.5,44.36,44.26,44.8,44.86,44.35,44.55,910300,44.39,44.39,44.39,48105441.6,48105441.6,48105441.6,,3,SUR,0.29
21,TQBR,2013-05-06,МосБиржа,MOEX,639,68684179.6,45.0,45.0,46.8,46.11,46.26,46.1,1484670,46.24,46.24,46.24,100375095.9,100375095.9,100375095.9,,3,SUR,3.48
22,TQBR,2013-05-07,МосБиржа,MOEX,392,38921985.2,46.2,46.2,47.2,47.55,46.4,47.2,838770,46.64,46.64,46.64,61388646.5,61388646.5,61388646.5,,3,SUR,2.39
23,TQBR,2013-05-08,МосБиржа,MOEX,216,17018284.6,47.6,47.2,48.7,48.79,48.03,48.7,354300,48.22,48.22,48.22,50377470.7,50377470.7,50377470.7,,3,SUR,3.18
24,TQBR,2013-05-10,МосБиржа,MOEX,178,21659990.5,47.8,47.8,49.13,48.7,48.77,48.6,444110,48.88,48.88,48.88,57824620.2,57824620.2,57824620.2,,3,SUR,-0.21
25,TQBR,2013-05-13,МосБиржа,MOEX,87,8211779.1,48.84,48.74,49.1,49.19,48.86,48.74,168070,48.88,48.88,48.88,22080314.6,22080314.6,22080314.6,,3,SUR,0.29
