,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Россети Ур,MRKU,6,31306.0,0.05652,0.05652,0.05806,0.058,0.05797,0.058,540000,,0.05812,,0.0,517297.2,0.0,,3,SUR,-2.37
1,TQBR,2014-06-10,Россети Ур,MRKU,38,337108.6,0.05801,0.0565,0.0584,0.057,0.05704,0.057,5910000,,0.05761,,0.0,804261.7,0.0,,3,SUR,-1.72
2,TQBR,2014-06-11,Россети Ур,MRKU,5,18110.6,0.0565,0.0565,0.05701,0.05701,0.0566,0.05701,320000,,0.05759,,0.0,822372.3,0.0,,3,SUR,0.02
3,TQBR,2014-06-16,Россети Ур,MRKU,34,664741.5,0.05671,0.05651,0.05701,0.05685,0.05696,0.05685,11670000,0.05696,0.05696,0.05696,664741.5,664741.5,664741.5,,3,SUR,-0.28
4,TQBR,2014-06-17,Россети Ур,MRKU,14,93079.6,0.05651,0.05502,0.05655,0.05597,0.05607,0.056,1660000,,0.05683,,0.0,515438.1,0.0,,3,SUR,-1.5
5,TQBR,2014-06-18,Россети Ур,MRKU,0,0.0,,,,0.05597,,,0,,0.05683,,0.0,515438.1,0.0,,3,SUR,
6,TQBR,2014-06-19,Россети Ур,MRKU,12,185331.2,0.05895,0.058,0.05925,0.05808,0.05884,0.058,3150000,,0.05749,,0.0,501269.3,0.0,,3,SUR,3.57
7,TQBR,2014-06-20,Россети Ур,MRKU,7,11359.3,0.058,0.0566,0.058,0.05788,0.0568,0.05788,200000,,0.05747,,0.0,512628.6,0.0,,3,SUR,-0.21
8,TQBR,2014-06-23,Россети Ур,MRKU,6,46660.4,0.05702,0.0565,0.05703,0.0565,0.0569,0.0565,820000,,0.05747,,0.0,502289.0,0.0,,3,SUR,-2.38
9,TQBR,2014-06-24,Россети Ур,MRKU,42,239352.7,0.05619,0.04903,0.0585,0.0566,0.05672,0.0566,4220000,,0.05744,,0.0,514623.6,0.0,,3,SUR,0.18
10,TQBR,2014-06-25,Россети Ур,MRKU,7,13681.2,0.0578,0.05598,0.0578,0.057,0.05701,0.057,240000,,0.05742,,0.0,528304.8,0.0,,3,SUR,0.71
11,TQBR,2014-06-26,Россети Ур,MRKU,0,0.0,,,,0.057,,,0,,0.05742,,0.0,528304.8,0.0,,3,SUR,
12,TQBR,2014-06-27,Россети Ур,MRKU,20,194249.1,0.05762,0.05752,0.06009,0.05924,0.05851,0.0594,3320000,,0.05743,,0.0,500182.2,0.0,,3,SUR,4.21
13,TQBR,2014-06-30,Россети Ур,MRKU,6,10129.7,0.05561,0.05561,0.05633,0.05633,0.05628,0.05633,180000,,0.05741,,0.0,504073.1,0.0,,3,SUR,-5.17
14,TQBR,2014-07-01,Россети Ур,MRKU,39,162970.0,0.05797,0.05636,0.05797,0.05698,0.05678,0.05698,2870000,,0.05752,,0.0,526282.0,0.0,,3,SUR,1.15
15,TQBR,2014-07-02,Россети Ур,MRKU,16,91361.1,0.05586,0.05554,0.05685,0.05682,0.05605,0.05685,1630000,,0.0573,,0.0,617643.1,0.0,,3,SUR,-0.23
16,TQBR,2014-07-03,Россети Ур,MRKU,17,94451.8,0.05665,0.05555,0.0567,0.05659,0.05656,0.0567,1670000,,0.0572,,0.0,550272.5,0.0,,3,SUR,-0.26
17,TQBR,2014-07-04,Россети Ур,MRKU,40,313422.5,0.05749,0.0567,0.06079,0.05702,0.05793,0.05702,5410000,,0.05731,,0.0,505503.2,0.0,,3,SUR,0.56
18,TQBR,2014-07-07,Россети Ур,MRKU,9,14033.5,0.05996,0.05731,0.05996,0.05872,0.05847,0.05886,240000,,0.05738,,0.0,504344.0,0.0,,3,SUR,3.23
19,TQBR,2014-07-08,Россети Ур,MRKU,2,1783.5,0.05945,0.05945,0.05945,0.05945,0.05945,0.05945,30000,,0.05738,,0.0,506127.5,0.0,,3,SUR,1.0
20,TQBR,2014-07-09,Россети Ур,MRKU,47,864071.1,0.05895,0.05849,0.06104,0.0606,0.06047,0.0606,14290000,0.06047,0.06047,0.06047,864071.1,864071.1,864071.1,,3,SUR,1.93
21,TQBR,2014-07-10,Россети Ур,MRKU,27,43689.7,0.05907,0.05717,0.05907,0.05818,0.05825,0.05819,750000,,0.06052,,0.0,787314.2,0.0,,3,SUR,-3.98
22,TQBR,2014-07-11,Россети Ур,MRKU,19,323670.0,0.05849,0.0575,0.059,0.05801,0.0577,0.05803,5610000,,0.05846,,0.0,527916.4,0.0,,3,SUR,-0.27
23,TQBR,2014-07-14,Россети Ур,MRKU,25,160468.0,0.05719,0.057,0.05925,0.057,0.05731,0.057,2800000,,0.05758,,0.0,501551.0,0.0,,3,SUR,-1.77
24,TQBR,2014-07-15,Россети Ур,MRKU,70,7899136.3,0.0589,0.0571,0.05927,0.05853,0.05896,0.05853,133980000,0.05896,0.05896,0.05896,7899136.3,7899136.3,7899136.3,,3,SUR,2.68
25,TQBR,2014-07-16,Россети Ур,MRKU,52,239668.1,0.05874,0.05874,0.06098,0.05962,0.05962,0.05962,4020000,,0.05925,,0.0,587759.8,0.0,,3,SUR,1.86
26,TQBR,2014-07-17,Россети Ур,MRKU,14,215629.0,0.05723,0.05723,0.059,0.05896,0.05875,0.059,3670000,,0.05912,,0.0,803388.8,0.0,,3,SUR,-1.04
27,TQBR,2014-07-18,Россети Ур,MRKU,90,7865413.5,0.05874,0.05646,0.05905,0.05903,0.05894,0.05905,133450000,0.05894,0.05894,0.05894,7865413.5,7865413.5,7865413.5,,3,SUR,0.08
28,TQBR,2014-07-21,Россети Ур,MRKU,1,4082.4,0.05832,0.05832,0.05832,0.05832,0.05832,0.05832,70000,0.05894,0.059,0.05894,7869495.9,518059.9,7869495.9,,3,SUR,-1.24
29,TQBR,2014-07-22,Россети Ур,MRKU,2,1142.2,0.05648,0.05648,0.05774,0.05774,0.05711,0.05774,20000,0.05894,0.059,0.05894,7870638.1,519202.1,7870638.1,,3,SUR,-0.99
30,TQBR,2014-07-23,Россети Ур,MRKU,1,1765.5,0.05885,0.05885,0.05885,0.05885,0.05885,0.05885,30000,0.05893,0.059,0.05893,8088032.6,520967.6,8088032.6,,3,SUR,1.92
31,TQBR,2014-07-24,Россети Ур,MRKU,11,20049.7,0.05705,0.05702,0.06027,0.06002,0.05897,0.06027,340000,,0.059,,0.0,541017.3,0.0,,3,SUR,2.41
32,TQBR,2014-07-25,Россети Ур,MRKU,5,10413.8,0.05786,0.05636,0.05946,0.05946,0.05785,0.05946,180000,,0.05898,,0.0,551431.1,0.0,,3,SUR,-1.34
33,TQBR,2014-07-28,Россети Ур,MRKU,32,153699.1,0.05819,0.0534,0.05898,0.0565,0.058,0.0565,2650000,,0.05876,,0.0,705130.2,0.0,,3,SUR,-4.98
