,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2013-07-08,Мечел ао,MTLR,31,290098.0,96.3,96.3,96.7,96.4,96.7,96.7,3000,96.6,96.6,96.6,62872870.8,62872870.8,62872870.8,,3,SUR,
1,TQBR,2013-07-09,Мечел ао,MTLR,0,0.0,,,,94.4,,,0,95.5,95.5,95.5,67013411.0,67013411.0,67013411.0,,3,SUR,
2,TQBR,2013-07-10,Мечел ао,MTLR,0,0.0,,,,94.1,,,0,94.8,94.8,94.8,42904853.1,42904853.1,42904853.1,,3,SUR,
3,TQBR,2013-07-11,Мечел ао,MTLR,14,117543.6,95.1,95.1,95.1,96.1,95.1,95.1,1236,94.9,94.9,94.9,143185371.8,143185371.8,143185371.8,,3,SUR,-1.65
4,TQBR,2013-07-12,Мечел ао,MTLR,0,0.0,,,,97.3,,,0,97.9,97.9,97.9,134608984.0,134608984.0,134608984.0,,3,SUR,
5,TQBR,2013-07-15,Мечел ао,MTLR,0,0.0,,,,95.2,,,0,96.4,96.4,96.4,83543729.8,83543729.8,83543729.8,,3,SUR,
6,TQBR,2013-07-16,Мечел ао,MTLR,6,86760.0,96.3,96.3,96.5,94.8,96.4,96.5,900,95.5,95.5,95.5,130906565.1,130906565.1,130906565.1,,3,SUR,1.47
7,TQBR,2013-07-17,Мечел ао,MTLR,4,30786.1,96.6,94.0,97.5,97.6,95.9,97.5,321,96.6,96.6,96.6,131088168.1,131088168.1,131088168.1,,3,SUR,1.04
8,TQBR,2013-07-18,Мечел ао,MTLR,0,0.0,,,,98.4,,,0,98.3,98.3,98.3,168067000.0,168067000.0,168067000.0,,3,SUR,
9,TQBR,2013-07-19,Мечел ао,MTLR,53,501453.6,97.8,97.6,97.8,97.1,97.6,97.6,5136,97.9,97.9,97.9,86785587.1,86785587.1,86785587.1,,3,SUR,0.1
10,TQBR,2013-07-22,Мечел ао,MTLR,0,0.0,,,,97.1,,,0,97.4,97.4,97.4,55223356.0,55223356.0,55223356.0,,3,SUR,
11,TQBR,2013-07-23,Мечел ао,MTLR,25,30160.1,120.0,91.0,122.7,97.8,101.9,91.0,296,97.9,97.9,97.9,74485251.0,74485251.0,74485251.0,,3,SUR,-6.76
