,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Нижкамшина,NKSH,2,12319.6,10.336,9.5,10.336,10.266,10.266,9.5,1200,,10.786,,0.0,500457.5,0.0,,3,SUR,1.47
1,TQBR,2014-06-10,Нижкамшина,NKSH,0,0.0,,,,10.266,,,0,,10.786,,0.0,500457.5,0.0,,3,SUR,
2,TQBR,2014-06-11,Нижкамшина,NKSH,1,1001.5,10.015,10.015,10.015,10.015,10.015,10.015,100,,10.784,,0.0,500358.8,0.0,,3,SUR,5.42
3,TQBR,2014-06-16,Нижкамшина,NKSH,3,3096.0,10.26,10.26,10.44,10.44,10.32,10.44,300,,10.781,,0.0,503454.8,0.0,,3,SUR,4.24
4,TQBR,2014-06-17,Нижкамшина,NKSH,6,9665.4,10.0,9.575,10.0,9.665,9.665,9.575,1000,,10.75,,0.0,502004.7,0.0,,3,SUR,-8.29
5,TQBR,2014-06-18,Нижкамшина,NKSH,0,0.0,,,,9.665,,,0,,10.75,,0.0,502004.7,0.0,,3,SUR,
6,TQBR,2014-06-19,Нижкамшина,NKSH,4,10999.9,10.0,9.999,10.0,10.0,10.0,10.0,1100,,10.707,,0.0,502173.0,0.0,,3,SUR,4.44
7,TQBR,2014-06-20,Нижкамшина,NKSH,10,57698.8,10.298,9.522,10.75,10.0,10.685,10.0,5400,,10.65,,0.0,501634.2,0.0,,3,SUR,0.0
8,TQBR,2014-06-23,Нижкамшина,NKSH,2,2039.9,10.0,10.0,10.399,10.399,10.2,10.399,200,,10.649,,0.0,503674.1,0.0,,3,SUR,3.99
9,TQBR,2014-06-24,Нижкамшина,NKSH,4,34217.3,10.398,9.81,10.399,9.905,10.369,9.81,3300,,10.583,,0.0,501612.9,0.0,,3,SUR,-5.66
10,TQBR,2014-06-25,Нижкамшина,NKSH,0,0.0,,,,9.905,,,0,,10.583,,0.0,501612.9,0.0,,3,SUR,
11,TQBR,2014-06-26,Нижкамшина,NKSH,1,3171.0,10.57,10.57,10.57,10.57,10.57,10.57,300,,10.574,,0.0,501207.0,0.0,,3,SUR,7.75
12,TQBR,2014-06-27,Нижкамшина,NKSH,0,0.0,,,,10.57,,,0,,10.574,,0.0,501207.0,0.0,,3,SUR,
13,TQBR,2014-06-30,Нижкамшина,NKSH,0,0.0,,,,10.57,,,0,,10.574,,0.0,501207.0,0.0,,3,SUR,
14,TQBR,2014-07-01,Нижкамшина,NKSH,1,975.6,9.756,9.756,9.756,9.756,9.756,9.756,100,,10.572,,0.0,502182.6,0.0,,3,SUR,-7.7
15,TQBR,2014-07-02,Нижкамшина,NKSH,75,513599.7,10.499,10.0,13.2,10.035,10.525,10.011,48800,10.525,10.525,10.525,513599.7,513599.7,513599.7,,3,SUR,2.61
16,TQBR,2014-07-03,Нижкамшина,NKSH,10,41284.7,10.1,9.98,10.1,9.98,10.069,9.98,4100,,10.488,,0.0,503439.3,0.0,,3,SUR,-0.31
17,TQBR,2014-07-04,Нижкамшина,NKSH,5,31309.9,10.1,10.099,10.1,10.1,10.1,10.1,3100,,10.463,,0.0,503251.2,0.0,,3,SUR,1.2
18,TQBR,2014-07-07,Нижкамшина,NKSH,3,22954.0,9.98,9.98,9.98,9.98,9.98,9.98,2300,,10.441,,0.0,526205.2,0.0,,3,SUR,-1.19
19,TQBR,2014-07-08,Нижкамшина,NKSH,0,0.0,,,,9.98,,,0,10.449,10.441,10.449,609148.3,526205.2,609148.3,,3,SUR,
20,TQBR,2014-07-09,Нижкамшина,NKSH,3,13312.5,10.24,10.24,10.241,10.24,10.24,10.241,1300,,10.436,,0.0,539517.7,0.0,,3,SUR,2.62
21,TQBR,2014-07-10,Нижкамшина,NKSH,0,0.0,,,,10.24,,,0,,10.436,,0.0,539517.7,0.0,,3,SUR,
22,TQBR,2014-07-11,Нижкамшина,NKSH,0,0.0,,,,10.24,,,0,10.443,10.436,10.443,623436.4,539517.7,623436.4,,3,SUR,
23,TQBR,2014-07-14,Нижкамшина,NKSH,0,0.0,,,,10.24,,,0,10.443,10.436,10.443,623436.4,539517.7,623436.4,,3,SUR,
24,TQBR,2014-07-15,Нижкамшина,NKSH,0,0.0,,,,10.24,,,0,10.444,10.436,10.444,622460.8,539517.7,622460.8,,3,SUR,
25,TQBR,2014-07-16,Нижкамшина,NKSH,0,0.0,,,,10.24,,,0,,10.436,,0.0,539517.7,0.0,,3,SUR,
26,TQBR,2014-07-17,Нижкамшина,NKSH,0,0.0,,,,10.24,,,0,,10.436,,0.0,539517.7,0.0,,3,SUR,
27,TQBR,2014-07-18,Нижкамшина,NKSH,1,984.0,9.84,9.84,9.84,9.84,9.84,9.84,100,,10.434,,0.0,540501.7,0.0,,3,SUR,-3.92
28,TQBR,2014-07-21,Нижкамшина,NKSH,3,4916.6,9.834,9.833,9.834,9.833,9.833,9.833,500,,10.429,,0.0,545418.3,0.0,,3,SUR,-0.07
29,TQBR,2014-07-22,Нижкамшина,NKSH,0,0.0,,,,9.833,,,0,,10.429,,0.0,545418.3,0.0,,3,SUR,
30,TQBR,2014-07-23,Нижкамшина,NKSH,0,0.0,,,,9.833,,,0,,10.429,,0.0,545418.3,0.0,,3,SUR,
31,TQBR,2014-07-24,Нижкамшина,NKSH,8,10415.0,9.833,8.581,9.833,9.468,9.468,8.581,1100,,10.409,,0.0,555833.3,0.0,,3,SUR,-12.73
32,TQBR,2014-07-25,Нижкамшина,NKSH,1,901.5,9.015,9.015,9.015,9.015,9.015,9.015,100,,10.406,,0.0,556734.8,0.0,,3,SUR,5.06
33,TQBR,2014-07-28,Нижкамшина,NKSH,0,0.0,,,,9.015,,,0,,10.406,,0.0,556734.8,0.0,,3,SUR,
34,TQBR,2014-07-29,Нижкамшина,NKSH,1,998.0,9.98,9.98,9.98,9.98,9.98,9.98,100,,10.405,,0.0,557732.8,0.0,,3,SUR,10.7
35,TQBR,2014-07-30,Нижкамшина,NKSH,14,68224.2,8.734,8.721,9.98,9.671,9.097,8.783,7500,,9.998,,0.0,500885.5,0.0,,3,SUR,-11.99
36,TQBR,2014-07-31,Нижкамшина,NKSH,0,0.0,,,,9.671,,,0,,9.998,,0.0,500885.5,0.0,,3,SUR,
37,TQBR,2014-08-01,Нижкамшина,NKSH,7,10014.4,9.494,9.494,10.525,10.014,10.014,10.525,1000,,9.995,,0.0,507721.1,0.0,,3,SUR,19.83
38,TQBR,2014-08-04,Нижкамшина,NKSH,0,0.0,,,,10.014,,,0,,9.995,,0.0,507721.1,0.0,,3,SUR,
39,TQBR,2014-08-05,Нижкамшина,NKSH,6,36217.0,9.5,9.5,11.777,10.348,10.348,11.777,3500,,9.97,,0.0,501476.7,0.0,,3,SUR,11.9
40,TQBR,2014-08-06,Нижкамшина,NKSH,0,0.0,,,,10.348,,,0,,9.97,,0.0,501476.7,0.0,,3,SUR,
41,TQBR,2014-08-07,Нижкамшина,NKSH,13,41346.8,11.707,8.878,11.707,10.725,9.616,10.999,4300,,9.933,,0.0,516491.1,0.0,,3,SUR,-6.61
