,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ТНСэнНН ао,NNSB,3,10457.6,746.9,746.9,747.0,747.0,747.0,747.0,14,,799.0,,0.0,1236042.0,0.0,,3,SUR,3.89
1,TQBR,2014-06-10,ТНСэнНН ао,NNSB,0,0.0,,,,747.0,,,0,,799.0,,0.0,1236042.0,0.0,,3,SUR,
2,TQBR,2014-06-11,ТНСэнНН ао,NNSB,0,0.0,,,,747.0,,,0,,799.0,,0.0,1236042.0,0.0,,3,SUR,
3,TQBR,2014-06-16,ТНСэнНН ао,NNSB,0,0.0,,,,747.0,,,0,,799.0,,0.0,1236042.0,0.0,,3,SUR,
4,TQBR,2014-06-17,ТНСэнНН ао,NNSB,0,0.0,,,,747.0,,,0,,799.0,,0.0,1236042.0,0.0,,3,SUR,
5,TQBR,2014-06-18,ТНСэнНН ао,NNSB,0,0.0,,,,747.0,,,0,,799.0,,0.0,1236042.0,0.0,,3,SUR,
6,TQBR,2014-06-19,ТНСэнНН ао,NNSB,6,24807.0,777.7,777.7,852.0,826.9,826.9,852.0,30,,799.5,,0.0,1260849.0,0.0,,3,SUR,14.06
7,TQBR,2014-06-20,ТНСэнНН ао,NNSB,3,12220.1,720.1,700.0,720.1,700.0,718.8,700.0,17,,798.7,,0.0,1273069.1,0.0,,3,SUR,-17.84
8,TQBR,2014-06-23,ТНСэнНН ао,NNSB,4,20277.0,701.0,690.0,702.0,690.0,699.2,690.0,29,,796.9,,0.0,1293346.1,0.0,,3,SUR,-1.43
9,TQBR,2014-06-24,ТНСэнНН ао,NNSB,6,58460.0,710.0,710.0,750.1,750.0,749.5,750.0,78,,794.7,,0.0,1351806.1,0.0,,3,SUR,8.7
