,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ЧЗПСН ао,PRFN,0,0.0,,,,0.225,,,0,,,,0.0,0.0,0.0,,3,SUR,
1,TQBR,2014-06-10,ЧЗПСН ао,PRFN,0,0.0,,,,0.225,,,0,,,,0.0,0.0,0.0,,3,SUR,
2,TQBR,2014-06-11,ЧЗПСН ао,PRFN,1,8000.0,0.2,0.2,0.2,0.2,0.2,0.2,40000,,,,0.0,0.0,0.0,,3,SUR,-11.11
3,TQBR,2014-06-16,ЧЗПСН ао,PRFN,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
4,TQBR,2014-06-17,ЧЗПСН ао,PRFN,0,0.0,,,,0.2,,,0,,,,0.0,0.0,0.0,,3,SUR,
5,TQBR,2014-06-18,ЧЗПСН ао,PRFN,2,10000.0,0.2,0.2,0.2,0.2,0.2,0.2,50000,,,,0.0,0.0,0.0,,3,SUR,0.0
6,TQBR,2014-06-19,ЧЗПСН ао,PRFN,5,6511.1,0.1901,0.19,0.2399,0.2399,0.1915,0.2399,34000,,,,0.0,0.0,0.0,,3,SUR,19.95
7,TQBR,2014-06-20,ЧЗПСН ао,PRFN,0,0.0,,,,0.2399,,,0,,,,0.0,0.0,0.0,,3,SUR,
8,TQBR,2014-06-23,ЧЗПСН ао,PRFN,0,0.0,,,,0.2399,,,0,,,,0.0,0.0,0.0,,3,SUR,
9,TQBR,2014-06-24,ЧЗПСН ао,PRFN,0,0.0,,,,0.2399,,,0,,,,0.0,0.0,0.0,,3,SUR,
10,TQBR,2014-06-25,ЧЗПСН ао,PRFN,0,0.0,,,,0.2399,,,0,,,,0.0,0.0,0.0,,3,SUR,
