,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-07-12,ПРОМОМЕД,PRMD,8814,282664446.15,390.0,388.0,407.0,407.0,400.0,407.0,710751,397.7,397.7,,282664446.15,282664446.15,,0,3,SUR,
1,TQBR,2024-07-15,ПРОМОМЕД,PRMD,3637,59166087.65,408.0,399.0,408.0,401.05,402.1,401.05,147147,402.1,402.1,,59166087.65,59166087.65,,0,3,SUR,-1.46
2,TQBR,2024-07-16,ПРОМОМЕД,PRMD,1494,34106194.75,403.75,399.0,404.95,400.0,401.35,400.0,84978,401.35,401.35,,34106194.75,34106194.75,,0,3,SUR,-0.26
3,TQBR,2024-07-17,ПРОМОМЕД,PRMD,1063,23941427.55,400.05,399.0,402.4,401.0,400.95,401.0,59715,400.95,400.95,,23941427.55,23941427.55,,0,3,SUR,0.25
4,TQBR,2024-07-18,ПРОМОМЕД,PRMD,1167,62509714.15,401.05,399.0,404.9,402.25,401.25,402.25,155779,401.25,401.25,,62509714.15,62509714.15,,0,3,SUR,0.31
5,TQBR,2024-07-19,ПРОМОМЕД,PRMD,2124,75496614.3,402.15,396.0,405.0,400.7,399.65,400.7,188899,399.65,399.65,,75496614.3,75496614.3,,0,3,SUR,-0.39
6,TQBR,2024-07-22,ПРОМОМЕД,PRMD,1134,25031538.2,401.15,399.0,402.0,400.0,400.15,400.0,62552,400.15,400.15,,25031538.2,25031538.2,,0,3,SUR,-0.17
7,TQBR,2024-07-23,ПРОМОМЕД,PRMD,894,24017420.05,400.0,396.05,403.05,400.5,401.0,400.5,59894,401.0,401.0,,24017420.05,24017420.05,,0,3,SUR,0.13
8,TQBR,2024-07-24,ПРОМОМЕД,PRMD,1076,20345133.45,401.05,399.0,406.0,405.3,402.3,405.3,50569,402.3,402.3,,20345133.45,20345133.45,,0,3,SUR,1.2
9,TQBR,2024-07-25,ПРОМОМЕД,PRMD,5766,63710234.6,405.5,401.25,440.0,420.5,422.25,420.5,150875,422.25,422.25,,63710234.6,63710234.6,,0,3,SUR,3.75
10,TQBR,2024-07-26,ПРОМОМЕД,PRMD,2451,14025498.6,420.5,410.0,423.05,413.0,415.65,413.0,33744,415.65,415.65,,14025498.6,14025498.6,,0,3,SUR,-1.78
11,TQBR,2024-07-29,ПРОМОМЕД,PRMD,3701,40221499.9,413.0,401.0,430.0,405.0,416.8,405.0,96506,416.8,416.8,,40221499.9,40221499.9,,0,3,SUR,-1.94
12,TQBR,2024-07-30,ПРОМОМЕД,PRMD,1966,16546359.85,412.0,405.0,418.55,410.1,409.65,410.1,40389,409.65,409.65,,16546359.85,16546359.85,,0,3,SUR,1.26
13,TQBR,2024-07-31,ПРОМОМЕД,PRMD,3793,49905803.9,410.1,410.0,430.0,415.1,422.3,415.1,118181,422.3,422.3,,49905803.9,49905803.9,,0,3,SUR,1.22
14,TQBR,2024-08-01,ПРОМОМЕД,PRMD,1982,14369996.25,416.0,414.3,424.5,419.3,419.75,419.3,34235,419.75,419.75,,14369996.25,14369996.25,,0,3,SUR,1.01
15,TQBR,2024-08-02,ПРОМОМЕД,PRMD,3230,36878136.25,419.3,417.05,438.95,422.05,425.9,422.05,86588,425.9,425.9,,36878136.25,36878136.25,,0,3,SUR,0.66
16,TQBR,2024-08-05,ПРОМОМЕД,PRMD,2595,18056068.9,420.0,400.0,420.0,409.5,406.5,409.5,44420,406.5,406.5,,18056068.9,18056068.9,,0,3,SUR,-2.97
17,TQBR,2024-08-06,ПРОМОМЕД,PRMD,1141,10071190.85,410.0,403.85,415.0,405.5,409.7,405.5,24581,409.7,409.7,,10071190.85,10071190.85,,0,3,SUR,-0.98
