,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3901.0,3900,3901.0,994713,744917,994713.0,,3,SUR,
1,TQBR,2014-06-10,ЭнергияРКК,RKKE,7,904240,3920.0,3920.0,4000.0,4000,3966.0,4000.0,228,3960.0,3960,3960.0,997840,997840,997840.0,,3,SUR,2.56
2,TQBR,2014-06-11,ЭнергияРКК,RKKE,0,0,,,,4000,,,0,3950.0,3960,3950.0,1196757,997840,1196757.0,,3,SUR,
3,TQBR,2014-06-16,ЭнергияРКК,RKKE,1,35100,3900.0,3900.0,3900.0,3900,3900.0,3900.0,9,3953.0,3959,3953.0,1114840,1005640,1114840.0,,3,SUR,-2.5
4,TQBR,2014-06-17,ЭнергияРКК,RKKE,4,117322,3920.0,3900.0,3920.0,3906,3911.0,3900.0,30,3958.0,3974,3958.0,1056662,743062,1056662.0,,3,SUR,0.0
5,TQBR,2014-06-18,ЭнергияРКК,RKKE,2,35191,3911.0,3910.0,3911.0,3910,3910.0,3910.0,9,3956.0,3975,3956.0,1091853,707613,1091853.0,,3,SUR,0.26
6,TQBR,2014-06-19,ЭнергияРКК,RKKE,0,0,,,,3910,,,0,3952.0,3975,3952.0,1185453,707613,1185453.0,,3,SUR,
7,TQBR,2014-06-20,ЭнергияРКК,RKKE,1,4090,4090.0,4090.0,4090.0,4090,4090.0,4090.0,1,3956.0,3976,3956.0,1095943,699703,1095943.0,,3,SUR,4.6
8,TQBR,2014-06-23,ЭнергияРКК,RKKE,5,213188,4099.0,4099.0,4100.0,4100,4100.0,4100.0,52,,4007,,0,524891,0.0,,3,SUR,0.24
9,TQBR,2014-06-24,ЭнергияРКК,RKKE,8,437344,4048.0,3900.0,4048.0,3900,3905.0,3900.0,112,3967.0,3957,3967.0,650532,605443,650532.0,,3,SUR,-4.88
10,TQBR,2014-06-25,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3967.0,3957,3967.0,650532,605443,650532.0,,3,SUR,
11,TQBR,2014-06-26,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3967.0,3957,3967.0,654622,605443,654622.0,,3,SUR,
12,TQBR,2014-06-27,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3967.0,3957,3967.0,650532,605443,650532.0,,3,SUR,
13,TQBR,2014-06-30,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3957.0,3957,3957.0,807135,605443,807135.0,,3,SUR,
14,TQBR,2014-07-01,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3964.0,3957,3964.0,689813,605443,689813.0,,3,SUR,
15,TQBR,2014-07-02,ЭнергияРКК,RKKE,3,54990,3900.0,3890.0,4040.0,4040,3928.0,4040.0,14,3964.0,3954,3964.0,709612,656334,709612.0,,3,SUR,3.59
16,TQBR,2014-07-03,ЭнергияРКК,RKKE,8,191299,4049.0,3800.0,4049.0,3900,3904.0,3900.0,49,,3904,,0,530989,0.0,,3,SUR,-3.47
17,TQBR,2014-07-04,ЭнергияРКК,RKKE,3,370505,3905.0,3900.0,3905.0,3900,3900.0,3900.0,95,3901.0,3900,3901.0,561804,557755,561804.0,,3,SUR,0.0
18,TQBR,2014-07-07,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3901.0,3900,3901.0,561804,557755,561804.0,,3,SUR,
19,TQBR,2014-07-08,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3904.0,3900,3904.0,616794,557755,616794.0,,3,SUR,
20,TQBR,2014-07-09,ЭнергияРКК,RKKE,2,7806,3903.0,3903.0,3903.0,3903,3903.0,3903.0,2,3901.0,3900,3901.0,569610,557712,569610.0,,3,SUR,0.08
21,TQBR,2014-07-10,ЭнергияРКК,RKKE,1,7760,3880.0,3880.0,3880.0,3880,3880.0,3880.0,2,3903.0,3900,3903.0,632360,561572,632360.0,,3,SUR,-0.59
22,TQBR,2014-07-11,ЭнергияРКК,RKKE,0,0,,,,3880,,,0,3903.0,3900,3903.0,632360,561572,632360.0,,3,SUR,
23,TQBR,2014-07-14,ЭнергияРКК,RKKE,1,167700,3900.0,3900.0,3900.0,3900,3900.0,3900.0,43,3903.0,3900,3903.0,800060,705872,800060.0,,3,SUR,0.52
24,TQBR,2014-07-15,ЭнергияРКК,RKKE,1,152100,3900.0,3900.0,3900.0,3900,3900.0,3900.0,39,3902.0,3900,3902.0,952160,721472,952160.0,,3,SUR,0.0
25,TQBR,2014-07-16,ЭнергияРКК,RKKE,7,951600,3900.0,3900.0,3900.0,3900,3900.0,3900.0,244,3900.0,3900,3900.0,1279160,1279160,1279160.0,,3,SUR,0.0
26,TQBR,2014-07-17,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3900.0,3900,3900.0,1657471,1279160,1657471.0,,3,SUR,
27,TQBR,2014-07-18,ЭнергияРКК,RKKE,4,386106,3900.0,3900.0,3901.0,3901,3900.0,3901.0,99,3900.0,3900,3900.0,1337706,1318206,1337706.0,,3,SUR,0.03
28,TQBR,2014-07-21,ЭнергияРКК,RKKE,5,108202,3767.0,3401.0,3830.0,3800,3731.0,3800.0,29,3888.0,3878,3888.0,1598008,860908,1598008.0,,3,SUR,-2.59
29,TQBR,2014-07-22,ЭнергияРКК,RKKE,0,0,,,,3800,,,0,3887.0,3878,3887.0,1445908,860908,1445908.0,,3,SUR,
30,TQBR,2014-07-23,ЭнергияРКК,RKKE,7,725400,3900.0,3900.0,3900.0,3900,3900.0,3900.0,186,3877.0,3889,3877.0,833602,812830,833602.0,,3,SUR,2.63
31,TQBR,2014-07-24,ЭнергияРКК,RKKE,1,19250,3850.0,3850.0,3850.0,3850,3850.0,3850.0,5,3884.0,3888,3884.0,1238958,828250,1238958.0,,3,SUR,-1.28
32,TQBR,2014-07-25,ЭнергияРКК,RKKE,0,0,,,,3850,,,0,3877.0,3888,3877.0,852852,828250,852852.0,,3,SUR,
33,TQBR,2014-07-28,ЭнергияРКК,RKKE,1,22800,3800.0,3800.0,3800.0,3800,3800.0,3800.0,6,3891.0,3888,3891.0,2365458,835850,2365458.0,,3,SUR,-1.3
34,TQBR,2014-07-29,ЭнергияРКК,RKKE,0,0,,,,3800,,,0,3890.0,3888,3890.0,2213358,835850,2213358.0,,3,SUR,
35,TQBR,2014-07-30,ЭнергияРКК,RKKE,0,0,,,,3800,,,0,3882.0,3888,3882.0,1261758,835850,1261758.0,,3,SUR,
36,TQBR,2014-07-31,ЭнергияРКК,RKKE,14,3127800,3900.0,3900.0,3900.0,3900,3900.0,3900.0,802,3900.0,3900,3900.0,3127800,3127800,3127800.0,,3,SUR,2.63
37,TQBR,2014-08-01,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3900.0,3900,3900.0,3127800,2823600,3127800.0,,3,SUR,
38,TQBR,2014-08-04,ЭнергияРКК,RKKE,0,0,,,,3900,,,0,3900.0,3900,3900.0,3127800,2823600,3127800.0,,3,SUR,
39,TQBR,2014-08-05,ЭнергияРКК,RKKE,1,3501,3501.0,3501.0,3501.0,3501,3501.0,3501.0,1,3900.0,3899,3900.0,3131301,2741301,3131301.0,,3,SUR,-10.23
40,TQBR,2014-08-06,ЭнергияРКК,RKKE,0,0,,,,3501,,,0,3900.0,3899,3900.0,3131301,2741301,3131301.0,,3,SUR,
