,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2016-11-18,РуссНфт ао,RNFT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
1,TQBR,2016-11-21,РуссНфт ао,RNFT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
2,TQBR,2016-11-22,РуссНфт ао,RNFT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
3,TQBR,2016-11-23,РуссНфт ао,RNFT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
4,TQBR,2016-11-24,РуссНфт ао,RNFT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
5,TQBR,2016-11-25,РуссНфт ао,RNFT,491,17609488.2,605.0,550.1,605.0,558.0,554.5,558.0,31394,560.9,560.9,558.0,17609488.2,17609488.2,17609488.2,,3,SUR,
6,TQBR,2016-11-28,РуссНфт ао,RNFT,348,17132165.8,550.0,547.1,559.8,551.9,550.6,551.9,31113,550.6,550.6,551.9,17132165.8,17132165.8,17132165.8,,3,SUR,-1.09
7,TQBR,2016-11-29,РуссНфт ао,RNFT,267,14717258.6,550.0,549.2,553.6,550.2,551.0,550.2,26708,551.0,551.0,550.2,14717258.6,14717258.6,14717258.6,,3,SUR,-0.31
8,TQBR,2016-11-30,РуссНфт ао,RNFT,419,20051860.1,550.7,550.4,556.0,556.0,553.6,556.0,36222,553.6,553.6,556.0,20051860.1,20051860.1,20051860.1,,3,SUR,1.05
9,TQBR,2016-12-01,РуссНфт ао,RNFT,111,6463479.3,555.7,555.0,557.5,557.3,556.6,557.3,11613,556.6,556.6,557.3,6463479.3,6463479.3,6463479.3,,3,SUR,0.23
10,TQBR,2016-12-02,РуссНфт ао,RNFT,329,22589512.2,556.0,551.0,558.0,558.0,553.6,558.0,40807,553.6,553.6,558.0,22589512.2,22589512.2,22589512.2,,3,SUR,0.13
11,TQBR,2016-12-05,РуссНфт ао,RNFT,248,16110349.9,558.0,552.0,559.5,559.5,552.1,559.5,29074,554.1,554.1,559.5,16110349.9,16110349.9,16110349.9,,3,SUR,0.27
12,TQBR,2016-12-06,РуссНфт ао,RNFT,133,6508018.6,558.6,553.6,559.5,554.9,556.2,555.1,11696,556.4,556.4,554.9,6508018.6,6508018.6,6508018.6,,3,SUR,-0.79
