,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,РОСИНТЕРао,ROST,5,5013,73.6,70.7,73.6,70.7,71.6,70.7,70,,70.3,,0,501047,0.0,,3,SUR,-1.12
1,TQBR,2014-06-10,РОСИНТЕРао,ROST,7,27194,73.8,72.9,73.8,72.9,73.5,72.9,370,,70.4,,0,502997,0.0,,3,SUR,3.11
2,TQBR,2014-06-11,РОСИНТЕРао,ROST,7,9337,74.0,71.2,74.3,72.6,71.8,72.6,130,,70.5,,0,508774,0.0,,3,SUR,-0.41
3,TQBR,2014-06-16,РОСИНТЕРао,ROST,11,25684,70.7,67.0,72.0,71.9,69.4,72.0,370,,70.4,,0,508118,0.0,,3,SUR,-0.83
4,TQBR,2014-06-17,РОСИНТЕРао,ROST,6,19414,71.5,69.0,71.5,69.0,69.3,69.0,280,,70.4,,0,500455,0.0,,3,SUR,-4.17
5,TQBR,2014-06-18,РОСИНТЕРао,ROST,0,0,,,,69.0,,,0,,70.4,,0,500455,0.0,,3,SUR,
6,TQBR,2014-06-19,РОСИНТЕРао,ROST,15,532799,68.5,68.5,71.8,69.7,68.7,69.7,7760,68.7,68.7,68.7,532799,532799,532799.0,,3,SUR,1.01
7,TQBR,2014-06-20,РОСИНТЕРао,ROST,10,36673,69.4,69.0,71.0,69.0,69.2,69.0,530,,68.7,,0,569472,0.0,,3,SUR,-1.0
8,TQBR,2014-06-23,РОСИНТЕРао,ROST,0,0,,,,69.0,,,0,,68.7,,0,569472,0.0,,3,SUR,
9,TQBR,2014-06-24,РОСИНТЕРао,ROST,5,11067,69.1,69.1,69.2,69.2,69.2,69.2,160,,68.7,,0,580539,0.0,,3,SUR,0.29
10,TQBR,2014-06-25,РОСИНТЕРао,ROST,11,58069,68.3,68.0,69.6,69.5,68.3,69.6,850,,68.7,,0,638608,0.0,,3,SUR,0.58
11,TQBR,2014-06-26,РОСИНТЕРао,ROST,6,73891,69.2,68.9,69.2,69.0,69.1,69.0,1070,,68.7,,0,712499,0.0,,3,SUR,-0.86
12,TQBR,2014-06-27,РОСИНТЕРао,ROST,11,434084,68.9,67.9,71.1,68.0,68.0,68.0,6380,,68.2,,0,507975,0.0,,3,SUR,-1.45
13,TQBR,2014-06-30,РОСИНТЕРао,ROST,6,9136,70.2,69.8,70.5,69.8,70.3,69.8,130,,68.2,,0,517111,0.0,,3,SUR,2.65
14,TQBR,2014-07-01,РОСИНТЕРао,ROST,6,9714,69.4,69.3,69.4,69.4,69.4,69.3,140,,68.2,,0,500541,0.0,,3,SUR,-0.72
15,TQBR,2014-07-02,РОСИНТЕРао,ROST,5,33766,68.9,68.9,69.0,68.9,68.9,68.9,490,,68.2,,0,519130,0.0,,3,SUR,-0.58
16,TQBR,2014-07-03,РОСИНТЕРао,ROST,11,39975,69.1,68.9,72.3,71.4,70.1,72.3,570,,68.3,,0,521872,0.0,,3,SUR,4.93
17,TQBR,2014-07-04,РОСИНТЕРао,ROST,15,59564,70.2,68.9,70.2,68.9,69.3,68.9,860,,68.4,,0,581436,0.0,,3,SUR,-4.7
18,TQBR,2014-07-07,РОСИНТЕРао,ROST,5,524942,68.9,68.9,70.0,70.0,70.0,70.0,7500,69.9,69.9,69.9,584506,558015,584506.0,,3,SUR,1.6
19,TQBR,2014-07-08,РОСИНТЕРао,ROST,61,297049,71.6,68.4,86.3,68.4,71.9,68.4,4130,,70.7,,0,808049,0.0,,3,SUR,-2.29
20,TQBR,2014-07-09,РОСИНТЕРао,ROST,37,549390,68.0,67.8,68.0,68.0,68.0,68.0,8080,68.0,68.0,68.0,549390,549390,549390.0,,3,SUR,-0.58
21,TQBR,2014-07-10,РОСИНТЕРао,ROST,64,363740,67.8,60.1,67.8,64.5,62.4,64.9,5830,,63.8,,0,500370,0.0,,3,SUR,-4.56
22,TQBR,2014-07-11,РОСИНТЕРао,ROST,18,55506,64.3,61.1,64.5,62.7,63.1,62.7,880,,63.7,,0,544326,0.0,,3,SUR,-3.39
23,TQBR,2014-07-14,РОСИНТЕРао,ROST,27,124250,65.5,61.0,65.5,62.0,61.8,62.0,2010,,62.1,,0,519108,0.0,,3,SUR,-1.12
24,TQBR,2014-07-15,РОСИНТЕРао,ROST,3,2611,65.1,65.1,65.4,62.0,65.3,65.3,40,,62.1,,0,521719,0.0,,3,SUR,5.32
25,TQBR,2014-07-16,РОСИНТЕРао,ROST,42,329769,65.0,57.2,66.1,60.5,61.3,60.0,5380,,61.6,,0,508278,0.0,,3,SUR,-8.12
26,TQBR,2014-07-17,РОСИНТЕРао,ROST,24,115526,60.0,58.8,61.2,59.0,59.5,58.8,1940,,60.9,,0,538156,0.0,,3,SUR,-2.0
27,TQBR,2014-07-18,РОСИНТЕРао,ROST,13,66542,67.2,58.3,67.2,64.7,65.9,64.9,1010,,61.0,,0,500240,0.0,,3,SUR,10.37
28,TQBR,2014-07-21,РОСИНТЕРао,ROST,0,0,,,,64.7,,,0,,61.0,,0,500240,0.0,,3,SUR,
29,TQBR,2014-07-22,РОСИНТЕРао,ROST,5,44765,64.8,61.0,64.8,61.2,61.3,62.0,730,,60.9,,0,501797,0.0,,3,SUR,-4.47
30,TQBR,2014-07-23,РОСИНТЕРао,ROST,1,647,64.7,64.7,64.7,64.7,64.7,64.7,10,,60.9,,0,502444,0.0,,3,SUR,4.35
31,TQBR,2014-07-24,РОСИНТЕРао,ROST,1,645,64.5,64.5,64.5,64.5,64.5,64.5,10,,60.9,,0,503089,0.0,,3,SUR,-0.31
32,TQBR,2014-07-25,РОСИНТЕРао,ROST,6,7920,61.4,60.7,61.4,60.8,60.9,60.8,130,,60.9,,0,511009,0.0,,3,SUR,-5.74
33,TQBR,2014-07-28,РОСИНТЕРао,ROST,7,27265,60.7,58.3,60.7,58.3,60.6,58.3,450,,60.7,,0,504175,0.0,,3,SUR,-4.11
34,TQBR,2014-07-29,РОСИНТЕРао,ROST,8,74958,58.2,58.0,60.1,60.1,58.1,60.1,1290,,60.1,,0,500857,0.0,,3,SUR,3.09
35,TQBR,2014-07-30,РОСИНТЕРао,ROST,13,13196,57.9,56.6,58.1,57.6,57.4,58.1,230,,60.0,,0,507793,0.0,,3,SUR,-3.33
36,TQBR,2014-07-31,РОСИНТЕРао,ROST,24,75100,57.9,55.6,60.0,59.9,58.2,59.9,1290,,59.4,,0,516509,0.0,,3,SUR,3.1
37,TQBR,2014-08-01,РОСИНТЕРао,ROST,47,205898,57.3,52.3,57.3,53.5,53.2,53.5,3870,,56.6,,0,505176,0.0,,3,SUR,-10.68
38,TQBR,2014-08-04,РОСИНТЕРао,ROST,16,41039,57.1,55.1,57.2,56.8,57.0,57.0,720,,56.4,,0,501151,0.0,,3,SUR,6.54
39,TQBR,2014-08-05,РОСИНТЕРао,ROST,6,6218,55.1,55.1,56.7,56.6,56.5,56.6,110,,56.4,,0,502843,0.0,,3,SUR,-0.7
40,TQBR,2014-08-06,РОСИНТЕРао,ROST,6,157567,56.4,55.0,56.8,55.2,56.3,55.0,2800,,55.4,,0,505419,0.0,,3,SUR,-2.83
