,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,СаратЭн-ао,SARE,14,33518.4,0.03999,0.037,0.04481,0.04,0.03809,0.04,880000,,0.02898,,0,505162.7,0.0,,3,SUR,12.2
1,TQBR,2014-06-10,СаратЭн-ао,SARE,4,2083.5,0.03999,0.03999,0.04443,0.04443,0.04167,0.04443,50000,,0.02902,,0,507246.2,0.0,,3,SUR,11.07
2,TQBR,2014-06-11,СаратЭн-ао,SARE,2,19804.1,0.04991,0.0495,0.04991,0.0495,0.04951,0.0495,400000,,0.02973,,0,500068.4,0.0,,3,SUR,11.41
3,TQBR,2014-06-16,СаратЭн-ао,SARE,0,0.0,,,,0.0495,,,0,,0.02973,,0,500068.4,0.0,,3,SUR,
4,TQBR,2014-06-17,СаратЭн-ао,SARE,0,0.0,,,,0.0495,,,0,,0.02973,,0,500068.4,0.0,,3,SUR,
5,TQBR,2014-06-18,СаратЭн-ао,SARE,15,14099.6,0.04947,0.0396,0.04988,0.04937,0.04862,0.04937,290000,,0.03012,,0,509654.9,0.0,,3,SUR,-0.26
6,TQBR,2014-06-19,СаратЭн-ао,SARE,0,0.0,,,,0.04937,,,0,,0.03012,,0,509654.9,0.0,,3,SUR,
7,TQBR,2014-06-20,СаратЭн-ао,SARE,2,840.9,0.04444,0.03965,0.04444,0.03965,0.04205,0.03965,20000,,0.03035,,0,500815.8,0.0,,3,SUR,-19.69
8,TQBR,2014-06-23,СаратЭн-ао,SARE,3,1190.9,0.03806,0.03806,0.04297,0.03806,0.0397,0.03806,30000,,0.03037,,0,502006.7,0.0,,3,SUR,-4.01
9,TQBR,2014-06-24,СаратЭн-ао,SARE,1,449.6,0.04496,0.04496,0.04496,0.04496,0.04496,0.04496,10000,,0.03038,,0,502456.3,0.0,,3,SUR,18.13
10,TQBR,2014-06-25,СаратЭн-ао,SARE,1,361.3,0.03613,0.03613,0.03613,0.03613,0.03613,0.03613,10000,,0.03038,,0,502817.6,0.0,,3,SUR,-19.64
11,TQBR,2014-06-26,СаратЭн-ао,SARE,0,0.0,,,,0.03613,,,0,,0.03038,,0,502817.6,0.0,,3,SUR,
12,TQBR,2014-06-27,СаратЭн-ао,SARE,0,0.0,,,,0.03613,,,0,,0.03038,,0,502817.6,0.0,,3,SUR,
13,TQBR,2014-06-30,СаратЭн-ао,SARE,0,0.0,,,,0.03613,,,0,,0.03038,,0,502817.6,0.0,,3,SUR,
14,TQBR,2014-07-01,СаратЭн-ао,SARE,1,390.0,0.039,0.039,0.039,0.039,0.039,0.039,10000,,0.03039,,0,503207.6,0.0,,3,SUR,7.94
15,TQBR,2014-07-02,СаратЭн-ао,SARE,4,8844.9,0.04,0.038,0.04549,0.04549,0.03846,0.04549,230000,,0.03067,,0,504792.5,0.0,,3,SUR,16.64
16,TQBR,2014-07-03,СаратЭн-ао,SARE,0,0.0,,,,0.04549,,,0,,0.03067,,0,504792.5,0.0,,3,SUR,
17,TQBR,2014-07-04,СаратЭн-ао,SARE,6,2270.6,0.04959,0.03451,0.04959,0.03784,0.03784,0.03451,60000,,0.03069,,0,507063.1,0.0,,3,SUR,-24.14
18,TQBR,2014-07-07,СаратЭн-ао,SARE,3,2790.0,0.039,0.039,0.04,0.04,0.03986,0.04,70000,,0.03073,,0,509853.1,0.0,,3,SUR,15.91
