,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Сургнфгз,SNGS,6405,404388751.9,27.152,26.831,27.33,26.942,27.133,26.942,14903900,27.133,27.133,27.133,404388751.9,404388751.9,404388751.9,,3,SUR,-0.73
1,TQBR,2014-06-10,Сургнфгз,SNGS,7453,432892121.7,27.0,26.7,27.394,27.394,27.087,27.394,15981600,27.087,27.087,27.087,432892121.7,432892121.7,432892121.7,,3,SUR,1.68
2,TQBR,2014-06-11,Сургнфгз,SNGS,10318,611471117.2,27.37,27.204,27.65,27.559,27.475,27.559,22255600,27.475,27.475,27.475,611462906.2,611462906.2,611462906.2,,3,SUR,0.6
3,TQBR,2014-06-16,Сургнфгз,SNGS,21493,1863936923.9,27.4,27.0,27.635,27.351,27.401,27.351,68023500,27.401,27.401,27.401,1863599903.9,1863599903.9,1863599903.9,,3,SUR,-0.75
4,TQBR,2014-06-17,Сургнфгз,SNGS,9607,673663500.1,28.121,27.313,28.121,27.792,27.57,27.792,24434500,27.57,27.57,27.57,673137637.4,673137637.4,673137637.4,,3,SUR,1.61
5,TQBR,2014-06-18,Сургнфгз,SNGS,9802,725413347.0,27.842,27.768,28.388,28.184,28.171,28.184,25750100,28.171,28.171,28.171,725366015.6,725366015.6,725366015.6,,3,SUR,1.41
6,TQBR,2014-06-19,Сургнфгз,SNGS,11871,627093198.8,28.4,27.211,28.474,27.248,27.818,27.248,22542500,27.817,27.817,27.817,625928798.8,625928798.8,625928798.8,,3,SUR,-3.32
7,TQBR,2014-06-20,Сургнфгз,SNGS,8874,502127351.1,27.098,26.763,27.318,27.186,27.059,27.186,18556500,27.059,27.059,27.059,502029798.3,502029798.3,502029798.3,,3,SUR,-0.23
8,TQBR,2014-06-23,Сургнфгз,SNGS,6649,314470345.1,27.275,27.06,27.498,27.275,27.302,27.275,11518100,27.302,27.302,27.302,314464890.1,314464890.1,314464890.1,,3,SUR,0.33
9,TQBR,2014-06-24,Сургнфгз,SNGS,10141,533608014.6,27.37,27.317,27.825,27.8,27.587,27.8,19342600,27.587,27.587,27.587,533608014.6,533608014.6,533608014.6,,3,SUR,1.92
10,TQBR,2014-06-25,Сургнфгз,SNGS,10594,522458308.8,27.599,26.7,27.699,26.717,27.107,26.717,19274200,27.107,27.107,27.107,522416910.3,522416910.3,522416910.3,,3,SUR,-3.9
11,TQBR,2014-06-26,Сургнфгз,SNGS,8006,394742510.0,26.855,26.28,26.928,26.5,26.551,26.5,14867200,26.551,26.551,26.551,394576009.0,394576009.0,394576009.0,,3,SUR,-0.81
12,TQBR,2014-06-27,Сургнфгз,SNGS,8272,355958738.1,26.703,26.257,26.73,26.6,26.556,26.6,13404200,26.556,26.556,26.556,355608928.8,355608928.8,355608928.8,,3,SUR,0.38
13,TQBR,2014-06-30,Сургнфгз,SNGS,6576,344230819.5,26.641,26.111,26.696,26.436,26.317,26.436,13080400,26.317,26.317,26.317,344214834.9,344214834.9,344214834.9,,3,SUR,-0.62
14,TQBR,2014-07-01,Сургнфгз,SNGS,7618,348714479.7,26.968,26.12,26.968,26.673,26.462,26.673,13177800,26.462,26.462,26.462,348525703.7,348525703.7,348525703.7,,3,SUR,0.9
15,TQBR,2014-07-02,Сургнфгз,SNGS,11751,603588369.4,26.627,26.627,27.484,27.484,27.126,27.484,22251100,27.126,27.126,27.126,603583044.0,603583044.0,603583044.0,,3,SUR,3.04
16,TQBR,2014-07-03,Сургнфгз,SNGS,4622,244978972.6,27.629,27.169,27.629,27.26,27.354,27.26,8955800,27.354,27.354,27.354,244912663.0,244912663.0,244912663.0,,3,SUR,-0.82
17,TQBR,2014-07-04,Сургнфгз,SNGS,9693,464207587.4,27.728,26.301,27.728,26.595,26.888,26.595,17264300,26.888,26.888,26.888,464202041.8,464202041.8,464202041.8,,3,SUR,-2.44
18,TQBR,2014-07-07,Сургнфгз,SNGS,7580,385041130.1,26.647,26.584,27.143,27.0,26.847,27.0,14342100,26.847,26.847,26.847,384985171.4,384985171.4,384985171.4,,3,SUR,1.52
