,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-09-25,iСофтлайн,SOFL,1711,52540174.0,199.04,155.0,210.0,164.24,176.76,160.0,297230,176.76,176.76,,52540174.0,52540174.0,,0,3,SUR,
1,TQBR,2023-09-26,iСофтлайн,SOFL,65415,1552171114.6,160.0,135.0,160.0,148.6,145.5,148.6,10667720,145.5,145.5,,1552171114.6,1552171114.6,,0,3,SUR,-7.13
2,TQBR,2023-09-27,iСофтлайн,SOFL,19559,421378923.4,145.1,145.0,154.0,150.04,149.4,150.04,2820490,149.4,149.4,,421378923.4,421378923.4,,0,3,SUR,0.97
3,TQBR,2023-09-28,iСофтлайн,SOFL,177608,5042425723.0,150.4,149.16,205.34,200.5,187.36,200.5,26933090,187.22,187.22,,5042425723.0,5042425723.0,,0,3,SUR,33.63
4,TQBR,2023-09-29,iСофтлайн,SOFL,210836,6953763831.2,200.58,200.18,253.2,216.02,236.98,216.02,29343240,236.98,236.98,,6953763831.2,6953763831.2,,0,3,SUR,7.74
5,TQBR,2023-10-02,iСофтлайн,SOFL,64651,1687837087.2,218.04,203.0,233.6,207.92,218.66,207.92,7718710,218.66,218.66,,1687837087.2,1687837087.2,,0,3,SUR,-3.75
6,TQBR,2023-10-03,iСофтлайн,SOFL,48834,1170027386.0,207.92,191.1,208.48,195.22,197.72,195.22,5912130,197.9,197.9,,1170027386.0,1170027386.0,,0,3,SUR,-6.11
7,TQBR,2023-10-04,iСофтлайн,SOFL,26094,456456386.8,196.0,189.12,196.0,195.0,192.16,195.0,2374920,192.2,192.2,,456456386.8,456456386.8,,0,3,SUR,-0.11
8,TQBR,2023-10-05,iСофтлайн,SOFL,67735,1795024362.2,198.5,196.0,210.3,198.62,203.94,198.62,8795760,204.08,204.08,,1795024362.2,1795024362.2,,0,3,SUR,1.86
9,TQBR,2023-10-06,iСофтлайн,SOFL,30788,538320834.0,199.8,192.02,201.54,196.98,196.18,196.98,2744040,196.18,196.18,,538320834.0,538320834.0,,0,3,SUR,-0.83
10,TQBR,2023-10-09,iСофтлайн,SOFL,24868,565182908.8,198.54,193.12,202.3,196.04,196.92,196.04,2870150,196.92,196.92,,565182908.8,565182908.8,,0,3,SUR,-0.48
11,TQBR,2023-10-10,iСофтлайн,SOFL,16495,346474662.6,196.88,190.04,197.0,192.88,192.8,192.88,1796990,192.8,192.8,,346474662.6,346474662.6,,0,3,SUR,-1.61
12,TQBR,2023-10-11,iСофтлайн,SOFL,7955,141824803.6,193.0,190.7,193.98,191.36,192.18,191.36,737940,192.2,192.2,,141824803.6,141824803.6,,0,3,SUR,-0.79
13,TQBR,2023-10-12,iСофтлайн,SOFL,17596,378954844.6,190.5,184.02,190.56,184.4,187.02,184.4,2024440,187.18,187.18,,378954844.6,378954844.6,,0,3,SUR,-3.64
14,TQBR,2023-10-13,iСофтлайн,SOFL,24950,554757382.2,185.1,181.0,192.58,187.02,185.72,187.02,2982860,185.98,185.98,,554757382.2,554757382.2,,0,3,SUR,1.42
15,TQBR,2023-10-16,iСофтлайн,SOFL,28296,676456640.8,187.98,179.16,191.44,180.04,182.12,180.04,3709180,182.38,182.38,,676456640.8,676456640.8,,0,3,SUR,-3.73
16,TQBR,2023-10-17,iСофтлайн,SOFL,27901,542487304.2,179.98,170.34,179.98,171.0,173.22,171.0,3128070,173.42,173.42,,542487304.2,542487304.2,,0,3,SUR,-5.02
17,TQBR,2023-10-18,iСофтлайн,SOFL,14450,290543078.8,171.8,165.8,171.8,167.9,167.64,167.9,1733200,167.64,167.64,,290543078.8,290543078.8,,0,3,SUR,-1.81
