,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,СтаврЭнСб,STSB,0,0.0,,,,0.1781,,,0,,0.1762,,0.0,534698.4,0.0,,3,SUR,
1,TQBR,2014-06-10,СтаврЭнСб,STSB,0,0.0,,,,0.1781,,,0,,0.1762,,0.0,534698.4,0.0,,3,SUR,
2,TQBR,2014-06-11,СтаврЭнСб,STSB,3,3700.0,0.18,0.172,0.18,0.1762,0.1762,0.18,21000,,0.176,,0.0,502717.8,0.0,,3,SUR,1.07
3,TQBR,2014-06-16,СтаврЭнСб,STSB,2,2698.5,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,15000,,0.176,,0.0,505416.3,0.0,,3,SUR,-0.06
4,TQBR,2014-06-17,СтаврЭнСб,STSB,0,0.0,,,,0.1799,,,0,,0.176,,0.0,505416.3,0.0,,3,SUR,
5,TQBR,2014-06-18,СтаврЭнСб,STSB,1,179.9,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,1000,,0.176,,0.0,505596.2,0.0,,3,SUR,0.0
6,TQBR,2014-06-19,СтаврЭнСб,STSB,0,0.0,,,,0.1799,,,0,,0.176,,0.0,505596.2,0.0,,3,SUR,
7,TQBR,2014-06-20,СтаврЭнСб,STSB,0,0.0,,,,0.1799,,,0,,0.176,,0.0,505596.2,0.0,,3,SUR,
8,TQBR,2014-06-23,СтаврЭнСб,STSB,0,0.0,,,,0.1799,,,0,,0.176,,0.0,505596.2,0.0,,3,SUR,
9,TQBR,2014-06-24,СтаврЭнСб,STSB,0,0.0,,,,0.1799,,,0,,0.176,,0.0,505596.2,0.0,,3,SUR,
10,TQBR,2014-06-25,СтаврЭнСб,STSB,1,181.2,0.1812,0.1812,0.1812,0.1812,0.1812,0.1812,1000,,0.176,,0.0,505777.4,0.0,,3,SUR,0.72
11,TQBR,2014-06-26,СтаврЭнСб,STSB,0,0.0,,,,0.1812,,,0,,0.176,,0.0,505777.4,0.0,,3,SUR,
12,TQBR,2014-06-27,СтаврЭнСб,STSB,0,0.0,,,,0.1812,,,0,,0.176,,0.0,505777.4,0.0,,3,SUR,
13,TQBR,2014-06-30,СтаврЭнСб,STSB,1,189.1,0.1891,0.1891,0.1891,0.1891,0.1891,0.1891,1000,,0.176,,0.0,505966.5,0.0,,3,SUR,4.36
14,TQBR,2014-07-01,СтаврЭнСб,STSB,2,352.1,0.1761,0.176,0.1761,0.1761,0.1761,0.176,2000,,0.176,,0.0,506318.6,0.0,,3,SUR,-6.93
15,TQBR,2014-07-02,СтаврЭнСб,STSB,1,188.5,0.1885,0.1885,0.1885,0.1885,0.1885,0.1885,1000,,0.1761,,0.0,506507.1,0.0,,3,SUR,7.1
16,TQBR,2014-07-03,СтаврЭнСб,STSB,9,7052.9,0.1999,0.1801,0.1999,0.1893,0.1808,0.1893,39000,,0.176,,0.0,500960.0,0.0,,3,SUR,0.42
17,TQBR,2014-07-04,СтаврЭнСб,STSB,5,925.3,0.1761,0.1761,0.1899,0.1801,0.1851,0.1801,5000,,0.176,,0.0,501885.3,0.0,,3,SUR,-4.86
18,TQBR,2014-07-07,СтаврЭнСб,STSB,3,559.3,0.19,0.18,0.19,0.1893,0.1864,0.1893,3000,,0.176,,0.0,502444.6,0.0,,3,SUR,5.11
19,TQBR,2014-07-08,СтаврЭнСб,STSB,3,3964.3,0.18,0.18,0.1897,0.18,0.1888,0.18,21000,,0.1761,,0.0,500828.9,0.0,,3,SUR,-4.91
20,TQBR,2014-07-09,СтаврЭнСб,STSB,2,360.0,0.18,0.18,0.18,0.18,0.18,0.18,2000,,0.1761,,0.0,501188.9,0.0,,3,SUR,0.0
21,TQBR,2014-07-10,СтаврЭнСб,STSB,17,29993.0,0.18,0.175,0.1898,0.175,0.1764,0.175,170000,,0.176,,0.0,513271.9,0.0,,3,SUR,-2.78
22,TQBR,2014-07-11,СтаврЭнСб,STSB,2,4140.0,0.18,0.18,0.18,0.18,0.18,0.18,23000,,0.1761,,0.0,517411.9,0.0,,3,SUR,2.86
23,TQBR,2014-07-14,СтаврЭнСб,STSB,0,0.0,,,,0.18,,,0,,0.1761,,0.0,517411.9,0.0,,3,SUR,
24,TQBR,2014-07-15,СтаврЭнСб,STSB,12,137646.0,0.1717,0.1701,0.1799,0.1799,0.1701,0.1799,809000,,0.1744,,0.0,578190.6,0.0,,3,SUR,-0.06
