,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,СтаврЭнСбп,STSBP,0,0.0,,,,0.094,,,0,,0.0959,,0.0,561950.4,0.0,,3,SUR,
1,TQBR,2014-06-10,СтаврЭнСбп,STSBP,0,0.0,,,,0.094,,,0,,0.0959,,0.0,561950.4,0.0,,3,SUR,
2,TQBR,2014-06-11,СтаврЭнСбп,STSBP,36,72898.0,0.0988,0.0923,0.0988,0.0949,0.0931,0.0949,783000,,0.0949,,0.0,502925.0,0.0,,3,SUR,0.96
3,TQBR,2014-06-16,СтаврЭнСбп,STSBP,24,53327.9,0.092,0.0913,0.092,0.0913,0.0916,0.0913,582000,,0.0948,,0.0,502565.7,0.0,,3,SUR,-3.79
4,TQBR,2014-06-17,СтаврЭнСбп,STSBP,1,475.0,0.095,0.095,0.095,0.095,0.095,0.095,5000,,0.0948,,0.0,503040.7,0.0,,3,SUR,4.05
5,TQBR,2014-06-18,СтаврЭнСбп,STSBP,4,123924.0,0.092,0.092,0.092,0.092,0.092,0.092,1347000,,0.0938,,0.0,502235.7,0.0,,3,SUR,-3.16
6,TQBR,2014-06-19,СтаврЭнСбп,STSBP,2,184.1,0.0921,0.092,0.0921,0.0921,0.0921,0.092,2000,,0.0938,,0.0,502419.8,0.0,,3,SUR,0.0
7,TQBR,2014-06-20,СтаврЭнСбп,STSBP,0,0.0,,,,0.0921,,,0,,0.0938,,0.0,502419.8,0.0,,3,SUR,
8,TQBR,2014-06-23,СтаврЭнСбп,STSBP,35,30488.2,0.0903,0.09,0.0933,0.0927,0.0902,0.0933,338000,,0.0933,,0.0,500216.8,0.0,,3,SUR,1.41
9,TQBR,2014-06-24,СтаврЭнСбп,STSBP,24,17606.1,0.0941,0.0902,0.0941,0.0923,0.0917,0.0929,192000,,0.0932,,0.0,500273.4,0.0,,3,SUR,-0.43
10,TQBR,2014-06-25,СтаврЭнСбп,STSBP,8,1377.2,0.0911,0.0908,0.0931,0.0931,0.0918,0.0931,15000,,0.0932,,0.0,501650.6,0.0,,3,SUR,0.22
11,TQBR,2014-06-26,СтаврЭнСбп,STSBP,12,142774.7,0.0945,0.0945,0.0949,0.0949,0.0947,0.0949,1508000,,0.093,,0.0,525681.2,0.0,,3,SUR,1.93
12,TQBR,2014-06-27,СтаврЭнСбп,STSBP,17,186097.8,0.0932,0.093,0.0943,0.0943,0.093,0.0943,2001000,,0.093,,0.0,502452.1,0.0,,3,SUR,-0.63
13,TQBR,2014-06-30,СтаврЭнСбп,STSBP,0,0.0,,,,0.0943,,,0,,0.093,,0.0,502452.1,0.0,,3,SUR,
14,TQBR,2014-07-01,СтаврЭнСбп,STSBP,3,279.0,0.0931,0.0929,0.0931,0.093,0.093,0.0929,3000,,0.093,,0.0,500247.1,0.0,,3,SUR,-1.48
15,TQBR,2014-07-02,СтаврЭнСбп,STSBP,0,0.0,,,,0.093,,,0,,0.093,,0.0,500247.1,0.0,,3,SUR,
16,TQBR,2014-07-03,СтаврЭнСбп,STSBP,6,1992.7,0.0948,0.0948,0.0949,0.0949,0.0949,0.0949,21000,,0.093,,0.0,502239.8,0.0,,3,SUR,2.15
17,TQBR,2014-07-04,СтаврЭнСбп,STSBP,16,17833.6,0.0934,0.0934,0.0948,0.0938,0.0939,0.0934,190000,,0.0931,,0.0,509033.4,0.0,,3,SUR,-1.58
18,TQBR,2014-07-07,СтаврЭнСбп,STSBP,4,569.5,0.0993,0.0939,0.0993,0.094,0.0949,0.0939,6000,,0.0931,,0.0,509602.9,0.0,,3,SUR,0.54
19,TQBR,2014-07-08,СтаврЭнСбп,STSBP,4,946.0,0.0943,0.0943,0.0949,0.0949,0.0946,0.0949,10000,,0.0931,,0.0,510548.9,0.0,,3,SUR,1.06
20,TQBR,2014-07-09,СтаврЭнСбп,STSBP,3,3511.3,0.0949,0.0949,0.0949,0.0949,0.0949,0.0949,37000,,0.0931,,0.0,514060.2,0.0,,3,SUR,0.0
21,TQBR,2014-07-10,СтаврЭнСбп,STSBP,61,140202.9,0.0951,0.0899,0.0951,0.0913,0.0912,0.0913,1537000,,0.093,,0.0,500657.2,0.0,,3,SUR,-3.79
22,TQBR,2014-07-11,СтаврЭнСбп,STSBP,43,62341.2,0.0982,0.0911,0.0982,0.093,0.0929,0.0931,671000,,0.093,,0.0,552201.7,0.0,,3,SUR,1.97
23,TQBR,2014-07-14,СтаврЭнСбп,STSBP,0,0.0,,,,0.093,,,0,,0.093,,0.0,552201.7,0.0,,3,SUR,
24,TQBR,2014-07-15,СтаврЭнСбп,STSBP,0,0.0,,,,0.093,,,0,,0.093,,0.0,552201.7,0.0,,3,SUR,
25,TQBR,2014-07-16,СтаврЭнСбп,STSBP,1,278.7,0.0929,0.0929,0.0929,0.0929,0.0929,0.0929,3000,,0.093,,0.0,552480.4,0.0,,3,SUR,-0.21
26,TQBR,2014-07-17,СтаврЭнСбп,STSBP,7,6044.5,0.0901,0.09,0.0926,0.0916,0.0902,0.0916,67000,,0.093,,0.0,558524.9,0.0,,3,SUR,-1.4
27,TQBR,2014-07-18,СтаврЭнСбп,STSBP,34,10370.2,0.0988,0.0923,0.0988,0.0957,0.096,0.0957,108000,,0.093,,0.0,568895.1,0.0,,3,SUR,4.48
28,TQBR,2014-07-21,СтаврЭнСбп,STSBP,10,19341.6,0.092,0.0901,0.0942,0.0942,0.093,0.0942,208000,,0.0928,,0.0,513391.7,0.0,,3,SUR,-1.57
29,TQBR,2014-07-22,СтаврЭнСбп,STSBP,45,108801.1,0.0934,0.0931,0.0959,0.0949,0.0948,0.095,1148000,,0.0929,,0.0,502713.6,0.0,,3,SUR,0.85
30,TQBR,2014-07-23,СтаврЭнСбп,STSBP,3,6048.1,0.0946,0.0945,0.0946,0.0945,0.0945,0.0945,64000,,0.093,,0.0,508761.7,0.0,,3,SUR,-0.53
