,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-12-15,Совкомбанк,SVCB,80082,3084380873.0,14.6,12.33,14.9,12.505,12.605,12.505,235374000,13.105,13.105,,3084380873.0,3084380873.0,,0,3,SUR,
1,TQBR,2023-12-18,Совкомбанк,SVCB,38732,1578800595.5,12.6,12.55,13.1,12.9,12.89,12.9,122471200,12.89,12.89,,1578800595.5,1578800595.5,,0,3,SUR,3.16
2,TQBR,2023-12-19,Совкомбанк,SVCB,15543,518997169.0,12.925,12.55,13.06,12.61,12.735,12.61,40704700,12.75,12.75,,518997169.0,518997169.0,,0,3,SUR,-2.25
3,TQBR,2023-12-20,Совкомбанк,SVCB,10447,387314486.0,12.64,12.55,12.905,12.805,12.71,12.805,30497500,12.7,12.7,,387314486.0,387314486.0,,0,3,SUR,1.55
4,TQBR,2023-12-21,Совкомбанк,SVCB,14246,679410689.5,12.805,12.71,13.29,13.16,13.045,13.16,52074600,13.045,13.045,,679410689.5,679410689.5,,0,3,SUR,2.77
5,TQBR,2023-12-22,Совкомбанк,SVCB,21541,749686421.0,13.24,13.16,13.795,13.71,13.585,13.71,55191300,13.585,13.585,,749686421.0,749686421.0,,0,3,SUR,4.18
6,TQBR,2023-12-25,Совкомбанк,SVCB,21252,745150100.5,13.8,13.31,14.335,13.5,13.835,13.5,53860800,13.835,13.835,,745150100.5,745150100.5,,0,3,SUR,-1.53
7,TQBR,2023-12-26,Совкомбанк,SVCB,8389,219021571.0,13.75,13.4,13.765,13.52,13.555,13.52,16156300,13.555,13.555,,219021571.0,219021571.0,,0,3,SUR,0.15
8,TQBR,2023-12-27,Совкомбанк,SVCB,7161,212196940.5,13.65,13.505,13.7,13.655,13.615,13.655,15586800,13.615,13.615,,212196940.5,212196940.5,,0,3,SUR,1.0
9,TQBR,2023-12-28,Совкомбанк,SVCB,10233,395605262.0,13.66,13.5,13.9,13.605,13.71,13.605,28859900,13.71,13.71,,395605262.0,395605262.0,,0,3,SUR,-0.37
10,TQBR,2023-12-29,Совкомбанк,SVCB,5456,133784108.0,13.665,13.6,13.785,13.7,13.675,13.7,9784100,13.675,13.675,,133784108.0,133784108.0,,0,3,SUR,0.7
