,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0735,,,0,,,,0,0.0,0.0,,3,SUR,
1,TQBR,2014-06-10,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0735,,,0,,,,0,0.0,0.0,,3,SUR,
2,TQBR,2014-06-11,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0735,,,0,,,,0,0.0,0.0,,3,SUR,
3,TQBR,2014-06-16,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0735,,,0,,,,0,0.0,0.0,,3,SUR,
4,TQBR,2014-06-17,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0735,,,0,,,,0,0.0,0.0,,3,SUR,
5,TQBR,2014-06-18,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0735,,,0,,,,0,0.0,0.0,,3,SUR,
6,TQBR,2014-06-19,ТамбЭнСб-п,TASBP,8,193901.0,0.0621,0.0621,0.07389,0.069,0.06295,0.069,3080000,,0.05976,,0,500214.2,0.0,,3,SUR,-6.12
7,TQBR,2014-06-20,ТамбЭнСб-п,TASBP,0,0.0,,,,0.069,,,0,,0.05976,,0,500214.2,0.0,,3,SUR,
8,TQBR,2014-06-23,ТамбЭнСб-п,TASBP,0,0.0,,,,0.069,,,0,,0.05976,,0,500214.2,0.0,,3,SUR,
9,TQBR,2014-06-24,ТамбЭнСб-п,TASBP,0,0.0,,,,0.069,,,0,,0.05976,,0,500214.2,0.0,,3,SUR,
10,TQBR,2014-06-25,ТамбЭнСб-п,TASBP,0,0.0,,,,0.069,,,0,,0.05976,,0,500214.2,0.0,,3,SUR,
11,TQBR,2014-06-26,ТамбЭнСб-п,TASBP,0,0.0,,,,0.069,,,0,,,,0,0.0,0.0,,3,SUR,
12,TQBR,2014-06-27,ТамбЭнСб-п,TASBP,4,118433.0,0.063,0.0629,0.0673,0.0673,0.063,0.0673,1880000,,,,0,0.0,0.0,,3,SUR,-2.46
13,TQBR,2014-06-30,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0673,,,0,,,,0,0.0,0.0,,3,SUR,
14,TQBR,2014-07-01,ТамбЭнСб-п,TASBP,5,10253.5,0.06181,0.04936,0.06181,0.05696,0.05696,0.04936,180000,,,,0,0.0,0.0,,3,SUR,-26.66
15,TQBR,2014-07-02,ТамбЭнСб-п,TASBP,8,21339.1,0.06413,0.06413,0.0721,0.0671,0.06884,0.067,310000,,,,0,0.0,0.0,,3,SUR,35.74
16,TQBR,2014-07-03,ТамбЭнСб-п,TASBP,4,9610.5,0.06011,0.06,0.06011,0.06007,0.06007,0.06,160000,,,,0,0.0,0.0,,3,SUR,-10.45
17,TQBR,2014-07-04,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
18,TQBR,2014-07-07,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
19,TQBR,2014-07-08,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
20,TQBR,2014-07-09,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
21,TQBR,2014-07-10,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
22,TQBR,2014-07-11,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
23,TQBR,2014-07-14,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
24,TQBR,2014-07-15,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
25,TQBR,2014-07-16,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
26,TQBR,2014-07-17,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
27,TQBR,2014-07-18,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06007,,,0,,,,0,0.0,0.0,,3,SUR,
28,TQBR,2014-07-21,ТамбЭнСб-п,TASBP,2,4060.0,0.058,0.058,0.058,0.058,0.058,0.058,70000,,,,0,0.0,0.0,,3,SUR,-3.33
29,TQBR,2014-07-22,ТамбЭнСб-п,TASBP,0,0.0,,,,0.058,,,0,,,,0,0.0,0.0,,3,SUR,
30,TQBR,2014-07-23,ТамбЭнСб-п,TASBP,2,2224.7,0.0505,0.0505,0.07097,0.07097,0.05562,0.07097,40000,,,,0,0.0,0.0,,3,SUR,22.36
31,TQBR,2014-07-24,ТамбЭнСб-п,TASBP,7,23399.9,0.06,0.05999,0.06,0.06,0.06,0.06,390000,,,,0,0.0,0.0,,3,SUR,-15.46
32,TQBR,2014-07-25,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06,,,0,,,,0,0.0,0.0,,3,SUR,
33,TQBR,2014-07-28,ТамбЭнСб-п,TASBP,1,715.0,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,10000,,,,0,0.0,0.0,,3,SUR,19.17
34,TQBR,2014-07-29,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0715,,,0,,,,0,0.0,0.0,,3,SUR,
35,TQBR,2014-07-30,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0715,,,0,,,,0,0.0,0.0,,3,SUR,
36,TQBR,2014-07-31,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0715,,,0,,,,0,0.0,0.0,,3,SUR,
37,TQBR,2014-08-01,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0715,,,0,,,,0,0.0,0.0,,3,SUR,
38,TQBR,2014-08-04,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0715,,,0,,,,0,0.0,0.0,,3,SUR,
39,TQBR,2014-08-05,ТамбЭнСб-п,TASBP,5,8553.8,0.06,0.059,0.07149,0.062,0.0611,0.062,140000,,,,0,0.0,0.0,,3,SUR,-13.29
40,TQBR,2014-08-06,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
41,TQBR,2014-08-07,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
42,TQBR,2014-08-08,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
43,TQBR,2014-08-11,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
44,TQBR,2014-08-12,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
45,TQBR,2014-08-13,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
46,TQBR,2014-08-14,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
47,TQBR,2014-08-15,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
48,TQBR,2014-08-18,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
49,TQBR,2014-08-19,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
50,TQBR,2014-08-20,ТамбЭнСб-п,TASBP,0,0.0,,,,0.062,,,0,,,,0,0.0,0.0,,3,SUR,
51,TQBR,2014-08-21,ТамбЭнСб-п,TASBP,2,1956.2,0.0635,0.0635,0.06862,0.06862,0.06521,0.06862,30000,,,,0,0.0,0.0,,3,SUR,10.68
52,TQBR,2014-08-22,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06862,,,0,,,,0,0.0,0.0,,3,SUR,
53,TQBR,2014-08-25,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06862,,,0,,,,0,0.0,0.0,,3,SUR,
54,TQBR,2014-08-26,ТамбЭнСб-п,TASBP,23,126508.9,0.054,0.054,0.057,0.05426,0.05453,0.05401,2320000,,0.06051,,0,520955.6,0.0,,3,SUR,-21.29
55,TQBR,2014-08-27,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05426,,,0,,0.06051,,0,520955.6,0.0,,3,SUR,
56,TQBR,2014-08-28,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05426,,,0,,0.06051,,0,520955.6,0.0,,3,SUR,
57,TQBR,2014-08-29,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05426,,,0,,0.06051,,0,520955.6,0.0,,3,SUR,
58,TQBR,2014-09-01,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05426,,,0,,0.06051,,0,520955.6,0.0,,3,SUR,
59,TQBR,2014-09-02,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05426,,,0,,0.06051,,0,520955.6,0.0,,3,SUR,
60,TQBR,2014-09-03,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05426,,,0,,0.06051,,0,520955.6,0.0,,3,SUR,
61,TQBR,2014-09-04,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05426,,,0,,0.06051,,0,520955.6,0.0,,3,SUR,
62,TQBR,2014-09-05,ТамбЭнСб-п,TASBP,17,18043.7,0.05101,0.04961,0.05897,0.05797,0.05155,0.05797,350000,,0.06016,,0,538999.3,0.0,,3,SUR,7.33
63,TQBR,2014-09-08,ТамбЭнСб-п,TASBP,1,2067.2,0.05168,0.05168,0.05168,0.05797,0.05168,0.05168,40000,,0.06012,,0,541066.5,0.0,,3,SUR,-10.85
64,TQBR,2014-09-09,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05797,,,0,,0.06012,,0,541066.5,0.0,,3,SUR,
65,TQBR,2014-09-10,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05797,,,0,,0.06012,,0,541066.5,0.0,,3,SUR,
66,TQBR,2014-09-11,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05797,,,0,,0.06012,,0,541066.5,0.0,,3,SUR,
67,TQBR,2014-09-12,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05797,,,0,,0.06012,,0,541066.5,0.0,,3,SUR,
68,TQBR,2014-09-15,ТамбЭнСб-п,TASBP,5,39607.7,0.05746,0.05534,0.05746,0.05745,0.0574,0.05746,690000,,0.05993,,0,580674.2,0.0,,3,SUR,11.18
69,TQBR,2014-09-16,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05745,,,0,,0.05993,,0,580674.2,0.0,,3,SUR,
70,TQBR,2014-09-17,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05745,,,0,,0.05993,,0,580674.2,0.0,,3,SUR,
71,TQBR,2014-09-18,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05745,,,0,,0.05993,,0,580674.2,0.0,,3,SUR,
72,TQBR,2014-09-19,ТамбЭнСб-п,TASBP,4,13386.0,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,230000,,0.05989,,0,594060.2,0.0,,3,SUR,1.29
73,TQBR,2014-09-22,ТамбЭнСб-п,TASBP,11,5592.9,0.05,0.05,0.0511,0.05099,0.05084,0.05108,110000,,0.05979,,0,599653.1,0.0,,3,SUR,-12.23
74,TQBR,2014-09-23,ТамбЭнСб-п,TASBP,17,12611.2,0.04989,0.04906,0.055,0.05184,0.05044,0.055,250000,,0.05956,,0,612264.3,0.0,,3,SUR,7.67
75,TQBR,2014-09-24,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05184,,,0,,0.05956,,0,612264.3,0.0,,3,SUR,
76,TQBR,2014-09-25,ТамбЭнСб-п,TASBP,0,0.0,,,,0.05184,,,0,,0.05956,,0,612264.3,0.0,,3,SUR,
77,TQBR,2014-09-26,ТамбЭнСб-п,TASBP,3,1817.7,0.05927,0.05927,0.062,0.062,0.06059,0.062,30000,,0.05956,,0,614082.0,0.0,,3,SUR,12.73
78,TQBR,2014-09-29,ТамбЭнСб-п,TASBP,2,1217.0,0.062,0.0597,0.062,0.06085,0.06085,0.0597,20000,,0.05956,,0,615299.0,0.0,,3,SUR,-3.71
79,TQBR,2014-09-30,ТамбЭнСб-п,TASBP,0,0.0,,,,0.06085,,,0,,0.05956,,0,615299.0,0.0,,3,SUR,
80,TQBR,2014-10-01,ТамбЭнСб-п,TASBP,17,41472.0,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,640000,,0.0599,,0,656771.0,0.0,,3,SUR,8.54
81,TQBR,2014-10-02,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0648,,,0,,0.0599,,0,656771.0,0.0,,3,SUR,
82,TQBR,2014-10-03,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0648,,,0,,0.0599,,0,656771.0,0.0,,3,SUR,
83,TQBR,2014-10-06,ТамбЭнСб-п,TASBP,3,1845.0,0.06,0.06,0.0645,0.0645,0.0615,0.0645,30000,,0.0599,,0,658616.0,0.0,,3,SUR,-0.46
84,TQBR,2014-10-07,ТамбЭнСб-п,TASBP,2,41472.0,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,640000,,0.0591,,0,506187.0,0.0,,3,SUR,0.47
85,TQBR,2014-10-08,ТамбЭнСб-п,TASBP,17,53974.0,0.06,0.05,0.06,0.055,0.0504,0.055,1070000,,0.0577,,0,501571.0,0.0,,3,SUR,-15.12
86,TQBR,2014-10-09,ТамбЭнСб-п,TASBP,1,549.0,0.0549,0.0549,0.0549,0.0549,0.0549,0.0549,10000,,0.0576,,0,502120.0,0.0,,3,SUR,-0.18
87,TQBR,2014-10-10,ТамбЭнСб-п,TASBP,1,548.0,0.0548,0.0548,0.0548,0.0548,0.0548,0.0548,10000,,0.0576,,0,502668.0,0.0,,3,SUR,-0.18
88,TQBR,2014-10-13,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0548,,,0,,0.0576,,0,502668.0,0.0,,3,SUR,
89,TQBR,2014-10-14,ТамбЭнСб-п,TASBP,1,547.0,0.0547,0.0547,0.0547,0.0547,0.0547,0.0547,10000,,0.0576,,0,503215.0,0.0,,3,SUR,-0.18
90,TQBR,2014-10-15,ТамбЭнСб-п,TASBP,4,11629.0,0.052,0.052,0.0529,0.0529,0.0529,0.0529,220000,,0.0575,,0,514844.0,0.0,,3,SUR,-3.29
91,TQBR,2014-10-16,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0529,,,0,,0.0575,,0,514844.0,0.0,,3,SUR,
92,TQBR,2014-10-17,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0529,,,0,,0.0575,,0,514844.0,0.0,,3,SUR,
93,TQBR,2014-10-20,ТамбЭнСб-п,TASBP,0,0.0,,,,0.0529,,,0,,0.0575,,0,514844.0,0.0,,3,SUR,
94,TQBR,2014-10-21,ТамбЭнСб-п,TASBP,2,5251.0,0.0526,0.0525,0.0526,0.0525,0.0525,0.0525,100000,,0.0575,,0,520095.0,0.0,,3,SUR,-0.76
95,TQBR,2014-10-22,ТамбЭнСб-п,TASBP,1,557.0,0.0557,0.0557,0.0557,0.0557,0.0557,0.0557,10000,,0.0575,,0,520652.0,0.0,,3,SUR,6.1
96,TQBR,2014-10-23,ТамбЭнСб-п,TASBP,1,510.0,0.051,0.051,0.051,0.051,0.051,0.051,10000,,0.0575,,0,521162.0,0.0,,3,SUR,-8.44
