,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,РСТомск ао,TORS,1,5000,0.5,0.5,0.5,0.5,0.5,0.5,10000,,0.4775,,0,573050,0.0,,3,SUR,0.0
1,TQBR,2014-06-10,РСТомск ао,TORS,4,95000,0.5,0.5,0.5,0.5,0.5,0.5,190000,,0.4825,,0,545250,0.0,,3,SUR,0.0
2,TQBR,2014-06-11,РСТомск ао,TORS,2,160100,0.5,0.5,0.51,0.51,0.5003,0.51,320000,,0.5001,,0,525100,0.0,,3,SUR,2.0
3,TQBR,2014-06-16,РСТомск ао,TORS,1,50000,0.5,0.5,0.5,0.5,0.5,0.5,100000,0.5001,0.5001,0.5001,560100,560100,560100.0,,3,SUR,-1.96
4,TQBR,2014-06-17,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,SUR,
5,TQBR,2014-06-18,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,SUR,
6,TQBR,2014-06-19,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,SUR,
7,TQBR,2014-06-20,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,SUR,
8,TQBR,2014-06-23,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,SUR,
9,TQBR,2014-06-24,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,SUR,
10,TQBR,2014-06-25,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,SUR,
11,TQBR,2014-06-26,РСТомск ао,TORS,2,25000,0.5,0.5,0.5,0.5,0.5,0.5,50000,,0.5001,,0,570100,0.0,,3,SUR,0.0
12,TQBR,2014-06-27,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,570100,0.0,,3,SUR,
13,TQBR,2014-06-30,РСТомск ао,TORS,1,5000,0.5,0.5,0.5,0.5,0.5,0.5,10000,,0.5001,,0,575100,0.0,,3,SUR,0.0
14,TQBR,2014-07-01,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,575100,0.0,,3,SUR,
15,TQBR,2014-07-02,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,575100,0.0,,3,SUR,
16,TQBR,2014-07-03,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,575100,0.0,,3,SUR,
17,TQBR,2014-07-04,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,575100,0.0,,3,SUR,
18,TQBR,2014-07-07,РСТомск ао,TORS,3,25000,0.5,0.5,0.5,0.5,0.5,0.5,50000,,0.5001,,0,600100,0.0,,3,SUR,0.0
19,TQBR,2014-07-08,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,600100,0.0,,3,SUR,
20,TQBR,2014-07-09,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,600100,0.0,,3,SUR,
21,TQBR,2014-07-10,РСТомск ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,600100,0.0,,3,SUR,
22,TQBR,2014-07-11,РСТомск ао,TORS,2,30020,0.5,0.5,0.502,0.5003,0.5003,0.502,60000,,0.5001,,0,630120,0.0,,3,SUR,0.4
23,TQBR,2014-07-14,РСТомск ао,TORS,0,0,,,,0.5003,,,0,,0.5001,,0,630120,0.0,,3,SUR,
24,TQBR,2014-07-15,РСТомск ао,TORS,0,0,,,,0.5003,,,0,,0.5001,,0,630120,0.0,,3,SUR,
25,TQBR,2014-07-16,РСТомск ао,TORS,0,0,,,,0.5003,,,0,,0.5001,,0,630120,0.0,,3,SUR,
26,TQBR,2014-07-17,РСТомск ао,TORS,0,0,,,,0.5003,,,0,,0.5001,,0,630120,0.0,,3,SUR,
27,TQBR,2014-07-18,РСТомск ао,TORS,0,0,,,,0.5003,,,0,,0.5001,,0,630120,0.0,,3,SUR,
28,TQBR,2014-07-21,РСТомск ао,TORS,0,0,,,,0.5003,,,0,,0.5001,,0,630120,0.0,,3,SUR,
29,TQBR,2014-07-22,РСТомск ао,TORS,0,0,,,,0.5003,,,0,,0.5001,,0,630120,0.0,,3,SUR,
