,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,РСТомск ап,TORSP,0,0,,,,0.25,,,0,0.248,0.2499,0.248,1604329,552336,1604329.0,,3,SUR,
1,TQBR,2014-06-10,РСТомск ап,TORSP,11,624571,0.2598,0.255,0.26,0.255,0.2581,0.255,2420000,0.2581,0.2581,0.2581,624571,624571,624571.0,,3,SUR,2.0
2,TQBR,2014-06-11,РСТомск ап,TORSP,15,986945,0.2501,0.25,0.262,0.257,0.257,0.257,3840000,0.257,0.257,0.257,986945,986945,986945.0,,3,SUR,0.78
3,TQBR,2014-06-16,РСТомск ап,TORSP,6,155281,0.2582,0.2522,0.26,0.2589,0.2588,0.26,600000,0.2573,0.2576,0.2573,1142226,525566,1142226.0,,3,SUR,1.17
4,TQBR,2014-06-17,РСТомск ап,TORSP,4,31248,0.2648,0.26,0.2648,0.26,0.2604,0.26,120000,,0.2578,,0,556814,0.0,,3,SUR,0.0
5,TQBR,2014-06-18,РСТомск ап,TORSP,1,5196,0.2598,0.2598,0.2598,0.2598,0.2598,0.2598,20000,,0.2578,,0,562010,0.0,,3,SUR,-0.08
6,TQBR,2014-06-19,РСТомск ап,TORSP,2,5122,0.2523,0.2523,0.2599,0.2599,0.2561,0.2599,20000,0.2573,0.2578,0.2573,1183792,567132,1183792.0,,3,SUR,0.04
7,TQBR,2014-06-20,РСТомск ап,TORSP,14,913696,0.2555,0.2555,0.27,0.2598,0.2581,0.26,3540000,0.2581,0.2581,0.2581,913696,913696,913696.0,,3,SUR,0.04
8,TQBR,2014-06-23,РСТомск ап,TORSP,12,299008,0.2602,0.2599,0.2602,0.26,0.26,0.26,1150000,,0.2599,,0,558774,0.0,,3,SUR,0.0
9,TQBR,2014-06-24,РСТомск ап,TORSP,0,0,,,,0.26,,,0,,0.2599,,0,558774,0.0,,3,SUR,
10,TQBR,2014-06-25,РСТомск ап,TORSP,6,108978,0.2699,0.2699,0.277,0.275,0.2724,0.275,400000,,0.2619,,0,667752,0.0,,3,SUR,5.77
11,TQBR,2014-06-26,РСТомск ап,TORSP,14,416004,0.2603,0.2599,0.2603,0.26,0.26,0.26,1600000,,0.2624,,0,519584,0.0,,3,SUR,-5.45
12,TQBR,2014-06-27,РСТомск ап,TORSP,0,0,,,,0.26,,,0,,0.2624,,0,519584,0.0,,3,SUR,
13,TQBR,2014-06-30,РСТомск ап,TORSP,5,20775,0.265,0.2563,0.265,0.2581,0.2597,0.2563,80000,,0.2623,,0,540359,0.0,,3,SUR,-1.42
14,TQBR,2014-07-01,РСТомск ап,TORSP,12,74357,0.2564,0.255,0.2599,0.2596,0.2564,0.2596,290000,,0.2594,,0,500731,0.0,,3,SUR,1.29
15,TQBR,2014-07-02,РСТомск ап,TORSP,33,770682,0.2501,0.2499,0.2588,0.25,0.2502,0.25,3080000,0.2502,0.2502,0.2502,770682,770682,770682.0,,3,SUR,-3.7
16,TQBR,2014-07-03,РСТомск ап,TORSP,31,191502,0.2551,0.2357,0.2551,0.244,0.2455,0.244,780000,,0.2488,,0,754001,0.0,,3,SUR,-2.4
17,TQBR,2014-07-04,РСТомск ап,TORSP,86,1696288,0.2352,0.228,0.2401,0.2321,0.234,0.2321,7250000,0.234,0.234,0.234,1679824,1679824,1679824.0,,3,SUR,-4.88
18,TQBR,2014-07-07,РСТомск ап,TORSP,1,2397,0.2397,0.2397,0.2397,0.2397,0.2397,0.2397,10000,0.234,0.2302,0.234,1682221,511114,1682221.0,,3,SUR,3.27
19,TQBR,2014-07-08,РСТомск ап,TORSP,2,4794,0.2397,0.2397,0.2397,0.2397,0.2397,0.2397,20000,0.234,0.2303,0.234,1687015,515908,1687015.0,,3,SUR,0.0
20,TQBR,2014-07-09,РСТомск ап,TORSP,0,0,,,,0.2397,,,0,0.2351,0.2303,0.2351,1878517,515908,1878517.0,,3,SUR,
21,TQBR,2014-07-10,РСТомск ап,TORSP,0,0,,,,0.2397,,,0,0.234,0.2303,0.234,1687015,515908,1687015.0,,3,SUR,
22,TQBR,2014-07-11,РСТомск ап,TORSP,9,37506,0.2365,0.2317,0.2388,0.2388,0.2344,0.2388,160000,,0.2306,,0,530414,0.0,,3,SUR,-0.38
23,TQBR,2014-07-14,РСТомск ап,TORSP,2,23450,0.2345,0.2345,0.2345,0.2345,0.2345,0.2345,100000,,0.2308,,0,553864,0.0,,3,SUR,-1.8
24,TQBR,2014-07-15,РСТомск ап,TORSP,2,49355,0.2355,0.235,0.2355,0.235,0.235,0.235,210000,,0.2313,,0,511219,0.0,,3,SUR,0.21
25,TQBR,2014-07-16,РСТомск ап,TORSP,3,10548,0.2636,0.2636,0.2638,0.2637,0.2637,0.2638,40000,,0.232,,0,505667,0.0,,3,SUR,12.26
26,TQBR,2014-07-17,РСТомск ап,TORSP,7,1032596,0.2596,0.25,0.2596,0.25,0.25,0.25,4130000,0.2502,0.2502,0.2502,1043144,1043144,1043144.0,,3,SUR,-5.23
27,TQBR,2014-07-18,РСТомск ап,TORSP,5,101820,0.2495,0.242,0.2495,0.2421,0.2424,0.242,420000,0.2493,0.2487,0.2493,1134416,631820,1134416.0,,3,SUR,-3.2
28,TQBR,2014-07-21,РСТомск ап,TORSP,0,0,,,,0.2421,,,0,0.2493,0.2487,0.2493,1134416,631820,1134416.0,,3,SUR,
29,TQBR,2014-07-22,РСТомск ап,TORSP,8,19880,0.248,0.247,0.25,0.2485,0.2485,0.248,80000,,0.2487,,0,651700,0.0,,3,SUR,2.48
30,TQBR,2014-07-23,РСТомск ап,TORSP,2,4976,0.2488,0.2488,0.2488,0.2488,0.2488,0.2488,20000,,0.2487,,0,656676,0.0,,3,SUR,0.32
31,TQBR,2014-07-24,РСТомск ап,TORSP,0,0,,,,0.2488,,,0,,0.2487,,0,656676,0.0,,3,SUR,
32,TQBR,2014-07-25,РСТомск ап,TORSP,0,0,,,,0.2488,,,0,,0.2487,,0,656676,0.0,,3,SUR,
33,TQBR,2014-07-28,РСТомск ап,TORSP,5,22500,0.25,0.25,0.25,0.25,0.25,0.25,90000,,0.2488,,0,679176,0.0,,3,SUR,0.48
34,TQBR,2014-07-29,РСТомск ап,TORSP,0,0,,,,0.25,,,0,0.2494,0.2488,0.2494,1192320,679176,1192320.0,,3,SUR,
35,TQBR,2014-07-30,РСТомск ап,TORSP,7,40109,0.25,0.25,0.2597,0.2501,0.2507,0.2501,160000,,0.2489,,0,719285,0.0,,3,SUR,0.04
36,TQBR,2014-07-31,РСТомск ап,TORSP,3,110050,0.25,0.25,0.255,0.25,0.2501,0.25,440000,,0.2486,,0,579335,0.0,,3,SUR,-0.04
37,TQBR,2014-08-01,РСТомск ап,TORSP,7,40724,0.2408,0.2408,0.259,0.2552,0.2545,0.2552,160000,,0.249,,0,620059,0.0,,3,SUR,2.08
38,TQBR,2014-08-04,РСТомск ап,TORSP,33,2209931,0.2588,0.2499,0.2649,0.26,0.2534,0.2649,8720000,0.2534,0.2534,0.2534,2209931,2209931,2209931.0,,3,SUR,3.8
39,TQBR,2014-08-05,РСТомск ап,TORSP,2,5197,0.2598,0.2598,0.2599,0.2599,0.2599,0.2599,20000,0.2534,0.2517,0.2534,2215128,510909,2215128.0,,3,SUR,-1.89
