,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2013-12-16,Транснф ап,TRNFP,1613,245604792.0,85444.0,85340.0,86334.0,85706.0,85906.0,85985.0,2859,85907.0,85907.0,85907.0,245780804.0,245780804.0,245780804.0,,3,SUR,0.46
1,TQBR,2013-12-17,Транснф ап,TRNFP,1365,243934892.0,84642.0,84642.0,86900.0,85800.0,85772.0,85800.0,2844,85772.0,85772.0,85772.0,243850250.0,243850250.0,243850250.0,,3,SUR,-0.22
2,TQBR,2013-12-18,Транснф ап,TRNFP,812,132664409.0,85800.0,85252.0,85800.0,85500.0,85480.0,85500.0,1552,85493.0,85493.0,85493.0,139610259.0,139610259.0,139610259.0,,3,SUR,-0.35
3,TQBR,2013-12-19,Транснф ап,TRNFP,1562,245372022.0,85510.0,85449.0,86555.0,85900.0,86156.0,85875.0,2848,86157.0,86157.0,86157.0,245115492.0,245115492.0,245115492.0,,3,SUR,0.44
4,TQBR,2013-12-20,Транснф ап,TRNFP,2716,516354366.0,85820.0,84502.0,86065.0,85000.0,85109.0,85300.0,6067,85119.0,85119.0,85119.0,525100566.0,525100566.0,525100566.0,,3,SUR,-0.67
5,TQBR,2013-12-23,Транснф ап,TRNFP,1334,222335854.0,85295.0,84374.0,85799.0,85400.0,85186.0,85725.0,2610,85186.0,85186.0,85186.0,222079969.0,222079969.0,222079969.0,,3,SUR,0.5
6,TQBR,2013-12-24,Транснф ап,TRNFP,861,153738244.0,85558.0,85229.0,86380.0,86161.0,86080.0,86151.0,1786,86095.0,86095.0,86095.0,158501244.0,158501244.0,158501244.0,,3,SUR,0.5
7,TQBR,2013-12-25,Транснф ап,TRNFP,661,185054931.0,86251.0,86201.0,86980.0,86702.0,86636.0,86721.0,2136,86636.0,86636.0,86636.0,185054931.0,185054931.0,185054931.0,,3,SUR,0.66
8,TQBR,2013-12-26,Транснф ап,TRNFP,886,235719665.0,86802.0,86608.0,87789.0,87300.0,87336.0,87386.0,2699,87336.0,87336.0,87336.0,235719665.0,235719665.0,235719665.0,,3,SUR,0.77
9,TQBR,2013-12-27,Транснф ап,TRNFP,1748,314124241.0,87389.0,85500.0,87432.0,85600.0,86369.0,85888.0,3637,86369.0,86369.0,86369.0,314124241.0,314124241.0,314124241.0,,3,SUR,-1.71
10,TQBR,2013-12-30,Транснф ап,TRNFP,987,227504114.0,85449.0,84990.0,86539.0,86539.0,85464.0,85900.0,2662,85464.0,85464.0,85464.0,227333216.0,227333216.0,227333216.0,,3,SUR,0.01
11,TQBR,2014-01-06,Транснф ап,TRNFP,1772,260837233.0,85102.0,83214.0,86758.0,83455.0,84853.0,83817.0,3074,84853.0,84853.0,84853.0,260922232.0,260922232.0,260922232.0,,3,SUR,-2.42
12,TQBR,2014-01-08,Транснф ап,TRNFP,1998,422832302.0,83909.0,82251.0,84101.0,82800.0,82860.0,82800.0,5103,82859.0,82859.0,82859.0,422748393.0,422748393.0,422748393.0,,3,SUR,-1.21
13,TQBR,2014-01-09,Транснф ап,TRNFP,1337,227066991.0,83000.0,83000.0,83610.0,83400.0,83358.0,83251.0,2724,83358.0,83358.0,83358.0,227066991.0,227066991.0,227066991.0,,3,SUR,0.54
14,TQBR,2014-01-10,Транснф ап,TRNFP,2249,496209815.0,83101.0,82766.0,83850.0,83450.0,83299.0,83635.0,5957,83299.0,83299.0,83299.0,496209815.0,496209815.0,496209815.0,,3,SUR,0.46
15,TQBR,2014-01-13,Транснф ап,TRNFP,1574,285766722.0,83430.0,83011.0,84024.0,83101.0,83460.0,83620.0,3424,83460.0,83460.0,83460.0,285766722.0,285766722.0,285766722.0,,3,SUR,-0.02
16,TQBR,2014-01-14,Транснф ап,TRNFP,2850,487808016.0,83000.0,82366.0,84456.0,83880.0,83557.0,83920.0,5838,83558.0,83558.0,83558.0,487476016.0,487476016.0,487476016.0,,3,SUR,0.36
17,TQBR,2014-01-15,Транснф ап,TRNFP,1558,196264053.0,84293.0,83420.0,84379.0,83870.0,83838.0,83902.0,2341,83835.0,83835.0,83835.0,196927573.0,196927573.0,196927573.0,,3,SUR,-0.02
18,TQBR,2014-01-16,Транснф ап,TRNFP,1717,357470663.0,84186.0,83217.0,84329.0,83460.0,83619.0,83557.0,4275,83619.0,83619.0,83619.0,357470663.0,357470663.0,357470663.0,,3,SUR,-0.41
19,TQBR,2014-01-17,Транснф ап,TRNFP,1190,250153943.0,83499.0,83418.0,84134.0,83910.0,83720.0,83731.0,2988,83720.0,83720.0,83720.0,250153943.0,250153943.0,250153943.0,,3,SUR,0.21
20,TQBR,2014-01-20,Транснф ап,TRNFP,500,82051128.0,83505.0,83403.0,83999.0,83799.0,83726.0,83645.0,980,83726.0,83726.0,83726.0,82051128.0,82051128.0,82051128.0,,3,SUR,-0.1
21,TQBR,2014-01-21,Транснф ап,TRNFP,983,338463742.0,83711.0,83665.0,84352.0,84049.0,83986.0,84172.0,4030,83986.0,83986.0,83986.0,338463742.0,338463742.0,338463742.0,,3,SUR,0.63
22,TQBR,2014-01-22,Транснф ап,TRNFP,1878,326214086.0,84452.0,83806.0,85688.0,84300.0,84841.0,84400.0,3845,84842.0,84842.0,84842.0,325454018.0,325454018.0,325454018.0,,3,SUR,0.27
23,TQBR,2014-01-23,Транснф ап,TRNFP,2057,526021690.0,84238.0,84003.0,85350.0,84727.0,84911.0,85000.0,6195,84911.0,84911.0,84911.0,525853214.0,525853214.0,525853214.0,,3,SUR,0.71
24,TQBR,2014-01-24,Транснф ап,TRNFP,2218,447639904.0,84222.0,84197.0,85920.0,85412.0,85232.0,85446.0,5252,85233.0,85233.0,85233.0,447218794.0,447218794.0,447218794.0,,3,SUR,0.52
25,TQBR,2014-01-27,Транснф ап,TRNFP,3172,624021480.0,85030.0,83662.0,86056.0,84500.0,84809.0,84850.0,7358,84808.0,84808.0,84808.0,623766390.0,623766390.0,623766390.0,,3,SUR,-0.7
26,TQBR,2014-01-28,Транснф ап,TRNFP,5514,890738281.0,84523.0,81321.0,84828.0,83500.0,82499.0,83765.0,10797,82499.0,82499.0,82499.0,890736802.5,890736802.5,890736802.5,,3,SUR,-1.28
27,TQBR,2014-01-29,Транснф ап,TRNFP,5645,1044338752.0,83511.0,80858.0,83775.0,81090.0,81736.0,81480.0,12777,81735.0,81735.0,81735.0,1044002697.0,1044002697.0,1044002697.0,,3,SUR,-2.73
28,TQBR,2014-01-30,Транснф ап,TRNFP,4371,700375595.0,81187.0,79908.0,82379.0,80001.0,80596.0,80450.0,8690,80595.0,80595.0,80595.0,700050847.0,700050847.0,700050847.0,,3,SUR,-1.26
29,TQBR,2014-01-31,Транснф ап,TRNFP,5751,1059174154.0,80369.0,79450.0,81159.0,79899.0,79938.0,80182.0,13250,79938.0,79938.0,79938.0,1059093785.0,1059093785.0,1059093785.0,,3,SUR,-0.33
30,TQBR,2014-02-03,Транснф ап,TRNFP,2769,389192832.0,79896.0,79053.0,81098.0,79380.0,79671.0,79447.0,4885,79672.0,79672.0,79672.0,389753220.24,389753220.24,389753220.24,,3,SUR,-0.92
31,TQBR,2014-02-04,Транснф ап,TRNFP,4404,800263307.0,79250.0,78200.0,80599.0,79820.0,79851.0,79986.0,10022,79851.0,79851.0,79851.0,799946307.0,799946307.0,799946307.0,,3,SUR,0.68
32,TQBR,2014-02-05,Транснф ап,TRNFP,1813,255541463.0,80000.0,79378.0,80406.0,79378.0,79957.0,79642.0,3196,79957.0,79957.0,79957.0,255541463.0,255541463.0,255541463.0,,3,SUR,-0.43
33,TQBR,2014-02-06,Транснф ап,TRNFP,1668,386292436.0,79921.0,78525.0,79996.0,79350.0,79239.0,79246.0,4875,79245.0,79245.0,79245.0,387269526.1,387269526.1,387269526.1,,3,SUR,-0.5
34,TQBR,2014-02-07,Транснф ап,TRNFP,1785,327096956.0,79709.0,78660.0,79798.0,78900.0,78952.0,78680.0,4143,78952.0,78952.0,78952.0,327098390.21,327098390.21,327098390.21,,3,SUR,-0.71
35,TQBR,2014-02-10,Транснф ап,TRNFP,2023,276866948.0,79077.0,78807.0,79980.0,79400.0,79445.0,79570.0,3485,79447.0,79447.0,79447.0,277270285.61,277270285.61,277270285.61,,3,SUR,1.13
36,TQBR,2014-02-11,Транснф ап,TRNFP,2821,609803728.0,79775.0,78125.0,79856.0,78400.0,78644.0,78395.0,7754,78644.0,78644.0,78644.0,609881953.0,609881953.0,609881953.0,,3,SUR,-1.48
37,TQBR,2014-02-12,Транснф ап,TRNFP,2713,568876509.0,78675.0,78123.0,80430.0,80250.0,78989.0,80290.0,7202,78989.0,78989.0,78989.0,568640134.0,568640134.0,568640134.0,,3,SUR,2.42
38,TQBR,2014-02-13,Транснф ап,TRNFP,2867,694870517.0,80145.0,80000.0,82216.0,81493.0,81243.0,81499.0,8553,81243.0,81243.0,81243.0,694550492.0,694550492.0,694550492.0,,3,SUR,1.51
39,TQBR,2014-02-14,Транснф ап,TRNFP,1303,190132675.0,81647.0,80861.0,82284.0,81631.0,81532.0,81703.0,2332,81532.0,81532.0,81532.0,190051028.0,190051028.0,190051028.0,,3,SUR,0.25
40,TQBR,2014-02-17,Транснф ап,TRNFP,1730,243375244.0,82099.0,80504.0,82293.0,81100.0,81233.0,81300.0,2996,81233.0,81233.0,81233.0,243375244.0,243375244.0,243375244.0,,3,SUR,-0.49
41,TQBR,2014-02-18,Транснф ап,TRNFP,2017,330603513.0,80801.0,80101.0,82144.0,80101.0,80891.0,80262.0,4087,80891.0,80891.0,80891.0,330603513.0,330603513.0,330603513.0,,3,SUR,-1.28
42,TQBR,2014-02-19,Транснф ап,TRNFP,2307,497797597.0,80268.0,79670.0,80931.0,80931.0,80122.0,80350.0,6213,80122.0,80122.0,80122.0,497717329.0,497717329.0,497717329.0,,3,SUR,0.11
43,TQBR,2014-02-20,Транснф ап,TRNFP,2483,507392251.0,80251.0,79702.0,81614.0,80900.0,80436.0,81200.0,6308,80437.0,80437.0,80437.0,505947733.0,505947733.0,505947733.0,,3,SUR,1.06
44,TQBR,2014-02-21,Транснф ап,TRNFP,1567,217464068.0,81425.0,79960.0,81445.0,80372.0,80423.0,80229.0,2704,80421.0,80421.0,80421.0,216975518.0,216975518.0,216975518.0,,3,SUR,-1.2
45,TQBR,2014-02-24,Транснф ап,TRNFP,782,103772859.0,80228.0,79702.0,80279.0,79794.0,80010.0,79859.0,1297,80010.0,80010.0,80010.0,103612403.0,103612403.0,103612403.0,,3,SUR,-0.46
46,TQBR,2014-02-25,Транснф ап,TRNFP,848,140326845.0,79793.0,79525.0,80145.0,79859.0,79867.0,79901.0,1757,79867.0,79867.0,79867.0,140167259.0,140167259.0,140167259.0,,3,SUR,0.05
47,TQBR,2014-02-26,Транснф ап,TRNFP,1998,1131197774.0,79949.0,79817.0,81184.0,80536.0,80250.0,80492.0,14096,80250.0,80250.0,80250.0,1131197774.0,1131197774.0,1131197774.0,,3,SUR,0.74
