,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-11-22,ЮГК,UGLD,97961,2837360788.2,0.638,0.5576,0.64,0.571,0.5766,0.571,4825767000,0.588,0.588,,2837360788.2,2837360788.2,,0,3,SUR,
1,TQBR,2023-11-23,ЮГК,UGLD,40503,809852310.5,0.5724,0.5501,0.5858,0.5795,0.5704,0.5795,1416906000,0.5716,0.5716,,809852310.5,809852310.5,,0,3,SUR,1.49
2,TQBR,2023-11-24,ЮГК,UGLD,19012,338541115.4,0.5799,0.57,0.58,0.5739,0.5715,0.5739,590949000,0.5729,0.5729,,338541115.4,338541115.4,,0,3,SUR,-0.97
3,TQBR,2023-11-27,ЮГК,UGLD,18775,297052276.0,0.5748,0.555,0.576,0.557,0.5617,0.557,528888000,0.5617,0.5617,,297052276.0,297052276.0,,0,3,SUR,-2.94
4,TQBR,2023-11-28,ЮГК,UGLD,11622,195146858.3,0.5572,0.5509,0.5676,0.559,0.5581,0.559,349671000,0.5581,0.5581,,195146858.3,195146858.3,,0,3,SUR,0.36
5,TQBR,2023-11-29,ЮГК,UGLD,12261,348361849.4,0.5647,0.5613,0.575,0.5649,0.5694,0.5649,611809000,0.5694,0.5694,,348361849.4,348361849.4,,0,3,SUR,1.06
6,TQBR,2023-11-30,ЮГК,UGLD,7675,141883802.1,0.565,0.557,0.57,0.56,0.5609,0.56,252969000,0.5609,0.5609,,141883802.1,141883802.1,,0,3,SUR,-0.87
7,TQBR,2023-12-01,ЮГК,UGLD,9566,206507674.8,0.563,0.551,0.5653,0.5554,0.5557,0.5554,371598000,0.5557,0.5557,,206507674.8,206507674.8,,0,3,SUR,-0.82
8,TQBR,2023-12-04,ЮГК,UGLD,18408,462738739.9,0.5624,0.5563,0.5794,0.5615,0.5689,0.5615,813431000,0.5689,0.5689,,462738739.9,462738739.9,,0,3,SUR,1.1
9,TQBR,2023-12-05,ЮГК,UGLD,9344,159921582.2,0.562,0.5552,0.5649,0.562,0.5585,0.562,286356000,0.5585,0.5585,,159921582.2,159921582.2,,0,3,SUR,0.09
10,TQBR,2023-12-06,ЮГК,UGLD,8923,126967740.6,0.5639,0.553,0.5665,0.5556,0.5581,0.5556,227506000,0.5581,0.5581,,126967740.6,126967740.6,,0,3,SUR,-1.14
11,TQBR,2023-12-07,ЮГК,UGLD,5999,87994971.6,0.5556,0.5535,0.56,0.5549,0.556,0.5549,158283000,0.5559,0.5559,,87994971.6,87994971.6,,0,3,SUR,-0.13
12,TQBR,2023-12-08,ЮГК,UGLD,5224,79992215.5,0.555,0.554,0.56,0.5542,0.5566,0.5542,143709000,0.5566,0.5566,,79992215.5,79992215.5,,0,3,SUR,-0.13
13,TQBR,2023-12-11,ЮГК,UGLD,16689,216161328.7,0.5535,0.5277,0.5542,0.532,0.5443,0.532,397171000,0.5443,0.5443,,216161328.7,216161328.7,,0,3,SUR,-4.01
14,TQBR,2023-12-12,ЮГК,UGLD,12007,128576071.5,0.532,0.513,0.5384,0.5272,0.5255,0.5272,244695000,0.5255,0.5255,,128576071.5,128576071.5,,0,3,SUR,-0.9
15,TQBR,2023-12-13,ЮГК,UGLD,6305,65341476.4,0.5272,0.5224,0.5368,0.5234,0.529,0.5234,123520000,0.529,0.529,,65341476.4,65341476.4,,0,3,SUR,-0.72
16,TQBR,2023-12-14,ЮГК,UGLD,6420,104249052.7,0.5344,0.52,0.5344,0.5265,0.5264,0.5265,198033000,0.5264,0.5264,,104249052.7,104249052.7,,0,3,SUR,0.59
17,TQBR,2023-12-15,ЮГК,UGLD,15254,174339234.3,0.528,0.52,0.552,0.548,0.5409,0.548,322311000,0.5409,0.5409,,174339234.3,174339234.3,,0,3,SUR,4.08
18,TQBR,2023-12-18,ЮГК,UGLD,10436,179173458.8,0.548,0.54,0.5699,0.5638,0.5575,0.5638,321395000,0.5575,0.5575,,179173458.8,179173458.8,,0,3,SUR,2.88
19,TQBR,2023-12-19,ЮГК,UGLD,8113,113170051.8,0.5687,0.5568,0.57,0.562,0.5662,0.562,199889000,0.5662,0.5662,,113170051.8,113170051.8,,0,3,SUR,-0.32
20,TQBR,2023-12-20,ЮГК,UGLD,18073,503157303.7,0.5638,0.5604,0.599,0.595,0.5864,0.595,858522000,0.5861,0.5861,,503157303.7,503157303.7,,0,3,SUR,5.87
21,TQBR,2023-12-21,ЮГК,UGLD,38648,1049362231.0,0.595,0.584,0.6594,0.6299,0.6246,0.6299,1680385000,0.6245,0.6245,,1049362231.0,1049362231.0,,0,3,SUR,5.87
22,TQBR,2023-12-22,ЮГК,UGLD,30568,573994986.6,0.6355,0.617,0.6608,0.63,0.639,0.63,894299000,0.6418,0.6418,,573994986.6,573994986.6,,0,3,SUR,0.02
23,TQBR,2023-12-25,ЮГК,UGLD,16590,281515336.6,0.6346,0.6135,0.6475,0.6255,0.6253,0.6255,450208000,0.6253,0.6253,,281515336.6,281515336.6,,0,3,SUR,-0.71
24,TQBR,2023-12-26,ЮГК,UGLD,9801,160883348.8,0.6267,0.617,0.6396,0.636,0.6329,0.636,254207000,0.6329,0.6329,,160883348.8,160883348.8,,0,3,SUR,1.68
25,TQBR,2023-12-27,ЮГК,UGLD,8846,182796183.3,0.636,0.6239,0.653,0.6292,0.6363,0.6292,287288000,0.6363,0.6363,,182796183.3,182796183.3,,0,3,SUR,-1.07
26,TQBR,2023-12-28,ЮГК,UGLD,8158,224094125.4,0.635,0.621,0.6378,0.625,0.627,0.625,357413000,0.627,0.627,,224094125.4,224094125.4,,0,3,SUR,-0.67
27,TQBR,2023-12-29,ЮГК,UGLD,6116,92700706.1,0.6289,0.6248,0.6399,0.639,0.6353,0.639,145918000,0.6353,0.6353,,92700706.1,92700706.1,,0,3,SUR,2.24
28,TQBR,2024-01-03,ЮГК,UGLD,10826,173283609.0,0.6482,0.6404,0.66,0.6532,0.6529,0.6532,265418000,0.6529,0.6529,,173283609.0,173283609.0,,0,3,SUR,2.22
29,TQBR,2024-01-04,ЮГК,UGLD,5744,70411342.5,0.6595,0.6505,0.6595,0.6525,0.654,0.6525,107667000,0.654,0.654,,70411342.5,70411342.5,,0,3,SUR,-0.11
30,TQBR,2024-01-05,ЮГК,UGLD,5216,84127001.6,0.6558,0.6501,0.66,0.6521,0.6547,0.6521,128497000,0.6547,0.6547,,84127001.6,84127001.6,,0,3,SUR,-0.06
31,TQBR,2024-01-08,ЮГК,UGLD,8766,144333548.6,0.6575,0.64,0.6715,0.6594,0.6596,0.6594,218807000,0.6596,0.6596,,144333548.6,144333548.6,,0,3,SUR,1.12
32,TQBR,2024-01-09,ЮГК,UGLD,6710,109404284.2,0.661,0.6516,0.6656,0.6555,0.6581,0.6555,166235000,0.6581,0.6581,,109404284.2,109404284.2,,0,3,SUR,-0.59
33,TQBR,2024-01-10,ЮГК,UGLD,16152,405942371.4,0.6594,0.654,0.669,0.6689,0.6622,0.6689,612995000,0.6622,0.6622,,405942371.4,405942371.4,,0,3,SUR,2.04
34,TQBR,2024-01-11,ЮГК,UGLD,13864,245560056.3,0.67,0.6448,0.6739,0.6547,0.6586,0.6547,372839000,0.6586,0.6586,,245560056.3,245560056.3,,0,3,SUR,-2.12
35,TQBR,2024-01-12,ЮГК,UGLD,10087,187402570.2,0.659,0.6522,0.662,0.6599,0.6578,0.6599,284900000,0.6578,0.6578,,187402570.2,187402570.2,,0,3,SUR,0.79
36,TQBR,2024-01-15,ЮГК,UGLD,8442,126896226.0,0.663,0.655,0.663,0.6556,0.6592,0.6556,192495000,0.6592,0.6592,,126896226.0,126896226.0,,0,3,SUR,-0.65
37,TQBR,2024-01-16,ЮГК,UGLD,11231,138977802.7,0.6589,0.645,0.6589,0.6513,0.6517,0.6513,213262000,0.6517,0.6517,,138977802.7,138977802.7,,0,3,SUR,-0.66
38,TQBR,2024-01-17,ЮГК,UGLD,5580,66607563.5,0.6545,0.648,0.6565,0.6524,0.6529,0.6524,102017000,0.6529,0.6529,,66607563.5,66607563.5,,0,3,SUR,0.17
39,TQBR,2024-01-18,ЮГК,UGLD,9019,145544303.1,0.6549,0.648,0.6581,0.6498,0.6507,0.6498,223662000,0.6507,0.6507,,145544303.1,145544303.1,,0,3,SUR,-0.4
40,TQBR,2024-01-19,ЮГК,UGLD,11073,92362605.8,0.6555,0.64,0.6555,0.6447,0.6465,0.6447,142874000,0.6465,0.6465,,92362605.8,92362605.8,,0,3,SUR,-0.78
41,TQBR,2024-01-22,ЮГК,UGLD,7121,107828083.7,0.647,0.645,0.65,0.648,0.6476,0.648,166511000,0.6476,0.6476,,107828083.7,107828083.7,,0,3,SUR,0.51
42,TQBR,2024-01-23,ЮГК,UGLD,7619,97851406.5,0.6505,0.6455,0.6547,0.6476,0.6489,0.6476,150804000,0.6489,0.6489,,97851406.5,97851406.5,,0,3,SUR,-0.06
43,TQBR,2024-01-24,ЮГК,UGLD,8772,91038508.3,0.6497,0.64,0.6504,0.6431,0.6448,0.6431,141194000,0.6448,0.6448,,91038508.3,91038508.3,,0,3,SUR,-0.69
44,TQBR,2024-01-25,ЮГК,UGLD,13828,153642511.0,0.6431,0.625,0.6443,0.63,0.6331,0.63,242688000,0.6331,0.6331,,153642511.0,153642511.0,,0,3,SUR,-2.04
45,TQBR,2024-01-26,ЮГК,UGLD,14050,185141500.7,0.6323,0.6201,0.635,0.621,0.6242,0.621,296611000,0.6242,0.6242,,185141500.7,185141500.7,,0,3,SUR,-1.43
