,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,iАвиастКао,UNAC,10,172269.4,0.1059,0.105,0.10596,0.10596,0.10504,0.10596,1640000,,0.10543,,0.0,509207.6,0.0,,3,SUR,-0.05
1,TQBR,2014-06-10,iАвиастКао,UNAC,15,112904.1,0.10587,0.10501,0.106,0.1059,0.10552,0.10598,1070000,,0.10541,,0.0,525988.1,0.0,,3,SUR,0.02
2,TQBR,2014-06-11,iАвиастКао,UNAC,10,13648.0,0.10306,0.10306,0.10597,0.10588,0.10498,0.10588,130000,,0.10542,,0.0,503890.5,0.0,,3,SUR,-0.09
3,TQBR,2014-06-16,iАвиастКао,UNAC,43,282848.1,0.10596,0.101,0.10596,0.10351,0.10361,0.1057,2730000,,0.10442,,0.0,572221.2,0.0,,3,SUR,-0.17
4,TQBR,2014-06-17,iАвиастКао,UNAC,63,306935.1,0.10541,0.10457,0.1068,0.1054,0.10584,0.1058,2900000,,0.10475,,0.0,564617.1,0.0,,3,SUR,0.09
5,TQBR,2014-06-18,iАвиастКао,UNAC,67,1558867.4,0.10451,0.10111,0.106,0.10461,0.10469,0.10461,14890000,0.10469,0.10469,0.10469,1558867.4,1558867.4,1558867.4,,3,SUR,-1.12
6,TQBR,2014-06-19,iАвиастКао,UNAC,55,231718.8,0.10579,0.1049,0.106,0.10595,0.10581,0.106,2190000,,0.10572,,0.0,500039.3,0.0,,3,SUR,1.33
7,TQBR,2014-06-20,iАвиастКао,UNAC,52,437854.9,0.10464,0.10321,0.10598,0.10399,0.1045,0.10399,4190000,,0.10468,,0.0,500394.2,0.0,,3,SUR,-1.9
8,TQBR,2014-06-23,iАвиастКао,UNAC,42,444388.8,0.10322,0.102,0.1034,0.10299,0.10263,0.10299,4330000,,0.1028,,0.0,514001.5,0.0,,3,SUR,-0.96
9,TQBR,2014-06-24,iАвиастКао,UNAC,63,1174245.3,0.10225,0.1017,0.10298,0.10207,0.1022,0.1024,11490000,0.1022,0.1022,0.1022,1174245.3,1174245.3,1174245.3,,3,SUR,-0.57
10,TQBR,2014-06-25,iАвиастКао,UNAC,26,155211.3,0.10114,0.10114,0.10244,0.10228,0.10211,0.102,1520000,,0.10217,,0.0,686603.8,0.0,,3,SUR,-0.39
11,TQBR,2014-06-26,iАвиастКао,UNAC,67,353338.2,0.10244,0.101,0.10289,0.10201,0.10242,0.10201,3450000,,0.10233,,0.0,502443.3,0.0,,3,SUR,0.01
12,TQBR,2014-06-27,iАвиастКао,UNAC,23,77869.4,0.10113,0.10113,0.10275,0.10274,0.10246,0.10274,760000,,0.10239,,0.0,516065.8,0.0,,3,SUR,0.72
13,TQBR,2014-06-30,iАвиастКао,UNAC,45,127199.8,0.10162,0.10151,0.10288,0.10285,0.10258,0.10288,1240000,,0.10256,,0.0,500482.6,0.0,,3,SUR,0.14
14,TQBR,2014-07-01,iАвиастКао,UNAC,69,523077.9,0.10289,0.10122,0.10473,0.10306,0.10236,0.10306,5110000,0.10236,0.10236,0.10236,523077.9,523077.9,523077.9,,3,SUR,0.17
15,TQBR,2014-07-02,iАвиастКао,UNAC,164,1117289.7,0.10393,0.10305,0.11257,0.10843,0.10837,0.10843,10310000,0.10837,0.10837,0.10837,1117289.7,1117289.7,1117289.7,,3,SUR,5.21
16,TQBR,2014-07-03,iАвиастКао,UNAC,44,214113.0,0.10724,0.10715,0.10983,0.10983,0.10814,0.10983,1980000,,0.10864,,0.0,530149.2,0.0,,3,SUR,1.29
17,TQBR,2014-07-04,iАвиастКао,UNAC,51,343633.8,0.1095,0.10714,0.1125,0.10851,0.1084,0.10851,3170000,,0.10836,,0.0,510376.0,0.0,,3,SUR,-1.2
18,TQBR,2014-07-07,iАвиастКао,UNAC,36,593873.9,0.10712,0.10599,0.10712,0.10673,0.10662,0.10673,5570000,0.10662,0.10662,0.10662,593873.9,593873.9,593873.9,,3,SUR,-1.64
19,TQBR,2014-07-08,iАвиастКао,UNAC,47,578859.0,0.10491,0.10273,0.10889,0.10844,0.1072,0.10844,5400000,0.1072,0.1072,0.1072,578859.0,578859.0,578859.0,,3,SUR,1.6
20,TQBR,2014-07-09,iАвиастКао,UNAC,95,240905.0,0.10827,0.10757,0.10998,0.10998,0.10852,0.10998,2220000,,0.10767,,0.0,750469.6,0.0,,3,SUR,1.42
21,TQBR,2014-07-10,iАвиастКао,UNAC,589,6909155.1,0.11033,0.1095,0.13,0.12,0.12211,0.12,56580000,0.12211,0.12211,0.12211,6909155.1,6909155.1,6909155.1,,3,SUR,9.11
22,TQBR,2014-07-11,iАвиастКао,UNAC,191,2456831.8,0.12393,0.11561,0.12444,0.12,0.11944,0.12,20570000,0.11944,0.11944,0.11944,2456831.8,2456831.8,2456831.8,,3,SUR,0.0
23,TQBR,2014-07-14,iАвиастКао,UNAC,54,360079.8,0.11636,0.11636,0.12349,0.11997,0.12043,0.11997,2990000,,0.12028,,0.0,531632.5,0.0,,3,SUR,-0.03
24,TQBR,2014-07-15,iАвиастКао,UNAC,226,1481653.8,0.12263,0.115,0.12263,0.11685,0.11667,0.11685,12700000,0.11667,0.11667,0.11667,1481653.8,1481653.8,1481653.8,,3,SUR,-2.6
25,TQBR,2014-07-16,iАвиастКао,UNAC,98,1280157.9,0.11504,0.114,0.1168,0.11403,0.11523,0.11403,11110000,0.11523,0.11523,0.11523,1280157.9,1280157.9,1280157.9,,3,SUR,-2.41
26,TQBR,2014-07-17,iАвиастКао,UNAC,121,1873539.9,0.11311,0.10851,0.11331,0.11,0.11053,0.11,16950000,0.11053,0.11053,0.11053,1873539.9,1873539.9,1873539.9,,3,SUR,-3.53
27,TQBR,2014-07-18,iАвиастКао,UNAC,129,1180564.6,0.11196,0.10809,0.11999,0.11675,0.11254,0.11675,10490000,0.11254,0.11254,0.11254,1180564.6,1180564.6,1180564.6,,3,SUR,6.14
28,TQBR,2014-07-21,iАвиастКао,UNAC,170,3244081.5,0.11337,0.10726,0.114,0.10848,0.10975,0.10848,29560000,0.10975,0.10975,0.10975,3244081.5,3244081.5,3244081.5,,3,SUR,-7.08
29,TQBR,2014-07-22,iАвиастКао,UNAC,143,4064626.8,0.10967,0.1078,0.11697,0.10799,0.10935,0.10799,37170000,0.10935,0.10935,0.10935,4064626.8,4064626.8,4064626.8,,3,SUR,-0.45
30,TQBR,2014-07-23,iАвиастКао,UNAC,75,1520139.5,0.10941,0.10621,0.10941,0.10789,0.10705,0.10789,14200000,0.10705,0.10705,0.10705,1520139.5,1520139.5,1520139.5,,3,SUR,-0.09
31,TQBR,2014-07-24,iАвиастКао,UNAC,49,543260.2,0.10645,0.106,0.1073,0.10725,0.10673,0.10725,5090000,0.10673,0.10673,0.10673,543260.2,543260.2,543260.2,,3,SUR,-0.59
32,TQBR,2014-07-25,iАвиастКао,UNAC,56,1055961.4,0.10799,0.1056,0.10802,0.10717,0.10634,0.10717,9930000,0.10634,0.10634,0.10634,1055961.4,1055961.4,1055961.4,,3,SUR,-0.07
33,TQBR,2014-07-28,iАвиастКао,UNAC,110,1287953.0,0.10747,0.10305,0.10747,0.10388,0.10446,0.10388,12330000,0.10446,0.10446,0.10446,1287953.0,1287953.0,1287953.0,,3,SUR,-3.07
34,TQBR,2014-07-29,iАвиастКао,UNAC,26,188918.6,0.10323,0.103,0.1048,0.1048,0.1038,0.1048,1820000,,0.10387,,0.0,514150.4,0.0,,3,SUR,0.89
35,TQBR,2014-07-30,iАвиастКао,UNAC,113,1433917.4,0.104,0.1025,0.104,0.1037,0.10309,0.1037,13910000,0.10309,0.10309,0.10309,1433917.4,1433917.4,1433917.4,,3,SUR,-1.05
36,TQBR,2014-07-31,iАвиастКао,UNAC,37,399160.4,0.10499,0.1032,0.1066,0.1032,0.10395,0.1032,3840000,,0.10364,,0.0,579366.4,0.0,,3,SUR,-0.48
37,TQBR,2014-08-01,iАвиастКао,UNAC,12,117724.7,0.10321,0.1032,0.10392,0.1036,0.10327,0.1036,1140000,,0.10378,,0.0,500203.1,0.0,,3,SUR,0.39
38,TQBR,2014-08-04,iАвиастКао,UNAC,77,359670.7,0.10379,0.10359,0.10598,0.10499,0.10517,0.10499,3420000,,0.10458,,0.0,516611.4,0.0,,3,SUR,1.34
39,TQBR,2014-08-05,iАвиастКао,UNAC,77,799466.6,0.1034,0.10339,0.10758,0.10471,0.10464,0.10471,7640000,0.10464,0.10464,0.10464,798432.6,798432.6,798432.6,,3,SUR,-0.27
40,TQBR,2014-08-06,iАвиастКао,UNAC,63,316941.3,0.10399,0.10351,0.10428,0.10428,0.10392,0.10428,3050000,,0.10387,,0.0,508980.8,0.0,,3,SUR,-0.41
