,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ЮУНК ао,UNKL,0,0.0,,,,1499.0,,,0,,1271.5,,0.0,513668.7,0.0,,3,SUR,
1,TQBR,2014-06-10,ЮУНК ао,UNKL,0,0.0,,,,1499.0,,,0,,1271.5,,0.0,513668.7,0.0,,3,SUR,
2,TQBR,2014-06-11,ЮУНК ао,UNKL,11,49222.2,1133.1,1076.4,1470.0,1369.4,1200.5,1470.0,41,,1262.9,,0.0,526639.6,0.0,,3,SUR,-1.93
3,TQBR,2014-06-16,ЮУНК ао,UNKL,0,0.0,,,,1369.4,,,0,,1262.9,,0.0,526639.6,0.0,,3,SUR,
4,TQBR,2014-06-17,ЮУНК ао,UNKL,0,0.0,,,,1369.4,,,0,,1262.9,,0.0,526639.6,0.0,,3,SUR,
5,TQBR,2014-06-18,ЮУНК ао,UNKL,0,0.0,,,,1369.4,,,0,,1262.9,,0.0,526639.6,0.0,,3,SUR,
6,TQBR,2014-06-19,ЮУНК ао,UNKL,0,0.0,,,,1369.4,,,0,,1262.9,,0.0,526639.6,0.0,,3,SUR,
7,TQBR,2014-06-20,ЮУНК ао,UNKL,4,66450.1,1200.0,1200.0,1300.0,1201.0,1208.2,1201.0,55,,1264.4,,0.0,509538.2,0.0,,3,SUR,-18.3
8,TQBR,2014-06-23,ЮУНК ао,UNKL,0,0.0,,,,1201.0,,,0,,1264.4,,0.0,509538.2,0.0,,3,SUR,
9,TQBR,2014-06-24,ЮУНК ао,UNKL,0,0.0,,,,1201.0,,,0,,1264.4,,0.0,509538.2,0.0,,3,SUR,
10,TQBR,2014-06-25,ЮУНК ао,UNKL,1,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1,,1266.0,,0.0,500068.0,0.0,,3,SUR,16.57
11,TQBR,2014-06-26,ЮУНК ао,UNKL,0,0.0,,,,1400.0,,,0,,1266.0,,0.0,500068.0,0.0,,3,SUR,
12,TQBR,2014-06-27,ЮУНК ао,UNKL,0,0.0,,,,1400.0,,,0,,1266.0,,0.0,500068.0,0.0,,3,SUR,
13,TQBR,2014-06-30,ЮУНК ао,UNKL,4,30439.8,1380.0,1380.0,1459.8,1459.8,1383.6,1459.8,22,,1275.5,,0.0,506367.8,0.0,,3,SUR,4.27
14,TQBR,2014-07-01,ЮУНК ао,UNKL,0,0.0,,,,1459.8,,,0,,1275.5,,0.0,506367.8,0.0,,3,SUR,
