,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2021-11-26,VEON,VEON-RX,267,15357573.8,138.82,133.02,165.0,134.56,137.48,139.0,111700,137.6,137.6,134.56,14726967.6,14726967.6,14726967.6,0,3,SUR,
1,TQBR,2021-11-29,VEON,VEON-RX,397,11745157.2,135.78,130.0,149.0,131.14,133.98,136.6,87670,133.96,133.96,131.14,11417388.6,11417388.6,11417388.6,0,3,SUR,-1.73
2,TQBR,2021-11-30,VEON,VEON-RX,148,4118151.2,136.32,128.0,136.32,133.08,134.28,130.0,30670,134.48,134.48,133.08,3766677.2,3766677.2,3766677.2,0,3,SUR,-4.83
3,TQBR,2021-12-01,VEON,VEON-RX,256,15041041.4,130.02,130.0,138.62,135.4,134.18,138.6,112090,133.14,133.14,135.4,10753086.6,10753086.6,10753086.6,0,3,SUR,6.62
4,TQBR,2021-12-02,VEON,VEON-RX,175,14935830.2,138.6,134.78,138.6,134.78,136.94,137.56,109070,137.02,137.02,134.78,12507748.0,12507748.0,12507748.0,0,3,SUR,-0.75
5,TQBR,2021-12-03,VEON,VEON-RX,88,4486324.2,137.58,134.62,138.06,137.42,136.48,135.48,32870,136.5,136.5,137.42,4466049.2,4466049.2,4466049.2,0,3,SUR,-1.51
6,TQBR,2021-12-06,VEON,VEON-RX,124,9799102.8,135.48,132.7,135.48,134.42,134.06,134.44,73090,134.06,134.06,134.42,9742641.2,9742641.2,9742641.2,0,3,SUR,-0.77
7,TQBR,2021-12-07,VEON,VEON-RX,895,27057701.2,133.62,133.24,136.74,136.18,135.3,135.46,199970,135.32,135.32,136.18,21149890.8,21149890.8,21149890.8,0,3,SUR,0.76
8,TQBR,2021-12-08,VEON,VEON-RX,418,13229108.2,135.48,132.82,136.32,135.2,135.44,135.38,97670,135.52,135.52,135.2,11578861.6,11578861.6,11578861.6,0,3,SUR,-0.06
9,TQBR,2021-12-09,VEON,VEON-RX,423,10419626.6,135.4,133.7,135.56,134.86,134.92,134.74,77230,134.94,134.94,134.86,9494641.8,9494641.8,9494641.8,0,3,SUR,-0.47
10,TQBR,2021-12-10,VEON,VEON-RX,361,12289914.8,134.78,133.14,134.92,133.76,133.9,133.26,91790,134.12,134.12,133.76,8209924.8,8209924.8,8209924.8,0,3,SUR,-1.1
11,TQBR,2021-12-13,VEON,VEON-RX,411,17067216.8,133.5,128.52,133.82,130.06,131.48,128.52,129800,132.14,132.14,130.06,13480567.6,13480567.6,13480567.6,0,3,SUR,-3.56
12,TQBR,2021-12-14,VEON,VEON-RX,901,30583016.8,128.84,127.74,129.3,128.7,128.66,128.84,237710,128.66,128.66,128.7,28167039.6,28167039.6,28167039.6,0,3,SUR,0.25
13,TQBR,2021-12-15,VEON,VEON-RX,329,11142624.4,129.18,127.9,129.54,128.0,128.72,129.3,86570,128.72,128.72,128.0,8359782.6,8359782.6,8359782.6,0,3,SUR,0.36
14,TQBR,2021-12-16,VEON,VEON-RX,216,9014383.4,128.92,128.92,131.4,130.76,130.4,131.3,69130,130.34,130.34,130.76,8220016.8,8220016.8,8220016.8,0,3,SUR,1.55
15,TQBR,2021-12-17,VEON,VEON-RX,310,12910059.0,131.4,130.18,131.5,130.58,130.7,130.7,98780,130.68,130.68,130.58,12006228.6,12006228.6,12006228.6,0,3,SUR,-0.46
