,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ВолгЭнСб-п,VGSBP,1,2250.0,0.45,0.45,0.45,0.45,0.45,0.45,5000,,,,0,0,0.0,,3,SUR,-6.19
1,TQBR,2014-06-10,ВолгЭнСб-п,VGSBP,2,2719.9,0.45,0.45,0.4699,0.4699,0.4533,0.4699,6000,,,,0,0,0.0,,3,SUR,4.42
2,TQBR,2014-06-11,ВолгЭнСб-п,VGSBP,2,2250.0,0.45,0.45,0.45,0.45,0.45,0.45,5000,,,,0,0,0.0,,3,SUR,-4.23
3,TQBR,2014-06-16,ВолгЭнСб-п,VGSBP,6,24790.1,0.401,0.399,0.4011,0.4,0.3998,0.4,62000,,,,0,0,0.0,,3,SUR,-11.11
4,TQBR,2014-06-17,ВолгЭнСб-п,VGSBP,1,2150.0,0.43,0.43,0.43,0.43,0.43,0.43,5000,,,,0,0,0.0,,3,SUR,7.5
5,TQBR,2014-06-18,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.43,,,0,,,,0,0,0.0,,3,SUR,
6,TQBR,2014-06-19,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.43,,,0,,,,0,0,0.0,,3,SUR,
7,TQBR,2014-06-20,ВолгЭнСб-п,VGSBP,1,3690.0,0.41,0.41,0.41,0.41,0.41,0.41,9000,,,,0,0,0.0,,3,SUR,-4.65
8,TQBR,2014-06-23,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.41,,,0,,,,0,0,0.0,,3,SUR,
9,TQBR,2014-06-24,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.41,,,0,,,,0,0,0.0,,3,SUR,
10,TQBR,2014-06-25,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.41,,,0,,,,0,0,0.0,,3,SUR,
11,TQBR,2014-06-26,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.41,,,0,,,,0,0,0.0,,3,SUR,
12,TQBR,2014-06-27,ВолгЭнСб-п,VGSBP,5,22795.5,0.41,0.41,0.4555,0.4511,0.4145,0.4555,55000,,,,0,0,0.0,,3,SUR,11.1
13,TQBR,2014-06-30,ВолгЭнСб-п,VGSBP,2,2249.8,0.4499,0.4499,0.45,0.45,0.45,0.45,5000,,,,0,0,0.0,,3,SUR,-1.21
14,TQBR,2014-07-01,ВолгЭнСб-п,VGSBP,6,13676.5,0.45,0.45,0.5294,0.5294,0.4884,0.5294,28000,,,,0,0,0.0,,3,SUR,17.64
15,TQBR,2014-07-02,ВолгЭнСб-п,VGSBP,1,2250.0,0.45,0.45,0.45,0.45,0.45,0.45,5000,,,,0,0,0.0,,3,SUR,-15.0
16,TQBR,2014-07-03,ВолгЭнСб-п,VGSBP,7,40414.4,0.4091,0.37,0.4799,0.4799,0.3742,0.4799,108000,,,,0,0,0.0,,3,SUR,6.64
17,TQBR,2014-07-04,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.4799,,,0,,,,0,0,0.0,,3,SUR,
18,TQBR,2014-07-07,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.4799,,,0,,,,0,0,0.0,,3,SUR,
19,TQBR,2014-07-08,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.4799,,,0,,,,0,0,0.0,,3,SUR,
20,TQBR,2014-07-09,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.4799,,,0,,,,0,0,0.0,,3,SUR,
21,TQBR,2014-07-10,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.4799,,,0,,,,0,0,0.0,,3,SUR,
22,TQBR,2014-07-11,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.4799,,,0,,,,0,0,0.0,,3,SUR,
23,TQBR,2014-07-14,ВолгЭнСб-п,VGSBP,19,54810.5,0.4011,0.4,0.63,0.4999,0.5321,0.4999,103000,,,,0,0,0.0,,3,SUR,4.17
24,TQBR,2014-07-15,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.4999,,,0,,,,0,0,0.0,,3,SUR,
25,TQBR,2014-07-16,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.4999,,,0,,,,0,0,0.0,,3,SUR,
26,TQBR,2014-07-17,ВолгЭнСб-п,VGSBP,5,27404.1,0.5,0.499,0.638,0.499,0.5957,0.499,46000,,,,0,0,0.0,,3,SUR,-0.18
27,TQBR,2014-07-18,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.499,,,0,,,,0,0,0.0,,3,SUR,
28,TQBR,2014-07-21,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.499,,,0,,,,0,0,0.0,,3,SUR,
29,TQBR,2014-07-22,ВолгЭнСб-п,VGSBP,1,5060.0,0.46,0.46,0.46,0.46,0.46,0.46,11000,,,,0,0,0.0,,3,SUR,-7.82
30,TQBR,2014-07-23,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.46,,,0,,,,0,0,0.0,,3,SUR,
31,TQBR,2014-07-24,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.46,,,0,,,,0,0,0.0,,3,SUR,
32,TQBR,2014-07-25,ВолгЭнСб-п,VGSBP,1,3996.0,0.444,0.444,0.444,0.444,0.444,0.444,9000,,,,0,0,0.0,,3,SUR,-3.48
33,TQBR,2014-07-28,ВолгЭнСб-п,VGSBP,2,19778.9,0.4599,0.4599,0.46,0.46,0.46,0.46,43000,,,,0,0,0.0,,3,SUR,3.6
34,TQBR,2014-07-29,ВолгЭнСб-п,VGSBP,0,0.0,,,,0.46,,,0,,,,0,0,0.0,,3,SUR,
