,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ЦМТ ап,WTCMP,1,55000,5.5,5.5,5.5,5.5,5.5,5.5,10000,,5.825,,0,972800,0.0,,3,SUR,-6.78
1,TQBR,2014-06-10,ЦМТ ап,WTCMP,0,0,,,,5.5,,,0,,5.825,,0,972800,0.0,,3,SUR,
2,TQBR,2014-06-11,ЦМТ ап,WTCMP,0,0,,,,5.5,,,0,,5.825,,0,972800,0.0,,3,SUR,
3,TQBR,2014-06-16,ЦМТ ап,WTCMP,1,22000,5.5,5.5,5.5,5.5,5.5,5.5,4000,,5.816,,0,988801,0.0,,3,SUR,0.0
4,TQBR,2014-06-17,ЦМТ ап,WTCMP,0,0,,,,5.5,,,0,,5.816,,0,988801,0.0,,3,SUR,
5,TQBR,2014-06-18,ЦМТ ап,WTCMP,0,0,,,,5.5,,,0,,5.816,,0,988801,0.0,,3,SUR,
6,TQBR,2014-06-19,ЦМТ ап,WTCMP,0,0,,,,5.5,,,0,,5.816,,0,988801,0.0,,3,SUR,
7,TQBR,2014-06-20,ЦМТ ап,WTCMP,1,5200,5.2,5.2,5.2,5.2,5.2,5.2,1000,,5.816,,0,820001,0.0,,3,SUR,-5.45
8,TQBR,2014-06-23,ЦМТ ап,WTCMP,0,0,,,,5.2,,,0,,5.816,,0,820001,0.0,,3,SUR,
9,TQBR,2014-06-24,ЦМТ ап,WTCMP,1,10444,5.222,5.222,5.222,5.222,5.222,5.222,2000,,5.783,,0,653445,0.0,,3,SUR,0.42
10,TQBR,2014-06-25,ЦМТ ап,WTCMP,8,335372,5.111,5.0,5.111,5.0,5.006,5.0,67000,,5.25,,0,546016,0.0,,3,SUR,-4.25
11,TQBR,2014-06-26,ЦМТ ап,WTCMP,11,175491,5.0,4.999,5.499,5.0,5.014,5.0,35000,,5.007,,0,505752,0.0,,3,SUR,0.0
12,TQBR,2014-06-27,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,,5.007,,0,505752,0.0,,3,SUR,
13,TQBR,2014-06-30,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,,5.007,,0,505752,0.0,,3,SUR,
14,TQBR,2014-07-01,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,5.008,5.007,5.008,510863,505752,510863.0,,3,SUR,
15,TQBR,2014-07-02,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,,5.007,,0,505752,0.0,,3,SUR,
16,TQBR,2014-07-03,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,5.014,5.007,5.014,526507,505752,526507.0,,3,SUR,
17,TQBR,2014-07-04,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,5.013,5.007,5.013,521307,505752,521307.0,,3,SUR,
18,TQBR,2014-07-07,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,,5.007,,0,505752,0.0,,3,SUR,
19,TQBR,2014-07-08,ЦМТ ап,WTCMP,2,102000,5.1,5.1,5.1,5.1,5.1,5.1,20000,,5.023,,0,547512,0.0,,3,SUR,2.0
20,TQBR,2014-07-09,ЦМТ ап,WTCMP,0,0,,,,5.1,,,0,,5.023,,0,547512,0.0,,3,SUR,
21,TQBR,2014-07-10,ЦМТ ап,WTCMP,0,0,,,,5.1,,,0,,5.023,,0,547512,0.0,,3,SUR,
22,TQBR,2014-07-11,ЦМТ ап,WTCMP,3,75033,5.011,5.0,5.011,5.002,5.002,5.0,15000,,5.025,,0,517524,0.0,,3,SUR,-1.96
23,TQBR,2014-07-14,ЦМТ ап,WTCMP,0,0,,,,5.002,,,0,,5.025,,0,517524,0.0,,3,SUR,
24,TQBR,2014-07-15,ЦМТ ап,WTCMP,0,0,,,,5.002,,,0,,5.025,,0,517524,0.0,,3,SUR,
25,TQBR,2014-07-16,ЦМТ ап,WTCMP,0,0,,,,5.002,,,0,,5.025,,0,517524,0.0,,3,SUR,
26,TQBR,2014-07-17,ЦМТ ап,WTCMP,9,515504,5.0,5.0,5.111,5.0,5.005,5.0,103000,5.005,5.004,5.005,590537,575504,590537.0,,3,SUR,0.0
27,TQBR,2014-07-18,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,5.018,5.004,5.018,692537,575504,692537.0,,3,SUR,
28,TQBR,2014-07-21,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,5.018,5.004,5.018,692537,575504,692537.0,,3,SUR,
29,TQBR,2014-07-22,ЦМТ ап,WTCMP,0,0,,,,5.0,,,0,5.005,5.004,5.005,590537,575504,590537.0,,3,SUR,
30,TQBR,2014-07-23,ЦМТ ап,WTCMP,11,748895,5.596,5.596,6.4,5.631,5.631,6.4,133000,5.631,5.631,5.631,748895,748895,748895.0,,3,SUR,28.0
31,TQBR,2014-07-24,ЦМТ ап,WTCMP,1,6000,6.0,6.0,6.0,6.0,6.0,6.0,1000,5.634,5.636,5.634,754895,715722,754895.0,,3,SUR,-6.25
32,TQBR,2014-07-25,ЦМТ ап,WTCMP,0,0,,,,6.0,,,0,5.634,5.636,5.634,754895,715722,754895.0,,3,SUR,
33,TQBR,2014-07-28,ЦМТ ап,WTCMP,2,19000,6.2,6.2,6.4,6.333,6.333,6.4,3000,5.649,5.653,5.649,773895,717927,773895.0,,3,SUR,6.67
34,TQBR,2014-07-29,ЦМТ ап,WTCMP,0,0,,,,6.333,,,0,5.649,5.653,5.649,773895,717927,773895.0,,3,SUR,
35,TQBR,2014-07-30,ЦМТ ап,WTCMP,5,570600,6.4,6.0,7.0,6.0,6.202,6.0,92000,5.602,6.212,5.602,1859999,627390,1859999.0,,3,SUR,-6.25
36,TQBR,2014-07-31,ЦМТ ап,WTCMP,3,136500,6.5,6.5,6.5,6.5,6.5,6.5,21000,6.259,6.259,6.259,726100,726100,726100.0,,3,SUR,8.33
37,TQBR,2014-08-01,ЦМТ ап,WTCMP,1,6001,6.001,6.001,6.001,6.001,6.001,6.001,1000,6.257,6.258,6.257,732101,725901,732101.0,,3,SUR,-7.68
38,TQBR,2014-08-04,ЦМТ ап,WTCMP,0,0,,,,6.001,,,0,5.924,6.258,5.924,1486996,725901,1486996.0,,3,SUR,
39,TQBR,2014-08-05,ЦМТ ап,WTCMP,0,0,,,,6.001,,,0,5.924,6.258,5.924,1486996,725901,1486996.0,,3,SUR,
40,TQBR,2014-08-06,ЦМТ ап,WTCMP,0,0,,,,6.001,,,0,6.255,6.258,6.255,738101,725901,738101.0,,3,SUR,
41,TQBR,2014-08-07,ЦМТ ап,WTCMP,5,138008,6.004,6.0,6.004,6.0,6.0,6.0,23000,6.215,6.327,6.215,870109,512509,870109.0,,3,SUR,-0.02
42,TQBR,2014-08-08,ЦМТ ап,WTCMP,0,0,,,,6.0,,,0,6.215,6.327,6.215,870109,512509,870109.0,,3,SUR,
43,TQBR,2014-08-11,ЦМТ ап,WTCMP,0,0,,,,6.0,,,0,,6.327,,0,512509,0.0,,3,SUR,
44,TQBR,2014-08-12,ЦМТ ап,WTCMP,9,81986,5.504,5.5,6.001,5.998,5.856,6.0,14000,,6.258,,0,594495,0.0,,3,SUR,0.0
45,TQBR,2014-08-13,ЦМТ ап,WTCMP,2,35999,5.999,5.999,6.0,6.0,6.0,6.0,6000,,6.1,,0,518494,0.0,,3,SUR,0.0
46,TQBR,2014-08-14,ЦМТ ап,WTCMP,1,11600,5.8,5.8,5.8,5.8,5.8,5.8,2000,,6.093,,0,530094,0.0,,3,SUR,-3.33
47,TQBR,2014-08-15,ЦМТ ап,WTCMP,2,36500,6.0,6.0,6.5,6.083,6.083,6.5,6000,,6.092,,0,566594,0.0,,3,SUR,12.07
48,TQBR,2014-08-18,ЦМТ ап,WTCMP,0,0,,,,6.083,,,0,,6.092,,0,566594,0.0,,3,SUR,
49,TQBR,2014-08-19,ЦМТ ап,WTCMP,0,0,,,,6.083,,,0,,6.092,,0,566594,0.0,,3,SUR,
50,TQBR,2014-08-20,ЦМТ ап,WTCMP,0,0,,,,6.083,,,0,,6.092,,0,566594,0.0,,3,SUR,
