,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2025-01-09,КЦ ИКС 5,X5,210295,18605876495.5,2690.0,2670.0,3000.0,2803.0,2789.5,2803.0,6661057,2793.0,2793.0,,18605876495.5,18605876495.5,,0,3,SUR,
1,TQBR,2025-01-10,КЦ ИКС 5,X5,110337,9928853671.0,2800.0,2783.0,2975.0,2945.0,2874.5,2945.0,3454995,2874.0,2874.0,,9928853671.0,9928853671.0,,0,3,SUR,5.07
2,TQBR,2025-01-13,КЦ ИКС 5,X5,68495,6277932539.5,2962.0,2882.0,2999.5,2905.0,2962.0,2905.0,2120539,2960.5,2960.5,,6277932539.5,6277932539.5,,0,3,SUR,-1.36
3,TQBR,2025-01-14,КЦ ИКС 5,X5,29321,2655837357.5,2920.0,2884.0,2933.0,2929.0,2915.0,2929.0,911219,2914.5,2914.5,,2655837357.5,2655837357.5,,0,3,SUR,0.83
4,TQBR,2025-01-15,КЦ ИКС 5,X5,50353,2024350049.5,2936.5,2891.0,2949.5,2904.5,2914.0,2904.5,694614,2914.5,2914.5,,2024350049.5,2024350049.5,,0,3,SUR,-0.84
5,TQBR,2025-01-16,КЦ ИКС 5,X5,86134,3745089026.5,2905.0,2883.0,2948.0,2910.0,2919.5,2910.0,1282730,2919.5,2919.5,,3745089026.5,3745089026.5,,0,3,SUR,0.19
6,TQBR,2025-01-17,КЦ ИКС 5,X5,44253,3359704639.0,2905.0,2858.5,2911.5,2898.0,2892.0,2898.0,1161953,2891.5,2891.5,,3359704639.0,3359704639.0,,0,3,SUR,-0.41
7,TQBR,2025-01-20,КЦ ИКС 5,X5,48141,2564986489.0,2900.5,2866.0,2914.5,2866.0,2896.0,2866.0,885908,2895.5,2895.5,,2564986489.0,2564986489.0,,0,3,SUR,-1.1
8,TQBR,2025-01-21,КЦ ИКС 5,X5,83762,4062827824.5,2885.0,2837.0,2935.0,2930.0,2888.5,2930.0,1407145,2887.5,2887.5,,4062827824.5,4062827824.5,,0,3,SUR,2.23
9,TQBR,2025-01-22,КЦ ИКС 5,X5,37359,2517489394.0,2933.0,2908.0,2947.0,2914.0,2925.5,2914.0,860496,2925.5,2925.5,,2517489394.0,2517489394.0,,0,3,SUR,-0.55
10,TQBR,2025-01-23,КЦ ИКС 5,X5,20417,1820780497.0,2913.5,2886.0,2914.0,2900.0,2904.5,2900.0,626933,2904.5,2904.5,,1820780497.0,1820780497.0,,0,3,SUR,-0.48
11,TQBR,2025-01-24,КЦ ИКС 5,X5,28438,2286813252.0,2912.0,2897.0,2919.0,2907.5,2907.5,2909.5,786697,2906.5,2906.5,,2125211563.0,2125211563.0,,0,3,SUR,0.33
