,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ЯТЭК ао,YAKG,0,0.0,,,,10.0001,,,0,,10.7585,,0.0,570200.1,0.0,,3,SUR,
1,TQBR,2014-06-10,ЯТЭК ао,YAKG,0,0.0,,,,10.0001,,,0,,10.7585,,0.0,570200.1,0.0,,3,SUR,
2,TQBR,2014-06-11,ЯТЭК ао,YAKG,0,0.0,,,,10.0001,,,0,,10.7585,,0.0,570200.1,0.0,,3,SUR,
3,TQBR,2014-06-16,ЯТЭК ао,YAKG,4,99000.0,11.0,11.0,11.0,11.0,11.0,11.0,9000,,10.8826,,0.0,500600.1,0.0,,3,SUR,10.0
4,TQBR,2014-06-17,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.8826,,0.0,500600.1,0.0,,3,SUR,
5,TQBR,2014-06-18,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.8826,,0.0,500600.1,0.0,,3,SUR,
6,TQBR,2014-06-19,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.8826,,0.0,500600.1,0.0,,3,SUR,
7,TQBR,2014-06-20,ЯТЭК ао,YAKG,2,44000.0,11.0,11.0,11.0,11.0,11.0,11.0,4000,,10.892,,0.0,544600.1,0.0,,3,SUR,0.0
8,TQBR,2014-06-23,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,SUR,
9,TQBR,2014-06-24,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,SUR,
10,TQBR,2014-06-25,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,SUR,
11,TQBR,2014-06-26,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,SUR,
12,TQBR,2014-06-27,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,SUR,
13,TQBR,2014-06-30,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,SUR,
14,TQBR,2014-07-01,ЯТЭК ао,YAKG,2,77000.0,11.0,11.0,11.0,11.0,11.0,11.0,7000,,10.9277,,0.0,513600.1,0.0,,3,SUR,0.0
15,TQBR,2014-07-02,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,SUR,
16,TQBR,2014-07-03,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,SUR,
17,TQBR,2014-07-04,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,SUR,
18,TQBR,2014-07-07,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,SUR,
19,TQBR,2014-07-08,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,SUR,
20,TQBR,2014-07-09,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,SUR,
21,TQBR,2014-07-10,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,SUR,
22,TQBR,2014-07-11,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,SUR,
