,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-04-12,Займер ао,ZAYM,39870,1307002134.0,235.0,228.0,239.9,234.9,235.45,234.9,5550150,235.5,235.5,,1307002134.0,1307002134.0,,0,3,SUR,
1,TQBR,2024-04-15,Займер ао,ZAYM,9390,186717159.0,235.0,232.0,236.05,234.2,234.05,234.2,797690,234.05,234.05,,186717159.0,186717159.0,,0,3,SUR,-0.3
2,TQBR,2024-04-16,Займер ао,ZAYM,8088,248353266.5,234.2,231.05,234.2,233.85,232.85,233.85,1066570,232.85,232.85,,248353266.5,248353266.5,,0,3,SUR,-0.15
3,TQBR,2024-04-17,Займер ао,ZAYM,4417,110468327.5,233.9,231.0,234.95,232.2,232.2,232.2,475700,232.2,232.2,,110468327.5,110468327.5,,0,3,SUR,-0.71
4,TQBR,2024-04-18,Займер ао,ZAYM,4237,147754260.5,232.2,230.95,236.75,235.05,234.05,235.05,631300,234.05,234.05,,147754260.5,147754260.5,,0,3,SUR,1.23
5,TQBR,2024-04-19,Займер ао,ZAYM,16412,414456625.0,235.7,233.6,249.95,243.1,242.25,243.1,1710920,242.25,242.25,,414456625.0,414456625.0,,0,3,SUR,3.42
6,TQBR,2024-04-22,Займер ао,ZAYM,10417,385697481.0,243.1,237.85,243.95,241.45,240.6,241.45,1602950,240.6,240.6,,385697481.0,385697481.0,,0,3,SUR,-0.68
7,TQBR,2024-04-23,Займер ао,ZAYM,11560,286931282.0,241.5,237.15,248.95,238.05,242.3,238.05,1184190,242.3,242.3,,286931282.0,286931282.0,,0,3,SUR,-1.41
8,TQBR,2024-04-24,Займер ао,ZAYM,5299,130856629.5,238.0,230.0,238.0,235.05,233.95,235.05,559310,233.95,233.95,,130856629.5,130856629.5,,0,3,SUR,-1.26
9,TQBR,2024-04-25,Займер ао,ZAYM,2771,114029139.0,235.0,232.05,236.5,235.45,233.85,235.45,487600,233.85,233.85,,114029139.0,114029139.0,,0,3,SUR,0.17
10,TQBR,2024-04-26,Займер ао,ZAYM,4783,187459625.0,235.0,232.0,235.35,233.15,233.0,233.15,804570,233.0,233.0,,187459625.0,187459625.0,,0,3,SUR,-0.98
11,TQBR,2024-04-27,Займер ао,ZAYM,1935,52547060.0,233.0,232.1,235.0,234.5,233.3,234.5,225250,233.3,233.3,,52547060.0,52547060.0,,0,3,SUR,0.58
12,TQBR,2024-04-29,Займер ао,ZAYM,1492,22487444.5,234.7,232.3,235.65,232.6,233.15,232.6,96460,233.15,233.15,,22487444.5,22487444.5,,0,3,SUR,-0.81
13,TQBR,2024-04-30,Займер ао,ZAYM,1179,18119036.0,232.6,232.0,233.25,232.0,232.35,232.0,77990,232.35,232.35,,18119036.0,18119036.0,,0,3,SUR,-0.26
14,TQBR,2024-05-02,Займер ао,ZAYM,1697,33692253.5,232.45,231.0,234.0,232.0,232.0,232.0,145220,232.0,232.0,,33692253.5,33692253.5,,0,3,SUR,0.0
15,TQBR,2024-05-03,Займер ао,ZAYM,1670,36363218.0,231.5,231.5,234.1,232.5,232.75,232.5,156230,232.75,232.75,,36363218.0,36363218.0,,0,3,SUR,0.22
16,TQBR,2024-05-06,Займер ао,ZAYM,1318,32416085.5,232.5,232.0,235.0,232.15,233.2,232.15,139000,233.2,233.2,,32416085.5,32416085.5,,0,3,SUR,-0.15
17,TQBR,2024-05-07,Займер ао,ZAYM,1261,37649568.5,232.15,231.85,235.0,234.0,233.5,234.0,161240,233.5,233.5,,37649568.5,37649568.5,,0,3,SUR,0.8
18,TQBR,2024-05-08,Займер ао,ZAYM,1734,47739974.5,233.0,231.7,233.8,231.75,232.25,231.75,205540,232.25,232.25,,47739974.5,47739974.5,,0,3,SUR,-0.96
19,TQBR,2024-05-10,Займер ао,ZAYM,998,17825998.5,231.8,230.7,232.35,231.1,231.2,231.1,77100,231.2,231.2,,17825998.5,17825998.5,,0,3,SUR,-0.28
20,TQBR,2024-05-13,Займер ао,ZAYM,1898,39046809.0,231.2,230.9,234.7,231.15,232.25,231.15,168140,232.25,232.25,,39046809.0,39046809.0,,0,3,SUR,0.02
21,TQBR,2024-05-14,Займер ао,ZAYM,2854,38658644.5,231.8,228.2,233.45,228.75,230.05,228.75,168060,230.05,230.05,,38658644.5,38658644.5,,0,3,SUR,-1.04
22,TQBR,2024-05-15,Займер ао,ZAYM,4463,78889371.5,228.75,224.0,230.7,225.4,226.05,225.4,348970,226.05,226.05,,78889371.5,78889371.5,,0,3,SUR,-1.46
23,TQBR,2024-05-16,Займер ао,ZAYM,5032,67948687.5,225.4,220.0,227.15,221.05,222.6,221.05,305230,222.6,222.6,,67948687.5,67948687.5,,0,3,SUR,-1.93
24,TQBR,2024-05-17,Займер ао,ZAYM,3069,101057810.5,221.1,217.1,222.8,221.7,220.0,221.7,459390,220.0,220.0,,101057810.5,101057810.5,,0,3,SUR,0.29
25,TQBR,2024-05-20,Займер ао,ZAYM,2687,59550008.0,221.05,216.5,222.75,217.0,217.55,217.0,273750,217.55,217.55,,59550008.0,59550008.0,,0,3,SUR,-2.12
26,TQBR,2024-05-21,Займер ао,ZAYM,1668,42863541.5,217.0,215.0,218.25,215.65,215.85,215.65,198580,215.85,215.85,,42863541.5,42863541.5,,0,3,SUR,-0.62
27,TQBR,2024-05-22,Займер ао,ZAYM,1747,55970508.0,214.8,210.25,216.5,211.55,214.45,211.55,261020,214.45,214.45,,55970508.0,55970508.0,,0,3,SUR,-1.9
28,TQBR,2024-05-23,Займер ао,ZAYM,2568,62573699.0,211.55,204.2,213.55,208.95,207.9,208.95,300970,207.9,207.9,,62573699.0,62573699.0,,0,3,SUR,-1.23
29,TQBR,2024-05-24,Займер ао,ZAYM,2637,56915439.5,208.95,202.75,215.9,204.05,209.65,204.05,271470,209.65,209.65,,56915439.5,56915439.5,,0,3,SUR,-2.35
30,TQBR,2024-05-27,Займер ао,ZAYM,3056,56057480.5,209.0,191.3,209.0,199.95,200.55,199.95,279520,200.55,200.55,,56057480.5,56057480.5,,0,3,SUR,-2.01
31,TQBR,2024-05-28,Займер ао,ZAYM,1324,27727567.0,199.5,197.0,207.0,201.2,202.9,201.2,136660,202.9,202.9,,27727567.0,27727567.0,,0,3,SUR,0.63
32,TQBR,2024-05-29,Займер ао,ZAYM,851,23832221.5,205.0,198.0,205.0,198.95,200.75,198.95,118710,200.75,200.75,,23832221.5,23832221.5,,0,3,SUR,-1.12
33,TQBR,2024-05-30,Займер ао,ZAYM,1301,28364432.0,199.0,194.05,203.95,194.6,198.5,194.6,142900,198.5,198.5,,28364432.0,28364432.0,,0,3,SUR,-2.19
34,TQBR,2024-05-31,Займер ао,ZAYM,1606,18891693.5,194.7,190.0,197.3,190.1,192.6,190.1,98090,192.6,192.6,,18891693.5,18891693.5,,0,3,SUR,-2.31
35,TQBR,2024-06-03,Займер ао,ZAYM,3796,36756816.0,190.1,177.0,193.5,188.5,186.45,188.5,197150,186.45,186.45,,36756816.0,36756816.0,,0,3,SUR,-0.84
36,TQBR,2024-06-04,Займер ао,ZAYM,1887,31234526.5,191.7,188.5,202.2,193.7,194.5,193.7,160580,194.5,194.5,,31234526.5,31234526.5,,0,3,SUR,2.76
37,TQBR,2024-06-05,Займер ао,ZAYM,2051,31120360.5,194.95,194.0,204.5,198.0,200.3,198.0,155380,200.3,200.3,,31120360.5,31120360.5,,0,3,SUR,2.22
38,TQBR,2024-06-06,Займер ао,ZAYM,1987,36130616.0,196.8,189.0,202.95,189.5,192.85,189.5,187370,192.85,192.85,,36130616.0,36130616.0,,0,3,SUR,-4.29
39,TQBR,2024-06-07,Займер ао,ZAYM,2984,65389847.0,184.75,184.4,188.0,186.25,186.75,186.25,350140,186.75,186.75,,65389847.0,65389847.0,,0,3,SUR,-1.72
40,TQBR,2024-06-10,Займер ао,ZAYM,1869,31860316.5,189.5,181.95,189.5,182.0,185.8,182.9,171460,186.0,186.0,,30356350.5,30356350.5,,0,3,SUR,-1.8
41,TQBR,2024-06-11,Займер ао,ZAYM,1815,24718982.5,182.9,178.55,183.0,179.6,180.5,179.65,136950,180.55,180.55,,23712260.5,23712260.5,,0,3,SUR,-1.78
42,TQBR,2024-06-13,Займер ао,ZAYM,1703,19906071.0,177.45,170.0,182.95,179.6,179.15,181.15,111110,179.0,179.0,,18253023.5,18253023.5,,0,3,SUR,0.83
43,TQBR,2024-06-14,Займер ао,ZAYM,1184,13710979.5,181.15,178.85,182.6,181.75,181.1,180.65,75710,181.1,181.1,,13101106.0,13101106.0,,0,3,SUR,-0.28
44,TQBR,2024-06-17,Займер ао,ZAYM,1179,10261798.0,180.65,177.0,181.55,178.85,179.35,177.4,57220,179.7,179.7,,8139637.0,8139637.0,,0,3,SUR,-1.8
45,TQBR,2024-06-18,Займер ао,ZAYM,2022,21641016.0,178.0,171.45,178.5,178.5,174.65,172.55,123910,174.75,174.75,,19077267.5,19077267.5,,0,3,SUR,-2.73
46,TQBR,2024-06-19,Займер ао,ZAYM,2854,31951355.0,172.65,160.7,173.85,164.8,165.45,163.7,193500,165.25,165.25,,29717388.5,29717388.5,,0,3,SUR,-5.13
