,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ЗИЛ ао,ZILL,3,14060.0,451.0,451.0,489.99,465.01,468.67,465.01,30,,471.26,,0,556085.3,0.0,,3,SUR,-0.21
1,TQBR,2014-06-10,ЗИЛ ао,ZILL,2,40630.0,455.0,451.0,455.0,451.44,451.44,451.0,90,,469.79,,0,516765.3,0.0,,3,SUR,-3.01
2,TQBR,2014-06-11,ЗИЛ ао,ZILL,0,0.0,,,,451.44,,,0,,469.79,,0,516765.3,0.0,,3,SUR,
3,TQBR,2014-06-16,ЗИЛ ао,ZILL,1,4350.1,435.01,435.01,435.01,435.01,435.01,435.01,10,,469.47,,0,521115.4,0.0,,3,SUR,-3.55
4,TQBR,2014-06-17,ЗИЛ ао,ZILL,0,0.0,,,,435.01,,,0,,469.47,,0,521115.4,0.0,,3,SUR,
5,TQBR,2014-06-18,ЗИЛ ао,ZILL,0,0.0,,,,435.01,,,0,,469.47,,0,521115.4,0.0,,3,SUR,
6,TQBR,2014-06-19,ЗИЛ ао,ZILL,0,0.0,,,,435.01,,,0,,469.47,,0,521115.4,0.0,,3,SUR,
7,TQBR,2014-06-20,ЗИЛ ао,ZILL,9,46357.2,437.5,437.5,483.98,468.97,463.57,468.97,100,,467.22,,0,504602.9,0.0,,3,SUR,7.81
8,TQBR,2014-06-23,ЗИЛ ао,ZILL,24,213724.2,460.01,415.0,472.93,426.67,436.17,425.0,490,,450.35,,0,504397.5,0.0,,3,SUR,-9.38
9,TQBR,2014-06-24,ЗИЛ ао,ZILL,14,62909.8,479.96,427.01,479.96,449.0,449.36,449.0,140,,447.55,,0,510209.8,0.0,,3,SUR,5.65
10,TQBR,2014-06-25,ЗИЛ ао,ZILL,6,35935.2,465.5,439.01,465.5,439.01,449.19,439.01,80,,447.71,,0,501436.5,0.0,,3,SUR,-2.22
11,TQBR,2014-06-26,ЗИЛ ао,ZILL,0,0.0,,,,439.01,,,0,,447.71,,0,501436.5,0.0,,3,SUR,
12,TQBR,2014-06-27,ЗИЛ ао,ZILL,3,12800.0,430.0,425.0,430.0,426.67,426.67,425.0,30,,447.16,,0,514236.5,0.0,,3,SUR,-3.19
13,TQBR,2014-06-30,ЗИЛ ао,ZILL,3,16741.4,411.0,411.0,441.0,421.05,418.54,441.0,40,,445.64,,0,508027.9,0.0,,3,SUR,3.76
14,TQBR,2014-07-01,ЗИЛ ао,ZILL,0,0.0,,,,421.05,,,0,,445.64,,0,508027.9,0.0,,3,SUR,
