,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-10-13,Астра ао,ASTR,10927,398587014.0,466.2,466.2,466.2,466.2,375.45,466.2,854970,466.2,466.2,,398587014.0,398587014.0,,0,3,SUR,
1,TQBR,2023-10-16,Астра ао,ASTR,377824,10931549315.4,512.8,502.0,651.7,560.0,560.95,560.0,19488378,560.95,560.95,,10931549315.4,10931549315.4,,0,3,SUR,20.12
2,TQBR,2023-10-17,Астра ао,ASTR,139702,3175043690.55,569.65,524.0,590.0,531.6,553.15,531.6,5739684,553.15,553.15,,3175043690.55,3175043690.55,,0,3,SUR,-5.07
3,TQBR,2023-10-18,Астра ао,ASTR,94896,1710731159.75,531.6,502.35,536.3,506.0,513.05,506.0,3334286,513.05,513.05,,1710731159.75,1710731159.75,,0,3,SUR,-4.82
4,TQBR,2023-10-19,Астра ао,ASTR,48832,826340238.25,506.0,495.15,514.5,502.7,502.9,502.7,1643222,502.9,502.9,,826340238.25,826340238.25,,0,3,SUR,-0.65
5,TQBR,2023-10-20,Астра ао,ASTR,42129,657426601.7,505.9,480.1,506.1,480.75,488.55,480.75,1345640,488.55,488.55,,657426601.7,657426601.7,,0,3,SUR,-4.37
6,TQBR,2023-10-23,Астра ао,ASTR,83778,1811719789.7,477.0,467.0,522.8,497.7,495.45,497.7,3655751,495.6,495.6,,1811719789.7,1811719789.7,,0,3,SUR,3.53
7,TQBR,2023-10-24,Астра ао,ASTR,37729,582167410.1,498.05,495.0,512.65,501.0,504.3,501.0,1154452,504.3,504.3,,582167410.1,582167410.1,,0,3,SUR,0.66
8,TQBR,2023-10-25,Астра ао,ASTR,22890,441195847.65,501.2,491.0,515.0,505.5,506.0,505.5,871663,506.15,506.15,,441195847.65,441195847.65,,0,3,SUR,0.9
9,TQBR,2023-10-26,Астра ао,ASTR,59317,532758431.85,505.5,503.0,521.2,503.45,513.65,503.45,1037604,513.45,513.45,,532758431.85,532758431.85,,0,3,SUR,-0.41
10,TQBR,2023-10-27,Астра ао,ASTR,17067,206303578.15,503.45,493.5,507.75,499.1,500.8,499.1,411928,500.8,500.8,,206303578.15,206303578.15,,0,3,SUR,-0.86
11,TQBR,2023-10-30,Астра ао,ASTR,18885,214862574.25,497.2,480.2,500.05,491.0,490.2,491.0,438334,490.2,490.2,,214862574.25,214862574.25,,0,3,SUR,-1.62
12,TQBR,2023-10-31,Астра ао,ASTR,21972,250730277.45,491.0,475.05,504.7,488.0,489.05,488.0,512710,489.05,489.05,,250730277.45,250730277.45,,0,3,SUR,-0.61
13,TQBR,2023-11-01,Астра ао,ASTR,12384,160049237.7,491.0,488.0,504.8,493.25,497.2,493.25,321887,497.2,497.2,,160049237.7,160049237.7,,0,3,SUR,1.08
14,TQBR,2023-11-02,Астра ао,ASTR,19132,258171531.7,495.95,490.4,506.0,490.5,500.0,490.5,516333,500.0,500.0,,258171531.7,258171531.7,,0,3,SUR,-0.56
15,TQBR,2023-11-03,Астра ао,ASTR,10653,110807626.2,493.25,491.0,501.6,496.0,497.8,496.0,222588,497.8,497.8,,110807626.2,110807626.2,,0,3,SUR,1.12
16,TQBR,2023-11-06,Астра ао,ASTR,21349,344685460.1,497.95,496.2,518.0,516.95,510.15,516.95,675679,510.15,510.15,,344685460.1,344685460.1,,0,3,SUR,4.22
17,TQBR,2023-11-07,Астра ао,ASTR,28278,466420441.8,518.95,511.0,531.9,515.15,521.75,515.15,893920,521.75,521.75,,466420441.8,466420441.8,,0,3,SUR,-0.35
18,TQBR,2023-11-08,Астра ао,ASTR,10018,102580364.3,515.4,507.4,517.0,510.25,510.9,510.25,200775,510.9,510.9,,102580364.3,102580364.3,,0,3,SUR,-0.95
19,TQBR,2023-11-09,Астра ао,ASTR,10180,102381921.65,508.0,500.0,511.0,505.75,505.75,505.75,202443,505.75,505.75,,102381921.65,102381921.65,,0,3,SUR,-0.88
20,TQBR,2023-11-10,Астра ао,ASTR,12150,145196282.75,505.75,496.5,508.75,502.75,502.85,507.05,288738,502.55,502.55,,131435652.7,131435652.7,,0,3,SUR,0.26
21,TQBR,2023-11-13,Астра ао,ASTR,10719,127950655.45,509.0,500.0,511.75,501.3,502.7,501.5,254515,502.9,502.9,,113734635.6,113734635.6,,0,3,SUR,-1.09
22,TQBR,2023-11-14,Астра ао,ASTR,17842,244938246.85,501.5,490.0,511.9,500.5,503.0,502.85,486941,503.1,503.1,,229343823.8,229343823.8,,0,3,SUR,0.27
23,TQBR,2023-11-15,Астра ао,ASTR,9765,128098173.25,502.0,497.0,505.7,504.0,501.1,503.7,255628,500.75,500.75,,114539845.75,114539845.75,,0,3,SUR,0.17
24,TQBR,2023-11-16,Астра ао,ASTR,27907,507336034.8,500.05,500.05,519.85,511.65,515.4,516.45,984324,515.45,515.45,,479361411.95,479361411.95,,0,3,SUR,2.53
25,TQBR,2023-11-17,Астра ао,ASTR,42699,728123295.65,517.3,509.0,540.0,530.45,529.6,533.45,1374837,526.6,526.6,,505181237.5,505181237.5,,0,3,SUR,3.29
26,TQBR,2023-11-20,Астра ао,ASTR,46140,838266708.05,537.3,512.0,550.0,515.0,528.35,517.15,1586643,529.0,529.0,,792507574.45,792507574.45,,0,3,SUR,-3.06
27,TQBR,2023-11-21,Астра ао,ASTR,18495,250987176.55,513.5,506.0,522.0,514.35,512.55,515.15,489635,512.25,512.25,,228345535.75,228345535.75,,0,3,SUR,-0.39
28,TQBR,2023-11-22,Астра ао,ASTR,17228,162234539.75,515.15,509.0,516.9,512.5,512.6,513.35,316507,512.55,512.55,,150973893.35,150973893.35,,0,3,SUR,-0.35
29,TQBR,2023-11-23,Астра ао,ASTR,11213,144331424.85,513.35,506.05,513.35,509.6,509.35,509.45,283370,509.45,509.45,,125386745.4,125386745.4,,0,3,SUR,-0.76
30,TQBR,2023-11-24,Астра ао,ASTR,11585,119585307.2,511.75,501.05,511.75,505.85,505.7,508.2,236478,505.55,505.55,,109333020.2,109333020.2,,0,3,SUR,-0.25
31,TQBR,2023-11-27,Астра ао,ASTR,24499,294386706.65,508.0,480.0,508.15,492.75,494.9,492.5,594848,495.05,495.05,,277105186.0,277105186.0,,0,3,SUR,-3.09
32,TQBR,2023-11-28,Астра ао,ASTR,20624,223601277.3,490.5,481.3,494.0,485.75,486.1,492.45,459986,485.65,485.65,,200664451.7,200664451.7,,0,3,SUR,-0.01
33,TQBR,2023-11-29,Астра ао,ASTR,10826,108066307.75,492.45,485.0,493.9,487.9,487.8,485.65,221533,488.1,488.1,,93353210.5,93353210.5,,0,3,SUR,-1.38
34,TQBR,2023-11-30,Астра ао,ASTR,16221,137945501.85,488.05,478.55,488.05,481.3,482.35,481.0,285992,482.85,482.85,,108024734.2,108024734.2,,0,3,SUR,-0.96
