,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2021-01-26,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
1,TQBR,2021-01-27,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
2,TQBR,2021-01-28,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
3,TQBR,2021-01-29,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
4,TQBR,2021-02-01,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
5,TQBR,2021-02-02,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
6,TQBR,2021-02-03,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
7,TQBR,2021-02-04,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
8,TQBR,2021-02-05,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
9,TQBR,2021-02-08,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
10,TQBR,2021-02-09,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
11,TQBR,2021-02-10,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
12,TQBR,2021-02-11,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
13,TQBR,2021-02-12,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
14,TQBR,2021-02-15,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
15,TQBR,2021-02-16,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
16,TQBR,2021-02-17,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
17,TQBR,2021-02-18,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,
