,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-07-03,СТГ,CARM,107621,3372166523.95,3.15,3.15,3.318,3.318,3.263,3.318,1033508900,3.263,3.263,,3372166523.95,3372166523.95,,0,3,SUR,
1,TQBR,2023-07-04,СТГ,CARM,103086,1672752841.25,3.4405,2.8875,3.523,3.024,3.1405,3.024,532654500,3.1405,3.1405,,1672752841.25,1672752841.25,,0,3,SUR,-8.86
2,TQBR,2023-07-05,СТГ,CARM,32145,306541926.35,3.023,2.888,3.025,2.89,2.924,2.89,104841900,2.924,2.924,,306541926.35,306541926.35,,0,3,SUR,-4.43
3,TQBR,2023-07-06,СТГ,CARM,34527,288548212.05,2.89,2.6815,2.9,2.7,2.738,2.7,105392900,2.738,2.738,,288548212.05,288548212.05,,0,3,SUR,-6.57
4,TQBR,2023-07-07,СТГ,CARM,30400,346207507.0,2.6995,2.6865,2.8665,2.805,2.8095,2.805,123229700,2.8095,2.8095,,346207507.0,346207507.0,,0,3,SUR,3.89
5,TQBR,2023-07-10,СТГ,CARM,11175,134526950.0,2.8,2.6,3.0,2.8,2.9,2.8,47103400,2.9,2.9,,134526950.0,134526950.0,,0,3,SUR,0.0
6,TQBR,2023-07-11,СТГ,CARM,8265,70574571.6,2.803,2.8,2.8695,2.801,2.8215,2.801,25014500,2.8215,2.8215,,70574571.6,70574571.6,,0,3,SUR,0.04
7,TQBR,2023-07-12,СТГ,CARM,6178,42814896.8,2.8035,2.8005,2.8355,2.805,2.8075,2.805,15251400,2.8075,2.8075,,42814896.8,42814896.8,,0,3,SUR,0.14
8,TQBR,2023-07-13,СТГ,CARM,7602,41229447.35,2.8005,2.712,2.822,2.77,2.7835,2.77,14812500,2.7835,2.7835,,41229447.35,41229447.35,,0,3,SUR,-1.25
9,TQBR,2023-07-14,СТГ,CARM,8943,65036560.5,2.78,2.722,2.7855,2.743,2.7405,2.743,23732800,2.7405,2.7405,,65036560.5,65036560.5,,0,3,SUR,-0.97
10,TQBR,2023-07-17,СТГ,CARM,9363,51880699.95,2.743,2.666,2.75,2.7085,2.7095,2.7085,19146800,2.7095,2.7095,,51880699.95,51880699.95,,0,3,SUR,-1.26
11,TQBR,2023-07-18,СТГ,CARM,10298,76179705.0,2.714,2.681,2.759,2.735,2.7115,2.735,28095200,2.7115,2.7115,,76179705.0,76179705.0,,0,3,SUR,0.98
12,TQBR,2023-07-19,СТГ,CARM,6203,41900141.35,2.718,2.7,2.749,2.728,2.7185,2.728,15412000,2.7185,2.7185,,41900141.35,41900141.35,,0,3,SUR,-0.26
13,TQBR,2023-07-20,СТГ,CARM,5184,40174568.75,2.73,2.715,2.75,2.7215,2.7325,2.7215,14701600,2.7325,2.7325,,40174568.75,40174568.75,,0,3,SUR,-0.24
14,TQBR,2023-07-21,СТГ,CARM,3780,22192479.75,2.7215,2.707,2.739,2.7245,2.7235,2.7245,8148400,2.7235,2.7235,,22192479.75,22192479.75,,0,3,SUR,0.11
