,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2015-06-22,МКБ ао,CBOM,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
1,TQBR,2015-06-23,МКБ ао,CBOM,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
2,TQBR,2015-06-24,МКБ ао,CBOM,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
3,TQBR,2015-06-25,МКБ ао,CBOM,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
4,TQBR,2015-06-26,МКБ ао,CBOM,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
5,TQBR,2015-06-29,МКБ ао,CBOM,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
6,TQBR,2015-06-30,МКБ ао,CBOM,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
7,TQBR,2015-07-01,МКБ ао,CBOM,898,79918313.1,3.627,3.624,3.74,3.68,3.6325,3.68,22000500,3.6325,3.6325,3.6325,79918313.1,79918313.1,79918313.1,,3,SUR,
8,TQBR,2015-07-02,МКБ ао,CBOM,505,100804318.65,3.8,3.624,3.8,3.6455,3.6385,3.6455,27706400,3.6385,3.6385,3.6385,100804318.65,100804318.65,100804318.65,,3,SUR,-0.94
9,TQBR,2015-07-03,МКБ ао,CBOM,145,139177504.2,3.725,3.6315,3.725,3.637,3.6425,3.637,38211300,3.6425,3.6425,3.6425,139177504.2,139177504.2,139177504.2,,3,SUR,-0.23
10,TQBR,2015-07-06,МКБ ао,CBOM,102,30698859.0,3.6405,3.64,3.67,3.67,3.6515,3.67,8407400,3.6515,3.6515,3.6515,30698859.0,30698859.0,30698859.0,,3,SUR,0.91
11,TQBR,2015-07-07,МКБ ао,CBOM,182,110812432.55,3.8,3.631,3.8,3.631,3.635,3.631,30483800,3.635,3.635,3.635,110812432.55,110812432.55,110812432.55,,3,SUR,-1.06
12,TQBR,2015-07-08,МКБ ао,CBOM,138,147089032.2,3.6205,3.6205,3.66,3.649,3.6405,3.649,40402100,3.6405,3.6405,3.6405,147089032.2,147089032.2,147089032.2,,3,SUR,0.5
