,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ЧМК ао,CHMK,19,59242,737.0,712.0,740.0,726,722.0,726.0,82,,739,,0,575173,0.0,,3,SUR,-1.09
1,TQBR,2014-06-10,ЧМК ао,CHMK,19,43622,726.0,726.0,757.0,745,739.0,757.0,59,,737,,0,501897,0.0,,3,SUR,4.27
2,TQBR,2014-06-11,ЧМК ао,CHMK,41,164515,730.0,711.0,740.0,729,722.0,740.0,228,,731,,0,512884,0.0,,3,SUR,-2.25
3,TQBR,2014-06-16,ЧМК ао,CHMK,35,318511,721.0,695.0,723.0,706,702.0,723.0,454,,710,,0,500909,0.0,,3,SUR,-2.3
4,TQBR,2014-06-17,ЧМК ао,CHMK,38,169295,702.0,700.0,736.0,717,714.0,719.0,237,,706,,0,505814,0.0,,3,SUR,-0.55
5,TQBR,2014-06-18,ЧМК ао,CHMK,3,4936,703.0,702.0,719.0,719,705.0,719.0,7,,706,,0,500029,0.0,,3,SUR,0.0
6,TQBR,2014-06-19,ЧМК ао,CHMK,16,53905,739.0,658.0,739.0,704,709.0,704.0,76,,706,,0,520822,0.0,,3,SUR,-2.09
7,TQBR,2014-06-20,ЧМК ао,CHMK,36,181581,716.0,680.0,717.0,711,704.0,711.0,258,,705,,0,589785,0.0,,3,SUR,0.99
8,TQBR,2014-06-23,ЧМК ао,CHMK,14,52367,739.0,701.0,739.0,707,717.0,707.0,73,,709,,0,501539,0.0,,3,SUR,-0.56
9,TQBR,2014-06-24,ЧМК ао,CHMK,7,17412,724.0,724.0,726.0,725,726.0,725.0,24,,710,,0,500535,0.0,,3,SUR,2.55
10,TQBR,2014-06-25,ЧМК ао,CHMK,22,80460,708.0,680.0,716.0,699,694.0,699.0,116,,708,,0,503158,0.0,,3,SUR,-3.59
