,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-10-01,iАренадата,DATA,49768,959788460.74,110.0,102.5,114.8,106.94,102.36,106.94,8982673,106.84,106.84,,959788460.74,959788460.74,,0,3,SUR,
1,TQBR,2024-10-02,iАренадата,DATA,23702,360052356.5,107.98,104.06,111.0,104.92,108.2,104.92,3330475,108.1,108.1,,360052356.5,360052356.5,,0,3,SUR,-1.89
2,TQBR,2024-10-03,iАренадата,DATA,5975,103531570.92,106.0,104.44,107.8,105.24,106.1,105.24,975816,106.1,106.1,,103531570.92,103531570.92,,0,3,SUR,0.3
3,TQBR,2024-10-04,iАренадата,DATA,5962,123996691.92,105.48,104.6,107.98,104.98,105.78,104.98,1172304,105.78,105.78,,123996691.92,123996691.92,,0,3,SUR,-0.25
4,TQBR,2024-10-07,iАренадата,DATA,5293,100419355.28,105.24,104.56,107.48,105.78,105.58,105.78,951064,105.58,105.58,,100419355.28,100419355.28,,0,3,SUR,0.76
5,TQBR,2024-10-08,iАренадата,DATA,13636,90458719.36,105.18,104.84,106.78,105.6,105.4,105.6,858202,105.4,105.4,,90458719.36,90458719.36,,0,3,SUR,-0.17
6,TQBR,2024-10-09,iАренадата,DATA,11196,44489096.0,105.6,105.48,106.64,106.08,105.9,106.08,420091,105.9,105.9,,44489096.0,44489096.0,,0,3,SUR,0.45
7,TQBR,2024-10-10,iАренадата,DATA,16182,111452873.04,106.1,105.7,109.6,108.1,108.02,108.1,1031725,108.02,108.02,,111452873.04,111452873.04,,0,3,SUR,1.9
8,TQBR,2024-10-11,iАренадата,DATA,14606,172681383.18,107.98,107.98,114.4,111.66,111.72,111.66,1545601,111.72,111.72,,172681383.18,172681383.18,,0,3,SUR,3.29
9,TQBR,2024-10-14,iАренадата,DATA,22183,341781230.88,113.5,110.8,119.78,111.38,114.64,111.38,2981246,114.64,114.64,,341781230.88,341781230.88,,0,3,SUR,-0.25
10,TQBR,2024-10-15,iАренадата,DATA,5544,44655966.2,111.34,110.3,112.46,112.0,111.56,112.0,400274,111.56,111.56,,44655966.2,44655966.2,,0,3,SUR,0.56
11,TQBR,2024-10-16,iАренадата,DATA,5548,53989655.14,111.78,110.02,112.5,112.3,111.52,112.3,484097,111.52,111.52,,53989655.14,53989655.14,,0,3,SUR,0.27
12,TQBR,2024-10-17,iАренадата,DATA,6116,86172976.84,112.68,112.32,114.98,114.02,113.96,114.02,756159,113.96,113.96,,86172976.84,86172976.84,,0,3,SUR,1.53
13,TQBR,2024-10-18,iАренадата,DATA,3840,61957194.04,112.92,110.34,115.88,114.42,113.44,114.42,546186,113.44,113.44,,61957194.04,61957194.04,,0,3,SUR,0.35
14,TQBR,2024-10-21,iАренадата,DATA,5884,71031062.2,114.44,114.44,118.0,114.9,116.06,114.9,612021,116.06,116.06,,71031062.2,71031062.2,,0,3,SUR,0.42
15,TQBR,2024-10-22,iАренадата,DATA,7667,116909662.9,116.76,116.06,119.44,117.46,117.96,117.46,991138,117.96,117.96,,116909662.9,116909662.9,,0,3,SUR,2.23
16,TQBR,2024-10-23,iАренадата,DATA,12134,181905043.02,118.94,118.34,122.74,122.54,120.72,122.54,1506859,120.72,120.72,,181905043.02,181905043.02,,0,3,SUR,4.32
17,TQBR,2024-10-24,iАренадата,DATA,24101,259740982.92,123.0,117.06,126.0,121.36,121.38,121.36,2139877,121.38,121.38,,259740982.92,259740982.92,,0,3,SUR,-0.96
18,TQBR,2024-10-25,iАренадата,DATA,10353,144576603.32,120.6,117.0,121.0,118.3,118.86,118.3,1216281,118.86,118.86,,144576603.32,144576603.32,,0,3,SUR,-2.52
19,TQBR,2024-10-28,iАренадата,DATA,14172,100882210.3,117.3,116.5,122.52,119.22,118.5,119.22,851369,118.5,118.5,,100882210.3,100882210.3,,0,3,SUR,0.78
20,TQBR,2024-10-29,iАренадата,DATA,6586,39500312.94,121.0,117.5,121.0,118.28,118.5,118.28,333347,118.5,118.5,,39500312.94,39500312.94,,0,3,SUR,-0.79
21,TQBR,2024-10-30,iАренадата,DATA,7678,86696910.5,118.96,118.16,122.74,122.7,120.9,122.7,717079,120.9,120.9,,86696910.5,86696910.5,,0,3,SUR,3.74
22,TQBR,2024-10-31,iАренадата,DATA,19816,157406611.06,122.6,122.5,126.44,124.74,125.06,124.74,1258699,125.06,125.06,,157406611.06,157406611.06,,0,3,SUR,1.66
23,TQBR,2024-11-01,iАренадата,DATA,5464,54318004.4,124.76,121.5,124.8,123.48,123.82,123.48,438707,123.82,123.82,,54318004.4,54318004.4,,0,3,SUR,-1.01
24,TQBR,2024-11-02,iАренадата,DATA,4301,36996683.62,124.12,123.2,126.0,125.6,124.9,125.6,296220,124.9,124.9,,36996683.62,36996683.62,,0,3,SUR,1.72
25,TQBR,2024-11-05,iАренадата,DATA,5479,61156058.3,124.28,122.0,125.0,122.78,123.24,122.78,496234,123.24,123.24,,61156058.3,61156058.3,,0,3,SUR,-2.25
26,TQBR,2024-11-06,iАренадата,DATA,13358,135761256.04,123.7,117.5,124.1,118.5,120.62,118.5,1125618,120.62,120.62,,135761256.04,135761256.04,,0,3,SUR,-3.49
27,TQBR,2024-11-07,iАренадата,DATA,5795,125113791.36,119.86,116.0,120.62,117.5,117.02,117.5,1069159,117.02,117.02,,125113791.36,125113791.36,,0,3,SUR,-0.84
28,TQBR,2024-11-08,iАренадата,DATA,13503,204672279.86,122.0,118.7,123.2,119.32,121.04,119.32,1688878,121.18,121.18,,204672279.86,204672279.86,,0,3,SUR,1.55
29,TQBR,2024-11-11,iАренадата,DATA,8247,83611068.92,120.64,117.6,121.2,117.86,118.96,117.86,702493,119.02,119.02,,83611068.92,83611068.92,,0,3,SUR,-1.22
