,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-02-06,iКаршеринг,DELI,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,
1,TQBR,2024-02-07,iКаршеринг,DELI,97877,1647307001.25,275.0,270.0,317.0,282.9,277.95,282.9,5698090,289.1,289.1,,1647307001.25,1647307001.25,,0,3,SUR,
2,TQBR,2024-02-08,iКаршеринг,DELI,27018,346379218.15,285.2,277.5,289.0,277.6,280.45,277.6,1235135,280.45,280.45,,346379218.15,346379218.15,,0,3,SUR,-1.87
3,TQBR,2024-02-09,iКаршеринг,DELI,18135,162218102.0,280.0,270.5,280.0,272.8,273.55,272.8,593006,273.55,273.55,,162218102.0,162218102.0,,0,3,SUR,-1.73
4,TQBR,2024-02-12,iКаршеринг,DELI,23334,208599280.6,272.85,265.0,275.0,269.45,268.4,269.45,777206,268.4,268.4,,208599280.6,208599280.6,,0,3,SUR,-1.23
5,TQBR,2024-02-13,iКаршеринг,DELI,14400,195102086.1,270.3,265.0,271.4,266.8,268.15,266.8,727633,268.15,268.15,,195102086.1,195102086.1,,0,3,SUR,-0.98
6,TQBR,2024-02-14,iКаршеринг,DELI,30590,402370572.95,266.95,266.95,284.25,282.8,279.8,282.8,1439873,279.45,279.45,,402370572.95,402370572.95,,0,3,SUR,6.0
7,TQBR,2024-02-15,iКаршеринг,DELI,12880,149331985.6,282.0,275.85,286.0,282.0,281.6,282.0,530396,281.55,281.55,,149331985.6,149331985.6,,0,3,SUR,-0.28
8,TQBR,2024-02-16,iКаршеринг,DELI,9839,103767477.1,281.0,279.25,284.15,280.15,281.35,280.15,369127,281.1,281.1,,103767477.1,103767477.1,,0,3,SUR,-0.66
9,TQBR,2024-02-19,iКаршеринг,DELI,14139,134587745.05,280.15,273.3,287.0,283.95,279.9,283.95,480809,279.9,279.9,,134587745.05,134587745.05,,0,3,SUR,1.36
10,TQBR,2024-02-20,iКаршеринг,DELI,24689,301180082.1,287.75,280.25,292.4,282.15,288.4,282.15,1044280,288.4,288.4,,301180082.1,301180082.1,,0,3,SUR,-0.63
11,TQBR,2024-02-21,iКаршеринг,DELI,16002,147074993.05,282.0,270.0,283.55,272.05,273.5,272.05,537722,273.5,273.5,,147074993.05,147074993.05,,0,3,SUR,-3.58
12,TQBR,2024-02-22,iКаршеринг,DELI,6645,54441802.15,274.05,272.0,279.3,273.5,275.9,273.5,197314,275.9,275.9,,54441802.15,54441802.15,,0,3,SUR,0.53
13,TQBR,2024-02-26,iКаршеринг,DELI,7355,66928027.7,275.0,273.55,279.65,275.0,276.1,275.0,242413,276.1,276.1,,66928027.7,66928027.7,,0,3,SUR,0.55
14,TQBR,2024-02-27,iКаршеринг,DELI,5863,62025646.65,275.85,274.5,279.2,275.0,277.2,275.0,223754,277.2,277.2,,62025646.65,62025646.65,,0,3,SUR,0.0
15,TQBR,2024-02-28,iКаршеринг,DELI,10829,113563280.35,278.4,274.25,285.85,283.75,281.45,283.75,403474,281.45,281.45,,113563280.35,113563280.35,,0,3,SUR,3.18
16,TQBR,2024-02-29,iКаршеринг,DELI,7194,59409968.05,285.35,278.8,288.0,280.0,282.45,280.0,210331,282.45,282.45,,59409968.05,59409968.05,,0,3,SUR,-1.32
17,TQBR,2024-03-01,iКаршеринг,DELI,14276,114983552.8,281.6,280.0,287.3,282.7,284.3,282.7,404433,284.3,284.3,,114983552.8,114983552.8,,0,3,SUR,0.96
18,TQBR,2024-03-04,iКаршеринг,DELI,15002,162344416.4,282.7,275.05,289.0,285.1,285.0,285.1,569588,285.0,285.0,,162344416.4,162344416.4,,0,3,SUR,0.85
19,TQBR,2024-03-05,iКаршеринг,DELI,18405,292410569.9,285.1,280.15,298.75,296.9,291.65,296.9,1002592,291.65,291.65,,292410569.9,292410569.9,,0,3,SUR,4.14
20,TQBR,2024-03-06,iКаршеринг,DELI,17502,215181338.55,296.0,288.0,304.9,292.0,296.6,292.0,725528,296.6,296.6,,215181338.55,215181338.55,,0,3,SUR,-1.65
21,TQBR,2024-03-07,iКаршеринг,DELI,19131,203513950.35,295.7,286.0,299.6,286.7,290.65,286.7,700164,290.65,290.65,,203513950.35,203513950.35,,0,3,SUR,-1.82
22,TQBR,2024-03-11,iКаршеринг,DELI,19284,159119109.9,288.4,284.0,291.0,284.9,286.5,284.9,555412,286.5,286.5,,159119109.9,159119109.9,,0,3,SUR,-0.63
23,TQBR,2024-03-12,iКаршеринг,DELI,15295,188257111.5,284.9,282.0,292.1,286.15,286.55,286.15,656989,286.55,286.55,,188257111.5,188257111.5,,0,3,SUR,0.44
24,TQBR,2024-03-13,iКаршеринг,DELI,10399,121894396.2,286.15,284.2,291.35,288.7,288.5,288.7,422506,288.5,288.5,,121894396.2,121894396.2,,0,3,SUR,0.89
25,TQBR,2024-03-14,iКаршеринг,DELI,9393,112608269.4,290.2,282.35,290.35,282.75,284.85,282.75,395311,284.85,284.85,,112608269.4,112608269.4,,0,3,SUR,-2.06
26,TQBR,2024-03-15,iКаршеринг,DELI,8492,75612232.8,283.0,280.2,287.15,282.3,283.55,282.3,266674,283.55,283.55,,75612232.8,75612232.8,,0,3,SUR,-0.16
27,TQBR,2024-03-18,iКаршеринг,DELI,11913,122730115.0,283.05,280.0,290.0,290.0,285.05,290.0,430810,284.9,284.9,,122730115.0,122730115.0,,0,3,SUR,2.73
28,TQBR,2024-03-19,iКаршеринг,DELI,18075,242273739.95,290.4,285.0,290.7,285.0,287.85,285.0,842101,287.7,287.7,,242273739.95,242273739.95,,0,3,SUR,-1.72
29,TQBR,2024-03-20,iКаршеринг,DELI,15128,184134686.9,286.55,282.55,292.1,291.1,287.8,291.1,639762,287.8,287.8,,184134686.9,184134686.9,,0,3,SUR,2.14
30,TQBR,2024-03-21,iКаршеринг,DELI,29861,512119745.5,291.1,289.6,311.0,302.0,301.7,302.0,1697317,301.7,301.7,,512119745.5,512119745.5,,0,3,SUR,3.74
31,TQBR,2024-03-22,iКаршеринг,DELI,19529,305908435.8,302.2,295.75,311.4,296.05,304.9,296.05,1003353,304.9,304.9,,305908435.8,305908435.8,,0,3,SUR,-1.97
32,TQBR,2024-03-25,iКаршеринг,DELI,15263,246982896.6,296.55,296.2,309.45,299.9,302.05,299.9,817654,302.05,302.05,,246982896.6,246982896.6,,0,3,SUR,1.3
33,TQBR,2024-03-26,iКаршеринг,DELI,7883,102645003.4,300.0,299.05,305.4,301.25,301.8,301.25,340095,301.8,301.8,,102645003.4,102645003.4,,0,3,SUR,0.45
34,TQBR,2024-03-27,iКаршеринг,DELI,75771,1654912891.4,304.6,301.6,363.35,330.95,329.6,330.95,5020787,329.6,329.6,,1654912891.4,1654912891.4,,0,3,SUR,9.86
35,TQBR,2024-03-28,iКаршеринг,DELI,28466,473101891.2,331.0,317.25,332.6,321.0,321.75,321.0,1470419,321.75,321.75,,473101891.2,473101891.2,,0,3,SUR,-3.01
36,TQBR,2024-03-29,iКаршеринг,DELI,32832,615039659.4,322.0,314.25,335.0,315.4,327.65,315.4,1877081,327.65,327.65,,615039659.4,615039659.4,,0,3,SUR,-1.74
37,TQBR,2024-04-01,iКаршеринг,DELI,14727,198442292.7,320.8,315.05,324.85,320.0,318.65,320.0,622769,318.65,318.65,,198442292.7,198442292.7,,0,3,SUR,1.46
38,TQBR,2024-04-02,iКаршеринг,DELI,21421,404127122.15,320.0,319.5,335.0,335.0,329.45,335.0,1226620,329.45,329.45,,404127122.15,404127122.15,,0,3,SUR,4.69
39,TQBR,2024-04-03,iКаршеринг,DELI,33212,711044280.25,337.0,335.0,354.0,339.8,345.0,339.8,2061024,345.0,345.0,,711044280.25,711044280.25,,0,3,SUR,1.43
40,TQBR,2024-04-04,iКаршеринг,DELI,35721,665685239.1,345.2,343.05,356.0,349.0,349.3,349.0,1905895,349.3,349.3,,665685239.1,665685239.1,,0,3,SUR,2.71
41,TQBR,2024-04-05,iКаршеринг,DELI,14906,201631306.5,349.0,340.0,350.65,342.2,344.6,342.2,585150,344.6,344.6,,201631306.5,201631306.5,,0,3,SUR,-1.95
42,TQBR,2024-04-08,iКаршеринг,DELI,15588,257129627.0,344.95,344.95,355.0,352.0,350.15,352.0,734379,350.15,350.15,,257129627.0,257129627.0,,0,3,SUR,2.86
43,TQBR,2024-04-09,iКаршеринг,DELI,20734,305173404.15,354.0,345.55,359.5,351.1,354.75,351.1,860200,354.75,354.75,,305173404.15,305173404.15,,0,3,SUR,-0.26
44,TQBR,2024-04-10,iКаршеринг,DELI,11526,142754026.15,355.0,349.05,358.5,352.5,353.85,352.5,403441,353.85,353.85,,142754026.15,142754026.15,,0,3,SUR,0.4
45,TQBR,2024-04-11,iКаршеринг,DELI,10037,109931033.2,353.45,347.25,354.85,348.45,349.75,348.45,314312,349.75,349.75,,109931033.2,109931033.2,,0,3,SUR,-1.15
46,TQBR,2024-04-12,iКаршеринг,DELI,14616,133404602.65,349.3,339.8,349.3,340.45,343.1,340.45,388796,343.1,343.1,,133404602.65,133404602.65,,0,3,SUR,-2.3
47,TQBR,2024-04-15,iКаршеринг,DELI,10183,87340477.15,345.0,339.1,345.0,340.8,341.8,340.8,255536,341.8,341.8,,87340477.15,87340477.15,,0,3,SUR,0.1
48,TQBR,2024-04-16,iКаршеринг,DELI,10327,93433930.05,341.35,334.4,343.05,335.9,338.85,335.9,275757,338.85,338.85,,93433930.05,93433930.05,,0,3,SUR,-1.44
49,TQBR,2024-04-17,iКаршеринг,DELI,12172,135614514.1,337.45,336.55,345.0,340.35,341.15,340.35,397531,341.15,341.15,,135614514.1,135614514.1,,0,3,SUR,1.32
50,TQBR,2024-04-18,iКаршеринг,DELI,7352,70127280.6,342.0,336.5,343.4,337.25,339.95,337.25,206291,339.95,339.95,,70127280.6,70127280.6,,0,3,SUR,-0.91
51,TQBR,2024-04-19,iКаршеринг,DELI,9576,111063738.4,337.5,332.05,342.5,340.95,338.05,340.95,328527,338.05,338.05,,111063738.4,111063738.4,,0,3,SUR,1.1
52,TQBR,2024-04-22,iКаршеринг,DELI,7234,58377817.7,341.5,335.2,344.55,337.55,340.15,337.55,171612,340.15,340.15,,58377817.7,58377817.7,,0,3,SUR,-1.0
53,TQBR,2024-04-23,iКаршеринг,DELI,12484,56944083.95,337.6,336.1,344.0,336.7,338.9,336.7,168023,338.9,338.9,,56944083.95,56944083.95,,0,3,SUR,-0.25
54,TQBR,2024-04-24,iКаршеринг,DELI,9733,86282468.65,336.7,325.7,337.4,329.1,330.4,329.1,261132,330.4,330.4,,86282468.65,86282468.65,,0,3,SUR,-2.26
55,TQBR,2024-04-25,iКаршеринг,DELI,14230,152678516.55,329.5,317.35,332.5,319.2,320.85,319.2,475038,321.4,321.4,,152678516.55,152678516.55,,0,3,SUR,-3.01
56,TQBR,2024-04-26,iКаршеринг,DELI,20371,390308379.15,322.1,320.3,334.75,329.65,326.85,329.65,1193712,326.95,326.95,,390308379.15,390308379.15,,0,3,SUR,3.27
57,TQBR,2024-04-27,iКаршеринг,DELI,9386,112347932.4,330.85,330.05,335.95,332.5,333.45,332.5,336926,333.45,333.45,,112347932.4,112347932.4,,0,3,SUR,0.86
58,TQBR,2024-04-29,iКаршеринг,DELI,10610,78932135.1,336.25,326.1,337.25,327.5,331.25,327.5,238151,331.45,331.45,,78932135.1,78932135.1,,0,3,SUR,-1.5
59,TQBR,2024-04-30,iКаршеринг,DELI,6852,42377542.85,327.4,324.55,329.5,325.5,326.35,325.5,129818,326.45,326.45,,42377542.85,42377542.85,,0,3,SUR,-0.61
60,TQBR,2024-05-02,iКаршеринг,DELI,18642,104568769.1,326.5,322.95,328.8,328.3,325.6,328.3,321074,325.7,325.7,,104568769.1,104568769.1,,0,3,SUR,0.86
61,TQBR,2024-05-03,iКаршеринг,DELI,13530,132065929.1,328.4,327.05,335.9,330.9,331.75,330.9,397982,331.85,331.85,,132065929.1,132065929.1,,0,3,SUR,0.79
62,TQBR,2024-05-06,iКаршеринг,DELI,12762,107212233.0,330.9,323.2,332.2,327.05,326.3,327.05,328398,326.45,326.45,,107212233.0,107212233.0,,0,3,SUR,-1.16
63,TQBR,2024-05-07,iКаршеринг,DELI,16994,163554884.8,327.05,319.2,327.85,321.15,322.95,321.15,506332,323.0,323.0,,163554884.8,163554884.8,,0,3,SUR,-1.8
64,TQBR,2024-05-08,iКаршеринг,DELI,19698,181989456.15,321.15,315.5,324.1,317.0,318.1,317.0,571723,318.3,318.3,,181989456.15,181989456.15,,0,3,SUR,-1.29
65,TQBR,2024-05-10,iКаршеринг,DELI,6164,56810803.9,320.0,319.0,323.65,322.3,321.25,322.3,176834,321.25,321.25,,56810803.9,56810803.9,,0,3,SUR,1.67
66,TQBR,2024-05-13,iКаршеринг,DELI,7403,78070482.55,322.5,320.0,326.75,325.9,323.65,325.9,241215,323.65,323.65,,78070482.55,78070482.55,,0,3,SUR,1.12
67,TQBR,2024-05-14,iКаршеринг,DELI,7750,76794491.55,325.9,322.5,330.0,323.9,326.1,323.9,235494,326.1,326.1,,76794491.55,76794491.55,,0,3,SUR,-0.61
68,TQBR,2024-05-15,iКаршеринг,DELI,8822,99578836.75,324.9,323.45,329.85,328.2,327.25,328.2,304307,327.25,327.25,,99578836.75,99578836.75,,0,3,SUR,1.33
69,TQBR,2024-05-16,iКаршеринг,DELI,14347,194850851.1,329.0,327.0,341.75,329.45,333.75,329.45,583591,333.9,333.9,,194850851.1,194850851.1,,0,3,SUR,0.38
70,TQBR,2024-05-17,iКаршеринг,DELI,7512,88300148.65,330.0,329.45,335.3,333.55,332.4,333.55,265633,332.4,332.4,,88300148.65,88300148.65,,0,3,SUR,1.24
71,TQBR,2024-05-20,iКаршеринг,DELI,8267,80507881.75,339.8,325.4,339.8,326.75,330.5,326.75,243591,330.5,330.5,,80507881.75,80507881.75,,0,3,SUR,-2.04
72,TQBR,2024-05-21,iКаршеринг,DELI,7055,70632992.7,326.75,326.1,332.25,329.7,329.85,329.7,214133,329.85,329.85,,70632992.7,70632992.7,,0,3,SUR,0.9
73,TQBR,2024-05-22,iКаршеринг,DELI,5478,44502292.35,329.0,328.15,333.35,331.0,330.4,331.0,134670,330.45,330.45,,44502292.35,44502292.35,,0,3,SUR,0.39
74,TQBR,2024-05-23,iКаршеринг,DELI,11150,98903329.95,328.5,318.25,329.0,322.05,323.9,322.05,305624,323.6,323.6,,98903329.95,98903329.95,,0,3,SUR,-2.7
75,TQBR,2024-05-24,iКаршеринг,DELI,5871,49444833.8,323.2,319.0,326.15,319.75,322.1,319.75,153508,322.1,322.1,,49444833.8,49444833.8,,0,3,SUR,-0.71
76,TQBR,2024-05-27,iКаршеринг,DELI,11030,123328281.0,319.75,304.0,320.1,309.9,309.05,309.9,398708,309.3,309.3,,123328281.0,123328281.0,,0,3,SUR,-3.08
77,TQBR,2024-05-28,iКаршеринг,DELI,8060,89229135.15,312.9,305.45,321.0,310.0,314.05,310.0,284052,314.15,314.15,,89229135.15,89229135.15,,0,3,SUR,0.03
78,TQBR,2024-05-29,iКаршеринг,DELI,4760,51687967.0,310.5,305.65,313.85,308.4,308.35,308.4,167509,308.55,308.55,,51687967.0,51687967.0,,0,3,SUR,-0.52
79,TQBR,2024-05-30,iКаршеринг,DELI,3733,32049406.3,309.15,307.05,312.3,307.4,309.6,307.4,103480,309.7,309.7,,32049406.3,32049406.3,,0,3,SUR,-0.32
80,TQBR,2024-05-31,iКаршеринг,DELI,9894,118288960.95,308.35,289.0,308.35,300.4,299.9,300.4,394750,299.65,299.65,,118288960.95,118288960.95,,0,3,SUR,-2.28
81,TQBR,2024-06-03,iКаршеринг,DELI,10724,117214750.25,300.4,281.1,304.0,294.85,288.9,294.85,405705,288.9,288.9,,117214750.25,117214750.25,,0,3,SUR,-1.85
82,TQBR,2024-06-04,iКаршеринг,DELI,5567,59401894.5,296.7,295.35,310.0,308.2,305.0,308.2,194773,305.0,305.0,,59401894.5,59401894.5,,0,3,SUR,4.53
83,TQBR,2024-06-05,iКаршеринг,DELI,8472,94602858.75,309.3,301.0,319.5,314.5,314.05,314.5,301244,314.05,314.05,,94602858.75,94602858.75,,0,3,SUR,2.04
84,TQBR,2024-06-06,iКаршеринг,DELI,4916,46657106.15,314.6,305.0,316.1,311.4,311.75,311.4,149651,311.75,311.75,,46657106.15,46657106.15,,0,3,SUR,-0.99
