,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-02-13,iДиасофт,DIAS,26653,894990600.0,6300.0,6300.0,6300.0,6300.0,5170.5,6300.0,142062,6300.0,6300.0,,894990600.0,894990600.0,,0,3,SUR,
1,TQBR,2024-02-14,iДиасофт,DIAS,144595,6694629406.0,6930.0,5726.5,7332.5,5866.0,6204.5,5866.0,1078382,6208.0,6208.0,,6694629406.0,6694629406.0,,0,3,SUR,-6.89
2,TQBR,2024-02-15,iДиасофт,DIAS,24045,778193499.5,5738.0,5718.0,5982.5,5900.0,5891.5,5900.0,132083,5891.5,5891.5,,778193499.5,778193499.5,,0,3,SUR,0.58
3,TQBR,2024-02-16,iДиасофт,DIAS,20328,833992506.0,5929.0,5905.0,6080.0,5956.0,5993.5,5956.0,139153,5993.5,5993.5,,833992506.0,833992506.0,,0,3,SUR,0.95
4,TQBR,2024-02-19,iДиасофт,DIAS,8859,243369065.0,5978.0,5881.0,6000.0,5891.0,5930.5,5891.0,41038,5930.5,5930.5,,243369065.0,243369065.0,,0,3,SUR,-1.09
5,TQBR,2024-02-20,iДиасофт,DIAS,12095,334612107.5,5890.0,5730.0,5900.0,5768.5,5804.0,5768.5,57653,5804.0,5804.0,,334612107.5,334612107.5,,0,3,SUR,-2.08
6,TQBR,2024-02-21,iДиасофт,DIAS,15213,424881203.5,5700.0,5500.0,5730.0,5599.0,5598.0,5599.0,75897,5598.0,5598.0,,424881203.5,424881203.5,,0,3,SUR,-2.94
7,TQBR,2024-02-22,iДиасофт,DIAS,7058,195896027.5,5597.0,5558.5,5797.5,5697.5,5704.0,5697.5,34344,5704.0,5704.0,,195896027.5,195896027.5,,0,3,SUR,1.76
8,TQBR,2024-02-26,iДиасофт,DIAS,7882,272206884.5,5700.5,5700.0,5964.0,5923.5,5884.5,5923.5,46259,5884.5,5884.5,,272206884.5,272206884.5,,0,3,SUR,3.97
9,TQBR,2024-02-27,iДиасофт,DIAS,5421,167636405.5,5943.0,5750.0,5950.5,5895.0,5865.5,5895.0,28580,5865.5,5865.5,,167636405.5,167636405.5,,0,3,SUR,-0.48
10,TQBR,2024-02-28,iДиасофт,DIAS,3147,80804042.0,5895.0,5805.0,5912.5,5872.5,5853.0,5872.5,13805,5853.0,5853.0,,80804042.0,80804042.0,,0,3,SUR,-0.38
11,TQBR,2024-02-29,iДиасофт,DIAS,3848,151969480.5,5871.5,5826.0,5929.5,5860.5,5864.0,5860.5,25916,5864.0,5864.0,,151969480.5,151969480.5,,0,3,SUR,-0.2
12,TQBR,2024-03-01,iДиасофт,DIAS,3980,135540656.0,5860.0,5832.0,5905.0,5867.5,5879.0,5867.5,23056,5879.0,5879.0,,135540656.0,135540656.0,,0,3,SUR,0.12
13,TQBR,2024-03-04,iДиасофт,DIAS,9333,340464802.0,5869.0,5869.0,6065.5,6055.0,5968.5,6055.0,57042,5968.5,5968.5,,340464802.0,340464802.0,,0,3,SUR,3.2
14,TQBR,2024-03-05,iДиасофт,DIAS,15569,510099004.5,6074.0,6015.0,6250.0,6130.0,6143.0,6130.0,83035,6143.0,6143.0,,510099004.5,510099004.5,,0,3,SUR,1.24
15,TQBR,2024-03-06,iДиасофт,DIAS,6981,214803666.0,6130.0,5970.0,6135.0,6054.5,6051.5,6054.5,35495,6051.5,6051.5,,214803666.0,214803666.0,,0,3,SUR,-1.23
16,TQBR,2024-03-07,iДиасофт,DIAS,2943,89501551.0,6054.5,6016.0,6111.0,6069.0,6068.0,6069.0,14750,6068.0,6068.0,,89501551.0,89501551.0,,0,3,SUR,0.24
17,TQBR,2024-03-11,iДиасофт,DIAS,5350,151718320.0,6149.5,6050.0,6150.0,6070.0,6109.0,6070.0,24836,6109.0,6109.0,,151718320.0,151718320.0,,0,3,SUR,0.02
18,TQBR,2024-03-12,iДиасофт,DIAS,4831,153891937.5,6149.0,5992.5,6149.0,6011.0,6029.5,6011.0,25523,6029.5,6029.5,,153891937.5,153891937.5,,0,3,SUR,-0.97
19,TQBR,2024-03-13,iДиасофт,DIAS,2902,103189984.5,6023.0,6007.0,6066.0,6014.0,6034.0,6014.0,17101,6034.0,6034.0,,103189984.5,103189984.5,,0,3,SUR,0.05
20,TQBR,2024-03-14,iДиасофт,DIAS,7710,262375056.5,6014.0,5880.0,6029.5,5934.0,5956.0,5934.0,44054,5956.0,5956.0,,262375056.5,262375056.5,,0,3,SUR,-1.33
21,TQBR,2024-03-15,iДиасофт,DIAS,2587,78126609.5,5934.0,5934.0,6006.0,5950.0,5970.5,5950.0,13085,5970.5,5970.5,,78126609.5,78126609.5,,0,3,SUR,0.27
22,TQBR,2024-03-18,iДиасофт,DIAS,4674,146905525.0,5967.0,5857.5,5985.0,5953.0,5910.5,5953.0,24856,5910.5,5910.5,,146905525.0,146905525.0,,0,3,SUR,0.05
23,TQBR,2024-03-19,iДиасофт,DIAS,4669,157709690.5,5959.5,5888.0,6010.0,5912.0,5967.5,5912.0,26427,5967.5,5967.5,,157709690.5,157709690.5,,0,3,SUR,-0.69
24,TQBR,2024-03-20,iДиасофт,DIAS,4750,188171792.5,5935.5,5928.0,6023.0,5979.0,5982.5,5979.0,31455,5982.5,5982.5,,188171792.5,188171792.5,,0,3,SUR,1.13
25,TQBR,2024-03-21,iДиасофт,DIAS,6217,229218843.5,5935.0,5886.0,5970.0,5900.5,5922.0,5900.5,38707,5922.0,5922.0,,229218843.5,229218843.5,,0,3,SUR,-1.31
26,TQBR,2024-03-22,iДиасофт,DIAS,2903,73219284.0,5930.5,5857.5,5941.5,5891.5,5905.5,5891.5,12399,5905.5,5905.5,,73219284.0,73219284.0,,0,3,SUR,-0.15
27,TQBR,2024-03-25,iДиасофт,DIAS,6370,197872489.0,5821.0,5745.0,6000.0,5962.0,5887.5,5962.0,33610,5887.5,5887.5,,197872489.0,197872489.0,,0,3,SUR,1.2
