,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-03-29,ЭЛ5Энер ао,ELFV,2058,27123294.2,0.5844,0.5746,0.5844,0.578,0.5776,0.578,46962000,0.5776,0.5776,,27123294.2,27123294.2,,0,3,SUR,-1.2
1,TQBR,2023-03-30,ЭЛ5Энер ао,ELFV,2155,24588504.0,0.5818,0.5644,0.5818,0.5786,0.5742,0.5786,42819000,0.5742,0.5742,,24588504.0,24588504.0,,0,3,SUR,0.1
2,TQBR,2023-03-31,ЭЛ5Энер ао,ELFV,2172,22954267.2,0.5758,0.568,0.5802,0.5728,0.5726,0.5728,40085000,0.5726,0.5726,,22954267.2,22954267.2,,0,3,SUR,-1.0
3,TQBR,2023-04-03,ЭЛ5Энер ао,ELFV,1459,12413827.0,0.5728,0.5702,0.575,0.573,0.5726,0.573,21679000,0.5726,0.5726,,12413827.0,12413827.0,,0,3,SUR,0.03
4,TQBR,2023-04-04,ЭЛ5Энер ао,ELFV,1947,23370760.0,0.5728,0.572,0.585,0.5736,0.5788,0.5736,40381000,0.5788,0.5788,,23370760.0,23370760.0,,0,3,SUR,0.1
5,TQBR,2023-04-05,ЭЛ5Энер ао,ELFV,6399,114782404.4,0.5738,0.5696,0.6172,0.5944,0.5946,0.5944,193028000,0.5946,0.5946,,114782404.4,114782404.4,,0,3,SUR,3.63
6,TQBR,2023-04-06,ЭЛ5Энер ао,ELFV,5691,90450120.4,0.5948,0.594,0.615,0.614,0.607,0.614,149024000,0.607,0.607,,90450120.4,90450120.4,,0,3,SUR,3.3
7,TQBR,2023-04-07,ЭЛ5Энер ао,ELFV,7728,153765039.6,0.616,0.5984,0.6298,0.6094,0.6136,0.6094,250618000,0.6136,0.6136,,153765039.6,153765039.6,,0,3,SUR,-0.75
8,TQBR,2023-04-10,ЭЛ5Энер ао,ELFV,15827,326983107.0,0.6124,0.6068,0.657,0.634,0.6386,0.634,512094000,0.6386,0.6386,,326983107.0,326983107.0,,0,3,SUR,4.04
9,TQBR,2023-04-11,ЭЛ5Энер ао,ELFV,5300,89433134.0,0.634,0.6,0.6528,0.6066,0.6222,0.6066,143729000,0.6222,0.6222,,89433134.0,89433134.0,,0,3,SUR,-4.32
10,TQBR,2023-04-12,ЭЛ5Энер ао,ELFV,2758,38147101.2,0.6066,0.6002,0.615,0.6096,0.6088,0.6096,62651000,0.6088,0.6088,,38147101.2,38147101.2,,0,3,SUR,0.49
11,TQBR,2023-04-13,ЭЛ5Энер ао,ELFV,16804,373599707.2,0.614,0.58,0.6388,0.5814,0.6034,0.5814,619246000,0.6034,0.6034,,373599707.2,373599707.2,,0,3,SUR,-4.63
12,TQBR,2023-04-14,ЭЛ5Энер ао,ELFV,11757,303547740.8,0.5808,0.565,0.5948,0.577,0.577,0.577,526166000,0.577,0.577,,303547740.8,303547740.8,,0,3,SUR,-0.76
13,TQBR,2023-04-17,ЭЛ5Энер ао,ELFV,2875,50246790.0,0.5798,0.577,0.5858,0.5846,0.5818,0.5846,86356000,0.5818,0.5818,,50246790.0,50246790.0,,0,3,SUR,1.32
14,TQBR,2023-04-18,ЭЛ5Энер ао,ELFV,10189,193122995.0,0.5846,0.5846,0.6128,0.6002,0.599,0.6002,322368000,0.599,0.599,,193122995.0,193122995.0,,0,3,SUR,2.67
15,TQBR,2023-04-19,ЭЛ5Энер ао,ELFV,3500,45237068.0,0.606,0.5924,0.6062,0.5948,0.5964,0.5948,75852000,0.5964,0.5964,,45237068.0,45237068.0,,0,3,SUR,-0.9
