,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2020-02-18,ЭН+ГРУП ао,ENPG,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
1,TQBR,2020-02-19,ЭН+ГРУП ао,ENPG,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
2,TQBR,2020-02-20,ЭН+ГРУП ао,ENPG,441,4738171.3,755.1,755.1,1000.0,814.0,853.4,814.0,5552,853.4,853.4,814.0,4738171.3,4738171.3,4738171.3,,3,SUR,
3,TQBR,2020-02-21,ЭН+ГРУП ао,ENPG,668,4739039.3,849.9,799.0,873.8,800.0,821.5,800.0,5769,821.5,821.5,800.0,4739039.3,4739039.3,4739039.3,,3,SUR,-1.72
4,TQBR,2020-02-25,ЭН+ГРУП ао,ENPG,520,2190671.9,799.9,760.0,799.9,763.2,779.0,763.2,2812,779.0,779.0,763.2,2190671.9,2190671.9,2190671.9,,3,SUR,-4.6
5,TQBR,2020-02-26,ЭН+ГРУП ао,ENPG,261,3845026.5,765.1,731.3,765.1,752.4,746.8,755.0,5149,746.8,746.8,752.4,3845026.5,3845026.5,3845026.5,,3,SUR,-1.07
6,TQBR,2020-02-27,ЭН+ГРУП ао,ENPG,154,1472132.1,740.5,736.3,758.9,738.0,748.4,736.3,1967,748.4,748.4,738.0,1472132.1,1472132.1,1472132.1,,3,SUR,-2.48
7,TQBR,2020-02-28,ЭН+ГРУП ао,ENPG,206,3448134.4,725.0,693.1,743.9,721.0,723.5,721.0,4766,723.5,723.5,721.0,3448134.4,3448134.4,3448134.4,,3,SUR,-2.08
8,TQBR,2020-03-02,ЭН+ГРУП ао,ENPG,165,3181306.3,739.6,716.2,739.7,728.0,726.8,731.0,4377,726.8,726.8,728.0,3181306.3,3181306.3,3181306.3,,3,SUR,1.39
9,TQBR,2020-03-03,ЭН+ГРУП ао,ENPG,199,1494711.3,779.0,722.3,779.0,739.7,745.9,739.7,2004,745.9,745.9,739.7,1494711.3,1494711.3,1494711.3,,3,SUR,1.19
10,TQBR,2020-03-04,ЭН+ГРУП ао,ENPG,95,586116.7,740.0,723.7,745.0,736.0,733.6,736.0,799,733.6,733.6,736.0,586116.7,586116.7,586116.7,,3,SUR,-0.5
11,TQBR,2020-03-05,ЭН+ГРУП ао,ENPG,185,1154658.9,731.2,719.0,747.9,720.3,723.0,720.3,1597,723.0,723.0,720.3,1154658.9,1154658.9,1154658.9,,3,SUR,-2.13
12,TQBR,2020-03-06,ЭН+ГРУП ао,ENPG,287,3565450.7,724.0,655.8,724.0,679.9,679.9,679.9,5244,679.9,679.9,679.9,3565450.7,3565450.7,3565450.7,,3,SUR,-5.61
13,TQBR,2020-03-10,ЭН+ГРУП ао,ENPG,316,4067032.8,607.6,590.5,668.0,630.6,624.3,636.0,6515,624.3,624.3,630.6,4067032.8,4067032.8,4067032.8,,3,SUR,-6.46
14,TQBR,2020-03-11,ЭН+ГРУП ао,ENPG,191,685704.8,640.0,620.0,669.0,630.1,638.5,641.4,1074,638.5,638.5,630.1,685704.8,685704.8,685704.8,,3,SUR,0.85
15,TQBR,2020-03-12,ЭН+ГРУП ао,ENPG,292,5225867.0,610.1,525.0,640.0,572.8,573.8,582.0,9107,573.8,573.8,572.8,5225867.0,5225867.0,5225867.0,,3,SUR,-9.26
16,TQBR,2020-03-13,ЭН+ГРУП ао,ENPG,258,2842659.8,570.0,518.3,629.0,590.0,575.9,589.9,4936,575.9,575.9,590.0,2842659.8,2842659.8,2842659.8,,3,SUR,1.36
17,TQBR,2020-03-16,ЭН+ГРУП ао,ENPG,191,1770462.3,580.0,531.4,589.9,564.0,569.8,566.6,3107,569.8,569.8,564.0,1770462.3,1770462.3,1770462.3,,3,SUR,-3.95
18,TQBR,2020-03-17,ЭН+ГРУП ао,ENPG,193,2723051.4,565.0,541.0,593.9,566.3,554.7,566.3,4909,554.7,554.7,566.3,2723051.4,2723051.4,2723051.4,,3,SUR,-0.05
19,TQBR,2020-03-18,ЭН+ГРУП ао,ENPG,270,4077430.5,535.2,529.9,584.6,540.8,544.5,540.8,7489,544.5,544.5,540.8,4077430.5,4077430.5,4077430.5,,3,SUR,-4.5
20,TQBR,2020-03-19,ЭН+ГРУП ао,ENPG,249,1462894.5,549.8,526.1,550.0,542.2,537.4,542.3,2722,537.4,537.4,542.2,1462894.5,1462894.5,1462894.5,,3,SUR,0.28
21,TQBR,2020-03-20,ЭН+ГРУП ао,ENPG,290,10320499.8,544.9,544.9,579.9,562.8,563.4,564.6,18319,563.4,563.4,562.8,10320499.8,10320499.8,10320499.8,,3,SUR,4.11
22,TQBR,2020-03-23,ЭН+ГРУП ао,ENPG,242,5707197.8,590.0,527.1,590.0,558.8,558.0,560.2,10228,558.0,558.0,558.8,5707197.8,5707197.8,5707197.8,,3,SUR,-0.78
23,TQBR,2020-03-24,ЭН+ГРУП ао,ENPG,294,8195936.2,578.9,557.6,582.0,577.9,567.3,580.0,14447,567.3,567.3,577.9,8195936.2,8195936.2,8195936.2,,3,SUR,3.53
24,TQBR,2020-03-25,ЭН+ГРУП ао,ENPG,822,25662992.3,589.0,538.0,668.9,586.6,590.9,590.0,43429,590.9,590.9,586.6,25662992.3,25662992.3,25662992.3,,3,SUR,1.72
25,TQBR,2020-03-26,ЭН+ГРУП ао,ENPG,325,5192071.0,620.0,560.0,620.0,581.8,584.6,581.7,8881,584.6,584.6,581.8,5192071.0,5192071.0,5192071.0,,3,SUR,-1.41
26,TQBR,2020-03-27,ЭН+ГРУП ао,ENPG,187,8424391.0,571.0,560.0,577.0,562.0,569.7,561.7,14788,569.7,569.7,562.0,8424391.0,8424391.0,8424391.0,,3,SUR,-3.44
27,TQBR,2020-03-30,ЭН+ГРУП ао,ENPG,156,10072630.6,564.0,548.6,564.0,553.0,553.2,553.0,18208,553.2,553.2,553.0,10072630.6,10072630.6,10072630.6,,3,SUR,-1.55
28,TQBR,2020-03-31,ЭН+ГРУП ао,ENPG,229,14300681.7,556.0,545.6,556.0,551.4,550.3,552.2,25988,550.3,550.3,551.4,14300681.7,14300681.7,14300681.7,,3,SUR,-0.14
29,TQBR,2020-04-01,ЭН+ГРУП ао,ENPG,94,18449894.8,550.0,548.0,552.1,551.9,550.5,551.9,33513,550.5,550.5,551.9,18449894.8,18449894.8,18449894.8,,3,SUR,-0.05
30,TQBR,2020-04-02,ЭН+ГРУП ао,ENPG,184,14524358.7,557.0,530.0,557.0,550.5,549.4,550.5,26439,549.4,549.4,550.5,14524358.7,14524358.7,14524358.7,,3,SUR,-0.25
31,TQBR,2020-04-03,ЭН+ГРУП ао,ENPG,261,34040065.7,549.1,545.9,551.5,548.0,548.3,548.0,62079,548.3,548.3,548.0,34040065.7,34040065.7,34040065.7,,3,SUR,-0.45
32,TQBR,2020-04-06,ЭН+ГРУП ао,ENPG,235,22710633.4,548.2,548.2,553.1,550.7,549.7,550.7,41318,549.7,549.7,550.7,22710633.4,22710633.4,22710633.4,,3,SUR,0.49
33,TQBR,2020-04-07,ЭН+ГРУП ао,ENPG,417,30699752.3,551.9,551.0,558.9,555.7,555.3,555.7,55287,555.3,555.3,555.7,30699752.3,30699752.3,30699752.3,,3,SUR,0.91
34,TQBR,2020-04-08,ЭН+ГРУП ао,ENPG,427,21752419.6,559.9,553.5,569.9,568.8,556.1,568.8,39116,556.1,556.1,568.8,21752419.6,21752419.6,21752419.6,,3,SUR,2.36
35,TQBR,2020-04-09,ЭН+ГРУП ао,ENPG,457,24517938.0,569.8,554.5,569.8,559.6,557.3,559.7,43993,557.3,557.3,559.6,24517938.0,24517938.0,24517938.0,,3,SUR,-1.6
36,TQBR,2020-04-10,ЭН+ГРУП ао,ENPG,217,9556153.8,564.8,551.0,565.0,553.8,558.9,553.8,17097,558.9,558.9,553.8,9556153.8,9556153.8,9556153.8,,3,SUR,-1.05
