,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ГАЗ ао,GAZA,0,0,,,,620.2,,,0,,646.2,,0,1176086,0.0,,3,SUR,
1,TQBR,2014-06-10,ГАЗ ао,GAZA,1,6210,621.0,621.0,621.0,621.0,621.0,621.0,10,,646.1,,0,1182296,0.0,,3,SUR,0.13
2,TQBR,2014-06-11,ГАЗ ао,GAZA,0,0,,,,621.0,,,0,,646.1,,0,1182296,0.0,,3,SUR,
3,TQBR,2014-06-16,ГАЗ ао,GAZA,3,19406,654.0,621.6,665.0,643.3,646.9,621.6,30,,646.1,,0,1201702,0.0,,3,SUR,0.1
4,TQBR,2014-06-17,ГАЗ ао,GAZA,4,74637,630.0,620.3,630.0,620.4,622.0,620.3,120,,626.9,,0,501518,0.0,,3,SUR,-0.21
5,TQBR,2014-06-18,ГАЗ ао,GAZA,0,0,,,,620.4,,,0,,626.9,,0,501518,0.0,,3,SUR,
6,TQBR,2014-06-19,ГАЗ ао,GAZA,7,5798881,644.9,644.9,659.7,649.6,645.0,649.8,8990,644.7,644.8,644.7,5873518,5860918,5873518.0,,3,SUR,4.76
7,TQBR,2014-06-20,ГАЗ ао,GAZA,0,0,,,,649.6,,,0,644.7,644.8,644.7,5892924,5860918,5892924.0,,3,SUR,
8,TQBR,2014-06-23,ГАЗ ао,GAZA,0,0,,,,649.6,,,0,644.7,644.8,644.7,5873518,5860918,5873518.0,,3,SUR,
9,TQBR,2014-06-24,ГАЗ ао,GAZA,6,43093,617.6,605.2,617.6,615.6,615.6,605.2,70,644.8,644.8,644.8,5841974,5835525,5841974.0,,3,SUR,-6.86
10,TQBR,2014-06-25,ГАЗ ао,GAZA,1,6398,639.8,639.8,639.8,639.8,639.8,639.8,10,644.8,644.8,644.8,5848372,5841923,5848372.0,,3,SUR,5.72
11,TQBR,2014-06-26,ГАЗ ао,GAZA,0,0,,,,639.8,,,0,644.5,644.8,644.5,5942415,5841923,5942415.0,,3,SUR,
12,TQBR,2014-06-27,ГАЗ ао,GAZA,0,0,,,,639.8,,,0,644.5,644.8,644.5,5942415,5841923,5942415.0,,3,SUR,
13,TQBR,2014-06-30,ГАЗ ао,GAZA,0,0,,,,639.8,,,0,644.5,644.8,644.5,5923009,5841923,5923009.0,,3,SUR,
14,TQBR,2014-07-01,ГАЗ ао,GAZA,0,0,,,,639.8,,,0,644.8,644.8,644.8,5848372,5841923,5848372.0,,3,SUR,
15,TQBR,2014-07-02,ГАЗ ао,GAZA,0,0,,,,639.8,,,0,644.8,644.8,644.8,5848372,5841923,5848372.0,,3,SUR,
16,TQBR,2014-07-03,ГАЗ ао,GAZA,0,0,,,,639.8,,,0,,644.8,,0,5841923,0.0,,3,SUR,
17,TQBR,2014-07-04,ГАЗ ао,GAZA,1,6375,637.5,637.5,637.5,637.5,637.5,637.5,10,,644.8,,0,5848298,0.0,,3,SUR,-0.36
18,TQBR,2014-07-07,ГАЗ ао,GAZA,0,0,,,,637.5,,,0,,644.8,,0,5848298,0.0,,3,SUR,
19,TQBR,2014-07-08,ГАЗ ао,GAZA,0,0,,,,637.5,,,0,,644.8,,0,5848298,0.0,,3,SUR,
20,TQBR,2014-07-09,ГАЗ ао,GAZA,2,49450,625.0,614.0,625.0,614.0,618.1,614.0,80,,644.6,,0,5897748,0.0,,3,SUR,-3.69
21,TQBR,2014-07-10,ГАЗ ао,GAZA,4,66328,603.3,602.8,603.3,603.0,603.0,602.8,110,,644.1,,0,5964076,0.0,,3,SUR,-1.82
22,TQBR,2014-07-11,ГАЗ ао,GAZA,2,30126,602.6,602.5,602.6,602.5,602.5,602.5,50,,643.8,,0,5994202,0.0,,3,SUR,-0.05
23,TQBR,2014-07-14,ГАЗ ао,GAZA,9,186671,602.2,600.0,602.5,602.2,602.2,600.0,310,,642.5,,0,6180873,0.0,,3,SUR,-0.41
24,TQBR,2014-07-15,ГАЗ ао,GAZA,0,0,,,,602.2,,,0,,642.5,,0,6180873,0.0,,3,SUR,
25,TQBR,2014-07-16,ГАЗ ао,GAZA,4,78001,600.1,600.0,600.1,600.0,600.0,600.0,130,,609.0,,0,505474,0.0,,3,SUR,0.0
26,TQBR,2014-07-17,ГАЗ ао,GAZA,0,0,,,,600.0,,,0,,609.0,,0,505474,0.0,,3,SUR,
27,TQBR,2014-07-18,ГАЗ ао,GAZA,0,0,,,,600.0,,,0,,609.0,,0,505474,0.0,,3,SUR,
28,TQBR,2014-07-21,ГАЗ ао,GAZA,0,0,,,,600.0,,,0,,609.0,,0,505474,0.0,,3,SUR,
29,TQBR,2014-07-22,ГАЗ ао,GAZA,0,0,,,,600.0,,,0,,609.0,,0,505474,0.0,,3,SUR,
30,TQBR,2014-07-23,ГАЗ ао,GAZA,0,0,,,,600.0,,,0,,609.0,,0,505474,0.0,,3,SUR,
