,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-04-25,iГЕНЕТИКО,GECO,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,
1,TQBR,2023-04-26,iГЕНЕТИКО,GECO,2357,47735022.72,25.032,25.032,25.032,25.032,25.032,25.032,1906960,25.032,25.032,,47735022.72,47735022.72,,0,3,SUR,
2,TQBR,2023-04-27,iГЕНЕТИКО,GECO,14756,352740132.16,27.534,27.534,35.03,35.03,34.104,35.03,10393210,33.94,33.94,,352740132.16,352740132.16,,0,3,SUR,39.94
3,TQBR,2023-04-28,iГЕНЕТИКО,GECO,5943,150112555.54,38.496,37.0,38.496,38.496,31.822,38.496,3914310,38.35,38.35,,150112555.54,150112555.54,,0,3,SUR,9.89
4,TQBR,2023-05-02,iГЕНЕТИКО,GECO,121630,1786522358.3,38.496,31.596,42.0,37.494,37.582,37.494,47535060,37.584,37.584,,1786522358.3,1786522358.3,,0,3,SUR,-2.6
5,TQBR,2023-05-03,iГЕНЕТИКО,GECO,24771,304900393.24,37.0,35.02,40.2,35.4,37.074,35.4,8223900,37.074,37.074,,304900393.24,304900393.24,,0,3,SUR,-5.58
6,TQBR,2023-05-04,iГЕНЕТИКО,GECO,21862,193823233.84,35.51,32.256,36.5,32.824,33.772,32.824,5739120,33.772,33.772,,193823233.84,193823233.84,,0,3,SUR,-7.28
7,TQBR,2023-05-05,iГЕНЕТИКО,GECO,23906,265363270.78,32.922,31.55,34.94,32.2,33.072,32.2,8024030,33.072,33.072,,265363270.78,265363270.78,,0,3,SUR,-1.9
8,TQBR,2023-05-08,iГЕНЕТИКО,GECO,8737,55451818.62,33.3,31.25,33.5,32.2,32.4,32.2,1711470,32.4,32.4,,55451818.62,55451818.62,,0,3,SUR,0.0
9,TQBR,2023-05-10,iГЕНЕТИКО,GECO,17171,185012799.38,31.702,31.702,34.198,33.372,33.122,33.372,5585940,33.122,33.122,,185012799.38,185012799.38,,0,3,SUR,3.64
10,TQBR,2023-05-11,iГЕНЕТИКО,GECO,11014,117979302.32,33.528,32.734,34.8,33.3,33.65,33.3,3506000,33.65,33.65,,117979302.32,117979302.32,,0,3,SUR,-0.22
11,TQBR,2023-05-12,iГЕНЕТИКО,GECO,6438,47114470.08,33.298,32.0,33.404,32.29,32.558,32.29,1447060,32.558,32.558,,47114470.08,47114470.08,,0,3,SUR,-3.03
12,TQBR,2023-05-15,iГЕНЕТИКО,GECO,7294,43242716.14,32.56,32.0,33.05,32.17,32.31,32.17,1338370,32.31,32.31,,43242716.14,43242716.14,,0,3,SUR,-0.37
13,TQBR,2023-05-16,iГЕНЕТИКО,GECO,5779,49651906.68,32.198,31.704,32.35,31.892,31.984,31.892,1552390,31.984,31.984,,49651906.68,49651906.68,,0,3,SUR,-0.86
14,TQBR,2023-05-17,iГЕНЕТИКО,GECO,10238,65504720.94,31.75,31.73,32.75,32.0,32.108,32.0,2040090,32.108,32.108,,65504720.94,65504720.94,,0,3,SUR,0.34
15,TQBR,2023-05-18,iГЕНЕТИКО,GECO,8561,66184876.54,32.14,31.824,33.2,31.86,32.266,31.86,2051210,32.266,32.266,,66184876.54,66184876.54,,0,3,SUR,-0.44
16,TQBR,2023-05-19,iГЕНЕТИКО,GECO,8402,47451738.38,31.81,31.31,32.56,31.53,31.826,31.53,1490990,31.826,31.826,,47451738.38,47451738.38,,0,3,SUR,-1.04
17,TQBR,2023-05-22,iГЕНЕТИКО,GECO,8503,56464826.92,32.512,31.4,32.6,31.63,31.718,31.63,1780200,31.718,31.718,,56464826.92,56464826.92,,0,3,SUR,0.32
18,TQBR,2023-05-23,iГЕНЕТИКО,GECO,7686,42187809.4,31.8,30.1,31.9,30.446,30.7,30.446,1374190,30.7,30.7,,42187809.4,42187809.4,,0,3,SUR,-3.74
19,TQBR,2023-05-24,iГЕНЕТИКО,GECO,8661,44572209.58,30.604,28.764,30.82,29.548,29.728,29.548,1499310,29.728,29.728,,44572209.58,44572209.58,,0,3,SUR,-2.95
