,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2019-07-25,iММЦБ ао,GEMA,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
1,TQBR,2019-07-26,iММЦБ ао,GEMA,299,7122079.6,800.0,672.8,900.0,688.5,687.3,688.5,10362,687.3,687.3,688.5,7122079.6,7122079.6,7122079.6,,3,SUR,
2,TQBR,2019-07-29,iММЦБ ао,GEMA,89,1574568.7,685.0,678.0,690.7,689.0,688.2,689.0,2288,688.2,688.2,689.0,1574568.7,1574568.7,1574568.7,,3,SUR,0.07
3,TQBR,2019-07-30,iММЦБ ао,GEMA,27,872457.6,690.8,678.2,720.0,689.9,690.8,689.9,1263,690.8,690.8,689.9,872457.6,872457.6,872457.6,,3,SUR,0.13
4,TQBR,2019-07-31,iММЦБ ао,GEMA,48,136770.3,687.9,678.1,687.9,678.1,680.4,678.1,201,,688.4,678.1,0.0,578945.4,0.0,,3,SUR,-1.71
5,TQBR,2019-08-01,iММЦБ ао,GEMA,27,693306.8,678.0,672.0,679.0,672.2,678.2,672.2,1030,673.1,673.1,672.2,693306.8,693306.8,693306.8,,3,SUR,-0.87
6,TQBR,2019-08-02,iММЦБ ао,GEMA,19,892720.3,672.2,672.0,677.4,672.0,672.2,672.0,1328,672.2,672.2,672.0,892720.3,892720.3,892720.3,,3,SUR,-0.03
7,TQBR,2019-08-05,iММЦБ ао,GEMA,21,1337128.0,672.0,658.6,672.5,672.0,671.9,672.0,1990,671.9,671.9,672.0,1337128.0,1337128.0,1337128.0,,3,SUR,0.0
8,TQBR,2019-08-06,iММЦБ ао,GEMA,7,667980.5,672.0,672.0,673.1,673.1,672.0,673.1,994,672.0,672.0,673.1,2005108.5,1296972.5,2005108.5,,3,SUR,0.16
9,TQBR,2019-08-07,iММЦБ ао,GEMA,3,102816.0,672.0,672.0,672.0,672.0,672.0,672.0,153,672.0,672.0,672.0,770796.5,770796.5,770796.5,,3,SUR,-0.16
10,TQBR,2019-08-08,iММЦБ ао,GEMA,4,137760.4,672.1,672.0,672.1,672.0,672.0,672.0,205,672.0,672.0,672.0,908556.9,688140.9,908556.9,,3,SUR,0.0
11,TQBR,2019-08-09,iММЦБ ао,GEMA,3,106077.5,672.0,672.0,684.8,684.8,684.4,684.8,155,,674.3,684.8,0.0,575818.4,0.0,,3,SUR,1.9
12,TQBR,2019-08-12,iММЦБ ао,GEMA,10,110167.2,665.0,665.0,684.8,684.8,684.3,684.8,161,,675.8,684.8,0.0,685985.6,0.0,,3,SUR,0.0
13,TQBR,2019-08-13,iММЦБ ао,GEMA,3,18492.9,672.5,672.5,685.4,685.4,684.9,685.4,27,,676.1,685.4,0.0,704478.5,0.0,,3,SUR,0.09
14,TQBR,2019-08-14,iММЦБ ао,GEMA,11,244911.3,684.5,673.1,684.6,673.1,682.2,673.1,359,,680.8,673.1,0.0,614720.9,0.0,,3,SUR,-1.79
15,TQBR,2019-08-15,iММЦБ ао,GEMA,4,24316.4,684.8,673.2,684.8,673.2,675.5,673.2,36,,683.0,673.2,0.0,500605.3,0.0,,3,SUR,0.01
16,TQBR,2019-08-16,iММЦБ ао,GEMA,5,138010.0,673.2,673.1,684.8,673.1,673.2,673.1,205,,679.9,673.1,0.0,503796.8,0.0,,3,SUR,-0.01
17,TQBR,2019-08-19,iММЦБ ао,GEMA,5,336160.1,673.1,672.0,673.1,672.3,672.3,672.1,500,,672.7,672.3,0.0,518679.5,0.0,,3,SUR,-0.15
18,TQBR,2019-08-20,iММЦБ ао,GEMA,8,511499.0,673.1,672.0,679.9,679.9,672.1,679.9,761,672.2,672.1,679.9,847659.1,763529.0,847659.1,,3,SUR,1.16
19,TQBR,2019-08-21,iММЦБ ао,GEMA,34,1231723.2,673.3,673.3,839.0,684.5,698.7,684.5,1763,698.7,698.7,684.5,1231723.2,1231723.2,1231723.2,,3,SUR,0.68
20,TQBR,2019-08-22,iММЦБ ао,GEMA,13,666520.6,685.0,684.6,705.6,686.8,685.7,686.8,972,685.7,685.7,686.8,666520.6,666520.6,666520.6,,3,SUR,0.34
21,TQBR,2019-08-23,iММЦБ ао,GEMA,4,2739.1,683.4,683.4,686.0,686.0,684.8,686.0,4,685.7,685.8,686.0,669259.7,565825.1,669259.7,,3,SUR,-0.12
