,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2021-07-15,МКПАО ЮМГ,GEMC,9685,1696048767.92,940.0,915.0,940.0,926.0,927.4,926.0,1835212,924.17,924.17,926.0,1696048767.92,1696048767.92,1696048767.92,0,3,SUR,
1,TQBR,2021-07-16,МКПАО ЮМГ,GEMC,3677,190268871.05,927.98,925.0,928.3,925.5,924.52,925.5,205549,925.66,925.66,925.5,190268871.05,190268871.05,190268871.05,0,3,SUR,-0.05
2,TQBR,2021-07-19,МКПАО ЮМГ,GEMC,3696,564702709.3,926.5,917.0,926.5,924.0,922.23,924.0,612325,922.23,922.23,924.0,564702709.3,564702709.3,564702709.3,0,3,SUR,-0.16
3,TQBR,2021-07-20,МКПАО ЮМГ,GEMC,1651,220923846.68,924.0,918.0,926.0,923.0,920.04,923.0,240123,920.04,920.04,923.0,220923846.68,220923846.68,220923846.68,0,3,SUR,-0.11
4,TQBR,2021-07-21,МКПАО ЮМГ,GEMC,1528,108386401.42,920.02,918.0,922.0,918.56,919.39,918.56,117890,919.39,919.39,918.56,108386401.42,108386401.42,108386401.42,0,3,SUR,-0.48
5,TQBR,2021-07-22,МКПАО ЮМГ,GEMC,1522,140171277.73,919.02,916.0,920.99,918.0,917.63,918.0,152753,917.63,917.63,918.0,140171277.73,140171277.73,140171277.73,0,3,SUR,-0.06
6,TQBR,2021-07-23,МКПАО ЮМГ,GEMC,1638,84442576.53,919.06,914.0,921.5,916.0,914.71,916.0,92316,914.71,914.71,916.0,84442576.53,84442576.53,84442576.53,0,3,SUR,-0.22
7,TQBR,2021-07-26,МКПАО ЮМГ,GEMC,1472,78691815.37,916.01,914.01,925.0,919.01,916.34,919.01,85876,916.34,916.34,919.01,78691815.37,78691815.37,78691815.37,0,3,SUR,0.33
8,TQBR,2021-07-27,МКПАО ЮМГ,GEMC,1273,108310467.56,921.4,918.0,924.99,919.0,919.06,919.0,117849,919.06,919.06,919.0,108310467.56,108310467.56,108310467.56,0,3,SUR,0.0
9,TQBR,2021-07-28,МКПАО ЮМГ,GEMC,1029,32589942.35,918.2,916.0,923.8,918.0,917.92,918.0,35504,917.92,917.92,918.0,32589942.35,32589942.35,32589942.35,0,3,SUR,-0.11
